[221626] ['7/8', '9/8', '9/8', '7/5', '9'] -> (9 / ((9/8 / 9/8) - (7/8 / 7/5)))
[221707] ['1/5', '2/9', '5/4', '9/5', '2'] -> (2 / (2/9 - ((1/5 * 5/4) / 9/5)))
[221708] ['7/8', '9/8', '6/5', '5/3', '9'] -> (9 / ((7/8 * 6/5) - (9/8 / 5/3)))
[221709] ['4/9', '4/5', '4/5', '9/4', '6'] -> ((4/5 * 6) / ((4/9 * 9/4) - 4/5))
[221710] ['7/9', '8/5', '2', '7/3', '7/3'] -> (7/3 / ((7/9 * 2) - (7/3 / 8/5)))
[221711] ['3/8', '8/7', '4/3', '8/3', '6'] -> ((8/3 - (4/3 / 8/7)) / (3/8 / 6))
[221712] ['3/7', '4/7', '5/4', '9/5', '7'] -> ((7 - (4/7 - 9/5)) / (3/7 / 5/4))
[221713] ['6/7', '7/8', '8/7', '7/4', '8'] -> (8/7 + (8 * (6/7 + (7/4 / 7/8))))
[221714] ['7/9', '8/5', '2', '7/3', '5/2'] -> ((2 * 7/3) * (5/2 / (7/9 / 8/5)))
[221715] ['1/6', '2/9', '2/9', '7/2', '7'] -> ((7 + (1/6 + 7/2)) / (2/9 + 2/9))
[221716] ['3/8', '8/7', '4/3', '9/2', '6'] -> ((9/2 + 6) / (4/3 * (3/8 / 8/7)))
[221717] ['1/5', '2/9', '5/4', '2', '5/2'] -> ((2 / (2/9 - 1/5)) / (5/4 + 5/2))
[221718] ['1/7', '1/2', '1', '6/5', '9/7'] -> ((1 + (9/7 / 1/7)) / (1/2 / 6/5))
[221719] ['5/7', '5/7', '3/4', '7/5', '8'] -> ((8 / 7/5) / ((5/7 / 3/4) - 5/7))
[221720] ['1/6', '2/9', '1/4', '2/7', '7'] -> ((1/4 - (1/6 / 2/9)) + (7 / 2/7))
[221721] ['5/7', '7/9', '4/5', '5/4', '6'] -> ((6 / (5/7 * 7/9)) / (5/4 - 4/5))
[221722] ['7/9', '8/5', '2', '7/3', '7/2'] -> ((2 / (7/9 / 8/5)) * (7/3 + 7/2))
[221723] ['1', '9/7', '5/3', '7/4', '8/3'] -> (9/7 / ((5/3 / 8/3) - (1 / 7/4)))
[221724] ['1/6', '2/9', '1/4', '2/5', '7'] -> ((7 - ((1/6 / 1/4) / 2/5)) / 2/9)
[221725] ['3/8', '8/7', '7/5', '5/3', '6'] -> (5/3 * ((6 / 3/8) - (8/7 * 7/5)))
[221726] ['1/4', '2/5', '5/4', '4/3', '3'] -> (3 / (((2/5 * 5/4) / 4/3) - 1/4))
[221727] ['5/7', '5/7', '3/4', '7/4', '8'] -> (8 * ((5/7 * 3/4) + (5/7 + 7/4)))
[221728] ['1/7', '1/2', '1', '6/5', '3/2'] -> (6/5 * ((3/2 / (1/7 * 1/2)) - 1))
[221729] ['7/8', '9/8', '6/5', '7/2', '9'] -> (9 * ((7/8 - 9/8) + (7/2 / 6/5)))
[221730] ['7/9', '8/5', '2', '7/3', '9/2'] -> ((8/5 * 2) * (9/2 + (7/3 / 7/9)))
[221731] ['5/7', '5/7', '3/4', '7/3', '8'] -> (8 * (5/7 + (3/4 * (5/7 + 7/3))))
[221732] ['1/4', '2/5', '5/4', '5/3', '3'] -> (3 / ((5/4 / 5/3) - (1/4 / 2/5)))
[221733] ['1/6', '2/9', '1/4', '4/7', '7'] -> ((7 * (1/6 * 4/7)) / (1/4 - 2/9))
[221734] ['3/7', '4/7', '9/7', '8/5', '7'] -> (((9/7 * 7) - 3/7) / (4/7 / 8/5))
[221735] ['5/7', '5/7', '3/4', '5/2', '8'] -> (8 / (5/7 - ((5/7 / 3/4) / 5/2)))
[221736] ['6/7', '7/8', '7/6', '4/3', '8'] -> ((8 / (6/7 * 4/3)) / (7/6 - 7/8))
[221737] ['1/6', '2/9', '1/4', '3/5', '7'] -> (7 / (2/9 + ((1/6 * 1/4) / 3/5)))
[221738] ['1/8', '2/9', '3/8', '7/2', '9'] -> (9 / ((2/9 * (7/2 - 1/8)) - 3/8))
[221739] ['1/4', '2/5', '5/4', '9/4', '3'] -> ((3 + (9/4 / 1/4)) / (2/5 * 5/4))
[221740] ['7/8', '9/8', '5/4', '7/5', '9'] -> (9 / ((7/8 - 7/5) + (9/8 / 5/4)))
[221741] ['7/9', '8/5', '2', '5/2', '9/2'] -> (8/5 * (5/2 + (9/2 * (7/9 + 2))))
[221742] ['3/7', '4/7', '9/7', '9/5', '7'] -> (((9/5 * (7 - 4/7)) - 9/7) / 3/7)
[221743] ['1/5', '5/6', '1', '9/7', '7/4'] -> ((1 + 9/7) * (7/4 / (1/5 * 5/6)))
[221744] ['1/6', '2/9', '1/4', '5/7', '7'] -> ((1/4 / 1/6) + (7 / (2/9 / 5/7)))
[221745] ['5/7', '5/7', '3/4', '7/2', '8'] -> (8 * (((7/2 - 5/7) / 3/4) - 5/7))
[221746] ['6/7', '7/8', '7/6', '8/5', '8'] -> ((7/8 + (6/7 * 7/6)) * (8/5 * 8))
[221747] ['3/8', '8/7', '7/5', '5/2', '6'] -> ((3/8 + (7/5 / 8/7)) * (5/2 * 6))
[221748] ['3/7', '4/7', '9/7', '5/2', '7'] -> (4/7 / ((5/2 / 7) - (3/7 / 9/7)))
[221749] ['1/8', '2/9', '2/5', '4/9', '9'] -> (9 / (4/9 - ((1/8 * 2/9) / 2/5)))
[221750] ['7/8', '9/8', '5/4', '9/5', '9'] -> (9 / (7/8 - ((9/8 / 5/4) / 9/5)))
[221751] ['7/9', '8/5', '2', '8/3', '9/2'] -> ((8/3 + (2 * 9/2)) / (7/9 / 8/5))
[221752] ['1/4', '2/5', '9/7', '9/7', '3'] -> ((9/7 / 1/4) / ((9/7 / 2/5) - 3))
[221753] ['3/8', '8/7', '7/5', '7/2', '6'] -> ((7/2 * 6) / (8/7 - (3/8 / 7/5)))
[221754] ['1/6', '2/9', '1/4', '4/5', '7'] -> (4/5 * ((7 / 2/9) - (1/4 / 1/6)))
[221755] ['1', '9/7', '5/3', '9/5', '7/2'] -> ((5/3 * 9/5) * (7/2 * (1 + 9/7)))
[221756] ['5/7', '5/7', '7/9', '7/9', '8'] -> (8 / ((7/9 * (5/7 + 5/7)) - 7/9))
[221757] ['1/5', '5/6', '1', '9/7', '7/3'] -> ((1 + (9/7 * 7/3)) / (1/5 * 5/6))
[221758] ['1/7', '1/2', '1', '6/5', '7/2'] -> (6/5 * (((7/2 - 1/2) / 1/7) - 1))
[221759] ['1/4', '2/5', '9/7', '4/3', '3'] -> (9/7 * ((3 / (2/5 - 1/4)) - 4/3))
[221760] ['1', '9/7', '5/3', '9/5', '9/2'] -> ((5/3 * (1 + 9/7)) * (9/5 + 9/2))
[221761] ['7/9', '8/5', '2', '7/2', '7/2'] -> ((7/2 / 7/9) / ((7/2 / 8/5) - 2))
[221762] ['4/9', '4/5', '5/6', '7/4', '6'] -> (6 / (7/4 - (5/6 / (4/9 / 4/5))))
[221763] ['1/6', '2/9', '1/4', '6/7', '7'] -> (((6/7 * 7) - (1/6 / 1/4)) / 2/9)
[221764] ['1/7', '1/2', '1', '6/5', '9/2'] -> (9/2 * ((1 / (1/7 * 6/5)) - 1/2))
[221765] ['1/4', '2/5', '9/7', '7/5', '3'] -> ((7/5 / (1/4 * 2/5)) * (3 - 9/7))
[221766] ['3/7', '4/7', '4/3', '3/2', '7'] -> (4/7 / (3/7 - ((4/3 + 3/2) / 7)))
[221767] ['4/9', '4/5', '5/6', '9/5', '6'] -> (4/5 / ((4/9 * 6) - (5/6 + 9/5)))
[221768] ['1/6', '2/9', '1/4', '7/8', '7'] -> ((7 * (1/6 / 2/9)) / (1/4 * 7/8))
[221769] ['7/8', '9/8', '9/7', '7/5', '9'] -> ((9 / 7/5) / ((9/7 / 9/8) - 7/8))
[221770] ['7/9', '8/5', '2', '9/2', '9/2'] -> (9/2 / ((9/2 * (7/9 / 8/5)) - 2))
[221771] ['1/4', '2/5', '9/7', '3/2', '3'] -> ((9/7 + 3) * ((3/2 / 1/4) - 2/5))
[221772] ['5/7', '5/7', '7/9', '6/7', '8'] -> (8 / ((5/7 / 5/7) - (7/9 * 6/7)))
[221773] ['1/8', '2/9', '2/5', '5/8', '9'] -> (9 / (2/9 * (1/8 + (5/8 / 2/5))))
[221774] ['1/6', '2/9', '1/4', '8/7', '7'] -> ((7 * (1/6 / 2/9)) / (1/4 / 8/7))
[221775] ['6/7', '7/8', '6/5', '5/4', '8'] -> (8 / ((5/4 / (7/8 * 6/5)) - 6/7))
[221776] ['3/7', '4/7', '4/3', '8/5', '7'] -> ((7 - 8/5) / (3/7 / (4/7 + 4/3)))
[221777] ['4/9', '4/5', '5/6', '7/3', '6'] -> (((5/6 + 7/3) + (6 / 4/5)) / 4/9)
[221778] ['1/5', '2/9', '9/7', '2', '8/3'] -> (8/3 / ((2/9 / (2 - 9/7)) - 1/5))
[221779] ['8/9', '8/9', '7/6', '5/4', '5'] -> (5 / (5/4 * (7/6 - (8/9 / 8/9))))
[221780] ['1/6', '2/9', '1/4', '7/6', '7'] -> (((7 / 7/6) - (1/6 / 1/4)) / 2/9)
[221781] ['3/8', '8/7', '3/2', '9/4', '6'] -> (((3/2 + 9/4) + (6 / 8/7)) / 3/8)
[221782] ['1/5', '5/6', '1', '4/3', '7/5'] -> ((1 + 7/5) / (1/5 * (4/3 - 5/6)))
[221783] ['5/7', '5/7', '7/9', '8/9', '8'] -> ((8 / 5/7) / ((8/9 / 5/7) - 7/9))
[221784] ['1/7', '1/2', '1', '5/4', '8/5'] -> (((1 / 5/4) + (8/5 / 1/7)) / 1/2)
[221785] ['1', '9/7', '5/3', '9/4', '9/2'] -> (((5/3 * 9/2) / (9/7 - 1)) - 9/4)
[221786] ['3/7', '4/7', '4/3', '5/2', '7'] -> (4/3 * ((5/2 * (3/7 + 7)) - 4/7))
[221787] ['1/5', '2/9', '4/3', '4/3', '2'] -> ((2 + (4/3 / (1/5 * 2/9))) / 4/3)
[221788] ['7/8', '9/8', '9/7', '5/2', '9'] -> ((9/7 + (9 / (7/8 / 5/2))) / 9/8)
[221789] ['8/9', '8/9', '7/6', '3/2', '5'] -> ((5 * (8/9 * 3/2)) / (7/6 - 8/9))
[221790] ['1/6', '2/9', '1/4', '7/5', '7'] -> ((1/4 / 1/6) + (7 / (2/9 * 7/5)))
[221791] ['1/4', '2/5', '9/7', '9/5', '3'] -> ((9/5 - 2/5) / (1/4 / (9/7 + 3)))
[221792] ['3/7', '4/7', '4/3', '7/2', '7'] -> ((4/7 * 7) / ((3/7 * 7/2) - 4/3))
[221793] ['1/5', '5/6', '1', '4/3', '9/4'] -> ((1 + (4/3 * 9/4)) / (1/5 * 5/6))
[221794] ['7/8', '9/8', '9/7', '7/2', '9'] -> ((7/2 - 7/8) / (9/8 / (9/7 + 9)))
[221795] ['1/5', '2/9', '4/3', '7/4', '2'] -> (4/3 / (2 - (7/4 / (1/5 / 2/9))))
[221796] ['1/6', '2/9', '1/4', '8/5', '7'] -> ((8/5 / 2/9) + (7 / (1/6 + 1/4)))
[221797] ['1/7', '1/2', '1', '5/4', '9/5'] -> (((1 + 9/5) / (1/7 / 5/4)) - 1/2)
[221798] ['3/8', '8/7', '3/2', '8/3', '6'] -> ((8/7 * 8/3) * (6 + (3/8 + 3/2)))
[221799] ['1/8', '2/9', '2/5', '5/6', '9'] -> ((2/5 + 9) / (1/8 + (2/9 / 5/6)))
[221800] ['6/7', '7/8', '6/5', '5/3', '8'] -> ((7/8 * 5/3) * (8 * (6/7 + 6/5)))
[221801] ['7/9', '5/3', '5/3', '2', '7/2'] -> ((2 + (5/3 + 5/3)) / (7/9 / 7/2))
[221802] ['1/5', '2/9', '4/3', '2', '9/4'] -> ((2 / 2/9) + (9/4 / (1/5 / 4/3)))
[221803] ['5/7', '5/7', '7/9', '7/6', '8'] -> (8 / ((5/7 / 5/7) - (7/9 / 7/6)))
[221804] ['6/7', '7/8', '6/5', '7/4', '8'] -> ((6/5 * 8) * (7/4 + (6/7 * 7/8)))
[221805] ['1/7', '1/2', '1', '5/4', '5/2'] -> ((5/2 + (1/2 / 1/7)) / (5/4 - 1))
[221806] ['7/9', '5/3', '5/3', '2', '9/2'] -> (9/2 * ((5/3 * (5/3 + 2)) - 7/9))
[221807] ['7/8', '9/8', '4/3', '7/5', '9'] -> ((4/3 * 9) / (9/8 - (7/8 / 7/5)))
[221808] ['1/5', '2/9', '4/3', '2', '7/2'] -> (((2 / 1/5) - (4/3 * 7/2)) / 2/9)
[221809] ['7/8', '9/8', '4/3', '8/5', '9'] -> ((9/8 + (4/3 * 9)) / (7/8 / 8/5))
[221810] ['1/5', '5/6', '1', '7/5', '7/5'] -> (1 / ((7/5 / (1/5 + 7/5)) - 5/6))
[221811] ['1', '9/7', '5/3', '5/2', '8/3'] -> (8/3 / ((1 / 9/7) - (5/3 / 5/2)))
[221812] ['1/4', '2/5', '9/7', '8/3', '3'] -> (9/7 * ((8/3 / 2/5) + (3 / 1/4)))
[221813] ['1/8', '2/9', '2/5', '8/9', '9'] -> ((8/9 - (2/9 / 2/5)) / (1/8 / 9))
[221814] ['6/7', '7/8', '6/5', '9/4', '8'] -> (8 * (6/7 + (9/4 / (7/8 * 6/5))))
[221815] ['3/7', '4/7', '7/5', '9/5', '7'] -> ((7 * ((9/5 / 3/7) - 4/7)) - 7/5)
[221816] ['7/8', '9/8', '4/3', '9/5', '9'] -> ((4/3 + (7/8 + 9/8)) * (9 - 9/5))
[221817] ['1/6', '2/9', '2/7', '1/3', '7'] -> ((1/6 - (2/9 / 1/3)) + (7 / 2/7))
[221818] ['5/7', '5/7', '7/9', '9/7', '8'] -> (8 / (((5/7 + 5/7) / 9/7) - 7/9))
[221819] ['1/4', '2/5', '9/7', '3', '7/2'] -> ((9/7 + 3) * (7/2 / (1/4 / 2/5)))
[221820] ['1/5', '5/6', '1', '7/5', '5/3'] -> ((1 + 7/5) * (5/3 / (1/5 * 5/6)))
[221821] ['4/9', '4/5', '6/7', '6/5', '6'] -> ((6/7 + 6) * (4/5 + (6/5 / 4/9)))
[221822] ['5/7', '7/9', '5/6', '9/7', '6'] -> (((9/7 / (5/6 - 7/9)) - 6) / 5/7)
[221823] ['5/7', '5/7', '7/9', '4/3', '8'] -> ((4/3 + (5/7 / 5/7)) / (7/9 / 8))
[221824] ['8/9', '8/9', '7/6', '5/2', '5'] -> ((8/9 / (7/6 - 8/9)) * (5/2 + 5))
[221825] ['3/8', '8/7', '8/5', '9/4', '6'] -> ((8/7 * 8/5) * ((9/4 * 6) - 3/8))
[221826] ['1', '9/7', '5/3', '5/2', '9/2'] -> ((9/7 * (1 + 5/3)) * (5/2 + 9/2))
[221827] ['7/8', '9/8', '7/5', '7/5', '9'] -> ((7/5 + (7/5 / 7/8)) / (9/8 / 9))
[221828] ['6/7', '7/8', '6/5', '5/2', '8'] -> (5/2 * (8 + (6/5 / (6/7 * 7/8))))
[221829] ['1/5', '5/6', '1', '7/5', '9/5'] -> (1 / ((7/5 / (9/5 - 1/5)) - 5/6))
[221830] ['1', '9/7', '5/3', '8/3', '8/3'] -> ((8/3 * 8/3) / ((5/3 / 9/7) - 1))
[221831] ['8/9', '8/9', '7/6', '7/2', '5'] -> ((8/9 + 7/6) + (5 * (8/9 + 7/2)))
[221832] ['6/7', '7/8', '6/5', '8/3', '8'] -> ((8 / (7/8 * (6/5 - 6/7))) - 8/3)
[221833] ['5/7', '5/7', '7/9', '3/2', '8'] -> ((8 / 3/2) / ((5/7 / 5/7) - 7/9))
[221834] ['7/8', '9/8', '7/5', '9/5', '9'] -> (9 / ((9/5 / 9/8) - (7/8 * 7/5)))
[221835] ['1', '9/7', '5/3', '8/3', '7/2'] -> ((9/7 * 7/2) * (8/3 + (1 + 5/3)))
[221836] ['1/8', '2/9', '2/5', '7/6', '9'] -> (9 + (7/6 / (1/8 * (2/9 + 2/5))))
[221837] ['1/6', '2/9', '2/7', '1/2', '7'] -> (((7 * (2/7 + 1/2)) - 1/6) / 2/9)
[221838] ['1/5', '2/9', '7/5', '2', '9/4'] -> ((2 + (7/5 / (2/9 * 9/4))) / 1/5)
[221839] ['5/7', '5/7', '7/9', '8/5', '8'] -> ((8 / 7/9) / ((5/7 * 8/5) - 5/7))
[221840] ['1/4', '2/5', '4/3', '7/3', '3'] -> (3 / ((7/3 * (1/4 / 2/5)) - 4/3))
[221841] ['1/7', '1/2', '1', '9/7', '9/5'] -> ((1 + (9/7 / 9/5)) / (1/7 * 1/2))
[221842] ['8/9', '8/9', '6/5', '5/4', '5'] -> ((6/5 * 5) / (5/4 - (8/9 / 8/9)))
[221843] ['6/7', '7/8', '6/5', '9/2', '8'] -> (8 * ((9/2 / 6/5) - (6/7 * 7/8)))
[221844] ['5/7', '7/9', '5/6', '7/4', '6'] -> (6 / (7/4 - (5/6 / (5/7 * 7/9))))
[221845] ['1', '9/7', '5/3', '7/2', '7/2'] -> ((9/7 * (1 + 5/3)) * (7/2 + 7/2))
[221846] ['3/8', '8/7', '5/3', '5/3', '6'] -> (6 * (5/3 + (8/7 * (3/8 + 5/3))))
[221847] ['1/8', '2/9', '2/5', '5/4', '9'] -> ((2/5 + (2/9 * 9)) / (1/8 / 5/4))
[221848] ['7/8', '9/8', '7/5', '7/3', '9'] -> (9/8 + (9 * (7/8 + (7/3 / 7/5))))
[221849] ['1', '9/7', '5/3', '7/2', '9/2'] -> ((1 + 5/3) * (9/2 + (9/7 * 7/2)))
[221850] ['1/5', '5/6', '1', '7/5', '8/3'] -> (1 + ((7/5 + (8/3 / 5/6)) / 1/5))
[221851] ['7/9', '5/3', '9/5', '2', '8/3'] -> (8/3 / (7/9 - (2 / (5/3 * 9/5))))
[221852] ['3/8', '8/7', '5/3', '7/4', '6'] -> (6 * ((8/7 / 3/8) + (5/3 / 7/4)))
[221853] ['1/7', '1/2', '1', '9/7', '9/4'] -> (9/7 / ((1/2 * (9/4 - 1/7)) - 1))
[221854] ['6/7', '7/8', '5/4', '5/4', '8'] -> ((8 + (5/4 / 7/8)) / (5/4 - 6/7))
