[248221] ['1/4', '2/5', '2/3', '1', '8/7'] -> (1 / ((1/4 / 2/5) - (2/3 / 8/7)))
[248271] ['1/6', '7/9', '7/6', '6/5', '7'] -> (7 / (1/6 * (7/9 + (7/6 / 6/5))))
[248272] ['7/5', '7/5', '3/2', '9/4', '8'] -> (8 / ((7/5 / 7/5) - (3/2 / 9/4)))
[248273] ['4/9', '4/7', '8/5', '5/3', '7'] -> ((8/5 * 5/3) * (7 / (4/9 / 4/7)))
[248274] ['5/3', '7/4', '7/3', '7/2', '5'] -> (7/2 * ((5/3 + 7/3) + (5 / 7/4)))
[248275] ['1/8', '7/9', '6/5', '9/4', '9'] -> (1/8 + (9 * (7/9 + (9/4 / 6/5))))
[248276] ['3/8', '4/9', '4/3', '8/5', '9'] -> (9 * (4/9 + (4/3 / (3/8 * 8/5))))
[248277] ['2/5', '2/3', '8/7', '9/5', '8'] -> (((9/5 * 8) - 2/5) / (2/3 / 8/7))
[248278] ['1/4', '2/5', '5/7', '1', '5/4'] -> ((5/4 / (2/5 - (1/4 / 5/7))) - 1)
[248279] ['1/6', '1/5', '2/7', '2/5', '1'] -> (((1/5 / 2/5) + (1 / 2/7)) / 1/6)
[248280] ['1/6', '7/9', '7/6', '5/4', '7'] -> ((((7/9 * 7) - 5/4) / 1/6) - 7/6)
[248281] ['2/9', '3/7', '1', '6/5', '7/4'] -> ((1 / (3/7 - (2/9 * 7/4))) - 6/5)
[248282] ['5/3', '7/4', '7/3', '9/2', '5'] -> (9/2 * ((5/3 + 5) - (7/3 / 7/4)))
[248283] ['4/9', '4/7', '8/5', '9/5', '7'] -> (7 * (8/5 + (9/5 * (4/9 + 4/7))))
[248284] ['5/3', '7/4', '5/2', '8/3', '5'] -> ((5/3 / 5/2) + (5 * (7/4 * 8/3)))
[248285] ['1/4', '2/5', '5/7', '1', '9/7'] -> ((1 + ((5/7 + 9/7) / 2/5)) / 1/4)
[248286] ['3/8', '4/9', '4/3', '7/4', '9'] -> ((4/9 * 9) * (4/3 + (7/4 / 3/8)))
[248287] ['5/9', '3/5', '5/7', '6/7', '6'] -> (((6 / (5/9 * 3/5)) - 6/7) / 5/7)
[248288] ['5/3', '7/4', '5/2', '7/2', '5'] -> (5 / (5/2 * (7/2 - (5/3 + 7/4))))
[248289] ['2/7', '1/3', '9/8', '3', '7/2'] -> ((2/7 * 7/2) / ((9/8 / 3) - 1/3))
[248290] ['1/4', '2/5', '5/7', '1', '7/5'] -> ((5/7 + 1) * (7/5 / (1/4 * 2/5)))
[248291] ['2/9', '3/7', '1', '6/5', '7/3'] -> (((7/3 / 3/7) - 1) / (2/9 / 6/5))
[248292] ['1/8', '7/9', '6/5', '8/3', '9'] -> (9 / (1/8 * (7/9 + (8/3 / 6/5))))
[248293] ['5/3', '7/4', '8/3', '8/3', '5'] -> (8/3 * ((7/4 * (5/3 + 5)) - 8/3))
[248294] ['2/5', '2/3', '8/7', '7/2', '8'] -> (((8 / 2/5) - (8/7 * 7/2)) / 2/3)
[248295] ['2/7', '1/3', '9/8', '3', '9/2'] -> (((3 / (2/7 * 1/3)) - 9/2) / 9/8)
[248296] ['1/6', '1/5', '2/7', '3/5', '1'] -> ((3/5 / 1/5) + (1 / (1/6 * 2/7)))
[248297] ['2/9', '3/7', '1', '6/5', '5/2'] -> (((1 / 3/7) + (6/5 * 5/2)) / 2/9)
[248298] ['1/9', '2/7', '2/3', '3/4', '2'] -> (2/3 / ((2 * (1/9 / 2/7)) - 3/4))
[248299] ['7/5', '7/5', '8/5', '9/2', '8'] -> (8/5 / (((8 - 7/5) / 9/2) - 7/5))
[248300] ['2/7', '1/3', '8/7', '7/6', '3'] -> ((8/7 / 2/7) / (7/6 - (1/3 * 3)))
[248301] ['1/8', '7/9', '6/5', '7/2', '9'] -> (((9 / 6/5) - (7/2 / 7/9)) / 1/8)
[248302] ['2/9', '2/7', '7/6', '7/6', '6'] -> ((6 - (2/7 * (7/6 + 7/6))) / 2/9)
[248303] ['4/9', '4/7', '8/5', '8/3', '7'] -> ((8/3 + (4/7 * 7)) / (4/9 / 8/5))
[248304] ['1/5', '2/3', '7/9', '8/5', '2'] -> ((2/3 + ((8/5 + 2) / 1/5)) / 7/9)
[248305] ['5/3', '7/4', '9/2', '9/2', '5'] -> ((9/2 + (5 * (5/3 * 9/2))) / 7/4)
[248306] ['1/4', '2/5', '5/7', '1', '5/3'] -> (2/5 / (5/3 - (1/4 + (1 / 5/7))))
[248307] ['1/9', '2/7', '2/3', '4/5', '2'] -> ((4/5 + 2) / (1/9 / (2/7 + 2/3)))
[248308] ['2/5', '2/3', '7/6', '9/7', '8'] -> ((8 / 2/5) / ((7/6 * 9/7) - 2/3))
[248309] ['7/8', '7/8', '2', '5/2', '7/2'] -> ((5/2 + 7/2) / (2 - (7/8 + 7/8)))
[248310] ['7/5', '7/5', '5/3', '7/4', '8'] -> ((8 * (7/5 / 7/4)) / (5/3 - 7/5))
[248311] ['1/8', '7/9', '6/5', '9/2', '9'] -> (((7/9 * 9) - 9/2) / (1/8 / 6/5))
[248312] ['2/9', '2/7', '7/6', '6/5', '6'] -> (((2/7 * 7/6) + (6 / 6/5)) / 2/9)
[248313] ['1/9', '2/7', '2/3', '5/6', '2'] -> (2/3 / ((5/6 / 2) - (1/9 / 2/7)))
[248314] ['5/9', '3/5', '5/7', '6/5', '6'] -> ((6 / (5/7 * (5/9 * 3/5))) - 6/5)
[248315] ['7/8', '7/8', '2', '5/2', '9/2'] -> (9/2 / (7/8 * (5/2 - (2 / 7/8))))
[248316] ['1/5', '2/3', '7/9', '9/5', '2'] -> ((2/3 + (2 / (1/5 / 9/5))) / 7/9)
[248317] ['1/6', '7/9', '6/5', '4/3', '7'] -> ((4/3 - 7/9) * (6/5 + (7 / 1/6)))
[248318] ['2/9', '2/7', '7/6', '7/5', '6'] -> ((2/7 + (6 / 7/5)) / (2/9 / 7/6))
[248319] ['7/5', '7/5', '5/3', '7/2', '8'] -> ((7/5 + (7/5 / 7/2)) * (5/3 * 8))
[248320] ['1/9', '2/7', '2/3', '9/8', '2'] -> ((2/3 / (1/9 * 2/7)) / (2 - 9/8))
[248321] ['5/3', '9/5', '9/5', '9/2', '5'] -> ((9/2 + (5/3 * 9/5)) * (5 - 9/5))
[248322] ['5/9', '3/5', '5/7', '9/7', '6'] -> ((6 + (5/7 + 9/7)) / (5/9 * 3/5))
[248323] ['7/5', '7/5', '7/4', '7/4', '8'] -> ((7/4 + (7/5 * 7/4)) / (7/5 / 8))
[248324] ['2/5', '2/3', '7/6', '9/4', '8'] -> ((9/4 + (7/6 / 2/3)) + (8 / 2/5))
[248325] ['7/8', '7/8', '2', '7/2', '7/2'] -> ((2 + (7/2 / 7/8)) / (7/8 / 7/2))
[248326] ['1/9', '2/7', '2/3', '6/5', '2'] -> ((2 / ((2/7 * 2/3) - 1/9)) - 6/5)
[248327] ['1/6', '1/5', '2/7', '5/6', '1'] -> (((1 / (2/7 * 5/6)) - 1/5) / 1/6)
[248328] ['7/8', '7/8', '2', '9/2', '9/2'] -> ((2 + (7/8 + 7/8)) + (9/2 * 9/2))
[248329] ['1/5', '2/3', '7/9', '2', '5/2'] -> ((2/3 + 2) / ((7/9 / 5/2) - 1/5))
[248330] ['5/3', '9/5', '9/4', '8/3', '5'] -> (9/4 * ((5/3 * 9/5) + (8/3 + 5)))
[248331] ['2/9', '3/7', '1', '5/4', '7/5'] -> ((1 + (7/5 / 3/7)) / (2/9 / 5/4))
[248332] ['7/5', '7/5', '7/4', '9/2', '8'] -> ((8 * (9/2 - 7/5)) - (7/5 / 7/4))
[248333] ['2/7', '1/3', '7/6', '5/4', '3'] -> (5/4 + ((3 + (7/6 / 1/3)) / 2/7))
[248334] ['4/9', '4/7', '5/3', '7/3', '7'] -> (((7 * (7/3 - 4/7)) - 5/3) / 4/9)
[248335] ['1/5', '2/3', '7/9', '2', '7/2'] -> ((2 + (2/3 / 1/5)) / (7/9 / 7/2))
[248336] ['2/9', '2/7', '7/6', '5/2', '6'] -> (6 * (5/2 + (7/6 / (2/9 / 2/7))))
[248337] ['1/8', '7/9', '5/4', '9/5', '9'] -> (9 / ((9/5 * (1/8 + 7/9)) - 5/4))
[248338] ['1/6', '7/9', '6/5', '7/4', '7'] -> ((7 / ((7/9 / 7/4) - 1/6)) - 6/5)
[248339] ['7/5', '7/5', '9/5', '9/4', '8'] -> ((8 + (7/5 + 7/5)) / (9/4 - 9/5))
[248340] ['2/5', '2/3', '5/4', '9/7', '8'] -> ((8 - (2/3 / 5/4)) / (2/5 / 9/7))
[248341] ['2/7', '1/3', '7/6', '4/3', '3'] -> (((3 / 2/7) - (7/6 + 4/3)) / 1/3)
[248342] ['1/4', '2/5', '5/7', '1', '9/2'] -> (2/5 + ((9/2 + (1 / 5/7)) / 1/4))
[248343] ['7/8', '8/9', '8/9', '7/6', '2'] -> ((8/9 / 8/9) / ((7/8 + 7/6) - 2))
[248344] ['7/5', '7/5', '9/5', '5/2', '8'] -> ((5/2 + 8) / (7/5 / (7/5 + 9/5)))
[248345] ['1/9', '2/7', '2/3', '2', '9/4'] -> ((1/9 + (2 / 2/7)) / (2/3 / 9/4))
[248346] ['5/3', '9/4', '9/4', '9/4', '5'] -> (9/4 * ((5/3 - 9/4) + (9/4 * 5)))
[248347] ['1/6', '7/9', '6/5', '9/4', '7'] -> ((7 / 6/5) + ((7/9 + 9/4) / 1/6))
[248348] ['1/5', '2/3', '4/5', '6/7', '2'] -> (4/5 / ((2/3 / (6/7 + 2)) - 1/5))
[248349] ['1/6', '1/5', '2/7', '1', '7/6'] -> (((1 / (1/5 * 7/6)) - 2/7) / 1/6)
[248350] ['1/4', '2/5', '3/4', '7/9', '1'] -> (1 / ((1/4 / 2/5) - (3/4 * 7/9)))
[248351] ['4/9', '4/7', '5/3', '9/2', '7'] -> ((((5/3 + 7) / 4/7) - 9/2) / 4/9)
[248352] ['1/9', '2/7', '2/3', '2', '5/2'] -> (((2 * 5/2) - (2/3 / 2/7)) / 1/9)
[248353] ['1/8', '7/9', '5/4', '8/3', '9'] -> (7/9 / (((8/3 - 5/4) / 9) - 1/8))
[248354] ['2/5', '2/3', '9/7', '9/7', '8'] -> ((2/3 * 8) * (9/7 + (9/7 / 2/5)))
[248356] ['2/9', '3/7', '1', '5/4', '5/2'] -> ((5/2 / (2/9 * 3/7)) - (1 + 5/4))
[248355] ['3/8', '4/9', '8/5', '9/4', '9'] -> ((9/4 / (3/8 * 8/5)) + (9 / 4/9))
[248357] ['1/8', '7/9', '5/4', '7/2', '9'] -> (9 / (7/9 * (1/8 + (5/4 / 7/2))))
[248358] ['1/9', '2/7', '5/7', '5/7', '2'] -> ((2/7 - 5/7) + ((5/7 + 2) / 1/9))
[248359] ['1/6', '7/9', '6/5', '8/3', '7'] -> ((7 - (7/9 + (8/3 / 6/5))) / 1/6)
[248360] ['7/5', '7/5', '9/4', '5/2', '8'] -> (8 / (((7/5 + 5/2) / 9/4) - 7/5))
[248361] ['7/8', '8/9', '8/9', '3/2', '2'] -> ((3/2 * 2) / ((8/9 / 8/9) - 7/8))
[248362] ['1/4', '2/5', '3/4', '7/8', '1'] -> (1 / (7/8 - ((1/4 / 2/5) / 3/4)))
[248363] ['2/5', '2/3', '9/7', '8/5', '8'] -> ((8/5 - 2/3) * (8 / (2/5 / 9/7)))
[248364] ['3/8', '4/9', '8/5', '8/3', '9'] -> ((8/3 / (4/9 - 3/8)) - (8/5 * 9))
[248365] ['1/4', '2/5', '3/4', '8/9', '1'] -> (1 / ((3/4 * 8/9) - (1/4 / 2/5)))
[248366] ['2/7', '1/3', '7/6', '8/3', '3'] -> (8/3 * ((3 / 2/7) - (1/3 + 7/6)))
[248367] ['1/6', '1/5', '2/7', '1', '4/3'] -> (((4/3 + (1 / 2/7)) / 1/5) - 1/6)
[248368] ['7/5', '7/5', '9/4', '9/2', '8'] -> (8 * ((7/5 / 7/5) + (9/2 / 9/4)))
[248369] ['1/4', '2/5', '3/4', '1', '9/8'] -> (1 / ((3/4 / 9/8) - (1/4 / 2/5)))
[248370] ['4/9', '4/7', '7/4', '7/3', '7'] -> ((4/7 + (7 / 7/4)) / (4/9 / 7/3))
[248371] ['1/6', '1/5', '2/7', '1', '7/5'] -> ((1 + (1/5 / 7/5)) / (1/6 * 2/7))
[248372] ['7/8', '8/9', '8/9', '5/3', '2'] -> ((8/9 / 8/9) / (7/8 - (5/3 / 2)))
[248373] ['1/5', '2/3', '5/6', '5/6', '2'] -> ((2 / 1/5) / ((5/6 / 2/3) - 5/6))
[248374] ['5/9', '3/5', '5/7', '7/2', '6'] -> ((7/2 * (5/9 + 5/7)) * (6 - 3/5))
[248375] ['1/9', '2/7', '5/7', '4/5', '2'] -> ((((2 / 1/9) - 2/7) / 5/7) - 4/5)
[248376] ['2/9', '2/7', '6/5', '9/5', '6'] -> ((6/5 / (2/9 * 9/5)) + (6 / 2/7))
[248377] ['2/5', '2/3', '9/7', '7/4', '8'] -> (8 / (9/7 - (2/3 / (2/5 * 7/4))))
[248378] ['7/8', '8/9', '8/9', '7/4', '2'] -> (2 / (7/4 - (8/9 + (7/8 * 8/9))))
[248379] ['1/6', '7/9', '5/4', '9/7', '7'] -> (7 / (1/6 * (7/9 + (5/4 / 9/7))))
[248380] ['2/7', '1/3', '6/5', '9/7', '3'] -> ((3 / (9/7 - (1/3 / 2/7))) - 6/5)
[248381] ['1/8', '7/9', '9/7', '8/5', '9'] -> ((7/9 * 8/5) * (9 + (9/7 / 1/8)))
[248382] ['1/4', '2/5', '3/4', '1', '7/6'] -> ((1 / (1/4 * 2/5)) / (7/6 - 3/4))
[248383] ['1/6', '1/5', '2/7', '1', '3/2'] -> (((3/2 / 1/5) - (1 / 2/7)) / 1/6)
[248384] ['5/3', '7/3', '7/3', '9/2', '5'] -> ((9/2 * (7/3 + 7/3)) + (5 / 5/3))
[248385] ['2/5', '2/3', '9/7', '9/5', '8'] -> (8 / ((9/5 / 9/7) - (2/5 + 2/3)))
[248386] ['2/7', '1/3', '6/5', '4/3', '3'] -> ((3 / (1/3 - (2/7 / 4/3))) - 6/5)
[248387] ['5/3', '7/3', '5/2', '5/2', '5'] -> ((5/3 + 7/3) * (5 + (5/2 / 5/2)))
[248388] ['1/6', '1/5', '2/7', '1', '8/5'] -> ((8/5 / (1/6 + 1)) / (1/5 * 2/7))
[248389] ['2/9', '3/7', '1', '9/7', '3/2'] -> ((1 + 9/7) / (3/7 - (2/9 * 3/2)))
[248390] ['1/8', '7/9', '9/7', '5/3', '9'] -> ((9/7 / 1/8) + ((5/3 + 9) / 7/9))
[248391] ['1/4', '2/5', '3/4', '1', '9/7'] -> (1 / ((1/4 / 2/5) - (3/4 / 9/7)))
[248392] ['4/9', '4/7', '7/4', '9/2', '7'] -> ((9/2 * (4/9 + 4/7)) * (7 - 7/4))
[248393] ['5/9', '3/5', '3/4', '7/9', '6'] -> (6 / ((3/4 * 7/9) - (5/9 * 3/5)))
[248394] ['1/5', '2/3', '5/6', '9/8', '2'] -> (1/5 / ((9/8 / (5/6 * 2)) - 2/3))
[248395] ['7/8', '8/9', '8/9', '2', '9/4'] -> ((8/9 / ((2 / 7/8) - 9/4)) - 8/9)
[248396] ['2/7', '1/3', '6/5', '7/5', '3'] -> (((3 + (7/5 / 1/3)) / 2/7) - 6/5)
[248397] ['1/4', '2/5', '3/4', '1', '4/3'] -> (1 / ((1/4 / 2/5) + (3/4 - 4/3)))
[248398] ['1/6', '1/5', '2/7', '1', '5/3'] -> ((((5/3 / 2/7) - 1) / 1/5) - 1/6)
[248399] ['7/8', '8/9', '8/9', '2', '7/3'] -> ((8/9 / 8/9) / ((7/8 * 7/3) - 2))
[248400] ['1/9', '2/7', '5/7', '7/6', '2'] -> (((5/7 / 2/7) - 7/6) / (1/9 / 2))
[248401] ['2/9', '2/7', '6/5', '8/3', '6'] -> ((8/3 / 6/5) + ((2/9 + 6) / 2/7))
[248402] ['1/5', '2/3', '5/6', '7/6', '2'] -> ((2 / (1/5 * 5/6)) / (7/6 - 2/3))
[248403] ['2/9', '3/7', '1', '9/7', '5/3'] -> ((1 + 5/3) / ((3/7 / 9/7) - 2/9))
[248404] ['1/4', '2/5', '3/4', '1', '3/2'] -> ((1 + (3/2 / (2/5 * 3/4))) / 1/4)
[248405] ['2/5', '2/3', '9/7', '5/2', '8'] -> (2/3 / ((5/2 / 2/5) - (8 / 9/7)))
[248406] ['5/3', '5/2', '7/2', '7/2', '5'] -> ((7/2 * (5/2 + 7/2)) + (5 / 5/3))
[248407] ['1/6', '1/5', '2/7', '1', '7/4'] -> ((1 / (1/5 * 7/4)) / (2/7 - 1/6))
[248408] ['2/9', '2/7', '6/5', '7/2', '6'] -> ((6/5 * (2/9 + 6)) * (7/2 - 2/7))
[248409] ['1/5', '2/3', '5/6', '5/4', '2'] -> (2 / ((1/5 * 5/4) + (2/3 - 5/6)))
[248410] ['1/6', '7/9', '5/4', '9/5', '7'] -> ((7 / (1/6 * 7/9)) / (5/4 * 9/5))
[248411] ['4/9', '4/7', '9/5', '7/3', '7'] -> ((9/5 * 7/3) * (7 - (4/7 / 4/9)))
[248412] ['2/5', '2/3', '9/7', '8/3', '8'] -> (9/7 * ((8/3 / 2/5) + (8 / 2/3)))
[248413] ['7/8', '8/9', '8/9', '2', '8/3'] -> (8/3 / ((8/9 * (2 - 7/8)) - 8/9))
[248414] ['1/9', '2/7', '5/7', '9/7', '2'] -> (2 * ((9/7 / 1/9) - (2/7 - 5/7)))
[248415] ['2/7', '1/3', '6/5', '8/5', '3'] -> (3 + ((6/5 + (8/5 / 1/3)) / 2/7))
[248416] ['1/6', '7/9', '5/4', '9/4', '7'] -> ((7 - (5/4 + (7/9 * 9/4))) / 1/6)
[248417] ['2/7', '1/3', '6/5', '5/3', '3'] -> (3 + ((6/5 * 5/3) / (2/7 * 1/3)))
[248418] ['1/8', '7/9', '9/7', '7/2', '9'] -> ((9/7 + (9 / 7/2)) / (1/8 / 7/9))
[248419] ['4/9', '4/7', '9/5', '5/2', '7'] -> ((4/7 + (4/9 * 9/5)) * (5/2 * 7))
[248420] ['1/6', '1/5', '2/7', '1', '5/2'] -> (((1/5 * 5/2) + (1 / 2/7)) / 1/6)
[248421] ['5/9', '3/5', '3/4', '9/7', '6'] -> (6 / ((3/4 / 9/7) - (5/9 * 3/5)))
[248422] ['7/5', '3/2', '3/2', '9/2', '8'] -> (3/2 * ((7/5 * (9/2 + 8)) - 3/2))
[248423] ['1/8', '7/9', '9/7', '9/2', '9'] -> (((7/9 * 9/7) + (9 / 9/2)) / 1/8)
[248424] ['1/6', '7/9', '5/4', '8/3', '7'] -> (((7 / (1/6 / 7/9)) - 8/3) / 5/4)
[248425] ['1/9', '2/7', '5/7', '8/5', '2'] -> (((2/7 + (2 / 1/9)) / 5/7) - 8/5)
[248426] ['1/5', '2/3', '5/6', '2', '9/4'] -> ((2/3 + 5/6) + (9/4 / (1/5 / 2)))
[248427] ['2/5', '2/3', '4/3', '9/4', '8'] -> (9/4 * ((4/3 / 2/5) - (2/3 - 8)))
[248428] ['3/8', '4/9', '7/4', '7/2', '9'] -> ((3/8 + (7/4 * 9)) + (7/2 / 4/9))
[248429] ['5/9', '3/5', '3/4', '7/5', '6'] -> ((6 / 5/9) / ((3/4 * 7/5) - 3/5))
[248430] ['4/9', '4/7', '9/5', '9/2', '7'] -> ((4/9 + (4/7 / 9/5)) * (9/2 * 7))
[248431] ['7/5', '3/2', '5/3', '7/4', '8'] -> (8 / ((5/3 / 7/5) - (3/2 / 7/4)))
[248432] ['1/8', '7/9', '4/3', '8/5', '9'] -> (7/9 / (1/8 - ((4/3 / 8/5) / 9)))
[248433] ['1/4', '2/5', '7/9', '6/7', '1'] -> (1 / ((7/9 * 6/7) - (1/4 / 2/5)))
[248434] ['1/6', '7/9', '9/7', '4/3', '7'] -> ((7 - (9/7 + (4/3 / 7/9))) / 1/6)
[248435] ['2/9', '3/7', '1', '4/3', '8/5'] -> (8/5 * (1 + (4/3 / (2/9 * 3/7))))
[248436] ['7/8', '8/9', '9/8', '5/4', '2'] -> (2 / ((5/4 * (7/8 / 9/8)) - 8/9))
[248437] ['7/5', '3/2', '5/3', '9/4', '8'] -> (8 * ((7/5 * 5/3) + (3/2 / 9/4)))
[248438] ['4/9', '4/7', '9/4', '7/3', '7'] -> ((4/7 * 7/3) * (9/4 + (7 / 4/9)))
[248439] ['2/9', '2/7', '5/4', '9/4', '6'] -> (5/4 + ((6 + (2/9 * 9/4)) / 2/7))
[248440] ['1/6', '7/9', '9/7', '7/5', '7'] -> (((7 / 7/5) - (7/9 * 9/7)) / 1/6)
[248441] ['1/6', '1/5', '1/3', '3/7', '1'] -> (((1/3 / 1/5) + (1 / 3/7)) / 1/6)
[248442] ['2/9', '3/7', '1', '4/3', '7/4'] -> (4/3 / (2/9 * (1 - (3/7 * 7/4))))
[248443] ['7/4', '7/4', '7/4', '9/2', '5'] -> (9/2 / (5 - (7/4 + (7/4 * 7/4))))
[248444] ['2/9', '2/7', '5/4', '7/3', '6'] -> ((6 + (2/7 * 7/3)) / (2/9 * 5/4))
[248445] ['2/5', '2/3', '3/2', '3/2', '8'] -> (3/2 + ((8 + (2/3 * 3/2)) / 2/5))
[248446] ['1/6', '1/5', '1/3', '4/9', '1'] -> ((1/3 + 1) / (1/5 * (4/9 - 1/6)))
[248447] ['1/6', '7/9', '9/7', '8/5', '7'] -> ((9/7 * 8/5) * (7 + (7/9 / 1/6)))
[248448] ['7/5', '3/2', '7/4', '7/4', '8'] -> ((3/2 * 8) / (7/4 - (7/4 / 7/5)))
