[79786] ['1/7', '5/9', '3/2', '3/2', '5'] -> ((3/2 / 1/7) + (5 / (5/9 / 3/2)))
[79827] ['1/8', '1/4', '3/7', '2/3', '4'] -> ((2/3 + (4 * (1/4 / 3/7))) / 1/8)
[79828] ['5/9', '6/5', '4/3', '5/2', '4'] -> ((4/3 + (4 * (6/5 * 5/2))) / 5/9)
[79829] ['1/9', '5/7', '3/2', '9/4', '5'] -> ((3/2 * 9/4) * (1/9 + (5 / 5/7)))
[79830] ['1/8', '2/7', '4/3', '7/3', '3'] -> (3 * ((7/3 / 2/7) - (1/8 * 4/3)))
[79831] ['1/5', '1/2', '6/7', '3/2', '8'] -> (8 * (6/7 + (3/2 / (1/5 + 1/2))))
[79832] ['1/6', '8/7', '6/5', '4/3', '9'] -> ((9 / (4/3 + (1/6 - 8/7))) - 6/5)
[79833] ['1/8', '1/7', '5/9', '9/8', '4'] -> (((4 - 5/9) / 1/7) - (1/8 / 9/8))
[79834] ['3/5', '3/5', '5/6', '1', '7/6'] -> ((5/6 / ((3/5 + 3/5) - 7/6)) - 1)
[79835] ['1/3', '3/8', '3/7', '7/6', '2'] -> ((3/7 * 7/6) * (2 / (3/8 - 1/3)))
[79836] ['1/9', '4/5', '6/7', '7/4', '6'] -> (4/5 * ((6 / (1/9 * 7/4)) - 6/7))
[79837] ['1/9', '3/7', '3/4', '5/2', '7'] -> (((7 + (5/2 / 3/4)) / 3/7) - 1/9)
[79838] ['1/5', '6/7', '9/7', '9/7', '5'] -> ((9/7 + 9/7) + (5 / (1/5 / 6/7)))
[79839] ['1/7', '5/9', '8/5', '9/4', '5'] -> (8/5 * ((5 / (1/7 * 9/4)) - 5/9))
[79840] ['2/7', '2/5', '2/3', '5/3', '5'] -> ((5/3 / 2/5) + ((2/3 + 5) / 2/7))
[79841] ['1/8', '1/4', '3/7', '7/8', '4'] -> (4 / (7/8 - (1/8 + (1/4 / 3/7))))
[79842] ['5/9', '6/5', '7/5', '3/2', '4'] -> ((4 / (5/9 * 3/2)) / (7/5 - 6/5))
[79843] ['3/7', '3/7', '3/5', '9/7', '4'] -> ((3/7 + (9/7 / 3/5)) / (3/7 / 4))
[79844] ['1/8', '1/7', '5/9', '8/7', '4'] -> ((1/7 + (5/9 * (8/7 + 4))) / 1/8)
[79845] ['1/9', '4/5', '6/7', '9/5', '6'] -> ((4/5 + (9/5 / 1/9)) + (6 / 6/7))
[79846] ['1/8', '1/4', '3/7', '9/8', '4'] -> (1/4 / ((1/8 / 3/7) - (9/8 / 4)))
[79847] ['1/7', '5/9', '8/5', '7/3', '5'] -> ((5 + (7/3 / 1/7)) / (5/9 * 8/5))
[79848] ['1/5', '1/2', '6/7', '7/4', '8'] -> (6/7 + ((1/2 + (8 / 1/5)) / 7/4))
[79849] ['3/5', '3/5', '5/6', '1', '9/7'] -> (1 / ((3/5 / (9/7 - 3/5)) - 5/6))
[79850] ['3/7', '4/9', '7/9', '7/6', '3'] -> (4/9 / (3 - (7/6 + (7/9 / 3/7))))
[79851] ['2/7', '2/5', '2/3', '9/5', '5'] -> ((9/5 + (2/5 / 2/7)) / (2/3 / 5))
[79852] ['1/8', '1/7', '5/9', '7/6', '4'] -> (1/7 / (1/8 - ((5/9 / 7/6) / 4)))
[79853] ['3/5', '3/5', '5/6', '1', '7/5'] -> ((1 + 7/5) / (3/5 - (3/5 * 5/6)))
[79854] ['1/5', '1/2', '6/7', '9/4', '8'] -> (8 / (1/5 * (9/4 - (1/2 / 6/7))))
[79855] ['3/7', '3/7', '3/5', '3/2', '4'] -> (4 / (((3/7 / 3/7) / 3/5) - 3/2))
[79856] ['1/9', '3/7', '3/4', '9/2', '7'] -> ((3/7 / 9/2) / (1/9 - (3/4 / 7)))
[79857] ['1/3', '3/8', '3/7', '3/2', '2'] -> (3/2 / (3/7 * (1/3 - (3/8 / 2))))
[79858] ['1/9', '5/7', '8/5', '5/3', '5'] -> ((5 - (5/7 * (8/5 + 5/3))) / 1/9)
[79859] ['2/7', '2/5', '2/3', '9/4', '5'] -> ((2/5 * 5) / ((2/3 / 2/7) - 9/4))
[79860] ['1/7', '5/9', '8/5', '8/3', '5'] -> ((5/9 * 8/3) * (5 + (8/5 / 1/7)))
[79861] ['5/9', '6/5', '7/5', '7/4', '4'] -> ((6/5 + (4 / 5/9)) / (7/4 - 7/5))
[79862] ['3/7', '4/9', '7/9', '5/4', '3'] -> ((5/4 + (3 / 4/9)) / (3/7 * 7/9))
[79863] ['1/5', '6/7', '9/7', '9/4', '5'] -> (6/7 / ((1/5 * 5) + (9/7 - 9/4)))
[79864] ['1/9', '3/7', '7/9', '7/9', '7'] -> ((7/9 + (7/9 * 7)) / (1/9 / 3/7))
[79865] ['1/6', '8/7', '6/5', '9/5', '9'] -> (8/7 * ((6/5 + 9) + (9/5 / 1/6)))
[79866] ['1/7', '5/9', '8/5', '7/2', '5'] -> (7/2 * ((1/7 / 5/9) + (8/5 + 5)))
[79867] ['1/8', '2/7', '7/5', '9/4', '3'] -> (7/5 * ((9/4 / 1/8) - (2/7 * 3)))
[79868] ['2/7', '2/5', '2/3', '5/2', '5'] -> ((5 + (2/5 / 2/7)) / (2/3 / 5/2))
[79869] ['5/9', '6/5', '7/5', '9/5', '4'] -> (4 / ((7/5 / 6/5) - (5/9 * 9/5)))
[79870] ['1/9', '3/7', '7/9', '4/5', '7'] -> ((7/9 + 7) * (4/5 / (1/9 / 3/7)))
[79871] ['1/3', '3/8', '3/7', '5/3', '2'] -> (((2 / 3/7) - 5/3) / (1/3 * 3/8))
[79872] ['1/9', '4/5', '6/7', '8/3', '6'] -> (6 * (1/9 + (8/3 / (4/5 * 6/7))))
[79873] ['1/5', '1/2', '6/7', '8/3', '8'] -> ((6/7 * 8/3) * (8 + (1/2 / 1/5)))
[79874] ['5/9', '6/5', '7/5', '9/4', '4'] -> ((7/5 / ((5/9 * 9/4) - 6/5)) - 4)
[79875] ['1/8', '1/7', '5/9', '9/7', '4'] -> ((1/7 + (4 * (5/9 * 9/7))) / 1/8)
[79876] ['3/5', '3/5', '5/6', '1', '7/4'] -> (3/5 / ((5/6 * (7/4 - 1)) - 3/5))
[79877] ['1/9', '3/7', '7/9', '5/6', '7'] -> (((3/7 * 7) - 7/9) / (1/9 * 5/6))
[79878] ['1/3', '3/8', '3/7', '7/4', '2'] -> (3/7 / ((2 / 7/4) - (3/8 / 1/3)))
[79879] ['3/7', '3/7', '3/5', '9/5', '4'] -> (((9/5 / 3/5) - 3/7) / (3/7 / 4))
[79880] ['3/5', '3/5', '5/6', '1', '9/5'] -> ((3/5 + 9/5) / (3/5 * (1 - 5/6)))
[79881] ['5/9', '6/5', '7/5', '5/2', '4'] -> (((5/2 * 4) / (5/9 / 7/5)) - 6/5)
[79882] ['1/3', '3/8', '3/7', '9/5', '2'] -> ((1/3 + (2 / 3/7)) / (3/8 / 9/5))
[79883] ['1/8', '1/7', '5/9', '7/5', '4'] -> ((7/5 / (1/8 / 5/9)) * (4 - 1/7))
[79884] ['1/5', '1/2', '7/8', '7/8', '8'] -> (8 * ((7/8 / 1/5) - (1/2 + 7/8)))
[79885] ['1/7', '5/9', '5/3', '9/4', '5'] -> ((5 / ((5/9 / 5/3) - 1/7)) - 9/4)
[79886] ['3/7', '3/7', '3/5', '7/3', '4'] -> (4 / ((3/7 / (3/5 - 3/7)) - 7/3))
[79887] ['3/7', '4/9', '7/9', '5/3', '3'] -> ((5/3 + (3 / (3/7 * 7/9))) / 4/9)
[79888] ['1/8', '1/4', '3/7', '8/3', '4'] -> ((8/3 + (4 / 3/7)) / (1/8 / 1/4))
[79889] ['1/3', '3/8', '3/7', '2', '5/2'] -> (5/2 / (((3/8 / 3/7) / 2) - 1/3))
[79890] ['3/5', '3/5', '5/6', '1', '7/3'] -> (3/5 / ((5/6 / (7/3 - 1)) - 3/5))
[79891] ['3/7', '3/7', '3/5', '5/2', '4'] -> ((4 * (3/7 + 3/5)) / (3/7 / 5/2))
[79892] ['1/9', '3/7', '7/9', '6/5', '7'] -> (((3/7 * 7) - 7/9) / (1/9 / 6/5))
[79893] ['5/9', '6/5', '7/5', '7/2', '4'] -> ((7/5 / ((5/9 + 7/2) - 4)) - 6/5)
[79894] ['1/5', '6/7', '4/3', '5/3', '5'] -> (6/7 * ((4/3 + 5/3) + (5 / 1/5)))
[79895] ['1/7', '5/9', '5/3', '7/2', '5'] -> ((5/3 + 5) / (7/2 * (1/7 * 5/9)))
[79896] ['1/9', '3/7', '7/9', '5/4', '7'] -> ((7/9 + 7) / (5/4 * (1/9 / 3/7)))
[79897] ['1/8', '1/7', '5/9', '5/3', '4'] -> ((4 - 5/3) / (1/7 * (1/8 + 5/9)))
[79898] ['1/6', '8/7', '5/4', '5/4', '9'] -> ((8/7 * 9) * (5/4 - (1/6 - 5/4)))
[79899] ['1/8', '1/4', '4/9', '4/7', '4'] -> (((4 / 4/7) - 1/4) / (1/8 / 4/9))
[79900] ['1/7', '5/9', '5/3', '9/2', '5'] -> ((5 + (5/9 / 1/7)) / (5/3 / 9/2))
[79901] ['2/7', '2/5', '5/7', '5/6', '5'] -> (5 / ((5/7 / (2/7 + 2/5)) - 5/6))
[79902] ['1/8', '2/7', '3/2', '5/2', '3'] -> (3/2 / (3 - (5/2 + (1/8 / 2/7))))
[79903] ['1/6', '8/7', '5/4', '9/7', '9'] -> ((8/7 + 9) / (1/6 * (5/4 + 9/7)))
[79904] ['1/9', '5/7', '5/3', '9/5', '5'] -> (((5/3 / 5/7) - 9/5) / (1/9 / 5))
[79905] ['2/7', '2/5', '5/7', '6/7', '5'] -> ((5 * (2/7 + 2/5)) / (6/7 - 5/7))
[79906] ['1/5', '1/2', '7/8', '4/3', '8'] -> (8 / (1/5 * (1/2 + (7/8 * 4/3))))
[79907] ['1/8', '1/7', '5/9', '9/5', '4'] -> (((9/5 / (1/7 / 5/9)) - 4) / 1/8)
[79908] ['1/5', '6/7', '4/3', '9/4', '5'] -> (6/7 * ((4/3 * 9/4) + (5 / 1/5)))
[79909] ['1/3', '3/8', '4/9', '5/7', '2'] -> ((5/7 * (1/3 + 2)) / (4/9 - 3/8))
[79910] ['1/7', '5/9', '7/4', '9/5', '5'] -> ((5 + (5/9 * 9/5)) / (1/7 * 7/4))
[79911] ['1/9', '3/7', '7/9', '3/2', '7'] -> ((7 - (1/9 / 7/9)) / (3/7 / 3/2))
[79912] ['5/9', '6/5', '3/2', '9/4', '4'] -> ((4 / 5/9) / ((9/4 / 3/2) - 6/5))
[79913] ['3/7', '3/7', '5/8', '4/5', '4'] -> ((3/7 * 4) / ((5/8 * 4/5) - 3/7))
[79914] ['1/9', '4/5', '7/8', '5/4', '6'] -> (4/5 / ((7/8 / 5/4) - (1/9 * 6)))
[79915] ['1/8', '1/7', '5/9', '9/4', '4'] -> (4 / (5/9 - ((1/8 / 1/7) / 9/4)))
[79916] ['1/6', '8/7', '5/4', '7/5', '9'] -> (((9 / (5/4 * 7/5)) - 8/7) / 1/6)
[79917] ['3/7', '3/7', '5/8', '5/6', '4'] -> ((4 + (3/7 / 3/7)) / (5/6 - 5/8))
[79918] ['1/7', '5/9', '7/4', '7/3', '5'] -> ((7/3 + 5) / (5/9 - (1/7 * 7/4)))
[79919] ['1/5', '1/2', '7/8', '5/3', '8'] -> ((1/5 + (7/8 * 8)) / (1/2 / 5/3))
[79920] ['1/9', '5/7', '5/3', '7/3', '5'] -> (((5/3 / 1/9) + (5 / 7/3)) / 5/7)
[79921] ['1/3', '3/8', '4/9', '4/5', '2'] -> ((2 / 3/8) / ((4/9 / 4/5) - 1/3))
[79922] ['5/9', '6/5', '3/2', '7/2', '4'] -> (4 * ((6/5 - 3/2) + (7/2 / 5/9)))
[79923] ['1/8', '1/4', '4/9', '6/7', '4'] -> (4 / (6/7 * (1/4 - (1/8 * 4/9))))
[79924] ['1/8', '1/7', '5/9', '7/3', '4'] -> ((1/7 * 7/3) / ((5/9 / 4) - 1/8))
[79925] ['3/7', '3/7', '5/8', '6/7', '4'] -> (3/7 / ((3/7 - 5/8) + (6/7 / 4)))
[79926] ['1/6', '8/7', '5/4', '8/5', '9'] -> (8/7 * (9 + (8/5 / (1/6 / 5/4))))
[79927] ['1/9', '4/5', '7/8', '4/3', '6'] -> ((6 + (4/3 / (1/9 * 4/5))) / 7/8)
[79928] ['1/5', '6/7', '4/3', '8/3', '5'] -> (8/3 / ((4/3 / (6/7 * 5)) - 1/5))
[79929] ['1/8', '1/7', '5/9', '5/2', '4'] -> ((4 + (5/2 / (1/8 + 1/7))) / 5/9)
[79930] ['1/6', '8/7', '5/4', '5/3', '9'] -> (9 / ((1/6 - 5/4) + (5/3 / 8/7)))
[79931] ['1/9', '4/5', '7/8', '7/5', '6'] -> (6 + (7/5 / (7/8 * (1/9 * 4/5))))
[79932] ['5/9', '6/5', '8/5', '5/3', '4'] -> (4 * (6/5 + (5/3 / (5/9 / 8/5))))
[79933] ['1/9', '5/7', '5/3', '8/3', '5'] -> (((5 / 5/7) - (5/3 + 8/3)) / 1/9)
[79934] ['3/7', '3/7', '5/8', '8/9', '4'] -> ((4 / (3/7 - (3/7 * 5/8))) - 8/9)
[79935] ['1/5', '1/2', '7/8', '7/3', '8'] -> ((8 / (1/2 - 1/5)) - (7/3 / 7/8))
[79936] ['1/3', '3/8', '4/9', '7/8', '2'] -> (2 / ((4/9 / 1/3) - (3/8 + 7/8)))
[79937] ['1/8', '1/7', '5/9', '8/3', '4'] -> (((4 / 1/8) - (8/3 / 1/7)) / 5/9)
[79938] ['3/5', '3/5', '6/7', '1', '9/7'] -> ((3/5 + 1) / ((6/7 / 9/7) - 3/5))
[79939] ['1/9', '4/5', '7/8', '3/2', '6'] -> (((3/2 / 1/9) + (6 / 4/5)) / 7/8)
[79940] ['2/7', '2/5', '5/7', '6/5', '5'] -> ((5 - 5/7) / (2/7 / (2/5 + 6/5)))
[79941] ['1/9', '3/7', '7/9', '5/2', '7'] -> ((7 - (3/7 * 7/9)) / (1/9 * 5/2))
[79942] ['3/7', '3/7', '5/8', '9/8', '4'] -> ((3/7 * 4) / (9/8 - (3/7 + 5/8)))
[79943] ['1/6', '8/7', '5/4', '7/3', '9'] -> ((8/7 + (9 / 7/3)) / (1/6 * 5/4))
[79944] ['1/8', '1/4', '4/9', '9/7', '4'] -> (((4 / 9/7) - (1/4 * 4/9)) / 1/8)
[79945] ['2/7', '2/5', '5/7', '9/7', '5'] -> ((9/7 + (5 * (2/5 + 5/7))) / 2/7)
[79946] ['3/5', '3/5', '6/7', '1', '7/5'] -> ((1 + 7/5) / ((3/5 / 6/7) - 3/5))
[79947] ['5/9', '6/5', '8/5', '9/4', '4'] -> (8/5 * ((4 / (5/9 / 9/4)) - 6/5))
[79948] ['1/5', '6/7', '7/5', '8/5', '5'] -> (6/7 * ((7/5 + 8/5) + (5 / 1/5)))
[79949] ['1/6', '8/7', '5/4', '5/2', '9'] -> (8/7 * (9 + (5/2 / (1/6 * 5/4))))
[79950] ['1/8', '1/7', '4/7', '3/5', '4'] -> (4 / ((1/7 / 3/5) - (1/8 * 4/7)))
[79951] ['1/9', '5/7', '7/4', '7/4', '5'] -> ((((5 / 1/9) - 7/4) / 7/4) - 5/7)
[79952] ['1/9', '4/5', '7/8', '5/3', '6'] -> ((7/8 * 6) + (5/3 / (1/9 * 4/5)))
[79953] ['1/5', '1/2', '7/8', '9/2', '8'] -> (9/2 / (1/5 * (7/8 + (1/2 / 8))))
[79954] ['1/9', '3/7', '4/5', '4/5', '7'] -> ((3/7 * 7) * (4/5 + (4/5 / 1/9)))
[79955] ['1/8', '1/7', '4/7', '7/9', '4'] -> (4 / (7/9 * (1/7 + (1/8 * 4/7))))
[79956] ['3/7', '3/7', '5/8', '5/4', '4'] -> ((3/7 * 4) / ((5/8 / 5/4) - 3/7))
[79957] ['1/8', '1/4', '4/9', '7/4', '4'] -> (((7/4 * 4) - 1/4) / (1/8 / 4/9))
[79958] ['1/3', '3/8', '4/9', '7/5', '2'] -> ((1/3 + 2) / (7/5 * (4/9 - 3/8)))
[79959] ['1/5', '1/2', '8/9', '8/9', '8'] -> (((8 + (8/9 / 1/5)) / 1/2) - 8/9)
[79960] ['1/9', '5/7', '7/4', '9/4', '5'] -> ((9/4 / 1/9) + (5 - (5/7 * 7/4)))
[79961] ['1/9', '4/5', '7/8', '9/5', '6'] -> (((4/5 * 6) + (9/5 / 1/9)) / 7/8)
[79962] ['1/6', '8/7', '5/4', '9/2', '9'] -> (8/7 * ((5/4 / 1/6) + (9/2 + 9)))
[79963] ['5/9', '6/5', '8/5', '8/3', '4'] -> (8/5 + (8/3 * (6/5 + (4 / 5/9))))
[79964] ['2/7', '2/5', '5/7', '5/3', '5'] -> ((5 + (5/3 * (2/5 + 5/7))) / 2/7)
[79965] ['1/7', '5/9', '9/5', '8/3', '5'] -> ((9/5 / 8/3) * (5/9 + (5 / 1/7)))
[79966] ['1/9', '5/7', '7/4', '7/3', '5'] -> (((5 / 5/7) - 7/3) / (1/9 * 7/4))
[79967] ['1/6', '8/7', '9/7', '9/7', '9'] -> ((9 / (1/6 / 8/7)) / (9/7 + 9/7))
[79968] ['5/9', '6/5', '8/5', '7/2', '4'] -> ((8/5 / 6/5) / ((5/9 + 7/2) - 4))
[79969] ['3/7', '3/7', '5/8', '3/2', '4'] -> ((3/7 + (3/2 * 4)) / (3/7 * 5/8))
[79970] ['1/9', '4/5', '7/8', '5/2', '6'] -> ((6 / 1/9) / ((5/2 / 4/5) - 7/8))
[79971] ['5/9', '6/5', '5/3', '5/3', '4'] -> ((5/3 * 5/3) * (4 / (5/9 / 6/5)))
[79972] ['3/7', '3/7', '5/8', '8/5', '4'] -> ((3/7 / 5/8) / (3/7 - (8/5 / 4)))
[79973] ['1/7', '5/9', '9/5', '9/2', '5'] -> ((9/2 - 9/5) * (5 + (5/9 / 1/7)))
[79974] ['2/7', '2/5', '5/7', '9/5', '5'] -> (((5/7 + (9/5 * 5)) / 2/5) - 2/7)
[79975] ['1/5', '6/7', '7/5', '8/3', '5'] -> ((((7/5 + 5) / 6/7) - 8/3) / 1/5)
[79976] ['3/5', '3/5', '6/7', '1', '5/2'] -> ((5/2 / ((3/5 / 6/7) - 3/5)) - 1)
[79977] ['3/7', '3/7', '5/8', '5/3', '4'] -> ((4 + (3/7 * 5/3)) / (5/8 - 3/7))
[79978] ['1/9', '4/5', '7/8', '7/2', '6'] -> (4/5 * ((7/2 / (1/9 * 7/8)) - 6))
[79979] ['5/9', '6/5', '5/3', '9/5', '4'] -> (4 * ((6/5 + 9/5) + (5/3 / 5/9)))
[79980] ['1/7', '5/9', '9/4', '9/4', '5'] -> (((5 - (5/9 * 9/4)) / 1/7) - 9/4)
[79981] ['1/3', '3/8', '1/2', '6/7', '2'] -> ((1/2 + 2) / ((3/8 / 6/7) - 1/3))
[79982] ['3/7', '3/7', '5/8', '7/4', '4'] -> ((3/7 * 4) / (3/7 - (5/8 / 7/4)))
[79983] ['1/9', '4/5', '7/8', '9/2', '6'] -> (6 / (7/8 - (9/2 * (1/9 / 4/5))))
[79984] ['1/5', '6/7', '7/5', '9/2', '5'] -> (6/7 + (9/2 * (5 + (1/5 / 7/5))))
[79985] ['1/6', '8/7', '9/7', '9/5', '9'] -> (8/7 / (1/6 - (9/7 / (9/5 + 9))))
[79986] ['1/5', '1/2', '8/9', '5/3', '8'] -> ((8/9 * 5/3) * (1/5 + (8 / 1/2)))
[79987] ['5/9', '6/5', '7/4', '7/4', '4'] -> (((7/4 + 7/4) / (5/9 / 4)) - 6/5)
[79988] ['3/7', '3/7', '5/8', '9/5', '4'] -> ((9/5 / (3/7 * 5/8)) * (4 - 3/7))
[79989] ['1/9', '4/5', '8/9', '8/9', '6'] -> (6 + ((8/9 + (8/9 / 4/5)) / 1/9))
[79990] ['1/8', '2/7', '7/4', '8/3', '3'] -> (8/3 * ((7/4 / 2/7) - (1/8 - 3)))
[79991] ['5/9', '6/5', '7/4', '9/5', '4'] -> ((4 / 5/9) / ((6/5 * 7/4) - 9/5))
[79992] ['1/5', '6/7', '3/2', '3/2', '5'] -> (6/7 * ((3/2 + 3/2) + (5 / 1/5)))
[79993] ['3/7', '3/7', '5/8', '7/3', '4'] -> ((3/7 / 3/7) / (5/8 - (7/3 / 4)))
[79994] ['1/9', '5/7', '9/5', '7/3', '5'] -> ((9/5 * 5) + (7/3 / (1/9 / 5/7)))
[79995] ['1/6', '8/7', '4/3', '7/5', '9'] -> ((4/3 / 7/5) / (1/6 - (8/7 / 9)))
[79996] ['1/3', '3/8', '1/2', '7/5', '2'] -> (2 / ((3/8 / (7/5 - 1/2)) - 1/3))
[79997] ['1/8', '1/4', '5/9', '5/8', '4'] -> (4 / ((5/9 * (1/8 + 5/8)) - 1/4))
[79998] ['1/8', '1/7', '3/5', '5/7', '4'] -> (4 / (1/8 * (1/7 + (5/7 / 3/5))))
[79999] ['3/7', '3/7', '5/8', '5/2', '4'] -> (3/7 / ((3/7 * (4 - 5/2)) - 5/8))
[80000] ['5/9', '6/5', '7/4', '5/2', '4'] -> ((7/4 / ((5/2 / 4) - 5/9)) - 6/5)
[80001] ['1/6', '8/7', '4/3', '5/3', '9'] -> (9 * ((4/3 / 8/7) - (1/6 - 5/3)))
[80002] ['1/7', '5/9', '7/3', '7/3', '5'] -> ((7/3 + (1/7 * 7/3)) / (5/9 / 5))
[80003] ['3/7', '3/7', '5/8', '4', '9/2'] -> ((9/2 / (3/7 - (3/7 * 5/8))) - 4)
[80004] ['1/8', '1/4', '5/9', '3/4', '4'] -> ((1/4 / 3/4) / ((5/9 / 4) - 1/8))
[80005] ['3/5', '3/5', '7/8', '1', '7/6'] -> (1 / (7/6 - (3/5 + (3/5 * 7/8))))
[80006] ['1/8', '1/7', '3/5', '7/9', '4'] -> (((4 / 7/9) - 1/7) / (1/8 / 3/5))
[80007] ['3/7', '4/9', '4/5', '9/5', '3'] -> ((9/5 + ((4/5 + 3) / 3/7)) / 4/9)
[80008] ['1/7', '5/9', '7/3', '5/2', '5'] -> ((5 + (1/7 * 7/3)) / (5/9 / 5/2))
[80009] ['3/5', '3/5', '7/8', '1', '5/4'] -> (3/5 / ((1 - 5/4) - (3/5 - 7/8)))
[80010] ['1/9', '4/5', '8/9', '4/3', '6'] -> (4/3 / (8/9 - (6 * (1/9 / 4/5))))
[80011] ['5/9', '6/5', '7/4', '7/2', '4'] -> (4 / ((5/9 * 6/5) - (7/4 / 7/2)))
[80012] ['3/7', '3/7', '2/3', '2/3', '4'] -> (2/3 + ((2/3 + (4 / 3/7)) / 3/7))
[80013] ['1/5', '6/7', '3/2', '5/2', '5'] -> ((5 + (3/2 / 5/2)) / (1/5 / 6/7))
[80014] ['1/3', '3/8', '5/9', '5/7', '2'] -> (1/3 / (((5/9 / 5/7) / 2) - 3/8))
