[292546] ['4/9', '5/6', '6/5', '5/2', '8'] -> ((8 / 6/5) / ((4/9 * 5/2) - 5/6))
[292643] ['1/2', '5/6', '9/7', '3/2', '2'] -> ((1/2 + 5/6) / ((2 / 9/7) - 3/2))
[292644] ['1/7', '1/3', '7/5', '9/4', '8'] -> (9/4 * ((7/5 * (8 - 1/7)) - 1/3))
[292645] ['1/9', '1/2', '6/7', '1', '7/5'] -> (7/5 * ((1 / (1/9 * 1/2)) - 6/7))
[292646] ['1/8', '2/7', '7/5', '7/5', '2'] -> (((7/5 + 2) - (2/7 * 7/5)) / 1/8)
[292647] ['4/9', '5/6', '4/3', '9/4', '8'] -> ((8 - (4/9 - 4/3)) / (5/6 / 9/4))
[292648] ['2/3', '1', '8/5', '5/3', '9/2'] -> ((8/5 * 9/2) * (5/3 + (2/3 + 1)))
[292649] ['3/7', '4/7', '4/7', '9/2', '9'] -> (4/7 / (4/7 - ((3/7 + 9/2) / 9)))
[292650] ['1/7', '1/4', '7/5', '2', '9/2'] -> (((1/7 + 9/2) / (1/4 / 7/5)) - 2)
[292651] ['1/9', '1/2', '6/7', '1', '8/5'] -> ((1/2 + (1 / 6/7)) / (1/9 / 8/5))
[292652] ['1/6', '3/4', '7/5', '3', '7/2'] -> ((3 + (7/2 / (1/6 * 7/5))) / 3/4)
[292653] ['1/8', '2/7', '7/5', '5/3', '2'] -> ((2 / (1/8 * 2/7)) / (7/5 * 5/3))
[292654] ['2/7', '7/9', '5/4', '7/3', '9'] -> ((9 - 7/3) / (5/4 * (2/7 * 7/9)))
[292655] ['1/9', '1/2', '6/7', '1', '5/3'] -> (((5/3 / 1/9) - 1) / (1/2 / 6/7))
[292656] ['7/9', '8/9', '8/5', '7/4', '7'] -> ((8/5 + (8/9 / 7/9)) * (7/4 + 7))
[292657] ['1/2', '4/3', '4/3', '7/5', '7'] -> ((1/2 + 7) * (4/3 + (4/3 * 7/5)))
[292658] ['1/2', '5/6', '9/7', '7/4', '2'] -> ((2 / 7/4) / ((1/2 + 5/6) - 9/7))
[292659] ['2/7', '7/9', '5/4', '5/2', '9'] -> ((9 / (2/7 / 7/9)) - (5/4 / 5/2))
[292660] ['1/8', '2/7', '7/5', '7/4', '2'] -> ((2/7 + (2 / 7/5)) / (1/8 / 7/4))
[292661] ['2/7', '4/7', '3/4', '8/9', '1'] -> ((4/7 / (2/7 * 3/4)) / (1 - 8/9))
[292662] ['1/7', '1/3', '3/2', '5/3', '8'] -> ((1/3 + (3/2 * 8)) + (5/3 / 1/7))
[292663] ['2/7', '7/9', '5/4', '8/3', '9'] -> (9 + ((5/4 * 8/3) / (2/7 * 7/9)))
[292664] ['1/2', '4/3', '4/3', '9/5', '7'] -> ((4/3 * 4/3) * (9/5 * (1/2 + 7)))
[292665] ['1/7', '1/4', '3/2', '9/5', '2'] -> ((2 / 1/7) / ((3/2 / 9/5) - 1/4))
[292666] ['1/9', '5/8', '8/7', '9/7', '8'] -> (9/7 / (1/9 * (5/8 - (8/7 / 8))))
[292667] ['1/2', '5/6', '9/7', '2', '9/4'] -> (2 / ((9/4 / 9/7) - (5/6 / 1/2)))
[292668] ['1/9', '1/2', '6/7', '1', '9/4'] -> (((1 + 9/4) - (1/2 / 6/7)) / 1/9)
[292669] ['3/7', '4/7', '3/5', '7/8', '9'] -> (9 / (((3/7 / 4/7) / 3/5) - 7/8))
[292670] ['3/7', '4/9', '4/9', '7/3', '5'] -> (7/3 * ((5 / 4/9) - (3/7 / 4/9)))
[292671] ['7/9', '8/9', '8/5', '7/3', '7'] -> ((8/5 * ((7/3 * 7) - 7/9)) - 8/9)
[292672] ['2/3', '1', '8/5', '9/5', '7/3'] -> ((2/3 + 7/3) / ((9/5 / 8/5) - 1))
[292673] ['1/6', '3/4', '8/5', '7/3', '3'] -> (3 * ((7/3 / (1/6 * 8/5)) - 3/4))
[292674] ['4/9', '5/6', '7/5', '7/3', '8'] -> (8 / ((5/6 * (7/3 - 7/5)) - 4/9))
[292675] ['2/7', '4/7', '3/4', '1', '5/4'] -> ((4/7 / 2/7) / ((1 / 3/4) - 5/4))
[292676] ['1/8', '2/7', '7/5', '2', '8/3'] -> ((2/7 / 1/8) / (2 - (8/3 / 7/5)))
[292677] ['2/7', '7/9', '5/4', '9/2', '9'] -> ((5/4 + (7/9 * 9)) + (9/2 / 2/7))
[292678] ['3/7', '4/7', '3/5', '8/9', '9'] -> ((3/7 + (9 / 3/5)) / (4/7 / 8/9))
[292679] ['1/2', '5/6', '9/7', '2', '5/2'] -> ((1/2 + 5/6) / (2 - (5/2 / 9/7)))
[292680] ['1/7', '1/3', '3/2', '9/4', '8'] -> (8 * ((1/3 / 1/7) + (3/2 / 9/4)))
[292681] ['1/6', '3/4', '8/5', '5/2', '3'] -> (8/5 / (1/6 - ((3/4 / 5/2) / 3)))
[292682] ['1/7', '1/4', '8/5', '5/3', '2'] -> (5/3 * ((1/4 * 8/5) + (2 / 1/7)))
[292683] ['2/7', '4/7', '3/4', '1', '7/5'] -> ((2/7 + 4/7) / (3/4 - (1 / 7/5)))
[292684] ['1/4', '4/5', '7/6', '9/2', '6'] -> ((4/5 * 6) * ((7/6 * 9/2) - 1/4))
[292685] ['4/9', '5/6', '7/5', '8/3', '8'] -> ((8/3 * (8 + (5/6 * 7/5))) - 4/9)
[292686] ['3/7', '4/7', '3/5', '9/8', '9'] -> ((3/7 + (9 / 3/5)) / (4/7 * 9/8))
[292687] ['1/2', '5/6', '9/7', '2', '8/3'] -> (8/3 / ((5/6 / 1/2) - (2 / 9/7)))
[292688] ['1/7', '1/3', '3/2', '7/3', '8'] -> ((8 / 3/2) + ((1/3 + 7/3) / 1/7))
[292689] ['1/4', '4/5', '6/5', '9/7', '6'] -> (4/5 / (6/5 - (6 * (1/4 / 9/7))))
[292690] ['7/9', '8/9', '5/3', '5/3', '7'] -> ((7 * (7/9 + (5/3 * 5/3))) - 8/9)
[292691] ['1/7', '1/4', '8/5', '9/5', '2'] -> ((9/5 * 2) / ((1/4 / 1/7) - 8/5))
[292692] ['2/7', '4/7', '3/4', '1', '5/3'] -> ((4/7 / 2/7) / ((3/4 + 1) - 5/3))
[292693] ['1/2', '4/3', '7/5', '9/4', '7'] -> (7 / (7/5 * (4/3 - (1/2 * 9/4))))
[292694] ['2/3', '1', '8/5', '9/4', '7/3'] -> (1 / ((2/3 * 9/4) - (7/3 / 8/5)))
[292695] ['7/9', '8/9', '5/3', '7/4', '7'] -> (7 / (7/4 - (5/3 * (7/9 / 8/9))))
[292696] ['4/9', '5/6', '7/5', '9/2', '8'] -> ((8 - (4/9 / 5/6)) / (7/5 / 9/2))
[292697] ['1/9', '1/2', '7/8', '1', '9/8'] -> (((7/8 + 1) + (9/8 / 1/9)) / 1/2)
[292698] ['3/7', '4/7', '3/5', '5/4', '9'] -> ((9 * (4/7 / 5/4)) / (3/5 - 3/7))
[292699] ['4/9', '5/6', '3/2', '9/5', '8'] -> (5/6 * (9/5 + (8 / (4/9 / 3/2))))
[292700] ['1/9', '1/2', '7/8', '1', '8/7'] -> (8/7 / (1/9 * (1 - (1/2 / 7/8))))
[292701] ['1/7', '1/4', '8/5', '2', '5/2'] -> (8/5 + ((2 / 5/2) / (1/7 * 1/4)))
[292702] ['3/7', '4/9', '1/2', '5/9', '5'] -> (((5/9 + (5 / 3/7)) / 1/2) - 4/9)
[292703] ['1/7', '1/3', '8/5', '9/4', '8'] -> ((8 / (8/5 * (1/3 - 1/7))) - 9/4)
[292704] ['1/2', '5/6', '4/3', '9/5', '2'] -> ((2 / 1/2) / ((5/6 * 9/5) - 4/3))
[292705] ['3/7', '4/7', '3/5', '7/3', '9'] -> (7/3 * ((3/7 / 3/5) + (4/7 + 9)))
[292706] ['7/9', '8/9', '5/3', '7/2', '7'] -> ((7/2 * (5/3 + (7/9 * 7))) - 8/9)
[292707] ['1/2', '5/6', '4/3', '2', '9/4'] -> (1/2 / ((9/4 / 4/3) - (5/6 * 2)))
[292708] ['2/3', '1', '8/5', '7/3', '8/3'] -> ((8/5 / (1 - 2/3)) * (7/3 + 8/3))
[292709] ['2/7', '7/9', '9/7', '9/4', '9'] -> ((9/4 * ((9/7 * 9) - 7/9)) - 2/7)
[292710] ['1/2', '4/3', '3/2', '8/5', '7'] -> ((4/3 * 3/2) * (8/5 * (1/2 + 7)))
[292711] ['3/7', '4/7', '5/8', '5/8', '9'] -> (((9 / 5/8) - (3/7 / 5/8)) / 4/7)
[292712] ['1/8', '2/7', '8/5', '2', '9/4'] -> (8/5 * (1/8 + ((2 + 9/4) / 2/7)))
[292713] ['1/6', '3/4', '9/5', '3', '9/2'] -> ((3 + (9/2 / (1/6 * 9/5))) / 3/4)
[292714] ['2/7', '4/7', '3/4', '1', '7/2'] -> (((7/2 / (1 - 3/4)) - 2/7) / 4/7)
[292715] ['3/7', '4/7', '5/8', '4/5', '9'] -> ((9 / (3/7 / 4/7)) / (5/8 * 4/5))
[292716] ['1/7', '1/4', '5/3', '7/4', '2'] -> (1/4 + (5/3 * (2 + (7/4 / 1/7))))
[292717] ['1/7', '1/3', '8/5', '9/2', '8'] -> ((8/5 * 9/2) + (8 / (1/7 + 1/3)))
[292718] ['4/9', '5/6', '8/5', '7/2', '8'] -> ((5/6 * 8/5) / ((4/9 * 8) - 7/2))
[292719] ['1/2', '5/6', '7/5', '7/5', '2'] -> ((2 / 1/2) / ((7/5 / 7/5) - 5/6))
[292720] ['1/8', '2/7', '8/5', '2', '7/3'] -> (7/3 * (2/7 + (2 / (1/8 * 8/5))))
[292721] ['1/6', '7/9', '7/9', '7/9', '3'] -> ((7/9 + (7/9 * 3)) / (1/6 * 7/9))
[292722] ['3/7', '4/7', '5/8', '5/6', '9'] -> (9 * ((4/7 / 3/7) + (5/6 / 5/8)))
[292723] ['1/2', '5/6', '7/5', '3/2', '2'] -> (2 / ((5/6 * (1/2 + 7/5)) - 3/2))
[292724] ['1/7', '1/4', '5/3', '9/5', '2'] -> (2 / (5/3 * (9/5 - (1/4 / 1/7))))
[292725] ['2/3', '1', '8/5', '5/2', '9/2'] -> ((8/5 * 5/2) * (9/2 + (1 / 2/3)))
[292726] ['4/9', '5/6', '5/3', '5/3', '8'] -> ((8 * (5/3 + (5/6 * 5/3))) - 4/9)
[292727] ['2/7', '7/9', '4/3', '4/3', '9'] -> ((2/7 + (4/3 / 7/9)) * (4/3 * 9))
[292728] ['7/9', '8/9', '7/4', '9/2', '7'] -> (9/2 * (8/9 + ((7/9 + 7) / 7/4)))
[292729] ['1/2', '5/6', '7/5', '5/3', '2'] -> (2 / (5/3 - (5/6 * (1/2 + 7/5))))
[292730] ['3/7', '4/7', '5/8', '7/8', '9'] -> (((4/7 + 9) + (5/8 / 7/8)) / 3/7)
[292731] ['1/9', '1/2', '7/8', '1', '7/4'] -> ((1 / 1/9) / (7/4 - (1/2 + 7/8)))
[292732] ['7/9', '8/9', '9/5', '9/5', '7'] -> ((7/9 + 8/9) * (9/5 + (9/5 * 7)))
[292733] ['1/7', '1/4', '5/3', '2', '5/2'] -> ((2 / 1/7) / (5/2 - (1/4 + 5/3)))
[292734] ['1/7', '1/3', '5/3', '9/4', '8'] -> (((8 / 1/7) - (1/3 + 5/3)) / 9/4)
[292735] ['1/6', '7/9', '7/9', '5/6', '3'] -> ((7/9 / 7/9) + ((5/6 + 3) / 1/6))
[292736] ['2/7', '4/7', '7/9', '6/7', '1'] -> (6/7 / ((4/7 / (7/9 + 1)) - 2/7))
[292737] ['3/7', '4/7', '5/8', '8/9', '9'] -> (9 / ((4/7 / 8/9) - (3/7 * 5/8)))
[292738] ['1/2', '4/3', '8/5', '7/2', '7'] -> ((7/2 * 7) / (4/3 - (1/2 / 8/5)))
[292739] ['1/2', '5/6', '7/5', '2', '9/4'] -> (2 / ((7/5 / (1/2 / 5/6)) - 9/4))
[292740] ['2/7', '7/9', '4/3', '8/5', '9'] -> (8/5 * (9 + (4/3 / (2/7 * 7/9))))
[292741] ['1/9', '5/8', '7/6', '7/6', '8'] -> (((5/8 * 8) - (7/6 + 7/6)) / 1/9)
[292742] ['1/7', '1/4', '5/3', '2', '9/2'] -> (((9/2 / (1/4 - 1/7)) - 2) / 5/3)
[292743] ['4/9', '5/6', '7/4', '7/4', '8'] -> (((7/4 + 8) - (5/6 - 7/4)) / 4/9)
[292744] ['1/9', '1/2', '7/8', '1', '9/4'] -> ((9/4 / 1/9) + ((7/8 + 1) / 1/2))
[292745] ['1/2', '5/6', '7/5', '2', '7/3'] -> ((2 / 5/6) / ((7/5 / 7/3) - 1/2))
[292746] ['2/7', '7/9', '4/3', '7/4', '9'] -> (((4/3 / 7/9) + (9 / 7/4)) / 2/7)
[292747] ['1/8', '2/7', '5/3', '7/4', '2'] -> ((2 / 1/8) / ((5/3 / 7/4) - 2/7))
[292748] ['3/7', '4/7', '5/8', '6/5', '9'] -> ((3/7 + 9) / (5/8 * (6/5 - 4/7)))
[292749] ['1/9', '1/2', '7/8', '1', '7/3'] -> (7/3 / ((1/9 / 1/2) + (7/8 - 1)))
[292750] ['1/2', '5/6', '7/5', '2', '5/2'] -> (2 / ((1/2 * 5/2) - (5/6 * 7/5)))
[292751] ['1/4', '4/5', '9/7', '7/3', '6'] -> (6 * (1/4 + (7/3 / (4/5 / 9/7))))
[292752] ['1/7', '1/3', '7/4', '7/3', '8'] -> ((8 + (1/3 - 7/3)) / (1/7 * 7/4))
[292753] ['4/9', '5/6', '7/4', '7/3', '8'] -> ((8 + (7/3 / 7/4)) / (5/6 - 4/9))
[292754] ['1/9', '1/2', '7/8', '1', '7/2'] -> ((7/2 / (1/9 * 7/8)) / (1/2 + 1))
[292755] ['2/3', '1', '5/3', '5/3', '9/2'] -> ((1 + (9/2 * (5/3 + 5/3))) / 2/3)
[292756] ['2/7', '4/7', '7/9', '1', '8/7'] -> (8/7 / ((7/9 * (1 - 4/7)) - 2/7))
[292757] ['1/8', '2/7', '5/3', '2', '9/4'] -> ((1/8 + (9/4 / 2/7)) / (2 - 5/3))
[292758] ['1/7', '1/3', '7/4', '9/2', '8'] -> (8 * ((1/7 / 1/3) + (9/2 / 7/4)))
[292759] ['4/9', '5/6', '7/4', '5/2', '8'] -> (((7/4 * 8) - (5/6 + 5/2)) / 4/9)
[292760] ['1/2', '5/6', '7/5', '2', '7/2'] -> (2 / (5/6 * (1/2 - (7/5 / 7/2))))
[292761] ['2/7', '7/9', '4/3', '9/2', '9'] -> ((9 / 2/7) - ((4/3 + 9/2) / 7/9))
[292762] ['2/3', '1', '5/3', '7/4', '9/5'] -> ((2/3 * 9/5) / ((7/4 / 5/3) - 1))
[292763] ['3/7', '4/9', '1/2', '9/7', '5'] -> ((5 + (3/7 / 9/7)) / (4/9 * 1/2))
[292764] ['3/7', '4/7', '5/8', '7/3', '9'] -> (9 / (7/3 - (5/8 + (4/7 / 3/7))))
[292765] ['1/8', '2/7', '5/3', '2', '5/2'] -> (5/2 / ((1/8 / 2/7) + (5/3 - 2)))
[292766] ['1/6', '7/9', '7/9', '3/2', '3'] -> (3 * ((3/2 / 1/6) - (7/9 / 7/9)))
[292767] ['1/2', '4/3', '9/5', '8/3', '7'] -> (((4/3 * 7) - 8/3) / (1/2 / 9/5))
[292768] ['1/7', '1/3', '9/5', '9/4', '8'] -> ((8 / (1/7 * (1/3 + 9/5))) - 9/4)
[292769] ['2/7', '4/7', '7/9', '1', '5/4'] -> ((2/7 + 4/7) / ((1 / 7/9) - 5/4))
[292770] ['7/9', '8/9', '9/4', '9/2', '7'] -> (9/2 + (9/4 * (7 + (7/9 + 8/9))))
[292771] ['1/6', '7/9', '7/9', '8/5', '3'] -> (3 / ((7/9 - 1/6) - (7/9 / 8/5)))
[292772] ['3/7', '4/7', '2/3', '7/9', '9'] -> ((7/9 + (3/7 + 4/7)) / (2/3 / 9))
[292773] ['2/7', '7/9', '7/5', '8/5', '9'] -> (8/5 / ((2/7 * 7/9) - (7/5 / 9)))
