[203896] ['3/7', '9/8', '7/6', '7/3', '6'] -> ((7/6 * 6) / ((9/8 / 3/7) - 7/3))
[203922] ['2/9', '7/9', '5/6', '9/4', '3'] -> (9/4 + ((7/9 + 5/6) / (2/9 / 3)))
[203923] ['3/4', '4/5', '7/5', '3/2', '2'] -> ((4/5 * 3/2) / (3/4 - (7/5 / 2)))
[203924] ['3/8', '3/7', '1/2', '4/3', '6'] -> (6 / (3/7 * (4/3 - (3/8 / 1/2))))
[203925] ['3/7', '1', '8/5', '7/4', '9/5'] -> ((3/7 * 8/5) / ((9/5 / 7/4) - 1))
[203926] ['1/6', '3/5', '5/3', '2', '9/4'] -> ((5/3 / (1/6 / 3/5)) / (9/4 - 2))
[203927] ['7/9', '6/7', '8/9', '9/5', '8'] -> ((8/9 + 8) * (9/5 / (7/9 * 6/7)))
[203928] ['5/6', '9/8', '9/7', '7/2', '5'] -> ((9/7 * 7/2) * (5 / (5/6 * 9/8)))
[203929] ['1/9', '5/6', '8/7', '8/7', '9'] -> (8/7 / ((1/9 * 9) - (5/6 * 8/7)))
[203930] ['3/4', '4/5', '7/5', '5/3', '2'] -> ((7/5 * 2) / (5/3 - (3/4 + 4/5)))
[203931] ['5/8', '4/5', '5/3', '5/3', '6'] -> (6 * ((4/5 * 5/3) + (5/3 / 5/8)))
[203932] ['3/8', '3/7', '1/2', '8/5', '6'] -> (6 / (3/7 - (3/8 / (1/2 + 8/5))))
[203933] ['1/5', '4/9', '5/8', '1', '9/5'] -> (9/5 / ((1/5 / 4/9) + (5/8 - 1)))
[203934] ['4/5', '6/7', '7/3', '8/3', '9'] -> ((8/3 + (4/5 / 6/7)) * (9 - 7/3))
[203935] ['3/4', '4/5', '7/5', '2', '7/3'] -> ((7/5 * 2) / (7/3 * (4/5 - 3/4)))
[203936] ['1/6', '3/5', '7/4', '7/4', '2'] -> ((7/4 + (3/5 * (7/4 + 2))) / 1/6)
[203937] ['5/8', '4/5', '5/3', '9/4', '6'] -> ((5/8 * 4/5) + (6 * (5/3 + 9/4)))
[203938] ['2/5', '5/6', '8/7', '8/5', '7'] -> (((8/5 / 2/5) - 8/7) / (5/6 / 7))
[203939] ['1/7', '1/4', '5/8', '1', '7/4'] -> ((1 + ((1/4 + 7/4) / 1/7)) / 5/8)
[203940] ['5/8', '2/3', '9/7', '9/7', '8'] -> ((9/7 + 8) / (5/8 * (9/7 - 2/3)))
[203941] ['5/6', '9/8', '4/3', '7/5', '5'] -> ((5 + (4/3 / 5/6)) / (7/5 - 9/8))
[203942] ['4/5', '6/7', '7/3', '9/2', '9'] -> ((4/5 * 7/3) * (9 + (6/7 * 9/2)))
[203943] ['3/7', '9/8', '6/5', '7/5', '6'] -> ((3/7 + 6) / (9/8 - (6/5 / 7/5)))
[203944] ['5/6', '9/8', '4/3', '3/2', '5'] -> ((5 + (4/3 * 3/2)) / (9/8 - 5/6))
[203945] ['3/8', '3/7', '1/2', '5/2', '6'] -> (((6 / 3/7) - (5/2 / 1/2)) / 3/8)
[203946] ['5/8', '4/5', '5/3', '8/3', '6'] -> (5/3 / (5/8 - (8/3 / (4/5 * 6))))
[203947] ['2/5', '5/6', '8/7', '7/4', '7'] -> ((8/7 * 7) / ((5/6 / 2/5) - 7/4))
[203948] ['1/5', '4/9', '5/8', '1', '5/2'] -> ((((5/2 / 4/9) - 5/8) / 1/5) - 1)
[203949] ['2/9', '7/9', '6/7', '7/6', '3'] -> ((7/9 + (6/7 * 7/6)) / (2/9 / 3))
[203950] ['5/8', '2/3', '9/7', '7/5', '8'] -> (((8 / 2/3) - 9/7) / (5/8 / 7/5))
[203951] ['3/8', '3/7', '1/2', '8/3', '6'] -> ((8/3 - (1/2 / 3/7)) / (3/8 / 6))
[203952] ['3/4', '4/5', '3/2', '3/2', '2'] -> (3/2 / (((2 - 3/4) / 4/5) - 3/2))
[203953] ['3/7', '9/8', '6/5', '8/5', '6'] -> (((8/5 * 6) / (3/7 / 9/8)) - 6/5)
[203954] ['3/7', '1', '8/5', '9/5', '9/5'] -> (8/5 / (((9/5 - 1) / 3/7) - 9/5))
[203955] ['1/6', '3/5', '7/4', '2', '7/2'] -> ((1/6 + (7/2 / 3/5)) / (2 - 7/4))
[203956] ['1/7', '1/4', '5/8', '1', '7/2'] -> ((7/2 / 1/7) - (5/8 / (1/4 + 1)))
[203957] ['5/6', '9/8', '4/3', '7/4', '5'] -> (5 / (5/6 * (7/4 - (9/8 * 4/3))))
[203958] ['7/9', '6/7', '9/8', '5/4', '8'] -> (8 * (9/8 + (5/4 / (7/9 * 6/7))))
[203959] ['3/4', '4/5', '3/2', '7/4', '2'] -> (3/2 / ((3/4 / 4/5) - (7/4 / 2)))
[203960] ['1/9', '5/6', '8/7', '8/5', '9'] -> (8/7 * (9 + (8/5 / (1/9 / 5/6))))
[203961] ['2/5', '5/6', '8/7', '9/4', '7'] -> ((9/4 + (7 / (5/6 * 8/7))) / 2/5)
[203962] ['3/8', '3/7', '5/9', '5/9', '6'] -> (6 * ((5/9 / (5/9 - 3/7)) - 3/8))
[203963] ['3/7', '9/8', '6/5', '5/3', '6'] -> ((9/8 * 5/3) * ((6 / 3/7) - 6/5))
[203964] ['1/5', '4/9', '5/8', '1', '9/2'] -> ((1 + (4/9 * 9/2)) / (1/5 * 5/8))
[203965] ['5/8', '4/5', '7/4', '8/3', '6'] -> (6 / ((7/4 / (5/8 * 8/3)) - 4/5))
[203966] ['2/5', '5/6', '8/7', '7/3', '7'] -> ((7 * (8/7 + 7/3)) - (2/5 * 5/6))
[203967] ['5/6', '9/8', '4/3', '9/4', '5'] -> ((4/3 * 5) * (9/4 + (9/8 / 5/6)))
[203968] ['3/8', '3/7', '5/9', '4/7', '6'] -> ((6 - (3/7 + 4/7)) / (3/8 * 5/9))
[203969] ['1/9', '5/6', '8/7', '7/4', '9'] -> (9 + ((8/7 * 7/4) / (1/9 / 5/6)))
[203970] ['3/4', '4/5', '3/2', '2', '8/3'] -> ((2 / (3/2 * (4/5 - 3/4))) - 8/3)
[203971] ['5/8', '4/5', '7/4', '9/2', '6'] -> (6 * (7/4 + (9/2 * (5/8 * 4/5))))
[203972] ['5/6', '9/8', '4/3', '7/3', '5'] -> (5 / ((5/6 + 9/8) - (7/3 / 4/3)))
[203973] ['1/6', '3/5', '2', '9/4', '9/4'] -> (((9/4 / 3/5) - (2 - 9/4)) / 1/6)
[203974] ['4/5', '6/7', '8/3', '9/2', '9'] -> ((8/3 - 4/5) * (9 + (6/7 * 9/2)))
[203975] ['5/8', '2/3', '9/7', '9/5', '8'] -> (8 / ((9/5 / 9/7) - (2/3 / 5/8)))
[203976] ['3/4', '4/5', '3/2', '2', '7/2'] -> (3/2 / (7/2 - ((3/4 + 2) / 4/5)))
[203977] ['1/7', '1/4', '2/3', '7/8', '1'] -> (1 / ((1/4 * 2/3) - (1/7 * 7/8)))
[203978] ['1/9', '5/6', '8/7', '9/5', '9'] -> ((5/6 * 8/7) * (9 + (9/5 / 1/9)))
[203979] ['5/8', '4/5', '9/5', '9/5', '6'] -> ((9/5 + 6) / ((5/8 * 9/5) - 4/5))
[203980] ['4/5', '6/7', '7/2', '7/2', '9'] -> ((4/5 * 6/7) * (7/2 + (7/2 * 9)))
[203981] ['5/6', '9/8', '4/3', '5/2', '5'] -> ((5/2 + (9/8 * 4/3)) / (5/6 / 5))
[203982] ['3/7', '1', '8/5', '9/5', '9/2'] -> (8/5 / (1 - (9/5 / (3/7 * 9/2))))
[203983] ['3/8', '3/7', '5/9', '5/8', '6'] -> (6 / ((5/8 / 5/9) - (3/8 / 3/7)))
[203984] ['1/6', '3/5', '2', '9/4', '7/3'] -> (9/4 * ((7/3 / 1/6) - (2 / 3/5)))
[203985] ['2/5', '5/6', '8/7', '7/2', '7'] -> (7/2 * ((7 / 5/6) - (2/5 + 8/7)))
[203986] ['1/9', '5/6', '8/7', '9/4', '9'] -> (((9 / (8/7 * 9/4)) - 5/6) / 1/9)
[203987] ['4/5', '6/7', '9/2', '9/2', '9'] -> (9 / ((9/2 / 4/5) - (9/2 / 6/7)))
[203988] ['5/8', '4/5', '9/5', '7/3', '6'] -> (((7/3 * 6) - (4/5 - 9/5)) / 5/8)
[203989] ['1/5', '4/9', '2/3', '7/9', '1'] -> (4/9 / (2/3 - (7/9 / (1/5 + 1))))
[203990] ['1/7', '5/7', '4/5', '7/3', '7'] -> (4/5 + (7/3 * (1/7 + (7 / 5/7))))
[203991] ['1/7', '1/4', '2/3', '1', '6/5'] -> (2/3 + ((1 / 6/5) / (1/7 * 1/4)))
[203992] ['3/7', '1', '8/5', '9/4', '5/2'] -> (8/5 / (1 - (5/2 / (3/7 + 9/4))))
[203993] ['7/9', '6/7', '9/8', '8/5', '8'] -> ((8 / (7/9 * 8/5)) / (9/8 - 6/7))
[203994] ['1/5', '4/9', '2/3', '4/5', '1'] -> (4/5 / (1 - ((1/5 + 4/9) / 2/3)))
[203995] ['4/5', '7/8', '7/8', '7/8', '9'] -> (9 / ((7/8 / (4/5 * 7/8)) - 7/8))
[203996] ['2/5', '5/6', '7/6', '7/6', '7'] -> ((7 + (7/6 / 7/6)) / (2/5 * 5/6))
[203997] ['1/6', '3/5', '2', '9/4', '8/3'] -> (2 / ((3/5 * (8/3 - 9/4)) - 1/6))
[203998] ['5/8', '2/3', '9/7', '8/3', '8'] -> ((2/3 + (5/8 * 8/3)) * (9/7 * 8))
[203999] ['1/9', '5/6', '8/7', '5/2', '9'] -> (8/7 * (((5/6 + 5/2) / 1/9) - 9))
[204000] ['3/7', '1', '8/5', '9/4', '8/3'] -> (8/5 * (1 + (8/3 / (3/7 / 9/4))))
[204001] ['5/8', '4/5', '9/4', '9/4', '6'] -> (6 * ((9/4 + 9/4) - (5/8 * 4/5)))
[204002] ['5/6', '9/8', '7/5', '8/5', '5'] -> (5 / (5/6 * (9/8 - (7/5 / 8/5))))
[204003] ['3/7', '9/8', '6/5', '8/3', '6'] -> ((3/7 + 6) * (8/3 + (6/5 / 9/8)))
[204004] ['5/6', '9/8', '7/5', '5/3', '5'] -> ((7/5 * 5) / ((5/6 + 9/8) - 5/3))
[204005] ['3/4', '4/5', '5/3', '5/3', '2'] -> (2 / ((4/5 * 5/3) - (3/4 * 5/3)))
[204006] ['5/8', '4/5', '9/4', '8/3', '6'] -> ((6 + (9/4 * 8/3)) / (5/8 * 4/5))
[204007] ['1/6', '3/5', '2', '9/4', '9/2'] -> (9/4 * (((2 + 9/2) / 3/5) - 1/6))
[204008] ['3/7', '1', '8/5', '9/4', '7/2'] -> (3/7 / ((9/4 / 7/2) - (1 / 8/5)))
[204009] ['2/5', '5/6', '7/6', '5/4', '7'] -> (5/4 + (7 * (7/6 + (5/6 / 2/5))))
[204010] ['1/9', '5/6', '8/7', '9/2', '9'] -> (8/7 * ((5/6 / 1/9) + (9/2 + 9)))
[204011] ['3/7', '9/8', '6/5', '7/2', '6'] -> ((7/2 * (3/7 + 6)) / (9/8 / 6/5))
[204012] ['5/6', '9/8', '7/5', '7/4', '5'] -> (7/5 / ((5/6 - 9/8) + (7/4 / 5)))
[204013] ['3/7', '1', '8/5', '9/4', '9/2'] -> ((9/2 / (8/5 - (3/7 + 1))) - 9/4)
[204014] ['2/9', '7/9', '6/7', '5/2', '3'] -> ((5/2 + (3 / 2/9)) / (7/9 * 6/7))
[204015] ['1/5', '4/9', '2/3', '7/8', '1'] -> (1 / (1/5 * (7/8 - (4/9 / 2/3))))
[204016] ['1/9', '5/6', '7/6', '7/6', '9'] -> ((7/6 - (1/9 - 7/6)) / (5/6 / 9))
[204017] ['3/8', '3/7', '5/9', '8/9', '6'] -> (6 / ((3/8 / 3/7) - (5/9 / 8/9)))
[204018] ['4/5', '7/8', '7/8', '8/7', '9'] -> (9 / ((8/7 / (4/5 / 7/8)) - 7/8))
[204019] ['5/6', '9/8', '7/5', '9/5', '5'] -> (5 / ((5/6 + 7/5) - (9/8 * 9/5)))
[204020] ['5/8', '4/5', '7/3', '5/2', '6'] -> (((6 / (4/5 / 7/3)) - 5/2) / 5/8)
[204021] ['1/7', '1/4', '2/3', '1', '9/5'] -> (2/3 / (1 - (1/4 / (1/7 * 9/5))))
[204022] ['1/6', '3/5', '2', '7/3', '7/2'] -> (((2 / 3/5) + (7/3 / 7/2)) / 1/6)
[204023] ['3/8', '3/7', '5/9', '9/8', '6'] -> (6 / ((3/8 / 3/7) - (5/9 * 9/8)))
[204024] ['3/7', '1', '8/5', '7/3', '5/2'] -> ((8/5 / 7/3) / (3/7 - (1 / 5/2)))
[204025] ['4/5', '7/8', '7/8', '6/5', '9'] -> (9 / ((4/5 * 7/8) + (7/8 - 6/5)))
[204026] ['7/9', '6/7', '9/8', '7/3', '8'] -> ((6/7 * 9/8) * (8 * (7/9 + 7/3)))
[204027] ['1/9', '5/6', '7/6', '9/7', '9'] -> (9/7 * ((7/6 / 1/9) - (5/6 - 9)))
[204028] ['2/9', '7/9', '7/8', '7/8', '3'] -> ((7/9 + (7/8 / 7/8)) / (2/9 / 3))
[204029] ['1/6', '3/5', '2', '5/2', '5/2'] -> (((5/2 * (3/5 + 2)) - 5/2) / 1/6)
[204030] ['3/4', '4/5', '5/3', '2', '7/3'] -> (2 / (((7/3 - 5/3) / 4/5) - 3/4))
[204031] ['3/8', '3/7', '5/9', '7/6', '6'] -> (6 / (3/7 - ((3/8 * 5/9) / 7/6)))
[204032] ['1/6', '3/5', '2', '5/2', '8/3'] -> ((8/3 + (2 / (3/5 * 5/2))) / 1/6)
[204033] ['5/8', '4/5', '8/3', '8/3', '6'] -> (6 * (8/3 + (8/3 * (5/8 * 4/5))))
[204034] ['2/5', '5/6', '7/6', '8/5', '7'] -> (8/5 + ((7/6 + (7 / 2/5)) / 5/6))
[204035] ['3/7', '1', '8/5', '7/3', '7/2'] -> (1 / ((3/7 * 7/2) - (7/3 / 8/5)))
[204036] ['1/7', '1/4', '5/7', '7/9', '1'] -> ((5/7 + (1 / 1/7)) / (1/4 / 7/9))
[204037] ['2/9', '7/9', '7/8', '9/8', '3'] -> (2/9 / ((7/9 / 3) + (7/8 - 9/8)))
[204038] ['1/5', '4/9', '2/3', '1', '6/5'] -> (6/5 / (((2/3 - 1/5) / 4/9) - 1))
[204039] ['1/9', '5/6', '7/6', '8/5', '9'] -> ((5/6 + (7/6 * 8/5)) * (9 - 1/9))
[204040] ['5/8', '4/5', '8/3', '7/2', '6'] -> (8/3 * ((7/2 + 6) - (5/8 * 4/5)))
[204041] ['4/5', '7/8', '7/8', '4/3', '9'] -> (9 * ((7/8 / 7/8) + (4/3 / 4/5)))
[204042] ['3/7', '1', '8/5', '7/3', '9/2'] -> ((8/5 * 7/3) * (9/2 * (3/7 + 1)))
[204043] ['5/6', '9/8', '3/2', '3/2', '5'] -> ((5 / (5/6 / 3/2)) / (3/2 - 9/8))
[204044] ['3/7', '9/8', '5/4', '3/2', '6'] -> (9/8 + (3/2 * (5/4 + (6 / 3/7))))
[204045] ['1/6', '3/5', '2', '8/3', '8/3'] -> ((8/3 / 1/6) / ((2 / 3/5) - 8/3))
[204046] ['1/5', '4/9', '2/3', '1', '5/4'] -> (2/3 / ((1 + 5/4) - (4/9 / 1/5)))
[204047] ['1/7', '1/4', '5/7', '8/9', '1'] -> ((1 + (5/7 / 1/4)) / (1/7 / 8/9))
[204048] ['4/5', '7/8', '7/8', '7/5', '9'] -> (9 / (7/8 - ((4/5 * 7/8) / 7/5)))
[204049] ['3/7', '1', '8/5', '5/2', '5/2'] -> ((8/5 * 5/2) / (5/2 - (1 / 3/7)))
[204050] ['1/7', '5/7', '5/6', '8/5', '7'] -> (5/7 / ((5/6 / 7) - (1/7 / 8/5)))
[204051] ['3/4', '4/5', '7/4', '2', '9/4'] -> ((3/4 * 2) / (9/4 - (7/4 / 4/5)))
[204052] ['2/9', '7/9', '7/8', '5/4', '3'] -> (3 / ((2/9 + 7/8) - (7/9 * 5/4)))
[204053] ['7/9', '6/7', '8/7', '8/7', '8'] -> (8 / ((8/7 / 8/7) - (7/9 * 6/7)))
[204054] ['5/8', '2/3', '7/5', '5/2', '8'] -> ((7/5 + (5/8 * 8)) / (2/3 / 5/2))
[204055] ['5/6', '9/8', '3/2', '7/4', '5'] -> (5 / (((5/6 + 3/2) / 7/4) - 9/8))
[204056] ['1/5', '4/9', '2/3', '1', '4/3'] -> ((1 + (4/3 / (1/5 * 4/9))) / 2/3)
[204057] ['2/5', '5/6', '7/6', '9/4', '7'] -> ((7 * (5/6 + (7/6 / 2/5))) - 9/4)
[204058] ['2/9', '7/9', '7/8', '4/3', '3'] -> (3 / (7/8 - ((2/9 + 7/9) / 4/3)))
[204059] ['1/6', '3/5', '2', '7/2', '7/2'] -> (3/5 * (((7/2 + 7/2) / 1/6) - 2))
[204060] ['5/8', '5/6', '5/6', '9/8', '6'] -> ((5/6 * 6) / ((5/6 / 5/8) - 9/8))
[204061] ['5/8', '2/3', '7/5', '7/2', '8'] -> ((2/3 + 7/2) * (8 - (7/5 / 5/8)))
[204062] ['2/5', '5/6', '7/6', '5/2', '7'] -> ((7 + (2/5 * 5/2)) / (7/6 - 5/6))
[204063] ['1/6', '3/5', '2', '7/2', '9/2'] -> (((9/2 + (2 / 1/6)) / 3/5) - 7/2)
[204064] ['5/8', '5/6', '5/6', '8/7', '6'] -> (6 / (((5/6 / 5/6) / 8/7) - 5/8))
[204065] ['2/9', '7/9', '7/8', '3/2', '3'] -> (3/2 / ((7/8 / (2/9 / 7/9)) - 3))
[204066] ['4/5', '7/8', '7/8', '9/5', '9'] -> ((4/5 - 7/8) + (9 * (7/8 + 9/5)))
[204067] ['5/8', '2/3', '7/5', '9/2', '8'] -> ((9/2 / 5/8) + (8 / (2/3 / 7/5)))
[204068] ['5/8', '5/6', '5/6', '7/6', '6'] -> ((6 / (5/8 / 5/6)) / (7/6 - 5/6))
[204069] ['4/5', '7/8', '7/8', '9/4', '9'] -> (((9/4 / (7/8 - 4/5)) - 9) / 7/8)
[204070] ['3/8', '3/7', '5/9', '5/3', '6'] -> ((5/3 + 6) / ((3/8 / 3/7) - 5/9))
[204071] ['1/5', '4/9', '2/3', '1', '5/3'] -> ((((2/3 + 5/3) / 1/5) - 1) / 4/9)
[204072] ['1/6', '5/8', '5/8', '2/3', '2'] -> (((5/8 / 5/8) + (2 / 2/3)) / 1/6)
[204073] ['7/9', '6/7', '8/7', '3/2', '8'] -> ((8 / (7/9 * 3/2)) / (8/7 - 6/7))
[204074] ['3/7', '9/8', '5/4', '7/3', '6'] -> ((3/7 + (6 / 7/3)) / (5/4 - 9/8))
[204075] ['5/8', '5/6', '5/6', '9/7', '6'] -> (6 / (5/6 - ((5/8 / 5/6) / 9/7)))
[204076] ['1/6', '5/8', '5/8', '5/7', '2'] -> (2 / ((5/8 / 5/7) - (1/6 + 5/8)))
[204077] ['4/5', '7/8', '7/8', '7/3', '9'] -> ((4/5 * 9) * (7/3 + (7/8 / 7/8)))
[204078] ['2/5', '5/6', '6/5', '9/7', '7'] -> (((7 / (5/6 / 9/7)) - 6/5) / 2/5)
[204079] ['3/7', '1', '8/5', '7/2', '7/2'] -> (7/2 / ((1 / 3/7) - (7/2 / 8/5)))
[204080] ['2/9', '7/9', '7/8', '9/5', '3'] -> (3 / ((9/5 * (7/9 - 2/9)) - 7/8))
[204081] ['1/6', '5/8', '5/8', '7/9', '2'] -> ((5/8 + ((5/8 + 2) / 7/9)) / 1/6)
[204082] ['5/6', '9/8', '8/5', '8/5', '5'] -> (5 / (8/5 * (5/6 - (9/8 / 8/5))))
[204083] ['5/8', '5/6', '5/6', '7/5', '6'] -> (6 / (5/8 * (7/5 - (5/6 / 5/6))))
[204084] ['1/5', '4/9', '2/3', '1', '7/3'] -> ((7/3 + ((2/3 + 1) / 1/5)) / 4/9)
[204085] ['2/5', '5/6', '6/5', '3/2', '7'] -> (6/5 + ((3/2 + (7 / 2/5)) / 5/6))
[204086] ['1/6', '5/8', '5/8', '4/5', '2'] -> ((2 + (5/8 * 4/5)) / (1/6 * 5/8))
[204087] ['3/7', '9/8', '9/7', '9/7', '6'] -> ((9/7 + (3/7 * 6)) / (9/7 - 9/8))
[204088] ['5/8', '2/3', '8/5', '5/2', '8'] -> ((2/3 * 5/2) * (8/5 + (8 / 5/8)))
[204089] ['5/6', '9/8', '8/5', '7/4', '5'] -> ((8/5 * 5) / ((5/6 * 7/4) - 9/8))
[204090] ['3/4', '4/5', '2', '9/4', '8/3'] -> ((8/3 / 4/5) / ((2 / 9/4) - 3/4))
[204091] ['5/8', '2/3', '8/5', '7/2', '8'] -> ((2/3 * 8) * (7/2 + (5/8 * 8/5)))
[204092] ['2/5', '5/6', '6/5', '7/4', '7'] -> (7 / (((7/4 - 2/5) / 6/5) - 5/6))
[204093] ['4/5', '7/8', '8/9', '8/9', '9'] -> (9 / ((8/9 / (4/5 * 8/9)) - 7/8))
[204094] ['3/8', '3/7', '5/9', '8/3', '6'] -> (6 / (3/7 * (3/8 + (5/9 / 8/3))))
[204095] ['3/7', '9/8', '9/7', '5/3', '6'] -> ((3/7 + 6) / (5/3 * (9/7 - 9/8)))
[204096] ['1/9', '5/6', '5/4', '9/5', '9'] -> ((9/5 / (5/6 / 5/4)) * (9 - 1/9))
[204097] ['1/7', '1/4', '3/4', '5/6', '1'] -> (((3/4 / (1/7 * 1/4)) - 1) / 5/6)
[204098] ['2/9', '7/9', '8/9', '6/5', '3'] -> (8/9 / (2/9 - (7/9 / (6/5 + 3))))
[204099] ['5/8', '5/6', '5/6', '9/4', '6'] -> (6 * (9/4 + ((5/8 + 5/6) / 5/6)))
[204100] ['1/7', '1/4', '3/4', '6/7', '1'] -> ((1 + (3/4 / 1/4)) / (1/7 / 6/7))
[204101] ['2/9', '7/9', '8/9', '5/4', '3'] -> (3 / (5/4 - ((2/9 + 7/9) / 8/9)))
[204102] ['5/6', '9/8', '8/5', '8/3', '5'] -> (5 / (8/3 - (9/8 + (5/6 * 8/5))))
[204103] ['3/4', '4/5', '2', '7/3', '5/2'] -> (4/5 / (7/3 - (2 + (3/4 / 5/2))))
[204104] ['4/5', '7/8', '8/9', '9/8', '9'] -> (9 / ((9/8 / (4/5 / 8/9)) - 7/8))
[204105] ['5/8', '5/6', '5/6', '7/3', '6'] -> (((5/6 / 5/6) + (7/3 * 6)) / 5/8)
[204106] ['5/8', '2/3', '7/4', '9/5', '8'] -> (8 / ((7/4 / 5/8) - (2/3 + 9/5)))
[204107] ['1/7', '5/7', '6/7', '9/5', '7'] -> ((((5/7 + 7) / 9/5) - 6/7) / 1/7)
[204108] ['1/6', '5/8', '5/8', '9/8', '2'] -> ((2 - (5/8 - 9/8)) / (1/6 * 5/8))
[204109] ['1/9', '5/6', '9/7', '9/7', '9'] -> (((9 / (9/7 + 9/7)) - 5/6) / 1/9)
[204110] ['3/8', '3/7', '4/7', '4/7', '6'] -> (((6 / 4/7) - (3/8 * 4/7)) / 3/7)
[204111] ['3/7', '1', '5/3', '5/3', '9/2'] -> ((9/2 * (5/3 + (5/3 / 3/7))) - 1)
[204112] ['5/8', '5/6', '6/7', '7/8', '6'] -> (((5/8 / 7/8) / (6/7 - 5/6)) - 6)
[204113] ['3/4', '4/5', '2', '7/3', '7/2'] -> (2 / ((7/3 / (4/5 * 7/2)) - 3/4))
[204114] ['1/7', '1/4', '3/4', '1', '7/6'] -> ((1 + (3/4 / 1/4)) / (1/7 * 7/6))
[204115] ['1/6', '5/8', '5/8', '7/6', '2'] -> (2 / ((1/6 - 5/8) - (5/8 - 7/6)))
[204116] ['2/5', '5/6', '5/4', '9/7', '7'] -> ((5/4 / 5/6) + (7 / (2/5 / 9/7)))
[204117] ['7/9', '6/7', '7/6', '9/5', '8'] -> ((6/7 * 9/5) * (8 * (7/9 + 7/6)))
[204118] ['1/9', '5/6', '9/7', '7/5', '9'] -> ((5/6 * 7/5) * (9 + (9/7 / 1/9)))
[204119] ['3/4', '4/5', '2', '7/3', '9/2'] -> (9/2 / ((7/3 * (3/4 / 4/5)) - 2))
[204120] ['5/6', '9/8', '5/3', '9/4', '5'] -> ((5/3 + 5) * (9/4 + (9/8 / 5/6)))
[204121] ['3/8', '3/7', '4/7', '7/9', '6'] -> ((6 + (3/7 + 4/7)) / (3/8 * 7/9))
[204122] ['1/7', '1/4', '3/4', '1', '6/5'] -> (6/5 * ((3/4 / (1/7 * 1/4)) - 1))
[204123] ['1/7', '5/7', '6/7', '8/3', '7'] -> ((8/3 + (5/7 / 6/7)) * (7 - 1/7))
[204124] ['2/9', '7/9', '8/9', '7/4', '3'] -> (((7/9 + 3) + (8/9 * 7/4)) / 2/9)
