5数24点(4整数[1-9]+1分数)唯一解报告
----------------------------------------
[1] ['1', '2', '4', '5', '7/9'] -> (((2 + 7/9) * (4 + 5)) - 1)
[92] ['1', '6', '6', '6', '8/3'] -> ((((8/3 - 1) * 6) - 6) * 6)
[93] ['1', '1', '1', '1', '7/8'] -> (((1 + 1) + 1) / (1 - 7/8))
[94] ['1', '1', '1', '1', '9/8'] -> (((1 + 1) + 1) / (9/8 - 1))
[95] ['1', '1', '1', '2', '1/9'] -> (((1 / 1/9) - 1) * (1 + 2))
[96] ['1', '1', '1', '2', '1/7'] -> (((1 / 1/7) + 1) * (1 + 2))
[97] ['1', '1', '1', '2', '3/8'] -> (1 / (3/8 - (1 / (1 + 2))))
[98] ['1', '1', '1', '2', '8/9'] -> ((1 + 2) / ((1 / 8/9) - 1))
[99] ['1', '1', '1', '2', '8/7'] -> ((1 + 2) / (1 - (1 / 8/7)))
[100] ['1', '1', '1', '3', '2/9'] -> ((((1 + 1) / 2/9) - 1) * 3)
[101] ['1', '1', '1', '3', '2/7'] -> ((((1 + 1) / 2/7) + 1) * 3)
[102] ['1', '1', '1', '3', '6/5'] -> ((1 + 3) / (1 - (1 / 6/5)))
[103] ['1', '1', '1', '3', '7/4'] -> (3 / (1 - (7/4 / (1 + 1))))
[104] ['1', '1', '1', '3', '9/4'] -> (3 / ((9/4 / (1 + 1)) - 1))
[105] ['1', '1', '1', '3', '7/2'] -> ((((1 + 1) * 7/2) + 1) * 3)
[106] ['1', '1', '1', '3', '9/2'] -> ((((1 + 1) * 9/2) - 1) * 3)
[107] ['1', '1', '1', '4', '2/7'] -> ((((1 + 1) / 2/7) - 1) * 4)
[108] ['1', '1', '1', '4', '2/5'] -> ((((1 + 1) / 2/5) + 1) * 4)
[109] ['1', '1', '1', '4', '5/3'] -> (4 / (1 - (5/3 / (1 + 1))))
[110] ['1', '1', '1', '4', '7/3'] -> (4 / ((7/3 / (1 + 1)) - 1))
[111] ['1', '1', '1', '4', '5/2'] -> ((((1 + 1) * 5/2) + 1) * 4)
[112] ['1', '1', '1', '4', '8/3'] -> ((((1 + 1) * 4) + 1) * 8/3)
[113] ['1', '1', '1', '4', '7/2'] -> ((((1 + 1) * 7/2) - 1) * 4)
[114] ['1', '1', '1', '5', '3/8'] -> ((((1 + 1) * 5) - 1) / 3/8)
[115] ['2', '2', '3', '4', '5/7'] -> (((2 * 5/7) + 2) * (3 + 4))
[116] ['2', '2', '3', '4', '8/7'] -> (((2 + 8/7) * (3 + 4)) + 2)
[117] ['2', '2', '3', '5', '7/9'] -> ((((2 + 5) / 7/9) + 3) * 2)
[118] ['2', '2', '3', '5', '8/7'] -> (2 / ((2 / 8/7) - (5 / 3)))
[119] ['2', '2', '3', '6', '7/5'] -> (((6 / (2 - 7/5)) - 2) * 3)
[120] ['2', '2', '3', '7', '8/9'] -> (2 / ((7 / 3) - (2 / 8/9)))
[121] ['2', '2', '3', '9', '5/7'] -> (((3 + 5/7) * (9 - 2)) - 2)
[122] ['2', '2', '3', '9', '7/5'] -> (((9 / (2 - 7/5)) - 3) * 2)
[123] ['2', '2', '4', '4', '8/9'] -> ((((4 / 8/9) + 2) * 4) - 2)
[124] ['2', '2', '4', '4', '9/8'] -> ((((4 * 9/8) + 2) * 4) - 2)
[125] ['2', '2', '4', '4', '9/5'] -> (((2 / (2 - 9/5)) - 4) * 4)
[126] ['1', '1', '2', '2', '2/9'] -> (((2 / 2/9) - 1) * (1 + 2))
[127] ['1', '1', '2', '2', '2/7'] -> (((2 / 2/7) + 1) * (1 + 2))
[128] ['1', '1', '2', '2', '7/4'] -> ((1 + 2) / (1 - (7/4 / 2)))
[129] ['1', '1', '2', '2', '9/4'] -> ((1 + 2) / ((9/4 / 2) - 1))
[130] ['1', '1', '2', '2', '7/2'] -> (((2 * 7/2) + 1) * (1 + 2))
[131] ['1', '1', '2', '3', '2/5'] -> (((2 / 2/5) + 1) * (1 + 3))
[132] ['1', '1', '2', '3', '6/5'] -> (((2 + 3) / (6/5 - 1)) - 1)
[133] ['1', '1', '2', '4', '4/9'] -> (((4 / 4/9) - 1) * (1 + 2))
[134] ['1', '1', '2', '4', '4/7'] -> (((4 / 4/7) + 1) * (1 + 2))
[135] ['1', '1', '2', '4', '8/7'] -> (4 / ((1 / (2 - 8/7)) - 1))
[136] ['1', '1', '2', '4', '9/7'] -> (((2 / (9/7 - 1)) - 1) * 4)
[137] ['1', '1', '2', '5', '4/9'] -> ((1 + 5) / ((1 / 4/9) - 2))
[138] ['1', '1', '2', '5', '4/7'] -> ((1 + 5) / (2 - (1 / 4/7)))
[139] ['1', '6', '7', '7', '1/9'] -> ((((7 / 7) + 1) / 1/9) + 6)
[140] ['1', '6', '7', '7', '6/7'] -> ((((6 - 1) * 7) - 7) * 6/7)
[141] ['1', '6', '7', '7', '7/6'] -> ((((6 - 1) * 7) - 7) / 7/6)
[142] ['1', '6', '7', '8', '2/5'] -> (((6 / (1 - 2/5)) - 7) * 8)
[143] ['2', '2', '5', '8', '7/9'] -> (8 / (((5 - 2) * 7/9) - 2))
[144] ['2', '2', '5', '8', '9/7'] -> (8 / (((5 - 2) / 9/7) - 2))
[145] ['2', '2', '5', '9', '4/7'] -> ((2 - (4/7 / 2)) * (5 + 9))
[146] ['2', '2', '2', '6', '8/5'] -> (6 / ((2 / 8/5) - (2 / 2)))
[147] ['2', '2', '2', '7', '4/9'] -> (((2 + 4/9) * (2 + 7)) + 2)
[148] ['2', '2', '2', '7', '7/9'] -> ((((7 / 7/9) + 2) * 2) + 2)
[149] ['2', '2', '2', '7', '8/9'] -> (((2 + 7) * (2 + 8/9)) - 2)
[150] ['2', '2', '2', '7', '7/6'] -> ((((2 / 7/6) + 2) * 7) - 2)
[151] ['2', '2', '2', '8', '5/7'] -> ((((2 + 8) / 5/7) - 2) * 2)
[152] ['2', '2', '2', '9', '5/7'] -> (((2 * 5/7) + 2) * (9 - 2))
[153] ['2', '2', '2', '9', '4/5'] -> (((2 * 9) + 2) * (2 - 4/5))
[154] ['2', '2', '2', '9', '7/5'] -> (((2 / 7/5) + 2) * (9 - 2))
[155] ['2', '2', '3', '3', '5/9'] -> ((((2 + 3) / 5/9) + 3) * 2)
[156] ['2', '2', '3', '3', '7/5'] -> (((2 + 3) * (3 + 7/5)) + 2)
[157] ['2', '2', '4', '8', '9/7'] -> ((8 / (9/7 - (2 / 2))) - 4)
[158] ['2', '2', '5', '5', '3/4'] -> ((((5 + 5) * 2) - 2) / 3/4)
[159] ['2', '2', '5', '5', '4/3'] -> ((((5 + 5) * 2) - 2) * 4/3)
[160] ['2', '2', '7', '7', '5/4'] -> ((((7 + 7) * 2) + 2) / 5/4)
[161] ['2', '2', '8', '9', '5/7'] -> ((((9 - 2) * 5/7) - 2) * 8)
[162] ['2', '2', '8', '9', '7/5'] -> ((((9 - 2) / 7/5) - 2) * 8)
[163] ['2', '2', '2', '3', '5/7'] -> (((2 / 5/7) + 2) * (2 + 3))
[164] ['2', '2', '2', '3', '7/5'] -> (((2 * 7/5) + 2) * (2 + 3))
[165] ['2', '2', '2', '3', '9/5'] -> (((2 / (2 - 9/5)) - 2) * 3)
[166] ['2', '2', '2', '4', '3/8'] -> (((2 * 4) + (2 / 2)) / 3/8)
[167] ['2', '2', '2', '4', '3/7'] -> ((((2 + 4) / 3/7) - 2) * 2)
[168] ['2', '2', '2', '4', '3/5'] -> ((((2 + 4) / 3/5) + 2) * 2)
[169] ['2', '2', '2', '4', '7/8'] -> ((2 + 4) / (2 - (2 * 7/8)))
[170] ['2', '2', '2', '4', '8/9'] -> ((2 + 4) / ((2 / 8/9) - 2))
[171] ['2', '2', '2', '4', '9/8'] -> ((2 + 4) / ((2 * 9/8) - 2))
[172] ['2', '2', '2', '4', '8/7'] -> ((2 + 4) / (2 - (2 / 8/7)))
[173] ['2', '2', '2', '5', '5/9'] -> ((((5 / 5/9) + 2) * 2) + 2)
[174] ['2', '2', '2', '5', '8/7'] -> (((2 + 5) * (2 + 8/7)) + 2)
[175] ['2', '2', '2', '6', '5/8'] -> (6 / ((2 * 5/8) - (2 / 2)))
[176] ['2', '2', '6', '6', '7/8'] -> (6 / (6 - ((2 + 7/8) * 2)))
[177] ['2', '2', '6', '8', '7/5'] -> ((((6 + 8) / 7/5) + 2) * 2)
[178] ['2', '2', '6', '9', '5/7'] -> (((6 / (2 - 5/7)) - 2) * 9)
[179] ['2', '2', '7', '7', '5/9'] -> ((((2 + 7) * 5/9) + 7) * 2)
[180] ['2', '2', '7', '7', '4/5'] -> ((((7 + 7) * 2) + 2) * 4/5)
[181] ['2', '2', '7', '7', '9/8'] -> (((2 * 7) + 7) / (2 - 9/8))
[182] ['1', '6', '8', '8', '5/7'] -> ((8 - ((1 + 6) * 5/7)) * 8)
[183] ['1', '7', '7', '7', '1/7'] -> (((7 + 7) + 7) * (1 + 1/7))
[184] ['1', '7', '7', '7', '7/6'] -> (7 / (7/6 - (7 / (1 + 7))))
[185] ['1', '7', '7', '8', '4/9'] -> (((7 - 1) * 7) - (8 / 4/9))
[186] ['2', '3', '6', '6', '5/7'] -> ((6 / (3 - (2 / 5/7))) - 6)
[187] ['1', '5', '5', '7', '2/9'] -> ((5 + 7) / (5 - (1 / 2/9)))
[188] ['1', '5', '5', '7', '7/9'] -> (((7 / 7/9) - 5) * (1 + 5))
[189] ['1', '5', '5', '8', '7/9'] -> (8 / (5 - ((1 + 5) * 7/9)))
[190] ['1', '5', '5', '8', '9/7'] -> (8 / (5 - ((1 + 5) / 9/7)))
[191] ['2', '3', '5', '5', '6/7'] -> ((((5 + 5) * 3) - 2) * 6/7)
[192] ['2', '3', '7', '7', '8/9'] -> ((((3 + 7) * 2) + 7) * 8/9)
[193] ['1', '7', '7', '8', '6/7'] -> (7 / ((1 / 6/7) - (7 / 8)))
[194] ['1', '7', '7', '9', '5/6'] -> (7 / ((9 / (1 + 7)) - 5/6))
[195] ['1', '7', '7', '9', '6/7'] -> ((1 + 7) * (9 - (6/7 * 7)))
[196] ['1', '7', '8', '8', '3/5'] -> ((((7 - 1) * 8) - 8) * 3/5)
[197] ['1', '7', '8', '8', '9/5'] -> (((8 / (9/5 - 1)) - 7) * 8)
[198] ['1', '7', '9', '9', '4/7'] -> (((9 / 7) + 9) / (1 - 4/7))
[199] ['2', '4', '4', '5', '5/9'] -> ((((5 / 5/9) - 2) * 4) - 4)
[200] ['2', '2', '9', '9', '7/8'] -> (((2 * 9) + 9) / (2 - 7/8))
[201] ['2', '2', '9', '9', '5/4'] -> (2 / ((2 / 9) - (5/4 / 9)))
[202] ['2', '2', '9', '9', '9/7'] -> ((((9 + 9) / 9/7) - 2) * 2)
[203] ['2', '2', '9', '9', '7/4'] -> ((9 + 9) / (7/4 - (2 / 2)))
[204] ['2', '3', '3', '3', '7/9'] -> ((3 / (7/9 - (2 / 3))) - 3)
[205] ['2', '3', '3', '4', '5/7'] -> (((3 + 4) * (3 + 5/7)) - 2)
[206] ['2', '3', '3', '4', '7/5'] -> (((2 + 3) * (4 + 7/5)) - 3)
[207] ['2', '3', '3', '5', '4/9'] -> (((3 + 5) / 4/9) + (2 * 3))
[208] ['1', '8', '8', '8', '3/5'] -> ((8 - (8 / (1 + 3/5))) * 8)
[209] ['1', '8', '8', '8', '9/5'] -> ((8 - ((1 + 8) / 9/5)) * 8)
[210] ['1', '8', '8', '9', '6/5'] -> (8 / (((1 + 9) / 6/5) - 8))
[211] ['1', '9', '9', '9', '1/9'] -> (((9 + 9) + 9) * (1 - 1/9))
[212] ['1', '9', '9', '9', '1/5'] -> (((9 + 9) / (1 + 1/5)) + 9)
[213] ['1', '9', '9', '9', '9/4'] -> ((9 + 9) / (1 - (9/4 / 9)))
[214] ['2', '2', '2', '2', '2/9'] -> ((((2 / 2/9) + 2) * 2) + 2)
[215] ['2', '4', '4', '8', '5/7'] -> ((((2 * 8) + 4) / 5/7) - 4)
[216] ['2', '4', '6', '6', '9/7'] -> ((((2 * 4) + 6) * 9/7) + 6)
[217] ['2', '6', '6', '6', '7/5'] -> (((6 / (2 - 7/5)) - 6) * 6)
[218] ['2', '4', '5', '5', '7/9'] -> ((((4 + 5) * 7/9) + 5) * 2)
[219] ['2', '4', '5', '8', '7/9'] -> (8 / (5 - ((2 + 4) * 7/9)))
[220] ['3', '3', '3', '5', '3/7'] -> (((3 * 5) - (3 / 3/7)) * 3)
[221] ['3', '3', '3', '5', '6/7'] -> ((((3 * 5) + 3) / 6/7) + 3)
[222] ['3', '3', '3', '5', '7/6'] -> ((((3 * 5) + 3) * 7/6) + 3)
[223] ['3', '3', '3', '7', '7/9'] -> (((7 / 7/9) - (3 / 3)) * 3)
[224] ['2', '5', '6', '8', '7/9'] -> ((((2 + 5) / 7/9) - 6) * 8)
[225] ['2', '5', '7', '7', '9/4'] -> (((7 / 7) + 5) / (9/4 - 2))
[226] ['2', '5', '8', '8', '3/7'] -> (((2 * 8) + (5 * 8)) * 3/7)
[227] ['3', '3', '3', '9', '7/4'] -> (((3 * 9) + 3) / (3 - 7/4))
[228] ['2', '4', '7', '7', '5/9'] -> (((2 + 7) * (4 - 5/9)) - 7)
[229] ['3', '3', '5', '5', '4/9'] -> ((((3 * 4/9) + 5) * 3) + 5)
[230] ['3', '3', '5', '5', '9/7'] -> (((3 / 5) + 5) * (3 + 9/7))
[231] ['3', '3', '5', '5', '9/4'] -> ((((3 / 9/4) + 5) * 3) + 5)
[232] ['3', '4', '4', '4', '3/5'] -> (((3 / 3/5) + (4 / 4)) * 4)
[233] ['3', '4', '4', '4', '7/9'] -> ((4 / (4 - (3 / 7/9))) - 4)
[234] ['3', '4', '4', '4', '9/7'] -> ((4 / (4 - (3 * 9/7))) - 4)
[235] ['2', '5', '5', '7', '8/9'] -> ((((5 + 5) * 2) + 7) * 8/9)
[236] ['2', '5', '5', '7', '9/8'] -> ((((5 + 5) * 2) + 7) / 9/8)
[237] ['2', '5', '5', '8', '6/7'] -> ((((5 + 5) * 2) + 8) * 6/7)
[238] ['2', '5', '6', '6', '7/9'] -> ((2 + 6) / (5 - (6 * 7/9)))
[239] ['2', '5', '6', '6', '9/7'] -> ((2 + 6) / (5 - (6 / 9/7)))
[240] ['3', '3', '6', '8', '7/5'] -> ((((8 - 3) * 7/5) - 3) * 6)
[241] ['3', '3', '7', '7', '8/9'] -> ((3 / ((7 / 7) - 8/9)) - 3)
[242] ['3', '3', '7', '7', '9/8'] -> (7 / (3 - ((7 + 9/8) / 3)))
[243] ['2', '4', '8', '9', '5/7'] -> (((9 / (2 - 5/7)) - 4) * 8)
[244] ['2', '5', '5', '5', '3/8'] -> (((2 * 5) - (5 / 5)) / 3/8)
[245] ['2', '5', '5', '5', '7/4'] -> (((5 / 5) + 5) / (2 - 7/4))
[246] ['2', '5', '5', '5', '9/4'] -> (((5 / 5) + 5) / (9/4 - 2))
[247] ['2', '5', '5', '5', '8/3'] -> (((2 * 5) - (5 / 5)) * 8/3)
[248] ['2', '5', '5', '6', '7/9'] -> ((((2 + 5) / 7/9) - 5) * 6)
[249] ['2', '5', '5', '6', '9/7'] -> ((((2 + 5) * 9/7) - 5) * 6)
[250] ['2', '7', '7', '7', '7/9'] -> (((7 - (2 / 7/9)) * 7) - 7)
[251] ['2', '7', '7', '7', '9/8'] -> (((7 + 7) + 7) / (2 - 9/8))
[252] ['2', '7', '7', '7', '8/5'] -> (((2 * 7) + (7 / 7)) * 8/5)
[253] ['2', '7', '7', '7', '9/2'] -> (((7 + 9/2) * 2) + (7 / 7))
[254] ['2', '7', '7', '8', '8/9'] -> ((((7 - 2) * 7) - 8) * 8/9)
[255] ['3', '3', '8', '9', '2/7'] -> ((8 / 2/7) - ((3 + 9) / 3))
[256] ['3', '5', '5', '5', '2/7'] -> ((((5 / 5) + 5) / 2/7) + 3)
[257] ['3', '5', '5', '5', '3/2'] -> (((3 * 5) + (5 / 5)) * 3/2)
[258] ['2', '7', '9', '9', '1/7'] -> (((7 / 1/7) - (9 / 9)) / 2)
[259] ['2', '7', '9', '9', '7/5'] -> (((7 / (2 - 7/5)) - 9) * 9)
[260] ['2', '7', '9', '9', '8/5'] -> (((2 * 7) + (9 / 9)) * 8/5)
[261] ['2', '8', '8', '8', '7/5'] -> (((8 / 8) + 7/5) * (2 + 8))
[262] ['3', '5', '5', '5', '7/2'] -> ((((5 / 5) + 5) * 7/2) + 3)
[263] ['2', '8', '9', '9', '7/5'] -> (((9 / 9) + 7/5) * (2 + 8))
[264] ['2', '9', '9', '9', '1/5'] -> ((((9 / 9) + 2) / 1/5) + 9)
[265] ['2', '9', '9', '9', '2/9'] -> ((((2 + 9) * 9) + 9) * 2/9)
[266] ['2', '9', '9', '9', '2/5'] -> (((9 / 9) + 9) * (2 + 2/5))
[267] ['2', '9', '9', '9', '7/9'] -> (((2 + 7/9) * 9) - (9 / 9))
[268] ['2', '9', '9', '9', '5/4'] -> (9 / ((9 / 9) - (5/4 / 2)))
[269] ['2', '9', '9', '9', '9/5'] -> ((((2 * 9) + 9) / 9/5) + 9)
[270] ['2', '9', '9', '9', '5/2'] -> (((5/2 + 9) * 2) + (9 / 9))
[271] ['3', '3', '3', '3', '2/9'] -> ((((3 * 3) - 3) / 2/9) - 3)
[272] ['3', '3', '3', '3', '2/5'] -> (((3 + 3) / 2/5) + (3 * 3))
[273] ['3', '3', '3', '3', '4/7'] -> ((((3 * 3) + 3) / 4/7) + 3)
[274] ['3', '3', '3', '3', '4/5'] -> ((((3 * 3) * 3) + 3) * 4/5)
[275] ['3', '3', '3', '3', '5/6'] -> ((((3 + 3) * 5/6) + 3) * 3)
[276] ['3', '3', '3', '3', '6/5'] -> ((((3 + 3) / 6/5) + 3) * 3)
[277] ['3', '3', '3', '3', '7/4'] -> ((((3 * 3) + 3) * 7/4) + 3)
[278] ['3', '3', '3', '3', '9/2'] -> ((((3 * 3) - 3) * 9/2) - 3)
[279] ['3', '3', '3', '4', '5/9'] -> ((((3 * 4) + 3) / 5/9) - 3)
[280] ['3', '4', '4', '9', '1/7'] -> (((4 * 9) - (4 / 1/7)) * 3)
[281] ['3', '4', '4', '9', '5/7'] -> (((3 + 4) * (4 + 5/7)) - 9)
[282] ['3', '4', '4', '9', '7/5'] -> (((4 + 7/5) * (9 - 4)) - 3)
[283] ['3', '5', '8', '8', '6/7'] -> ((5 - (3 / 6/7)) * (8 + 8))
[284] ['3', '6', '7', '7', '5/4'] -> (6 / ((3 / 7) - (5/4 / 7)))
[285] ['3', '8', '8', '9', '7/4'] -> (9 / (7/4 - ((3 + 8) / 8)))
[286] ['4', '4', '4', '4', '5/7'] -> ((((4 * 4) + 4) / 5/7) - 4)
[287] ['4', '4', '4', '4', '7/5'] -> ((((4 * 4) + 4) * 7/5) - 4)
[288] ['4', '4', '4', '7', '1/5'] -> (((4 + 7) * 4) - (4 / 1/5))
[289] ['4', '4', '4', '7', '5/8'] -> ((((4 * 7) + 4) * 5/8) + 4)
[290] ['4', '4', '4', '7', '7/5'] -> (((4 / 4) + (7 / 7/5)) * 4)
