[1308107] ['2/3', '3/2', '5/3', '7/9', '8/9'] -> (8/9 / (7/9 - ((2/3 * 5/3) / 3/2)))
[1308348] ['2/3', '3/2', '5/4', '7/5', '8/5'] -> (((3/2 / (7/5 - 5/4)) / 2/3) * 8/5)
[1308351] ['2/3', '3/2', '5/4', '7/5', '9/2'] -> (((2/3 / (3/2 - 7/5)) / 5/4) * 9/2)
[1308360] ['2/3', '3/2', '5/4', '7/6', '8/5'] -> (8/5 / ((2/3 * 3/2) - (7/6 / 5/4)))
[1308361] ['2/3', '3/2', '5/4', '7/6', '8/7'] -> (8/7 / (((5/4 / 3/2) / 7/6) - 2/3))
[1308362] ['2/3', '3/2', '5/4', '7/6', '8/9'] -> (((3/2 / (5/4 - 7/6)) / 2/3) * 8/9)
[1308367] ['2/3', '3/2', '5/4', '7/6', '9/8'] -> (((3/2 / (5/4 - 7/6)) / 2/3) / 9/8)
[1308370] ['2/3', '3/2', '5/4', '7/8', '8/3'] -> (((3/2 * 5/4) / (7/8 - 2/3)) * 8/3)
[1308371] ['2/3', '3/2', '5/4', '7/8', '8/5'] -> ((5/4 / (2/3 - (7/8 / 3/2))) * 8/5)
[1308372] ['2/3', '3/2', '5/4', '7/8', '8/7'] -> (8/7 / (2/3 * (3/2 - (5/4 / 7/8))))
[1308376] ['2/3', '3/2', '5/4', '7/8', '9/5'] -> (9/5 / (7/8 - ((2/3 * 3/2) / 5/4)))
[1308381] ['2/3', '3/2', '5/4', '7/9', '8/5'] -> (8/5 / (3/2 * (2/3 - (7/9 / 5/4))))
[1308387] ['2/3', '3/2', '5/4', '7/9', '9/7'] -> (9/7 / ((3/2 / 7/9) - (5/4 / 2/3)))
[1308388] ['2/3', '3/2', '5/4', '7/9', '9/8'] -> ((3/2 / ((2/3 * 5/4) - 7/9)) / 9/8)
[1308394] ['2/3', '3/2', '5/4', '8/3', '9/4'] -> ((8/3 / (5/4 - (2/3 * 3/2))) * 9/4)
[1308395] ['2/3', '3/2', '5/4', '8/3', '9/5'] -> (((2/3 + 8/3) / (3/2 - 5/4)) * 9/5)
[1308401] ['2/3', '3/2', '5/4', '8/5', '9/2'] -> (((2/3 / (8/5 - 3/2)) / 5/4) * 9/2)
[1308410] ['2/3', '3/2', '5/4', '8/7', '9/5'] -> (((3/2 / (5/4 - 8/7)) - 2/3) * 9/5)
[1308418] ['2/3', '3/2', '5/4', '8/9', '9/8'] -> ((3/2 / (8/9 - (2/3 * 5/4))) / 9/8)
[1308452] ['2/3', '3/2', '5/6', '5/6', '9/4'] -> ((3/2 / ((5/6 * 5/6) - 2/3)) / 9/4)
[1308457] ['2/3', '3/2', '5/6', '5/7', '5/8'] -> ((3/2 / ((2/3 / 5/7) - 5/6)) / 5/8)
[1308466] ['2/3', '3/2', '5/6', '5/7', '7/8'] -> ((3/2 / (2/3 - (5/6 * 5/7))) / 7/8)
[1308469] ['2/3', '3/2', '5/6', '5/7', '8/5'] -> ((3/2 / ((2/3 / 5/7) - 5/6)) * 8/5)
[1308470] ['2/3', '3/2', '5/6', '5/7', '8/7'] -> ((3/2 / (2/3 - (5/6 * 5/7))) * 8/7)
[1308473] ['2/3', '3/2', '5/6', '5/7', '9/4'] -> (((3/2 * 5/6) / (5/7 - 2/3)) - 9/4)
[1308479] ['2/3', '3/2', '5/6', '5/8', '6/5'] -> (6/5 / (((2/3 + 5/8) / 5/6) - 3/2))
[1308498] ['2/3', '3/2', '5/6', '5/9', '6/5'] -> (6/5 / ((3/2 * 5/6) - (2/3 / 5/9)))
[1308505] ['2/3', '3/2', '5/6', '5/9', '7/8'] -> (((3/2 + 5/6) / (2/3 - 5/9)) / 7/8)
[1308509] ['2/3', '3/2', '5/6', '5/9', '8/7'] -> (((3/2 + 5/6) / (2/3 - 5/9)) * 8/7)
[1308511] ['2/3', '3/2', '5/6', '5/9', '9/2'] -> (((2/3 + 3/2) + 9/2) / (5/6 - 5/9))
[1308526] ['2/3', '3/2', '5/6', '6/5', '8/5'] -> (8/5 / ((2/3 + 6/5) - (3/2 / 5/6)))
[1308530] ['2/3', '3/2', '5/6', '6/5', '9/4'] -> ((3/2 / ((5/6 / 6/5) - 2/3)) / 9/4)
[1308537] ['2/3', '3/2', '5/6', '6/7', '7/4'] -> (((2/3 * 3/2) / (6/7 - 5/6)) / 7/4)
[1308541] ['2/3', '3/2', '5/6', '6/7', '7/9'] -> (((2/3 / (6/7 - 5/6)) / 3/2) / 7/9)
[1308545] ['2/3', '3/2', '5/6', '6/7', '8/9'] -> ((3/2 / (5/6 - (2/3 / 6/7))) * 8/9)
[1308547] ['2/3', '3/2', '5/6', '6/7', '9/4'] -> ((3/2 / (6/7 - (2/3 / 5/6))) - 9/4)
[1308549] ['2/3', '3/2', '5/6', '6/7', '9/7'] -> (((2/3 / (6/7 - 5/6)) / 3/2) * 9/7)
[1308550] ['2/3', '3/2', '5/6', '6/7', '9/8'] -> ((3/2 / (5/6 - (2/3 / 6/7))) / 9/8)
[1308555] ['2/3', '3/2', '5/6', '7/2', '7/6'] -> ((5/6 - 7/2) / (2/3 - (7/6 / 3/2)))
[1308556] ['2/3', '3/2', '5/6', '7/2', '7/8'] -> ((7/2 / ((2/3 * 3/2) - 5/6)) / 7/8)
[1308560] ['2/3', '3/2', '5/6', '7/2', '8/7'] -> ((7/2 / ((2/3 * 3/2) - 5/6)) * 8/7)
[1308570] ['2/3', '3/2', '5/6', '7/3', '7/6'] -> ((5/6 + 7/6) / (7/3 - (3/2 / 2/3)))
[1308584] ['2/3', '3/2', '5/6', '7/4', '7/6'] -> ((2/3 / ((3/2 / 7/4) - 5/6)) / 7/6)
[1308588] ['2/3', '3/2', '5/6', '7/4', '8/5'] -> (8/5 / ((2/3 + 3/2) - (7/4 / 5/6)))
[1308589] ['2/3', '3/2', '5/6', '7/4', '8/7'] -> (8/7 / (((3/2 * 5/6) / 7/4) - 2/3))
[1308593] ['2/3', '3/2', '5/6', '7/4', '9/5'] -> ((2/3 * 9/5) / ((3/2 / 5/6) - 7/4))
[1308598] ['2/3', '3/2', '5/6', '7/5', '7/8'] -> ((3/2 / (2/3 - (5/6 / 7/5))) / 7/8)
[1308602] ['2/3', '3/2', '5/6', '7/5', '8/7'] -> ((3/2 / (2/3 - (5/6 / 7/5))) * 8/7)
[1308613] ['2/3', '3/2', '5/6', '7/6', '8/5'] -> ((8/5 / 2/3) / (3/2 - (7/6 / 5/6)))
[1308620] ['2/3', '3/2', '5/6', '7/6', '9/8'] -> ((3/2 / (5/6 - (2/3 * 7/6))) / 9/8)
[1308621] ['2/3', '3/2', '5/6', '7/8', '7/8'] -> ((3/2 / (5/6 - (2/3 / 7/8))) / 7/8)
[1308629] ['2/3', '3/2', '5/6', '7/8', '9/5'] -> (9/5 / (((7/8 / 2/3) / 5/6) - 3/2))
[1308643] ['2/3', '3/2', '5/6', '8/3', '8/5'] -> (8/5 / (8/3 - ((2/3 + 3/2) / 5/6)))
[1308644] ['2/3', '3/2', '5/6', '8/3', '8/7'] -> (8/7 / ((5/6 / (8/3 - 3/2)) - 2/3))
[1308662] ['2/3', '3/2', '5/6', '8/7', '9/4'] -> (9/4 / (3/2 * ((5/6 / 8/7) - 2/3)))
[1308668] ['2/3', '3/2', '5/6', '8/9', '9/4'] -> (9/4 / (3/2 - ((5/6 / 2/3) / 8/9)))
[1308676] ['2/3', '3/2', '5/6', '9/2', '9/8'] -> ((9/2 / ((2/3 * 3/2) - 5/6)) / 9/8)
[1308681] ['2/3', '3/2', '5/6', '9/5', '9/5'] -> (9/5 / (((3/2 * 5/6) / 2/3) - 9/5))
[1308701] ['2/3', '3/2', '5/7', '5/7', '8/7'] -> ((8/7 / 2/3) / ((3/2 - 5/7) - 5/7))
[1308711] ['2/3', '3/2', '5/7', '5/8', '6/7'] -> (6/7 / ((5/8 / (3/2 - 2/3)) - 5/7))
[1308715] ['2/3', '3/2', '5/7', '5/8', '7/5'] -> (7/5 / (((2/3 / 5/7) + 5/8) - 3/2))
[1308721] ['2/3', '3/2', '5/7', '5/8', '8/7'] -> (8/7 / ((2/3 / (3/2 - 5/8)) - 5/7))
[1308723] ['2/3', '3/2', '5/7', '5/8', '9/2'] -> (9/2 / (3/2 - ((5/8 / 2/3) / 5/7)))
[1308739] ['2/3', '3/2', '5/7', '5/9', '8/5'] -> (8/5 / (((2/3 / 3/2) / 5/7) - 5/9))
[1308754] ['2/3', '3/2', '5/7', '6/5', '7/8'] -> ((3/2 / (2/3 - (5/7 / 6/5))) / 7/8)
[1308758] ['2/3', '3/2', '5/7', '6/5', '8/7'] -> ((3/2 / (2/3 - (5/7 / 6/5))) * 8/7)
[1308761] ['2/3', '3/2', '5/7', '6/5', '9/4'] -> (((3/2 / (5/7 - 2/3)) / 6/5) - 9/4)
[1308775] ['2/3', '3/2', '5/7', '6/7', '8/7'] -> (8/7 / (2/3 * ((5/7 + 6/7) - 3/2)))
[1308776] ['2/3', '3/2', '5/7', '6/7', '8/9'] -> (((3/2 * 6/7) / (5/7 - 2/3)) * 8/9)
[1308781] ['2/3', '3/2', '5/7', '6/7', '9/8'] -> (((3/2 * 6/7) / (5/7 - 2/3)) / 9/8)
[1308786] ['2/3', '3/2', '5/7', '7/2', '7/6'] -> (((3/2 / (5/7 - 2/3)) - 7/2) / 7/6)
[1308790] ['2/3', '3/2', '5/7', '7/2', '8/5'] -> (8/5 / (2/3 - ((3/2 / 5/7) / 7/2)))
[1308791] ['2/3', '3/2', '5/7', '7/2', '8/7'] -> (8/7 / ((2/3 * 5/7) - (3/2 / 7/2)))
[1308804] ['2/3', '3/2', '5/7', '7/3', '8/3'] -> (8/3 / (2/3 * ((5/7 * 7/3) - 3/2)))
[1308806] ['2/3', '3/2', '5/7', '7/3', '8/7'] -> (8/7 / (2/3 * (5/7 - (3/2 / 7/3))))
[1308825] ['2/3', '3/2', '5/7', '7/4', '9/7'] -> (9/7 / (((7/4 - 5/7) / 2/3) - 3/2))
[1308833] ['2/3', '3/2', '5/7', '7/5', '8/7'] -> (8/7 / ((2/3 * 5/7) * (3/2 - 7/5)))
[1308846] ['2/3', '3/2', '5/7', '7/6', '8/9'] -> (((3/2 / (5/7 - 2/3)) / 7/6) * 8/9)
[1308851] ['2/3', '3/2', '5/7', '7/6', '9/8'] -> (((3/2 / (5/7 - 2/3)) / 7/6) / 9/8)
[1308883] ['2/3', '3/2', '5/7', '8/5', '8/7'] -> (8/7 / ((2/3 * 5/7) * (8/5 - 3/2)))
[1308907] ['2/3', '3/2', '5/7', '9/2', '9/8'] -> (((3/2 / (5/7 - 2/3)) - 9/2) / 9/8)
[1308910] ['2/3', '3/2', '5/7', '9/4', '9/7'] -> ((2/3 / ((9/4 - 3/2) - 5/7)) * 9/7)
[1308918] ['2/3', '3/2', '5/8', '5/8', '5/8'] -> (3/2 / ((5/8 / 5/8) - (5/8 / 2/3)))
[1308922] ['2/3', '3/2', '5/8', '5/8', '7/2'] -> ((3/2 + 7/2) / (5/8 - (2/3 * 5/8)))
[1308939] ['2/3', '3/2', '5/8', '5/9', '6/5'] -> (((3/2 * 5/9) / (2/3 - 5/8)) * 6/5)
[1308941] ['2/3', '3/2', '5/8', '5/9', '7/2'] -> (7/2 / (2/3 - ((3/2 * 5/8) * 5/9)))
[1308948] ['2/3', '3/2', '5/8', '5/9', '8/3'] -> (8/3 / ((2/3 * 3/2) - (5/9 / 5/8)))
[1308957] ['2/3', '3/2', '5/8', '6/5', '6/5'] -> (6/5 / (((2/3 + 5/8) * 6/5) - 3/2))
[1308960] ['2/3', '3/2', '5/8', '6/5', '7/3'] -> ((3/2 / (2/3 - (5/8 / 6/5))) * 7/3)
[1308970] ['2/3', '3/2', '5/8', '6/5', '9/2'] -> (9/2 / (5/8 * ((6/5 / 2/3) - 3/2)))
[1308977] ['2/3', '3/2', '5/8', '6/7', '7/3'] -> (7/3 / ((3/2 - (2/3 / 6/7)) - 5/8))
[1308980] ['2/3', '3/2', '5/8', '6/7', '7/6'] -> ((3/2 / (5/8 - (2/3 * 6/7))) / 7/6)
[1308982] ['2/3', '3/2', '5/8', '6/7', '7/9'] -> (((3/2 * 6/7) / (2/3 - 5/8)) * 7/9)
[1309000] ['2/3', '3/2', '5/8', '7/2', '8/5'] -> (8/5 / ((3/2 / 5/8) - (2/3 * 7/2)))
[1309003] ['2/3', '3/2', '5/8', '7/2', '9/2'] -> (((2/3 * (3/2 + 7/2)) / 5/8) * 9/2)
[1309018] ['2/3', '3/2', '5/8', '7/3', '9/2'] -> ((((2/3 * 3/2) + 7/3) / 5/8) * 9/2)
[1309019] ['2/3', '3/2', '5/8', '7/3', '9/4'] -> ((5/8 / (2/3 - (3/2 / 7/3))) - 9/4)
[1309033] ['2/3', '3/2', '5/8', '7/4', '9/4'] -> (9/4 / ((5/8 * 7/4) - (2/3 * 3/2)))
[1309035] ['2/3', '3/2', '5/8', '7/4', '9/7'] -> (9/7 / (5/8 - ((2/3 * 3/2) / 7/4)))
[1309045] ['2/3', '3/2', '5/8', '7/5', '9/2'] -> (9/2 / (3/2 - ((5/8 * 7/5) / 2/3)))
[1309046] ['2/3', '3/2', '5/8', '7/5', '9/4'] -> (((2/3 / (3/2 - 7/5)) / 5/8) * 9/4)
[1309050] ['2/3', '3/2', '5/8', '7/6', '7/6'] -> ((3/2 / (5/8 - (2/3 / 7/6))) / 7/6)
[1309053] ['2/3', '3/2', '5/8', '7/6', '8/3'] -> (8/3 / ((2/3 - 5/8) * (3/2 + 7/6)))
[1309054] ['2/3', '3/2', '5/8', '7/6', '8/5'] -> ((3/2 / (7/6 - (2/3 / 5/8))) * 8/5)
[1309058] ['2/3', '3/2', '5/8', '7/6', '9/4'] -> (9/4 / (3/2 * ((5/8 * 7/6) - 2/3)))
[1309064] ['2/3', '3/2', '5/8', '7/8', '8/3'] -> (((3/2 / (7/8 - 5/8)) / 2/3) * 8/3)
[1309075] ['2/3', '3/2', '5/8', '7/9', '8/5'] -> (8/5 / (7/9 - ((2/3 / 3/2) / 5/8)))
[1309081] ['2/3', '3/2', '5/8', '7/9', '9/7'] -> (9/7 / (5/8 - ((2/3 / 3/2) / 7/9)))
[1309083] ['2/3', '3/2', '5/8', '8/3', '8/3'] -> ((8/3 / 2/3) / ((5/8 * 8/3) - 3/2))
[1309092] ['2/3', '3/2', '5/8', '8/5', '8/5'] -> (((8/5 / (2/3 - 5/8)) / 3/2) - 8/5)
[1309096] ['2/3', '3/2', '5/8', '8/5', '9/4'] -> (((2/3 / (8/5 - 3/2)) / 5/8) * 9/4)
[1309111] ['2/3', '3/2', '5/8', '8/9', '9/7'] -> ((3/2 / ((5/8 / 2/3) - 8/9)) / 9/7)
[1309112] ['2/3', '3/2', '5/8', '8/9', '9/8'] -> (9/8 / (3/2 - ((2/3 + 5/8) / 8/9)))
[1309114] ['2/3', '3/2', '5/8', '9/2', '9/4'] -> ((((2/3 + 3/2) + 9/2) / 5/8) * 9/4)
[1309125] ['2/3', '3/2', '5/8', '9/7', '9/7'] -> (9/7 / (5/8 - ((2/3 * 9/7) / 3/2)))
[1309127] ['2/3', '3/2', '5/8', '9/8', '9/8'] -> (9/8 / (3/2 - ((2/3 + 5/8) * 9/8)))
[1309136] ['2/3', '3/2', '5/9', '5/9', '7/8'] -> ((5/9 / 5/9) / ((2/3 + 7/8) - 3/2))
[1309168] ['2/3', '3/2', '5/9', '6/7', '7/4'] -> ((2/3 / ((6/7 / 3/2) - 5/9)) / 7/4)
[1309170] ['2/3', '3/2', '5/9', '6/7', '7/6'] -> ((2/3 / (6/7 - (3/2 * 5/9))) / 7/6)
[1309175] ['2/3', '3/2', '5/9', '6/7', '8/7'] -> (8/7 / (((3/2 * 5/9) * 6/7) - 2/3))
[1309176] ['2/3', '3/2', '5/9', '6/7', '8/9'] -> (8/9 / (5/9 - ((2/3 / 3/2) / 6/7)))
[1309189] ['2/3', '3/2', '5/9', '7/2', '8/3'] -> ((3/2 + ((2/3 + 7/2) / 5/9)) * 8/3)
[1309193] ['2/3', '3/2', '5/9', '7/2', '9/2'] -> (((3/2 * (2/3 + 5/9)) + 7/2) * 9/2)
[1309202] ['2/3', '3/2', '5/9', '7/3', '7/8'] -> ((7/3 / (5/9 - (2/3 / 3/2))) / 7/8)
[1309204] ['2/3', '3/2', '5/9', '7/3', '8/3'] -> (((3/2 + (7/3 / 2/3)) / 5/9) * 8/3)
[1309206] ['2/3', '3/2', '5/9', '7/3', '8/7'] -> ((7/3 / (5/9 - (2/3 / 3/2))) * 8/7)
[1309221] ['2/3', '3/2', '5/9', '7/4', '8/9'] -> (8/9 / ((2/3 * (5/9 + 7/4)) - 3/2))
[1309224] ['2/3', '3/2', '5/9', '7/4', '9/5'] -> (9/5 / ((3/2 / 5/9) - (7/4 / 2/3)))
[1309233] ['2/3', '3/2', '5/9', '7/5', '8/7'] -> (8/7 / ((2/3 / 3/2) - (5/9 / 7/5)))
[1309234] ['2/3', '3/2', '5/9', '7/5', '8/9'] -> (8/9 / ((2/3 * 5/9) * (3/2 - 7/5)))
[1309243] ['2/3', '3/2', '5/9', '7/6', '8/3'] -> (((7/6 / (2/3 - 5/9)) - 3/2) * 8/3)
[1309245] ['2/3', '3/2', '5/9', '7/6', '8/7'] -> (8/7 / (((3/2 * 5/9) / 7/6) - 2/3))
[1309251] ['2/3', '3/2', '5/9', '7/6', '9/8'] -> ((3/2 / ((2/3 + 5/9) - 7/6)) / 9/8)
[1309265] ['2/3', '3/2', '5/9', '7/9', '8/5'] -> (8/5 / (2/3 * (3/2 - (7/9 / 5/9))))
[1309272] ['2/3', '3/2', '5/9', '7/9', '9/8'] -> ((3/2 / ((5/9 / 2/3) - 7/9)) / 9/8)
[1309277] ['2/3', '3/2', '5/9', '8/3', '9/2'] -> ((5/9 / (2/3 - (3/2 / 8/3))) * 9/2)
[1309284] ['2/3', '3/2', '5/9', '8/5', '8/9'] -> (8/9 / ((2/3 * 5/9) * (8/5 - 3/2)))
[1309285] ['2/3', '3/2', '5/9', '8/5', '9/2'] -> ((8/5 / (3/2 - (2/3 / 5/9))) * 9/2)
[1309293] ['2/3', '3/2', '5/9', '8/7', '9/4'] -> ((3/2 / ((2/3 / 5/9) - 8/7)) - 9/4)
[1309302] ['2/3', '3/2', '5/9', '8/9', '9/8'] -> ((3/2 / (8/9 - (5/9 / 2/3))) / 9/8)
[1309304] ['2/3', '3/2', '5/9', '9/2', '9/4'] -> (((3/2 + 9/2) / (2/3 - 5/9)) / 9/4)
[1309328] ['2/3', '3/2', '6/5', '6/5', '8/5'] -> (8/5 / ((2/3 + 6/5) - (3/2 * 6/5)))
[1309335] ['2/3', '3/2', '6/5', '6/5', '9/8'] -> ((2/3 * (3/2 + 6/5)) / (6/5 - 9/8))
[1309336] ['2/3', '3/2', '6/5', '6/7', '6/7'] -> (6/7 / ((6/7 / 2/3) - (3/2 / 6/5)))
[1309345] ['2/3', '3/2', '6/5', '6/7', '8/5'] -> (8/5 / (2/3 * (3/2 - (6/5 / 6/7))))
[1309349] ['2/3', '3/2', '6/5', '6/7', '9/4'] -> ((3/2 / (6/7 - (2/3 * 6/5))) - 9/4)
[1309351] ['2/3', '3/2', '6/5', '6/7', '9/7'] -> (9/7 / (6/7 - (3/2 / (2/3 + 6/5))))
[1309360] ['2/3', '3/2', '6/5', '7/2', '8/3'] -> (((3/2 + 7/2) / (2/3 / 6/5)) * 8/3)
[1309364] ['2/3', '3/2', '6/5', '7/2', '9/2'] -> (((6/5 * (3/2 + 7/2)) - 2/3) * 9/2)
[1309365] ['2/3', '3/2', '6/5', '7/2', '9/4'] -> ((7/2 / ((6/5 / 3/2) - 2/3)) - 9/4)
[1309376] ['2/3', '3/2', '6/5', '7/3', '8/5'] -> (8/5 / (6/5 * ((2/3 * 7/3) - 3/2)))
[1309390] ['2/3', '3/2', '6/5', '7/4', '8/5'] -> (8/5 / ((2/3 + 3/2) - (6/5 * 7/4)))
[1309391] ['2/3', '3/2', '6/5', '7/4', '8/7'] -> (8/7 / (((3/2 / 6/5) / 7/4) - 2/3))
[1309401] ['2/3', '3/2', '6/5', '7/5', '7/9'] -> (((2/3 + 6/5) / (3/2 - 7/5)) / 7/9)
[1309402] ['2/3', '3/2', '6/5', '7/5', '8/3'] -> (8/3 / (((7/5 / 3/2) / 6/5) - 2/3))
[1309403] ['2/3', '3/2', '6/5', '7/5', '8/5'] -> (8/5 / ((2/3 + (6/5 / 3/2)) - 7/5))
[1309409] ['2/3', '3/2', '6/5', '7/5', '9/7'] -> (((2/3 + 6/5) / (3/2 - 7/5)) * 9/7)
[1309415] ['2/3', '3/2', '6/5', '7/6', '8/5'] -> (8/5 / (2/3 * (3/2 - (6/5 * 7/6))))
[1309420] ['2/3', '3/2', '6/5', '7/6', '9/5'] -> (((2/3 / (6/5 - 7/6)) / 3/2) * 9/5)
[1309430] ['2/3', '3/2', '6/5', '7/8', '9/4'] -> (9/4 / (3/2 * ((7/8 / 6/5) - 2/3)))
[1309438] ['2/3', '3/2', '6/5', '7/9', '8/9'] -> (8/9 / ((2/3 / 6/5) - (7/9 / 3/2)))
[1309444] ['2/3', '3/2', '6/5', '8/3', '8/3'] -> (((3/2 + 6/5) * (2/3 + 8/3)) * 8/3)
[1309445] ['2/3', '3/2', '6/5', '8/3', '8/5'] -> (8/5 / (8/3 - ((2/3 + 3/2) * 6/5)))
[1309459] ['2/3', '3/2', '6/5', '8/5', '9/7'] -> (((2/3 + 6/5) / (8/5 - 3/2)) * 9/7)
[1309468] ['2/3', '3/2', '6/5', '8/9', '8/9'] -> (8/9 / ((8/9 / 3/2) - (2/3 / 6/5)))
[1309471] ['2/3', '3/2', '6/5', '8/9', '9/5'] -> (9/5 / (6/5 - ((2/3 * 3/2) / 8/9)))
[1309474] ['2/3', '3/2', '6/5', '9/2', '9/2'] -> ((((2/3 * 3/2) / 6/5) + 9/2) * 9/2)
[1309483] ['2/3', '3/2', '6/5', '9/5', '9/5'] -> (9/5 / (((3/2 / 2/3) / 6/5) - 9/5))
[1309486] ['2/3', '3/2', '6/5', '9/7', '9/7'] -> ((2/3 / (9/7 - (3/2 / 6/5))) * 9/7)
[1309497] ['2/3', '3/2', '6/7', '6/7', '8/3'] -> ((6/7 * 8/3) / (2/3 - (6/7 / 3/2)))
[1309518] ['2/3', '3/2', '6/7', '7/2', '9/4'] -> (((3/2 + 7/2) / (6/7 - 2/3)) - 9/4)
[1309522] ['2/3', '3/2', '6/7', '7/3', '7/3'] -> ((6/7 / (7/3 - (3/2 / 2/3))) * 7/3)
[1309525] ['2/3', '3/2', '6/7', '7/3', '7/6'] -> ((2/3 / ((3/2 + 6/7) - 7/3)) / 7/6)
[1309532] ['2/3', '3/2', '6/7', '7/3', '9/2'] -> (((2/3 + 6/7) * (3/2 * 7/3)) * 9/2)
[1309578] ['2/3', '3/2', '6/7', '7/8', '8/3'] -> (((3/2 / (6/7 - 2/3)) / 7/8) * 8/3)
[1309581] ['2/3', '3/2', '6/7', '7/8', '8/9'] -> (((2/3 / (7/8 - 6/7)) / 3/2) - 8/9)
[1309585] ['2/3', '3/2', '6/7', '7/8', '9/7'] -> (9/7 / ((3/2 - (2/3 * 6/7)) - 7/8))
[1309588] ['2/3', '3/2', '6/7', '7/9', '8/3'] -> (8/3 / (((2/3 * 3/2) - 6/7) * 7/9))
[1309599] ['2/3', '3/2', '6/7', '8/3', '8/7'] -> (((3/2 * 8/3) / (6/7 - 2/3)) * 8/7)
[1309601] ['2/3', '3/2', '6/7', '8/3', '9/2'] -> ((2/3 + ((3/2 * 8/3) / 6/7)) * 9/2)
[1309604] ['2/3', '3/2', '6/7', '8/3', '9/7'] -> ((8/3 / ((2/3 * 3/2) - 6/7)) * 9/7)
[1309612] ['2/3', '3/2', '6/7', '8/5', '9/7'] -> (9/7 / (2/3 * ((3/2 / 8/5) - 6/7)))
[1309616] ['2/3', '3/2', '6/7', '8/7', '9/2'] -> ((8/7 / (3/2 - (6/7 / 2/3))) * 9/2)
[1309621] ['2/3', '3/2', '6/7', '8/9', '8/9'] -> (8/9 / ((8/9 / 6/7) - (2/3 * 3/2)))
[1309625] ['2/3', '3/2', '6/7', '8/9', '9/7'] -> (9/7 / (3/2 - ((6/7 / 2/3) / 8/9)))
[1309634] ['2/3', '3/2', '6/7', '9/4', '9/7'] -> (9/7 / (((2/3 + 6/7) - 3/2) * 9/4))
[1309636] ['2/3', '3/2', '6/7', '9/5', '9/5'] -> ((2/3 / (9/5 - (3/2 / 6/7))) * 9/5)
[1309647] ['2/3', '3/2', '7/2', '7/2', '7/8'] -> ((7/2 / 7/2) / ((2/3 + 7/8) - 3/2))
[1309649] ['2/3', '3/2', '7/2', '7/2', '8/3'] -> ((((7/2 + 7/2) / 2/3) - 3/2) * 8/3)
[1309656] ['2/3', '3/2', '7/2', '7/2', '9/7'] -> ((7/2 + 7/2) * (3/2 + (9/7 / 2/3)))
