[568363] ['1/4', '5/3', '5/8', '5/9', '8/5'] -> (8/5 / ((1/4 / 5/8) - (5/9 / 5/3)))
[568488] ['1/4', '5/3', '5/8', '7/9', '8/3'] -> (8/3 / (7/9 - ((1/4 * 5/3) / 5/8)))
[568489] ['1/4', '5/3', '5/8', '7/9', '8/5'] -> (8/5 / ((7/9 / 5/3) - (1/4 / 5/8)))
[568495] ['1/4', '5/3', '5/8', '7/9', '9/7'] -> (9/7 / ((5/8 / 5/3) - (1/4 / 7/9)))
[568504] ['1/4', '5/3', '5/8', '8/3', '9/7'] -> (9/7 / (5/8 - (5/3 / (1/4 + 8/3))))
[568510] ['1/4', '5/3', '5/8', '8/5', '9/4'] -> (((5/3 + (5/8 * 8/5)) / 1/4) * 9/4)
[568523] ['1/4', '5/3', '5/8', '8/9', '9/4'] -> (9/4 / ((5/8 / 5/3) - (1/4 / 8/9)))
[568536] ['1/4', '5/3', '5/8', '9/5', '9/5'] -> (9/5 / ((1/4 * 9/5) - (5/8 / 5/3)))
[568539] ['1/4', '5/3', '5/8', '9/7', '9/7'] -> (9/7 / ((5/8 / 5/3) - (1/4 * 9/7)))
[568557] ['1/4', '5/3', '5/9', '5/9', '9/4'] -> (((5/3 + (5/9 / 5/9)) / 1/4) * 9/4)
[568574] ['1/4', '5/3', '5/9', '6/5', '9/2'] -> ((((5/3 - 5/9) * 6/5) / 1/4) * 9/2)
[568575] ['1/4', '5/3', '5/9', '6/5', '9/4'] -> ((((5/3 + 5/9) * 6/5) / 1/4) * 9/4)
[568579] ['1/4', '5/3', '5/9', '6/7', '6/7'] -> (6/7 / (((5/9 * 6/7) / 5/3) - 1/4))
[568603] ['1/4', '5/3', '5/9', '7/2', '8/3'] -> (8/3 / (5/9 - (5/3 / (1/4 + 7/2))))
[568623] ['1/4', '5/3', '5/9', '7/3', '9/4'] -> ((((5/9 / 5/3) + 7/3) / 1/4) * 9/4)
[568624] ['1/4', '5/3', '5/9', '7/3', '9/5'] -> ((((5/3 * 7/3) - 5/9) / 1/4) * 9/5)
[568626] ['1/4', '5/3', '5/9', '7/3', '9/8'] -> (9/8 / (1/4 / ((5/3 / 5/9) + 7/3)))
[568632] ['1/4', '5/3', '5/9', '7/4', '8/3'] -> (((5/9 / (7/4 - 5/3)) / 1/4) - 8/3)
[568645] ['1/4', '5/3', '5/9', '7/5', '8/3'] -> (8/3 / ((5/3 * 7/5) - (5/9 / 1/4)))
[568646] ['1/4', '5/3', '5/9', '7/5', '8/5'] -> (8/5 / (7/5 - ((5/9 / 1/4) / 5/3)))
[568648] ['1/4', '5/3', '5/9', '7/5', '8/9'] -> (8/9 / ((1/4 * 5/9) * (5/3 - 7/5)))
[568670] ['1/4', '5/3', '5/9', '7/8', '8/7'] -> (8/7 / ((5/9 / 5/3) - (1/4 / 7/8)))
[568674] ['1/4', '5/3', '5/9', '7/8', '9/5'] -> (9/5 / ((7/8 / 5/3) - (1/4 / 5/9)))
[568679] ['1/4', '5/3', '5/9', '7/9', '8/5'] -> (8/5 / (1/4 * (5/3 - (7/9 / 5/9))))
[568681] ['1/4', '5/3', '5/9', '7/9', '8/9'] -> (8/9 / (1/4 * ((5/3 * 5/9) - 7/9)))
[568687] ['1/4', '5/3', '5/9', '8/3', '8/3'] -> (8/3 / (1/4 * ((8/3 - 5/3) - 5/9)))
[568688] ['1/4', '5/3', '5/9', '8/3', '8/5'] -> ((5/3 / ((1/4 * 8/3) - 5/9)) * 8/5)
[568693] ['1/4', '5/3', '5/9', '8/3', '9/5'] -> (((5/3 + (8/3 / 1/4)) / 5/9) + 9/5)
[568696] ['1/4', '5/3', '5/9', '8/5', '8/5'] -> (8/5 / ((1/4 * 8/5) - (5/9 / 5/3)))
[568704] ['1/4', '5/3', '5/9', '8/7', '8/7'] -> (8/7 / ((5/9 / 5/3) - (1/4 * 8/7)))
[568732] ['1/4', '5/3', '6/5', '6/5', '6/5'] -> (((6/5 + 6/5) + 6/5) / (1/4 / 5/3))
[568746] ['1/4', '5/3', '6/5', '6/5', '9/4'] -> (((5/3 + (6/5 / 6/5)) / 1/4) * 9/4)
[568747] ['1/4', '5/3', '6/5', '6/5', '9/5'] -> ((6/5 + 9/5) / ((1/4 / 5/3) / 6/5))
[568753] ['1/4', '5/3', '6/5', '6/7', '7/4'] -> (((5/3 * (6/5 + 6/7)) / 1/4) * 7/4)
[568759] ['1/4', '5/3', '6/5', '6/7', '8/5'] -> (8/5 / (1/4 * (5/3 - (6/5 / 6/7))))
[568771] ['1/4', '5/3', '6/5', '7/2', '7/6'] -> ((((5/3 * 6/5) * 7/2) / 1/4) / 7/6)
[568778] ['1/4', '5/3', '6/5', '7/2', '9/2'] -> ((5/3 * (7/2 - (1/4 * 6/5))) * 9/2)
[568780] ['1/4', '5/3', '6/5', '7/2', '9/5'] -> ((5/3 + ((7/2 / 1/4) / 6/5)) * 9/5)
[568795] ['1/4', '5/3', '6/5', '7/3', '9/5'] -> ((((5/3 + 7/3) / 1/4) / 6/5) * 9/5)
[568796] ['1/4', '5/3', '6/5', '7/3', '9/7'] -> (9/7 / (((1/4 / 5/3) / 6/5) / 7/3))
[568807] ['1/4', '5/3', '6/5', '7/4', '9/2'] -> ((5/3 * ((1/4 + 6/5) + 7/4)) * 9/2)
[568812] ['1/4', '5/3', '6/5', '7/5', '7/5'] -> (7/5 / ((5/3 - (1/4 / 6/5)) - 7/5))
[568821] ['1/4', '5/3', '6/5', '7/5', '9/4'] -> ((1/4 / (6/5 - (5/3 / 7/5))) - 9/4)
[568829] ['1/4', '5/3', '6/5', '7/6', '8/5'] -> (8/5 / (1/4 * (5/3 - (6/5 * 7/6))))
[568843] ['1/4', '5/3', '6/5', '7/8', '9/2'] -> (9/2 / (((7/8 / 5/3) / 6/5) - 1/4))
[568863] ['1/4', '5/3', '6/5', '8/3', '9/4'] -> ((((5/3 * 6/5) / 1/4) + 8/3) * 9/4)
[568865] ['1/4', '5/3', '6/5', '8/3', '9/7'] -> (9/7 / (1/4 / ((5/3 * 6/5) + 8/3)))
[568866] ['1/4', '5/3', '6/5', '8/3', '9/8'] -> (9/8 / (((1/4 / 5/3) / 6/5) / 8/3))
[568873] ['1/4', '5/3', '6/5', '8/5', '9/7'] -> (9/7 / ((1/4 / (6/5 + 8/5)) / 5/3))
[568883] ['1/4', '5/3', '6/5', '8/9', '9/2'] -> (((6/5 / 1/4) + (8/9 / 5/3)) * 9/2)
[568890] ['1/4', '5/3', '6/5', '9/2', '9/5'] -> ((((9/2 / 1/4) / 6/5) - 5/3) * 9/5)
[568897] ['1/4', '5/3', '6/5', '9/5', '9/5'] -> (9/5 / ((1/4 / 6/5) + (5/3 - 9/5)))
[568898] ['1/4', '5/3', '6/5', '9/5', '9/7'] -> (9/7 / (1/4 / ((5/3 + 6/5) + 9/5)))
[568916] ['1/4', '5/3', '6/7', '6/7', '9/4'] -> (((5/3 + (6/7 / 6/7)) / 1/4) * 9/4)
[568921] ['1/4', '5/3', '6/7', '7/2', '7/3'] -> ((((5/3 / 1/4) + 6/7) * 7/2) - 7/3)
[568934] ['1/4', '5/3', '6/7', '7/2', '9/7'] -> (9/7 / (1/4 / (5/3 + (6/7 * 7/2))))
[568937] ['1/4', '5/3', '6/7', '7/3', '7/4'] -> (((5/3 + 7/3) / (1/4 / 6/7)) * 7/4)
[568944] ['1/4', '5/3', '6/7', '7/3', '8/7'] -> (8/7 / (1/4 * ((5/3 + 6/7) - 7/3)))
[568948] ['1/4', '5/3', '6/7', '7/3', '9/5'] -> ((((5/3 * 6/7) * 7/3) / 1/4) * 9/5)
[568949] ['1/4', '5/3', '6/7', '7/3', '9/7'] -> (9/7 / ((1/4 * 6/7) / (5/3 + 7/3)))
[568953] ['1/4', '5/3', '6/7', '7/4', '7/6'] -> (7/6 / (1/4 * ((5/3 / 6/7) - 7/4)))
[568961] ['1/4', '5/3', '6/7', '7/4', '9/4'] -> (9/4 / (1/4 * ((7/4 / 6/7) - 5/3)))
[568978] ['1/4', '5/3', '6/7', '7/6', '7/6'] -> ((5/3 / ((7/6 - 1/4) - 6/7)) / 7/6)
[568983] ['1/4', '5/3', '6/7', '7/6', '8/7'] -> (8/7 / (((5/3 - 1/4) * 6/7) - 7/6))
[568986] ['1/4', '5/3', '6/7', '7/6', '9/4'] -> (((5/3 + (6/7 * 7/6)) / 1/4) * 9/4)
[568996] ['1/4', '5/3', '6/7', '7/8', '9/2'] -> (((6/7 / 1/4) + (5/3 / 7/8)) * 9/2)
[569018] ['1/4', '5/3', '6/7', '8/3', '9/7'] -> (9/7 / (((5/3 - 6/7) / 8/3) - 1/4))
[569032] ['1/4', '5/3', '6/7', '8/7', '9/5'] -> (((5/3 * (6/7 + 8/7)) / 1/4) * 9/5)
[569044] ['1/4', '5/3', '6/7', '9/2', '9/7'] -> ((6/7 + ((5/3 * 9/2) / 1/4)) / 9/7)
[569048] ['1/4', '5/3', '6/7', '9/4', '9/7'] -> ((((5/3 + 6/7) * 9/4) / 1/4) + 9/7)
[569057] ['1/4', '5/3', '7/2', '7/2', '7/3'] -> ((((7/2 + 7/2) / 1/4) - 5/3) - 7/3)
[569064] ['1/4', '5/3', '7/2', '7/2', '8/5'] -> ((((7/2 / 5/3) + 7/2) / 1/4) + 8/5)
[569066] ['1/4', '5/3', '7/2', '7/2', '8/9'] -> ((((7/2 + 7/2) - 5/3) / 1/4) / 8/9)
[569068] ['1/4', '5/3', '7/2', '7/2', '9/4'] -> (((5/3 + (7/2 / 7/2)) / 1/4) * 9/4)
[569074] ['1/4', '5/3', '7/2', '7/3', '7/5'] -> (7/5 / (1/4 * (7/3 - (7/2 / 5/3))))
[569079] ['1/4', '5/3', '7/2', '7/3', '8/5'] -> (((1/4 + 7/2) * (5/3 + 7/3)) * 8/5)
[569082] ['1/4', '5/3', '7/2', '7/3', '9/2'] -> ((7/2 + ((5/3 + 7/3) / 1/4)) + 9/2)
[569084] ['1/4', '5/3', '7/2', '7/3', '9/5'] -> (((5/3 + (7/2 / 1/4)) - 7/3) * 9/5)
[569089] ['1/4', '5/3', '7/2', '7/4', '7/6'] -> ((((7/2 * 7/4) / 1/4) - 5/3) + 7/6)
[569090] ['1/4', '5/3', '7/2', '7/4', '7/8'] -> ((7/2 / ((1/4 + 5/3) - 7/4)) / 7/8)
[569092] ['1/4', '5/3', '7/2', '7/4', '8/3'] -> ((1/4 + (5/3 * (7/2 + 7/4))) * 8/3)
[569094] ['1/4', '5/3', '7/2', '7/4', '8/7'] -> ((7/2 / ((1/4 + 5/3) - 7/4)) * 8/7)
[569097] ['1/4', '5/3', '7/2', '7/4', '9/4'] -> ((5/3 * ((7/2 / 1/4) + 7/4)) - 9/4)
[569098] ['1/4', '5/3', '7/2', '7/4', '9/5'] -> ((((5/3 * 7/2) / 1/4) / 7/4) * 9/5)
[569103] ['1/4', '5/3', '7/2', '7/5', '7/8'] -> ((5/3 * ((7/2 / 1/4) - 7/5)) / 7/8)
[569106] ['1/4', '5/3', '7/2', '7/5', '8/5'] -> (8/5 / (5/3 - ((7/5 / 1/4) / 7/2)))
[569107] ['1/4', '5/3', '7/2', '7/5', '8/7'] -> ((5/3 * ((7/2 / 1/4) - 7/5)) * 8/7)
[569117] ['1/4', '5/3', '7/2', '7/6', '8/3'] -> ((((5/3 / 1/4) + 7/2) - 7/6) * 8/3)
[569128] ['1/4', '5/3', '7/2', '7/8', '8/3'] -> ((((5/3 * 7/2) / 1/4) / 7/8) - 8/3)
[569132] ['1/4', '5/3', '7/2', '7/8', '9/2'] -> (((7/2 + (7/8 / 1/4)) - 5/3) * 9/2)
[569133] ['1/4', '5/3', '7/2', '7/8', '9/4'] -> (((5/3 / 1/4) + (7/2 / 7/8)) * 9/4)
[569157] ['1/4', '5/3', '7/2', '8/5', '8/7'] -> (8/7 / (((5/3 / 7/2) / 8/5) - 1/4))
[569167] ['1/4', '5/3', '7/2', '8/7', '9/4'] -> (((5/3 / 1/4) + (7/2 * 8/7)) * 9/4)
[569173] ['1/4', '5/3', '7/2', '8/9', '9/4'] -> ((((5/3 * 7/2) / 1/4) / 8/9) - 9/4)
[569177] ['1/4', '5/3', '7/2', '9/2', '9/2'] -> ((((5/3 * 7/2) - 9/2) / 1/4) * 9/2)
[569178] ['1/4', '5/3', '7/2', '9/2', '9/4'] -> ((((5/3 + 9/2) - 7/2) / 1/4) * 9/4)
[569181] ['1/4', '5/3', '7/2', '9/2', '9/8'] -> ((((5/3 * 7/2) - 1/4) * 9/2) - 9/8)
[569196] ['1/4', '5/3', '7/3', '7/3', '7/8'] -> ((((5/3 / 1/4) + 7/3) * 7/3) / 7/8)
[569200] ['1/4', '5/3', '7/3', '7/3', '8/7'] -> ((((5/3 / 1/4) + 7/3) * 7/3) * 8/7)
[569202] ['1/4', '5/3', '7/3', '7/3', '9/2'] -> ((((7/3 / 1/4) - 5/3) - 7/3) * 9/2)
[569203] ['1/4', '5/3', '7/3', '7/3', '9/4'] -> (((5/3 + (7/3 / 7/3)) / 1/4) * 9/4)
[569204] ['1/4', '5/3', '7/3', '7/3', '9/5'] -> (((5/3 + (7/3 / 1/4)) + 7/3) * 9/5)
[569210] ['1/4', '5/3', '7/3', '7/4', '7/8'] -> (((7/3 + (5/3 * 7/4)) / 1/4) / 7/8)
[569214] ['1/4', '5/3', '7/3', '7/4', '8/7'] -> (((7/3 + (5/3 * 7/4)) / 1/4) * 8/7)
[569224] ['1/4', '5/3', '7/3', '7/5', '7/9'] -> (((7/3 + (5/3 * 7/5)) / 1/4) / 7/9)
[569226] ['1/4', '5/3', '7/3', '7/5', '8/5'] -> ((((5/3 + 7/3) * 7/5) / 1/4) + 8/5)
[569228] ['1/4', '5/3', '7/3', '7/5', '8/9'] -> (((5/3 * (7/3 + 7/5)) / 1/4) - 8/9)
[569231] ['1/4', '5/3', '7/3', '7/5', '9/5'] -> (((5/3 + (7/3 / 7/5)) / 1/4) * 9/5)
[569232] ['1/4', '5/3', '7/3', '7/5', '9/7'] -> (((7/3 + (5/3 * 7/5)) / 1/4) * 9/7)
[569237] ['1/4', '5/3', '7/3', '7/6', '8/3'] -> ((((5/3 + 7/6) / 1/4) - 7/3) * 8/3)
[569241] ['1/4', '5/3', '7/3', '7/6', '9/2'] -> (((7/3 + (7/6 / 1/4)) - 5/3) * 9/2)
[569243] ['1/4', '5/3', '7/3', '7/6', '9/5'] -> ((((5/3 * 7/3) / 1/4) / 7/6) * 9/5)
[569248] ['1/4', '5/3', '7/3', '7/8', '8/3'] -> ((((7/3 / 1/4) / 7/8) - 5/3) * 8/3)
[569252] ['1/4', '5/3', '7/3', '7/8', '9/2'] -> ((((5/3 + 7/3) + 7/8) / 1/4) + 9/2)
[569253] ['1/4', '5/3', '7/3', '7/8', '9/4'] -> (9/4 / (1/4 * ((7/3 * 7/8) - 5/3)))
[569255] ['1/4', '5/3', '7/3', '7/8', '9/7'] -> (9/7 / (7/8 - ((1/4 + 5/3) / 7/3)))
[569260] ['1/4', '5/3', '7/3', '7/9', '8/7'] -> (8/7 / (1/4 * (7/3 - (5/3 / 7/9))))
[569261] ['1/4', '5/3', '7/3', '7/9', '8/9'] -> (8/9 / (1/4 * ((7/3 * 7/9) - 5/3)))
[569268] ['1/4', '5/3', '7/3', '8/3', '8/5'] -> ((((5/3 + 8/3) / 1/4) - 7/3) * 8/5)
[569274] ['1/4', '5/3', '7/3', '8/3', '9/7'] -> ((((5/3 + 7/3) / 1/4) + 8/3) * 9/7)
[569278] ['1/4', '5/3', '7/3', '8/5', '8/9'] -> ((((5/3 * 7/3) * 8/5) / 1/4) - 8/9)
[569287] ['1/4', '5/3', '7/3', '8/7', '9/4'] -> (9/4 / (1/4 * ((7/3 / 8/7) - 5/3)))
[569292] ['1/4', '5/3', '7/3', '8/9', '9/2'] -> (((8/9 / (7/3 - 5/3)) / 1/4) * 9/2)
[569303] ['1/4', '5/3', '7/3', '9/4', '9/5'] -> ((((5/3 + 9/4) / 1/4) - 7/3) * 9/5)
[569308] ['1/4', '5/3', '7/3', '9/5', '9/8'] -> (9/8 / (1/4 / (7/3 + (5/3 * 9/5))))
[569309] ['1/4', '5/3', '7/3', '9/7', '9/7'] -> (9/7 / (1/4 / (5/3 + (7/3 * 9/7))))
[569315] ['1/4', '5/3', '7/4', '7/4', '7/8'] -> (((7/8 / 1/4) / 7/4) / (7/4 - 5/3))
[569316] ['1/4', '5/3', '7/4', '7/4', '7/9'] -> ((((5/3 * 7/4) + 7/4) / 1/4) / 7/9)
[569324] ['1/4', '5/3', '7/4', '7/4', '9/7'] -> ((((5/3 * 7/4) + 7/4) / 1/4) * 9/7)
[569328] ['1/4', '5/3', '7/4', '7/5', '7/8'] -> (((5/3 * (7/4 + 7/5)) / 1/4) / 7/8)
[569331] ['1/4', '5/3', '7/4', '7/5', '8/5'] -> (8/5 / (((1/4 * 5/3) + 7/5) - 7/4))
[569332] ['1/4', '5/3', '7/4', '7/5', '8/7'] -> (((5/3 * (7/4 + 7/5)) / 1/4) * 8/7)
[569334] ['1/4', '5/3', '7/4', '7/5', '9/2'] -> ((((5/3 * 7/5) / 1/4) / 7/4) * 9/2)
[569335] ['1/4', '5/3', '7/4', '7/5', '9/4'] -> (((7/4 / (5/3 - 7/5)) / 1/4) - 9/4)
[569339] ['1/4', '5/3', '7/4', '7/6', '7/6'] -> ((7/6 / 1/4) / ((5/3 * 7/6) - 7/4))
[569342] ['1/4', '5/3', '7/4', '7/6', '8/3'] -> ((((5/3 + 7/4) - 7/6) / 1/4) * 8/3)
[569344] ['1/4', '5/3', '7/4', '7/6', '8/7'] -> (8/7 / (((1/4 + 7/4) / 7/6) - 5/3))
[569347] ['1/4', '5/3', '7/4', '7/6', '9/4'] -> (9/4 / (1/4 * ((7/4 * 7/6) - 5/3)))
[569348] ['1/4', '5/3', '7/4', '7/6', '9/5'] -> ((5/3 + ((7/4 + 7/6) / 1/4)) * 9/5)
[569349] ['1/4', '5/3', '7/4', '7/6', '9/7'] -> (9/7 / (1/4 * (7/6 - (5/3 / 7/4))))
[569353] ['1/4', '5/3', '7/4', '7/8', '8/3'] -> (8/3 / (5/3 - (7/4 / (1/4 + 7/8))))
[569355] ['1/4', '5/3', '7/4', '7/8', '8/7'] -> (8/7 / (((7/4 - 1/4) / 7/8) - 5/3))
[569358] ['1/4', '5/3', '7/4', '7/8', '9/4'] -> (9/4 / ((7/4 - 5/3) * (1/4 + 7/8)))
[569364] ['1/4', '5/3', '7/4', '7/9', '8/5'] -> ((((5/3 * 7/4) / 1/4) / 7/9) * 8/5)
[569366] ['1/4', '5/3', '7/4', '7/9', '8/9'] -> (8/9 / (7/4 - (5/3 * (1/4 + 7/9))))
[569368] ['1/4', '5/3', '7/4', '7/9', '9/4'] -> ((5/3 + ((7/4 / 1/4) / 7/9)) * 9/4)
[569375] ['1/4', '5/3', '7/4', '8/3', '8/9'] -> (((5/3 + (7/4 / 1/4)) * 8/3) + 8/9)
[569387] ['1/4', '5/3', '7/4', '8/5', '9/7'] -> (9/7 / (((1/4 / 5/3) / 7/4) / 8/5))
[569393] ['1/4', '5/3', '7/4', '8/7', '9/5'] -> ((((5/3 * 7/4) * 8/7) / 1/4) * 9/5)
[569397] ['1/4', '5/3', '7/4', '8/9', '9/2'] -> ((8/9 / ((1/4 + 5/3) - 7/4)) * 9/2)
[569406] ['1/4', '5/3', '7/4', '9/2', '9/8'] -> ((9/2 / ((1/4 + 5/3) - 7/4)) / 9/8)
[569408] ['1/4', '5/3', '7/4', '9/4', '9/5'] -> (((5/3 / (9/4 - 7/4)) / 1/4) * 9/5)
[569410] ['1/4', '5/3', '7/4', '9/4', '9/8'] -> (9/8 / ((1/4 * (7/4 - 5/3)) * 9/4))
[569419] ['1/4', '5/3', '7/5', '7/5', '7/8'] -> (((7/5 / (5/3 - 7/5)) / 1/4) / 7/8)
[569420] ['1/4', '5/3', '7/5', '7/5', '7/9'] -> (((5/3 * (7/5 + 7/5)) / 1/4) / 7/9)
[569423] ['1/4', '5/3', '7/5', '7/5', '8/7'] -> (((7/5 / (5/3 - 7/5)) / 1/4) * 8/7)
[569425] ['1/4', '5/3', '7/5', '7/5', '9/2'] -> ((((7/5 / 1/4) + 7/5) - 5/3) * 9/2)
[569426] ['1/4', '5/3', '7/5', '7/5', '9/4'] -> (((5/3 + (7/5 / 7/5)) / 1/4) * 9/4)
[569427] ['1/4', '5/3', '7/5', '7/5', '9/5'] -> ((7/5 + 7/5) / ((1/4 + 5/3) - 9/5))
[569428] ['1/4', '5/3', '7/5', '7/5', '9/7'] -> (((5/3 * (7/5 + 7/5)) / 1/4) * 9/7)
[569449] ['1/4', '5/3', '7/5', '7/8', '9/4'] -> ((((5/3 * 7/5) / 1/4) / 7/8) * 9/4)
[569466] ['1/4', '5/3', '7/5', '8/3', '8/9'] -> ((((5/3 * 7/5) * 8/3) / 1/4) - 8/9)
[569475] ['1/4', '5/3', '7/5', '8/5', '9/2'] -> ((((7/5 + 8/5) - 5/3) / 1/4) * 9/2)
[569476] ['1/4', '5/3', '7/5', '8/5', '9/4'] -> ((((5/3 + 7/5) / 1/4) - 8/5) * 9/4)
[569478] ['1/4', '5/3', '7/5', '8/5', '9/7'] -> (9/7 / (1/4 / ((5/3 + 7/5) + 8/5)))
[569483] ['1/4', '5/3', '7/5', '8/7', '9/4'] -> ((((5/3 * 7/5) * 8/7) / 1/4) * 9/4)
[569490] ['1/4', '5/3', '7/5', '8/9', '9/5'] -> (((8/9 / (5/3 - 7/5)) / 1/4) * 9/5)
[569495] ['1/4', '5/3', '7/5', '9/2', '9/5'] -> (9/5 / (((5/3 - 1/4) - 7/5) * 9/2))
[569511] ['1/4', '5/3', '7/6', '7/6', '8/3'] -> ((((5/3 / 1/4) + 7/6) + 7/6) * 8/3)
[569513] ['1/4', '5/3', '7/6', '7/6', '8/7'] -> (8/7 / (((5/3 - 1/4) / 7/6) - 7/6))
[569516] ['1/4', '5/3', '7/6', '7/6', '9/4'] -> (((5/3 + (7/6 / 7/6)) / 1/4) * 9/4)
[569522] ['1/4', '5/3', '7/6', '7/8', '8/3'] -> ((((5/3 + 7/8) / 1/4) - 7/6) * 8/3)
[569527] ['1/4', '5/3', '7/6', '7/8', '9/4'] -> (9/4 / (1/4 * ((7/6 + 7/8) - 5/3)))
[569531] ['1/4', '5/3', '7/6', '7/9', '7/9'] -> (7/9 / (1/4 * ((5/3 * 7/9) - 7/6)))
[569541] ['1/4', '5/3', '7/6', '8/3', '8/3'] -> (((5/3 + (7/6 / 1/4)) + 8/3) * 8/3)
[569545] ['1/4', '5/3', '7/6', '8/3', '9/2'] -> ((((5/3 - 7/6) * 8/3) / 1/4) * 9/2)
[569546] ['1/4', '5/3', '7/6', '8/3', '9/4'] -> ((8/3 / ((5/3 - 1/4) - 7/6)) * 9/4)
[569549] ['1/4', '5/3', '7/6', '8/3', '9/8'] -> (9/8 / ((1/4 * (5/3 - 7/6)) / 8/3))
[569550] ['1/4', '5/3', '7/6', '8/5', '8/5'] -> (8/5 / (((8/5 - 7/6) / 1/4) - 5/3))
[569558] ['1/4', '5/3', '7/6', '8/7', '8/7'] -> (8/7 / (5/3 - ((1/4 + 7/6) * 8/7)))
[569592] ['1/4', '5/3', '7/8', '7/8', '9/2'] -> ((((7/8 + 7/8) / 1/4) - 5/3) * 9/2)
[569607] ['1/4', '5/3', '7/8', '8/3', '8/3'] -> (((5/3 / 1/4) + (7/8 * 8/3)) * 8/3)
[569612] ['1/4', '5/3', '7/8', '8/3', '9/4'] -> ((((5/3 / 1/4) + 8/3) / 7/8) * 9/4)
[569616] ['1/4', '5/3', '7/8', '8/5', '8/5'] -> (8/5 / (1/4 * (5/3 - (7/8 * 8/5))))
[569621] ['1/4', '5/3', '7/8', '8/5', '9/5'] -> (9/5 / ((1/4 + 7/8) * (5/3 - 8/5)))
[569625] ['1/4', '5/3', '7/8', '8/7', '8/9'] -> (((5/3 / (8/7 - 7/8)) / 1/4) - 8/9)
[569627] ['1/4', '5/3', '7/8', '8/7', '9/4'] -> (((5/3 + (7/8 * 8/7)) / 1/4) * 9/4)
[569638] ['1/4', '5/3', '7/8', '9/2', '9/4'] -> ((((5/3 * 7/8) * 9/2) / 1/4) - 9/4)
[569639] ['1/4', '5/3', '7/8', '9/2', '9/5'] -> ((5/3 * ((7/8 / 1/4) + 9/2)) * 9/5)
[569640] ['1/4', '5/3', '7/8', '9/2', '9/7'] -> (9/7 / (7/8 / ((9/2 / 1/4) - 5/3)))
[569645] ['1/4', '5/3', '7/8', '9/4', '9/8'] -> ((((5/3 + 7/8) * 9/4) / 1/4) + 9/8)
[569653] ['1/4', '5/3', '7/9', '7/9', '8/3'] -> ((((5/3 + 7/9) / 1/4) - 7/9) * 8/3)
[569658] ['1/4', '5/3', '7/9', '7/9', '9/4'] -> (((5/3 + (7/9 / 7/9)) / 1/4) * 9/4)
[569663] ['1/4', '5/3', '7/9', '8/3', '8/5'] -> ((5/3 / (7/9 - (1/4 * 8/3))) * 8/5)
[569664] ['1/4', '5/3', '7/9', '8/3', '8/7'] -> ((((5/3 * 8/3) / 1/4) / 7/9) + 8/7)
[569668] ['1/4', '5/3', '7/9', '8/3', '9/5'] -> (9/5 / (1/4 - ((7/9 / 5/3) / 8/3)))
