[333488] ['1/3', '2/9', '3/2', '4/5', '9/8'] -> ((3/2 / (1/3 - (2/9 / 4/5))) / 9/8)
[334028] ['1/3', '2/9', '3/4', '4/5', '5/6'] -> ((4/5 / ((1/3 * 3/4) - 2/9)) * 5/6)
[334031] ['1/3', '2/9', '3/4', '4/5', '5/9'] -> (((2/9 / (4/5 - 3/4)) / 1/3) / 5/9)
[334034] ['1/3', '2/9', '3/4', '4/5', '7/2'] -> (7/2 / (3/4 * ((1/3 / 4/5) - 2/9)))
[334044] ['1/3', '2/9', '3/4', '4/5', '8/9'] -> (8/9 / (((2/9 / 3/4) / 4/5) - 1/3))
[334047] ['1/3', '2/9', '3/4', '4/5', '9/5'] -> (((2/9 / (4/5 - 3/4)) / 1/3) * 9/5)
[334060] ['1/3', '2/9', '3/4', '4/7', '6/7'] -> ((4/7 / ((1/3 * 3/4) - 2/9)) / 6/7)
[334062] ['1/3', '2/9', '3/4', '4/7', '7/3'] -> ((((4/7 / 1/3) / 2/9) / 3/4) * 7/3)
[334065] ['1/3', '2/9', '3/4', '4/7', '7/6'] -> ((4/7 / ((1/3 * 3/4) - 2/9)) * 7/6)
[334068] ['1/3', '2/9', '3/4', '4/7', '8/3'] -> (8/3 / (((3/4 - 1/3) - 2/9) * 4/7))
[334071] ['1/3', '2/9', '3/4', '4/7', '8/9'] -> (8/9 / (2/9 * (3/4 - (1/3 / 4/7))))
[334072] ['1/3', '2/9', '3/4', '4/7', '9/2'] -> (9/2 / ((1/3 / 2/9) - (3/4 / 4/7)))
[334079] ['1/3', '2/9', '3/4', '4/9', '5/3'] -> ((1/3 + 5/3) / ((3/4 - 2/9) - 4/9))
[334085] ['1/3', '2/9', '3/4', '4/9', '6/5'] -> (6/5 / ((4/9 / (1/3 + 2/9)) - 3/4))
[334094] ['1/3', '2/9', '3/4', '4/9', '8/3'] -> (8/3 / (2/9 - ((1/3 * 3/4) * 4/9)))
[334104] ['1/3', '2/9', '3/4', '5/2', '5/3'] -> (5/3 / (((1/3 * 3/4) - 2/9) * 5/2))
[334108] ['1/3', '2/9', '3/4', '5/2', '5/8'] -> ((5/2 / (1/3 - (2/9 * 3/4))) / 5/8)
[334122] ['1/3', '2/9', '3/4', '5/2', '8/9'] -> (((5/2 / (3/4 - 1/3)) / 2/9) * 8/9)
[334123] ['1/3', '2/9', '3/4', '5/2', '9/2'] -> ((((1/3 / 2/9) + 5/2) / 3/4) * 9/2)
[334127] ['1/3', '2/9', '3/4', '5/2', '9/8'] -> (((5/2 / (3/4 - 1/3)) / 2/9) / 9/8)
[334129] ['1/3', '2/9', '3/4', '5/3', '5/4'] -> ((((5/3 / 1/3) / 2/9) / 3/4) / 5/4)
[334153] ['1/3', '2/9', '3/4', '5/4', '5/6'] -> (5/6 / (((1/3 * 3/4) - 2/9) * 5/4))
[334159] ['1/3', '2/9', '3/4', '5/4', '7/2'] -> (7/2 / (3/4 * ((1/3 * 5/4) - 2/9)))
[334174] ['1/3', '2/9', '3/4', '5/4', '9/8'] -> ((((3/4 + 5/4) / 1/3) / 2/9) / 9/8)
[334177] ['1/3', '2/9', '3/4', '5/6', '5/8'] -> ((((5/6 / 1/3) / 2/9) / 3/4) / 5/8)
[334178] ['1/3', '2/9', '3/4', '5/6', '5/9'] -> (5/9 / (((1/3 * 3/4) - 2/9) * 5/6))
[334189] ['1/3', '2/9', '3/4', '5/6', '8/5'] -> ((((5/6 / 1/3) / 2/9) / 3/4) * 8/5)
[334192] ['1/3', '2/9', '3/4', '5/6', '9/2'] -> ((1/3 + ((5/6 / 2/9) / 3/4)) * 9/2)
[334204] ['1/3', '2/9', '3/4', '5/7', '7/4'] -> (((1/3 / (3/4 - 5/7)) / 2/9) / 7/4)
[334211] ['1/3', '2/9', '3/4', '5/7', '8/7'] -> (8/7 / ((5/7 - (1/3 / 3/4)) - 2/9))
[334216] ['1/3', '2/9', '3/4', '5/7', '9/7'] -> (9/7 / ((1/3 * (3/4 - 5/7)) / 2/9))
[334219] ['1/3', '2/9', '3/4', '5/8', '5/9'] -> (5/9 / ((1/3 - (2/9 / 3/4)) * 5/8))
[334222] ['1/3', '2/9', '3/4', '5/8', '7/2'] -> (7/2 / (3/4 * (1/3 - (2/9 * 5/8))))
[334226] ['1/3', '2/9', '3/4', '5/8', '7/6'] -> (7/6 / ((2/9 * 3/4) * (5/8 - 1/3)))
[334228] ['1/3', '2/9', '3/4', '5/8', '7/9'] -> (7/9 / (1/3 * ((2/9 + 5/8) - 3/4)))
[334230] ['1/3', '2/9', '3/4', '5/8', '8/5'] -> (8/5 / (1/3 - ((2/9 * 3/4) / 5/8)))
[334234] ['1/3', '2/9', '3/4', '5/8', '9/4'] -> ((3/4 / (2/9 - (1/3 * 5/8))) / 9/4)
[334249] ['1/3', '2/9', '3/4', '5/9', '8/5'] -> ((5/9 / (1/3 - (2/9 / 3/4))) * 8/5)
[334251] ['1/3', '2/9', '3/4', '5/9', '8/9'] -> (8/9 / ((2/9 * 3/4) * (5/9 - 1/3)))
[334252] ['1/3', '2/9', '3/4', '5/9', '9/2'] -> ((((1/3 + 5/9) / 2/9) / 3/4) * 9/2)
[334267] ['1/3', '2/9', '3/4', '6/5', '8/5'] -> (8/5 / (((1/3 * 2/9) * 3/4) * 6/5))
[334282] ['1/3', '2/9', '3/4', '6/7', '7/9'] -> ((6/7 / ((1/3 * 3/4) - 2/9)) * 7/9)
[334290] ['1/3', '2/9', '3/4', '6/7', '9/7'] -> ((6/7 / ((1/3 * 3/4) - 2/9)) / 9/7)
[334293] ['1/3', '2/9', '3/4', '7/2', '7/3'] -> (7/3 / (((1/3 * 3/4) - 2/9) * 7/2))
[334297] ['1/3', '2/9', '3/4', '7/2', '7/8'] -> ((7/2 / (1/3 - (2/9 * 3/4))) / 7/8)
[334301] ['1/3', '2/9', '3/4', '7/2', '8/7'] -> ((7/2 / (1/3 - (2/9 * 3/4))) * 8/7)
[334304] ['1/3', '2/9', '3/4', '7/2', '9/4'] -> (((2/9 * 3/4) + (7/2 / 1/3)) * 9/4)
[334305] ['1/3', '2/9', '3/4', '7/2', '9/5'] -> ((((7/2 / 3/4) - 2/9) / 1/3) * 9/5)
[334309] ['1/3', '2/9', '3/4', '7/3', '7/4'] -> ((((7/3 / 1/3) / 2/9) / 3/4) / 7/4)
[334313] ['1/3', '2/9', '3/4', '7/3', '7/9'] -> ((2/9 / (1/3 - (3/4 / 7/3))) / 7/9)
[334314] ['1/3', '2/9', '3/4', '7/3', '8/3'] -> (((1/3 + 7/3) / (2/9 / 3/4)) * 8/3)
[334321] ['1/3', '2/9', '3/4', '7/3', '9/7'] -> (9/7 / ((1/3 - (3/4 / 7/3)) / 2/9))
[334325] ['1/3', '2/9', '3/4', '7/4', '7/6'] -> (7/6 / (((1/3 * 3/4) - 2/9) * 7/4))
[334329] ['1/3', '2/9', '3/4', '7/4', '8/5'] -> (((7/4 / (1/3 - 2/9)) - 3/4) * 8/5)
[334347] ['1/3', '2/9', '3/4', '7/5', '9/5'] -> (9/5 / (3/4 * ((1/3 / 2/9) - 7/5)))
[334351] ['1/3', '2/9', '3/4', '7/6', '7/8'] -> ((((7/6 / 1/3) / 2/9) / 3/4) / 7/8)
[334352] ['1/3', '2/9', '3/4', '7/6', '7/9'] -> (7/9 / (((1/3 * 3/4) - 2/9) * 7/6))
[334353] ['1/3', '2/9', '3/4', '7/6', '8/3'] -> ((((1/3 + 7/6) / 2/9) / 3/4) * 8/3)
[334354] ['1/3', '2/9', '3/4', '7/6', '8/5'] -> ((((7/6 / 1/3) / 2/9) - 3/4) * 8/5)
[334357] ['1/3', '2/9', '3/4', '7/6', '9/2'] -> (((2/9 + (7/6 / 3/4)) / 1/3) * 9/2)
[334379] ['1/3', '2/9', '3/4', '7/9', '9/4'] -> (((1/3 / (7/9 - 3/4)) / 2/9) / 9/4)
[334383] ['1/3', '2/9', '3/4', '8/3', '8/3'] -> (8/3 / (((2/9 * 3/4) * 8/3) - 1/3))
[334386] ['1/3', '2/9', '3/4', '8/3', '8/9'] -> ((((3/4 * 8/3) / 1/3) / 2/9) * 8/9)
[334391] ['1/3', '2/9', '3/4', '8/3', '9/8'] -> ((((3/4 * 8/3) / 1/3) / 2/9) / 9/8)
[334392] ['1/3', '2/9', '3/4', '8/5', '8/5'] -> (8/5 / (1/3 - ((2/9 * 3/4) * 8/5)))
[334395] ['1/3', '2/9', '3/4', '8/5', '9/2'] -> (9/2 / (((1/3 / 2/9) / 8/5) - 3/4))
[334402] ['1/3', '2/9', '3/4', '8/7', '9/2'] -> (9/2 / (1/3 - ((2/9 * 3/4) / 8/7)))
[334408] ['1/3', '2/9', '3/4', '8/9', '9/2'] -> ((8/9 / (1/3 - (2/9 * 3/4))) * 9/2)
[334415] ['1/3', '2/9', '3/4', '9/2', '9/5'] -> (((9/2 / 1/3) - (2/9 * 3/4)) * 9/5)
[334416] ['1/3', '2/9', '3/4', '9/2', '9/7'] -> (9/7 / (1/3 / (2/9 + (9/2 / 3/4))))
[334422] ['1/3', '2/9', '3/4', '9/5', '9/5'] -> (9/5 / (((3/4 - 1/3) / 2/9) - 9/5))
[334431] ['1/3', '2/9', '3/5', '3/5', '4/3'] -> (4/3 / ((1/3 / (3/5 + 3/5)) - 2/9))
[334440] ['1/3', '2/9', '3/5', '3/5', '5/8'] -> ((3/5 / 3/5) / ((2/9 / 1/3) - 5/8))
[334454] ['1/3', '2/9', '3/5', '3/5', '8/9'] -> ((3/5 * 8/9) / (2/9 - (1/3 * 3/5)))
[334459] ['1/3', '2/9', '3/5', '3/5', '9/8'] -> ((3/5 / (2/9 - (1/3 * 3/5))) / 9/8)
[334482] ['1/3', '2/9', '3/5', '3/7', '8/3'] -> (8/3 / (3/5 * ((2/9 / 3/7) - 1/3)))
[334485] ['1/3', '2/9', '3/5', '3/7', '8/9'] -> (8/9 / ((1/3 / 3/5) - (2/9 / 3/7)))
[334508] ['1/3', '2/9', '3/5', '3/8', '7/5'] -> (7/5 / (3/5 * (2/9 - (1/3 * 3/8))))
[334513] ['1/3', '2/9', '3/5', '3/8', '8/5'] -> (8/5 / (((1/3 / 3/8) - 2/9) - 3/5))
[334515] ['1/3', '2/9', '3/5', '3/8', '8/9'] -> (8/9 / ((2/9 / 3/8) - (1/3 / 3/5)))
[334521] ['1/3', '2/9', '3/5', '4/3', '4/3'] -> (4/3 / (1/3 - ((2/9 / 3/5) / 4/3)))
[334525] ['1/3', '2/9', '3/5', '4/3', '5/2'] -> ((4/3 / (2/9 - (1/3 * 3/5))) / 5/2)
[334558] ['1/3', '2/9', '3/5', '4/5', '5/8'] -> ((1/3 / ((2/9 + 3/5) - 4/5)) / 5/8)
[334572] ['1/3', '2/9', '3/5', '4/5', '8/9'] -> (8/9 / (1/3 - ((2/9 * 4/5) / 3/5)))
[334586] ['1/3', '2/9', '3/5', '4/7', '5/9'] -> ((2/9 / (3/5 - (1/3 / 4/7))) / 5/9)
[334602] ['1/3', '2/9', '3/5', '4/7', '9/5'] -> ((2/9 / (3/5 - (1/3 / 4/7))) * 9/5)
[334609] ['1/3', '2/9', '3/5', '4/9', '5/6'] -> ((4/9 / (2/9 - (1/3 * 3/5))) / 5/6)
[334613] ['1/3', '2/9', '3/5', '4/9', '6/5'] -> ((4/9 / (2/9 - (1/3 * 3/5))) * 6/5)
[334648] ['1/3', '2/9', '3/5', '5/2', '8/5'] -> (8/5 / (1/3 * ((3/5 / 2/9) - 5/2)))
[334660] ['1/3', '2/9', '3/5', '5/3', '5/8'] -> ((((1/3 + 5/3) / 2/9) / 3/5) / 5/8)
[334662] ['1/3', '2/9', '3/5', '5/3', '6/5'] -> (((3/5 + (5/3 / 1/3)) / 2/9) - 6/5)
[334679] ['1/3', '2/9', '3/5', '5/3', '9/8'] -> ((3/5 / (2/9 - (1/3 / 5/3))) / 9/8)
[334695] ['1/3', '2/9', '3/5', '5/4', '8/5'] -> (8/5 / (3/5 - ((2/9 / 1/3) / 5/4)))
[334697] ['1/3', '2/9', '3/5', '5/4', '8/9'] -> (8/9 / (1/3 - ((2/9 / 3/5) / 5/4)))
[334730] ['1/3', '2/9', '3/5', '5/7', '7/2'] -> (7/2 / (2/9 / (1/3 + (5/7 / 3/5))))
[334737] ['1/3', '2/9', '3/5', '5/7', '8/3'] -> (8/3 / ((2/9 / 5/7) - (1/3 * 3/5)))
[334740] ['1/3', '2/9', '3/5', '5/7', '8/9'] -> ((3/5 / (1/3 - (2/9 / 5/7))) * 8/9)
[334745] ['1/3', '2/9', '3/5', '5/7', '9/8'] -> ((3/5 / (1/3 - (2/9 / 5/7))) / 9/8)
[334757] ['1/3', '2/9', '3/5', '5/8', '8/3'] -> (((2/9 / (5/8 - 3/5)) / 1/3) - 8/3)
[334761] ['1/3', '2/9', '3/5', '5/8', '9/2'] -> ((2/9 / ((3/5 * 5/8) - 1/3)) * 9/2)
[334765] ['1/3', '2/9', '3/5', '5/8', '9/8'] -> ((3/5 / ((2/9 / 5/8) - 1/3)) / 9/8)
[334770] ['1/3', '2/9', '3/5', '5/9', '7/3'] -> ((1/3 + 7/3) / ((3/5 * 5/9) - 2/9))
[334799] ['1/3', '2/9', '3/5', '6/5', '9/4'] -> ((6/5 / (2/9 - (1/3 * 3/5))) / 9/4)
[334813] ['1/3', '2/9', '3/5', '6/7', '8/7'] -> (8/7 / ((3/5 * (6/7 - 2/9)) - 1/3))
[334842] ['1/3', '2/9', '3/5', '7/3', '8/3'] -> (8/3 / (3/5 * ((2/9 * 7/3) - 1/3)))
[334843] ['1/3', '2/9', '3/5', '7/3', '8/5'] -> ((((7/3 - 1/3) / 2/9) / 3/5) * 8/5)
[334844] ['1/3', '2/9', '3/5', '7/3', '8/7'] -> (8/7 / (3/5 * (2/9 - (1/3 / 7/3))))
[334845] ['1/3', '2/9', '3/5', '7/3', '8/9'] -> (8/9 / ((1/3 / 3/5) - (2/9 * 7/3)))
[334862] ['1/3', '2/9', '3/5', '7/4', '9/5'] -> ((2/9 / (3/5 - (1/3 * 7/4))) * 9/5)
[334881] ['1/3', '2/9', '3/5', '7/6', '8/3'] -> (8/3 / ((2/9 * 3/5) * (7/6 - 1/3)))
[334891] ['1/3', '2/9', '3/5', '7/8', '7/9'] -> (7/9 / (((2/9 / 3/5) - 1/3) * 7/8))
[334894] ['1/3', '2/9', '3/5', '7/8', '8/7'] -> (8/7 / (3/5 * (1/3 - (2/9 / 7/8))))
[334898] ['1/3', '2/9', '3/5', '7/8', '9/5'] -> (9/5 / ((3/5 / 2/9) - (7/8 / 1/3)))
[334904] ['1/3', '2/9', '3/5', '7/9', '8/7'] -> ((7/9 / ((2/9 / 3/5) - 1/3)) * 8/7)
[334914] ['1/3', '2/9', '3/5', '8/3', '8/9'] -> (8/9 / ((2/9 * 8/3) - (1/3 / 3/5)))
[334917] ['1/3', '2/9', '3/5', '8/3', '9/5'] -> ((8/3 / (1/3 - (2/9 * 3/5))) * 9/5)
[334921] ['1/3', '2/9', '3/5', '8/5', '8/7'] -> ((((8/5 / 1/3) / 2/9) - 3/5) * 8/7)
[334923] ['1/3', '2/9', '3/5', '8/5', '9/2'] -> ((2/9 / ((3/5 / 8/5) - 1/3)) * 9/2)
[334928] ['1/3', '2/9', '3/5', '8/7', '8/7'] -> (8/7 / (3/5 * (1/3 - (2/9 * 8/7))))
[334933] ['1/3', '2/9', '3/5', '8/7', '9/7'] -> ((8/7 / ((2/9 / 3/5) - 1/3)) / 9/7)
[334935] ['1/3', '2/9', '3/5', '8/9', '8/9'] -> (8/9 / (((1/3 + 2/9) / 3/5) - 8/9))
[334957] ['1/3', '2/9', '3/7', '3/7', '3/8'] -> (((3/7 / (1/3 - 2/9)) / 3/7) / 3/8)
[334960] ['1/3', '2/9', '3/7', '3/7', '4/7'] -> (((1/3 + 3/7) / 2/9) / (4/7 - 3/7))
[334966] ['1/3', '2/9', '3/7', '3/7', '5/7'] -> ((3/7 + 5/7) / ((1/3 - 2/9) * 3/7))
[334967] ['1/3', '2/9', '3/7', '3/7', '5/8'] -> ((3/7 / 3/7) / ((2/9 / 1/3) - 5/8))
[334980] ['1/3', '2/9', '3/7', '3/7', '8/7'] -> (8/7 / ((1/3 * 3/7) - (2/9 * 3/7)))
[334998] ['1/3', '2/9', '3/7', '3/8', '5/9'] -> (5/9 / (((3/8 - 2/9) / 3/7) - 1/3))
[335000] ['1/3', '2/9', '3/7', '3/8', '6/7'] -> (((1/3 / (3/7 - 3/8)) / 2/9) * 6/7)
[335002] ['1/3', '2/9', '3/7', '3/8', '7/3'] -> (((3/7 / (1/3 - 2/9)) / 3/8) * 7/3)
[335005] ['1/3', '2/9', '3/7', '3/8', '7/6'] -> (((1/3 / (3/7 - 3/8)) / 2/9) / 7/6)
[335008] ['1/3', '2/9', '3/7', '3/8', '8/3'] -> (8/3 / (3/7 * ((2/9 / 3/8) - 1/3)))
[335010] ['1/3', '2/9', '3/7', '3/8', '8/7'] -> (8/7 / (((1/3 + 2/9) - 3/7) * 3/8))
[335017] ['1/3', '2/9', '3/7', '4/3', '4/3'] -> (4/3 / (((2/9 / 3/7) / 4/3) - 1/3))
[335029] ['1/3', '2/9', '3/7', '4/3', '6/7'] -> (((4/3 / (1/3 - 2/9)) / 3/7) * 6/7)
[335032] ['1/3', '2/9', '3/7', '4/3', '7/4'] -> ((((4/3 / 1/3) / 2/9) / 3/7) / 7/4)
