[146280] ['1/2', '3/2', '3/2', '6/7', '7/8'] -> ((3/2 / ((6/7 / 3/2) - 1/2)) / 7/8)
[146469] ['1/2', '3/2', '3/4', '3/5', '5/4'] -> ((3/2 / (1/2 - (3/4 * 3/5))) / 5/4)
[146472] ['1/2', '3/2', '3/4', '3/5', '5/8'] -> ((1/2 + (3/2 / 3/5)) / (3/4 - 5/8))
[146473] ['1/2', '3/2', '3/4', '3/5', '5/9'] -> (((1/2 + 3/2) / (3/4 - 3/5)) / 5/9)
[146481] ['1/2', '3/2', '3/4', '3/5', '7/8'] -> ((1/2 + (3/2 / 3/5)) / (7/8 - 3/4))
[146493] ['1/2', '3/2', '3/4', '3/7', '3/8'] -> (((3/4 / (1/2 - 3/7)) - 3/2) / 3/8)
[146496] ['1/2', '3/2', '3/4', '3/7', '4/7'] -> (4/7 / ((1/2 / 3/4) - (3/2 * 3/7)))
[146507] ['1/2', '3/2', '3/4', '3/7', '7/2'] -> ((3/2 + (3/4 / 7/2)) / (1/2 - 3/7))
[146516] ['1/2', '3/2', '3/4', '3/7', '8/7'] -> ((3/2 * 8/7) / ((3/7 / 3/4) - 1/2))
[146518] ['1/2', '3/2', '3/4', '3/7', '9/2'] -> (((1/2 + (3/2 / 3/7)) / 3/4) * 9/2)
[146536] ['1/2', '3/2', '3/4', '3/8', '6/7'] -> ((3/2 / 3/8) / (3/4 - (1/2 / 6/7)))
[146542] ['1/2', '3/2', '3/4', '3/8', '7/8'] -> ((3/4 / ((7/8 / 3/2) - 1/2)) / 3/8)
[146544] ['1/2', '3/2', '3/4', '3/8', '8/3'] -> (((3/2 * 3/4) * 8/3) / (1/2 - 3/8))
[146547] ['1/2', '3/2', '3/4', '3/8', '8/9'] -> ((3/2 / 3/8) / ((3/4 * 8/9) - 1/2))
[146576] ['1/2', '3/2', '3/4', '4/3', '8/9'] -> (((1/2 + 3/2) + 4/3) / (8/9 - 3/4))
[146578] ['1/2', '3/2', '3/4', '4/3', '9/4'] -> ((9/4 / 3/2) / ((3/4 / 4/3) - 1/2))
[146610] ['1/2', '3/2', '3/4', '4/7', '4/7'] -> (4/7 / (((4/7 / 1/2) / 3/4) - 3/2))
[146625] ['1/2', '3/2', '3/4', '4/7', '7/6'] -> (((3/2 / (4/7 - 1/2)) / 3/4) / 7/6)
[146626] ['1/2', '3/2', '3/4', '4/7', '7/8'] -> ((3/2 / (1/2 - (3/4 * 4/7))) / 7/8)
[146628] ['1/2', '3/2', '3/4', '4/7', '8/3'] -> (((3/4 / (4/7 - 1/2)) - 3/2) * 8/3)
[146630] ['1/2', '3/2', '3/4', '4/7', '8/7'] -> ((3/2 * 8/7) / (1/2 - (3/4 * 4/7)))
[146641] ['1/2', '3/2', '3/4', '4/9', '5/6'] -> ((1/2 + 5/6) / ((3/4 / 3/2) - 4/9))
[146651] ['1/2', '3/2', '3/4', '4/9', '7/6'] -> ((3/2 + 7/6) / ((3/4 - 1/2) * 4/9))
[146671] ['1/2', '3/2', '3/4', '5/2', '6/7'] -> ((3/2 + 5/2) / (3/4 - (1/2 / 6/7)))
[146676] ['1/2', '3/2', '3/4', '5/2', '7/6'] -> ((3/2 + 5/2) / (3/4 - (1/2 * 7/6)))
[146687] ['1/2', '3/2', '3/4', '5/2', '9/8'] -> ((3/2 + 5/2) / ((3/4 / 9/8) - 1/2))
[146706] ['1/2', '3/2', '3/4', '5/3', '8/9'] -> ((5/3 / 3/4) / ((8/9 / 3/2) - 1/2))
[146707] ['1/2', '3/2', '3/4', '5/3', '9/2'] -> (((3/2 / 3/4) + (5/3 / 1/2)) * 9/2)
[146714] ['1/2', '3/2', '3/4', '5/4', '5/7'] -> ((3/2 / (1/2 + 5/4)) / (3/4 - 5/7))
[146716] ['1/2', '3/2', '3/4', '5/4', '5/9'] -> (((3/4 + 5/4) / 3/2) / (5/9 - 1/2))
[146722] ['1/2', '3/2', '3/4', '5/4', '7/5'] -> ((3/2 / 5/4) / (3/4 - (1/2 * 7/5)))
[146724] ['1/2', '3/2', '3/4', '5/4', '7/8'] -> ((3/4 + 5/4) / ((7/8 / 3/2) - 1/2))
[146734] ['1/2', '3/2', '3/4', '5/4', '9/8'] -> ((3/2 + (3/4 / 1/2)) / (5/4 - 9/8))
[146735] ['1/2', '3/2', '3/4', '5/6', '5/6'] -> ((1/2 + 5/6) * (3/2 / (5/6 - 3/4)))
[146745] ['1/2', '3/2', '3/4', '5/6', '7/6'] -> ((1/2 + 5/6) / ((7/6 / 3/4) - 3/2))
[146753] ['1/2', '3/2', '3/4', '5/6', '9/4'] -> ((1/2 + (9/4 / 3/2)) / (5/6 - 3/4))
[146762] ['1/2', '3/2', '3/4', '5/7', '7/2'] -> (((3/2 / (3/4 - 5/7)) / 1/2) / 7/2)
[146763] ['1/2', '3/2', '3/4', '5/7', '7/3'] -> (((1/2 + 3/2) / (3/4 - 5/7)) / 7/3)
[146764] ['1/2', '3/2', '3/4', '5/7', '7/4'] -> ((3/2 / ((3/4 * 5/7) - 1/2)) / 7/4)
[146775] ['1/2', '3/2', '3/4', '5/7', '9/5'] -> (9/5 / (3/2 * (3/4 - (1/2 / 5/7))))
[146778] ['1/2', '3/2', '3/4', '5/8', '5/8'] -> (3/2 / ((1/2 * (3/4 + 5/8)) - 5/8))
[146780] ['1/2', '3/2', '3/4', '5/8', '6/5'] -> (6/5 / ((1/2 / 5/8) - (3/2 - 3/4)))
[146785] ['1/2', '3/2', '3/4', '5/8', '7/5'] -> (((3/4 / 1/2) / 5/8) / (3/2 - 7/5))
[146790] ['1/2', '3/2', '3/4', '5/8', '8/5'] -> (((3/4 / 1/2) / 5/8) / (8/5 - 3/2))
[146795] ['1/2', '3/2', '3/4', '5/8', '9/5'] -> ((9/5 / 3/2) / ((1/2 / 5/8) - 3/4))
[146805] ['1/2', '3/2', '3/4', '5/9', '7/6'] -> ((3/2 + 7/6) / ((1/2 / 3/4) - 5/9))
[146813] ['1/2', '3/2', '3/4', '5/9', '9/4'] -> (((3/2 / (5/9 - 1/2)) - 3/4) - 9/4)
[146814] ['1/2', '3/2', '3/4', '5/9', '9/5'] -> ((9/5 / 1/2) / (3/2 - (3/4 / 5/9)))
[146819] ['1/2', '3/2', '3/4', '6/5', '7/2'] -> ((3/2 + 7/2) / ((3/4 - 1/2) / 6/5))
[146840] ['1/2', '3/2', '3/4', '6/7', '7/6'] -> (((3/2 / (6/7 - 3/4)) / 1/2) / 7/6)
[146842] ['1/2', '3/2', '3/4', '6/7', '7/9'] -> (((1/2 + 3/2) / (6/7 - 3/4)) / 7/9)
[146843] ['1/2', '3/2', '3/4', '6/7', '8/3'] -> ((3/2 * 8/3) / (3/4 - (1/2 / 6/7)))
[146858] ['1/2', '3/2', '3/4', '7/2', '7/9'] -> (((3/2 + 7/2) / 3/4) / (7/9 - 1/2))
[146861] ['1/2', '3/2', '3/4', '7/2', '8/7'] -> (((3/2 * 7/2) / (3/4 - 1/2)) * 8/7)
[146865] ['1/2', '3/2', '3/4', '7/2', '9/5'] -> ((((3/2 + 7/2) / 1/2) / 3/4) * 9/5)
[146874] ['1/2', '3/2', '3/4', '7/3', '8/3'] -> (8/3 / ((7/3 / 3/4) - (3/2 / 1/2)))
[146881] ['1/2', '3/2', '3/4', '7/3', '9/7'] -> ((9/7 / 1/2) / (3/4 - (3/2 / 7/3)))
[146886] ['1/2', '3/2', '3/4', '7/4', '7/8'] -> ((3/2 / (1/2 - (3/4 / 7/4))) / 7/8)
[146890] ['1/2', '3/2', '3/4', '7/4', '8/7'] -> ((3/2 * 8/7) / (1/2 - (3/4 / 7/4)))
[146895] ['1/2', '3/2', '3/4', '7/4', '9/7'] -> ((9/7 / 1/2) / ((3/2 / 7/4) - 3/4))
[146908] ['1/2', '3/2', '3/4', '7/5', '9/7'] -> (9/7 / (3/2 * ((3/4 / 7/5) - 1/2)))
[146917] ['1/2', '3/2', '3/4', '7/6', '9/2'] -> ((3/2 + ((3/4 + 7/6) / 1/2)) * 9/2)
[146918] ['1/2', '3/2', '3/4', '7/6', '9/4'] -> (((3/2 + 7/6) / (3/4 - 1/2)) * 9/4)
[146922] ['1/2', '3/2', '3/4', '7/8', '7/8'] -> (3/4 / (((7/8 * 7/8) / 1/2) - 3/2))
[146943] ['1/2', '3/2', '3/4', '8/3', '8/3'] -> (((3/2 + 3/4) / 1/2) * (8/3 + 8/3))
[146951] ['1/2', '3/2', '3/4', '8/3', '9/8'] -> ((9/8 / 3/4) / ((3/2 / 8/3) - 1/2))
[146959] ['1/2', '3/2', '3/4', '8/5', '9/8'] -> ((9/8 / 3/2) / (1/2 - (3/4 / 8/5)))
[146960] ['1/2', '3/2', '3/4', '8/7', '8/7'] -> ((1/2 * 8/7) / ((8/7 / 3/4) - 3/2))
[146988] ['1/2', '3/2', '3/5', '3/5', '3/5'] -> (((3/2 / (3/5 - 1/2)) - 3/5) / 3/5)
[146992] ['1/2', '3/2', '3/5', '3/5', '4/5'] -> ((3/5 + 3/5) / (4/5 - (1/2 * 3/2)))
[146995] ['1/2', '3/2', '3/5', '3/5', '5/2'] -> ((3/2 + 5/2) / ((3/5 - 1/2) / 3/5))
[146996] ['1/2', '3/2', '3/5', '3/5', '5/3'] -> (((3/2 / (3/5 - 1/2)) - 3/5) * 5/3)
[147003] ['1/2', '3/2', '3/5', '3/5', '6/7'] -> ((3/5 / 3/2) / (3/5 - (1/2 / 6/7)))
[147007] ['1/2', '3/2', '3/5', '3/5', '7/5'] -> (((3/5 + 3/5) / 1/2) / (3/2 - 7/5))
[147008] ['1/2', '3/2', '3/5', '3/5', '7/6'] -> ((3/5 / 3/2) / (3/5 - (1/2 * 7/6)))
[147013] ['1/2', '3/2', '3/5', '3/5', '8/7'] -> (((3/2 + 3/5) * 8/7) / (3/5 - 1/2))
[147017] ['1/2', '3/2', '3/5', '3/5', '9/5'] -> ((3/5 + 9/5) / (1/2 - (3/5 / 3/2)))
[147033] ['1/2', '3/2', '3/5', '3/7', '6/5'] -> ((6/5 / 1/2) / (3/2 - (3/5 / 3/7)))
[147034] ['1/2', '3/2', '3/5', '3/7', '6/7'] -> (6/7 / ((1/2 * 3/2) - (3/7 / 3/5)))
[147044] ['1/2', '3/2', '3/5', '3/7', '8/7'] -> (8/7 / (((1/2 + 3/7) / 3/5) - 3/2))
[147046] ['1/2', '3/2', '3/5', '3/7', '9/2'] -> ((((3/2 / 3/5) / 3/7) - 1/2) * 9/2)
[147053] ['1/2', '3/2', '3/5', '3/8', '4/5'] -> (4/5 / ((3/5 / (3/2 - 3/8)) - 1/2))
[147065] ['1/2', '3/2', '3/5', '3/8', '7/2'] -> ((3/2 + 7/2) / ((1/2 - 3/8) / 3/5))
[147081] ['1/2', '3/2', '3/5', '4/3', '4/3'] -> (4/3 / ((4/3 / 3/2) - (1/2 / 3/5)))
[147087] ['1/2', '3/2', '3/5', '4/3', '5/4'] -> ((3/2 / (1/2 - (3/5 / 4/3))) / 5/4)
[147088] ['1/2', '3/2', '3/5', '4/3', '5/6'] -> (((3/2 * 4/3) / (3/5 - 1/2)) / 5/6)
[147091] ['1/2', '3/2', '3/5', '4/3', '5/9'] -> ((4/3 / (1/2 - (3/5 / 3/2))) / 5/9)
[147113] ['1/2', '3/2', '3/5', '4/5', '5/2'] -> ((3/2 / ((1/2 / 4/5) - 3/5)) / 5/2)
[147115] ['1/2', '3/2', '3/5', '4/5', '5/4'] -> ((3/2 * 4/5) / (5/4 - (3/5 / 1/2)))
[147116] ['1/2', '3/2', '3/5', '4/5', '5/6'] -> ((4/5 / 3/5) / ((5/6 / 3/2) - 1/2))
[147118] ['1/2', '3/2', '3/5', '4/5', '5/8'] -> (((3/2 / (4/5 - 3/5)) / 1/2) / 5/8)
[147122] ['1/2', '3/2', '3/5', '4/5', '7/2'] -> ((1/2 + 7/2) / (3/2 - (4/5 / 3/5)))
[147138] ['1/2', '3/2', '3/5', '4/7', '4/7'] -> (4/7 / ((3/2 * 4/7) - (1/2 / 3/5)))
[147147] ['1/2', '3/2', '3/5', '4/7', '6/5'] -> (6/5 / ((1/2 + (3/5 / 4/7)) - 3/2))
[147158] ['1/2', '3/2', '3/5', '4/7', '8/7'] -> (8/7 / ((3/2 - (4/7 / 3/5)) - 1/2))
[147165] ['1/2', '3/2', '3/5', '4/9', '4/9'] -> (4/9 / (3/2 - ((4/9 / 1/2) / 3/5)))
[147188] ['1/2', '3/2', '3/5', '4/9', '9/5'] -> (9/5 / (1/2 * (3/2 - (3/5 / 4/9))))
[147192] ['1/2', '3/2', '3/5', '5/2', '5/3'] -> (((3/2 + 5/2) / (3/5 - 1/2)) / 5/3)
[147193] ['1/2', '3/2', '3/5', '5/2', '5/4'] -> ((3/2 / 5/2) / ((1/2 * 5/4) - 3/5))
[147196] ['1/2', '3/2', '3/5', '5/2', '5/8'] -> ((3/2 + (3/5 * 5/2)) / (5/8 - 1/2))
[147197] ['1/2', '3/2', '3/5', '5/2', '5/9'] -> ((((3/2 + 5/2) / 1/2) / 3/5) / 5/9)
[147198] ['1/2', '3/2', '3/5', '5/2', '6/5'] -> (6/5 / ((1/2 * (3/5 + 5/2)) - 3/2))
[147206] ['1/2', '3/2', '3/5', '5/2', '7/9'] -> (((3/2 + 5/2) / 3/5) / (7/9 - 1/2))
[147207] ['1/2', '3/2', '3/5', '5/2', '8/3'] -> ((((3/2 / 1/2) + 3/5) * 5/2) * 8/3)
[147221] ['1/2', '3/2', '3/5', '5/3', '5/9'] -> (((3/2 / (3/5 - 1/2)) - 5/3) / 5/9)
[147222] ['1/2', '3/2', '3/5', '5/3', '6/5'] -> ((6/5 / 1/2) / (3/5 * (5/3 - 3/2)))
[147237] ['1/2', '3/2', '3/5', '5/3', '9/5'] -> (((3/2 / (3/5 - 1/2)) - 5/3) * 9/5)
[147247] ['1/2', '3/2', '3/5', '5/4', '7/2'] -> (((3/2 + 5/4) / (3/5 - 1/2)) - 7/2)
[147265] ['1/2', '3/2', '3/5', '5/6', '5/8'] -> (((3/2 / 3/5) / 5/6) / (5/8 - 1/2))
[147280] ['1/2', '3/2', '3/5', '5/6', '9/2'] -> (((3/2 + 9/2) / 1/2) / (3/5 * 5/6))
[147286] ['1/2', '3/2', '3/5', '5/7', '5/8'] -> ((3/2 / ((1/2 / 5/7) - 3/5)) / 5/8)
[147288] ['1/2', '3/2', '3/5', '5/7', '6/5'] -> ((3/5 / (1/2 - (5/7 / 3/2))) - 6/5)
[147298] ['1/2', '3/2', '3/5', '5/7', '8/5'] -> ((3/2 / ((1/2 / 5/7) - 3/5)) * 8/5)
[147302] ['1/2', '3/2', '3/5', '5/7', '9/4'] -> (((3/2 / (5/7 - 3/5)) / 1/2) - 9/4)
[147306] ['1/2', '3/2', '3/5', '5/8', '5/8'] -> ((3/5 + (3/2 / 5/8)) / (5/8 - 1/2))
[147307] ['1/2', '3/2', '3/5', '5/8', '5/9'] -> (((1/2 / (5/8 - 3/5)) / 3/2) / 5/9)
[147318] ['1/2', '3/2', '3/5', '5/8', '8/5'] -> (8/5 / (3/5 - ((1/2 / 3/2) / 5/8)))
[147337] ['1/2', '3/2', '3/5', '5/9', '8/5'] -> (8/5 / ((3/5 * (3/2 - 5/9)) - 1/2))
[147339] ['1/2', '3/2', '3/5', '5/9', '8/9'] -> (((3/2 / (3/5 - 1/2)) / 5/9) * 8/9)
[147340] ['1/2', '3/2', '3/5', '5/9', '9/2'] -> (((1/2 + (3/2 / 5/9)) / 3/5) * 9/2)
[147344] ['1/2', '3/2', '3/5', '5/9', '9/8'] -> (((3/2 / (3/5 - 1/2)) / 5/9) / 9/8)
[147350] ['1/2', '3/2', '3/5', '6/5', '7/5'] -> (((3/5 / 1/2) + 6/5) / (3/2 - 7/5))
[147351] ['1/2', '3/2', '3/5', '6/5', '7/6'] -> ((6/5 / 3/2) / ((3/5 / 1/2) - 7/6))
[147352] ['1/2', '3/2', '3/5', '6/5', '7/8'] -> ((6/5 / 3/5) / ((7/8 / 3/2) - 1/2))
[147354] ['1/2', '3/2', '3/5', '6/5', '8/3'] -> ((((3/2 + 6/5) / 1/2) / 3/5) * 8/3)
[147357] ['1/2', '3/2', '3/5', '6/5', '8/9'] -> (((3/2 + 6/5) / (3/5 - 1/2)) * 8/9)
[147375] ['1/2', '3/2', '3/5', '6/7', '9/2'] -> (((3/2 / (6/7 - 3/5)) - 1/2) * 9/2)
[147380] ['1/2', '3/2', '3/5', '7/2', '7/2'] -> (((3/2 / 3/5) + 7/2) * (1/2 + 7/2))
[147391] ['1/2', '3/2', '3/5', '7/2', '9/2'] -> (((3/2 / 3/5) + 7/2) * (9/2 - 1/2))
[147403] ['1/2', '3/2', '3/5', '7/3', '8/5'] -> (8/5 / (((3/2 / 1/2) - 3/5) - 7/3))
[147421] ['1/2', '3/2', '3/5', '7/4', '9/4'] -> (((3/2 * 7/4) / (3/5 - 1/2)) - 9/4)
[147422] ['1/2', '3/2', '3/5', '7/4', '9/5'] -> ((9/5 / 1/2) / (3/5 * (7/4 - 3/2)))
[147430] ['1/2', '3/2', '3/5', '7/5', '8/5'] -> ((3/2 * 8/5) / ((1/2 * 7/5) - 3/5))
[147441] ['1/2', '3/2', '3/5', '7/6', '8/3'] -> (((3/2 + 7/6) / (3/5 - 1/2)) - 8/3)
[147442] ['1/2', '3/2', '3/5', '7/6', '8/5'] -> (8/5 / (((3/2 - 7/6) / 1/2) - 3/5))
[147456] ['1/2', '3/2', '3/5', '7/8', '9/2'] -> (9/2 / ((1/2 * 3/5) * (3/2 - 7/8)))
[147465] ['1/2', '3/2', '3/5', '7/9', '8/9'] -> ((3/2 / ((1/2 / 3/5) - 7/9)) * 8/9)
[147470] ['1/2', '3/2', '3/5', '7/9', '9/8'] -> ((3/2 / ((1/2 / 3/5) - 7/9)) / 9/8)
[147471] ['1/2', '3/2', '3/5', '8/3', '8/3'] -> ((8/3 / (1/2 - (3/5 / 3/2))) - 8/3)
[147472] ['1/2', '3/2', '3/5', '8/3', '8/5'] -> (8/5 / (((8/3 - 1/2) - 3/2) - 3/5))
[147491] ['1/2', '3/2', '3/5', '8/7', '9/4'] -> ((3/2 / ((3/5 / 1/2) - 8/7)) - 9/4)
[147503] ['1/2', '3/2', '3/5', '9/2', '9/5'] -> ((1/2 + (3/2 * 9/5)) / (3/5 / 9/2))
[147518] ['1/2', '3/2', '3/7', '3/7', '4/3'] -> (3/7 / (1/2 - ((3/2 * 3/7) / 4/3)))
[147520] ['1/2', '3/2', '3/7', '3/7', '4/7'] -> (((3/2 / 1/2) + 3/7) / (4/7 - 3/7))
[147522] ['1/2', '3/2', '3/7', '3/7', '5/2'] -> ((3/2 + 5/2) / ((1/2 - 3/7) / 3/7))
[147525] ['1/2', '3/2', '3/7', '3/7', '5/6'] -> ((3/7 / 3/2) / (3/7 - (1/2 * 5/6)))
[147529] ['1/2', '3/2', '3/7', '3/7', '6/5'] -> ((3/7 / 3/2) / (3/7 - (1/2 / 6/5)))
[147541] ['1/2', '3/2', '3/7', '3/7', '8/9'] -> (((3/2 + 3/7) / (1/2 - 3/7)) * 8/9)
[147542] ['1/2', '3/2', '3/7', '3/7', '9/2'] -> ((((3/2 * 3/7) + 9/2) / 1/2) / 3/7)
[147546] ['1/2', '3/2', '3/7', '3/7', '9/8'] -> (((3/2 + 3/7) / (1/2 - 3/7)) / 9/8)
[147550] ['1/2', '3/2', '3/7', '3/8', '4/7'] -> (((3/2 * 3/7) / 3/8) / (4/7 - 1/2))
[147551] ['1/2', '3/2', '3/7', '3/8', '4/9'] -> (((1/2 + (3/2 / 3/7)) / 3/8) / 4/9)
[147553] ['1/2', '3/2', '3/7', '3/8', '5/3'] -> ((3/2 / (3/8 - 3/7)) / (1/2 - 5/3))
[147556] ['1/2', '3/2', '3/7', '3/8', '5/7'] -> (((3/2 + 3/7) / 3/8) / (5/7 - 1/2))
[147565] ['1/2', '3/2', '3/7', '3/8', '7/6'] -> (((3/2 / (1/2 - 3/8)) / 3/7) / 7/6)
[147577] ['1/2', '3/2', '3/7', '4/3', '4/3'] -> (4/3 / (((1/2 * 4/3) / 3/7) - 3/2))
[147579] ['1/2', '3/2', '3/7', '4/3', '4/7'] -> (4/7 / ((1/2 * 4/3) - (3/2 * 3/7)))
[147581] ['1/2', '3/2', '3/7', '4/3', '5/2'] -> ((3/2 + 5/2) / (4/3 - (1/2 / 3/7)))
[147595] ['1/2', '3/2', '3/7', '4/3', '7/8'] -> ((3/2 / ((3/7 * 4/3) - 1/2)) / 7/8)
[147606] ['1/2', '3/2', '3/7', '4/5', '4/5'] -> (4/5 / ((3/2 * 4/5) - (1/2 / 3/7)))
[147607] ['1/2', '3/2', '3/7', '4/5', '4/7'] -> ((3/2 / ((3/7 / 4/5) - 1/2)) * 4/7)
[147620] ['1/2', '3/2', '3/7', '4/5', '7/4'] -> ((3/2 / ((3/7 / 4/5) - 1/2)) / 7/4)
[147632] ['1/2', '3/2', '3/7', '4/5', '9/7'] -> (9/7 / (3/2 * ((3/7 / 4/5) - 1/2)))
[147636] ['1/2', '3/2', '3/7', '4/7', '5/2'] -> ((3/2 + 5/2) / ((4/7 - 1/2) / 3/7))
[147645] ['1/2', '3/2', '3/7', '4/7', '7/2'] -> ((1/2 + 7/2) / (3/2 - (4/7 / 3/7)))
[147650] ['1/2', '3/2', '3/7', '4/7', '7/8'] -> (((3/2 / (4/7 - 3/7)) / 1/2) / 7/8)
[147652] ['1/2', '3/2', '3/7', '4/7', '8/3'] -> (((3/2 * 3/7) / (4/7 - 1/2)) * 8/3)
[147655] ['1/2', '3/2', '3/7', '4/7', '8/9'] -> (((3/2 + 3/7) / (4/7 - 1/2)) * 8/9)
[147660] ['1/2', '3/2', '3/7', '4/7', '9/8'] -> (((3/2 + 3/7) / (4/7 - 1/2)) / 9/8)
[147664] ['1/2', '3/2', '3/7', '4/9', '5/4'] -> (((1/2 / (4/9 - 3/7)) - 3/2) / 5/4)
[147676] ['1/2', '3/2', '3/7', '4/9', '7/8'] -> (((1/2 / (4/9 - 3/7)) / 3/2) / 7/8)
[147681] ['1/2', '3/2', '3/7', '4/9', '8/9'] -> (8/9 / ((1/2 + (4/9 / 3/7)) - 3/2))
[147685] ['1/2', '3/2', '3/7', '4/9', '9/7'] -> (9/7 / ((1/2 / 4/9) - (3/2 - 3/7)))
[147695] ['1/2', '3/2', '3/7', '5/2', '6/7'] -> (6/7 / (3/2 - (1/2 * (3/7 + 5/2))))
