[820735] ['1/6', '2/7', '5/3', '6/7', '7/2'] -> (7/2 / (1/6 / ((5/3 * 6/7) - 2/7)))
[820819] ['1/6', '2/7', '5/3', '7/6', '9/7'] -> (9/7 / (2/7 / ((7/6 / 1/6) - 5/3)))
[820823] ['1/6', '2/7', '5/3', '7/8', '8/3'] -> (((2/7 + (5/3 / 1/6)) * 7/8) * 8/3)
[820836] ['1/6', '2/7', '5/3', '7/9', '8/9'] -> (8/9 / (((2/7 / 1/6) - 5/3) * 7/9))
[820840] ['1/6', '2/7', '5/3', '7/9', '9/7'] -> (9/7 / ((1/6 * 2/7) / (5/3 - 7/9)))
[820842] ['1/6', '2/7', '5/3', '8/3', '8/3'] -> (8/3 / (5/3 - ((1/6 * 8/3) / 2/7)))
[820843] ['1/6', '2/7', '5/3', '8/3', '8/5'] -> ((((5/3 + 8/3) / 2/7) - 1/6) * 8/5)
[820866] ['1/6', '2/7', '5/3', '8/9', '8/9'] -> (8/9 / ((1/6 * 2/7) * (5/3 - 8/9)))
[820867] ['1/6', '2/7', '5/3', '8/9', '9/2'] -> (((1/6 + (5/3 / 2/7)) * 8/9) * 9/2)
[820870] ['1/6', '2/7', '5/3', '8/9', '9/7'] -> (9/7 / (((2/7 / 1/6) - 5/3) / 8/9))
[820873] ['1/6', '2/7', '5/3', '9/2', '9/4'] -> ((1/6 + ((5/3 + 9/2) / 2/7)) + 9/4)
[820876] ['1/6', '2/7', '5/3', '9/2', '9/8'] -> (((1/6 + (5/3 / 2/7)) * 9/2) / 9/8)
[820879] ['1/6', '2/7', '5/3', '9/4', '9/7'] -> (9/7 / (((1/6 * 9/4) - 2/7) / 5/3))
[820885] ['1/6', '2/7', '5/3', '9/7', '9/8'] -> ((9/7 / ((2/7 / 1/6) - 5/3)) / 9/8)
[820890] ['1/6', '2/7', '5/4', '5/4', '5/8'] -> ((5/4 / 5/4) / (5/8 - (1/6 / 2/7)))
[820894] ['1/6', '2/7', '5/4', '5/4', '7/2'] -> ((((5/4 / 1/6) / 2/7) + 5/4) - 7/2)
[820911] ['1/6', '2/7', '5/4', '5/6', '5/7'] -> (5/7 / ((2/7 * 5/6) - (1/6 * 5/4)))
[820936] ['1/6', '2/7', '5/4', '5/7', '6/7'] -> (6/7 / ((5/4 / 5/7) - (2/7 / 1/6)))
[820956] ['1/6', '2/7', '5/4', '5/8', '6/7'] -> (6/7 / (1/6 * ((5/8 / 5/4) - 2/7)))
[820958] ['1/6', '2/7', '5/4', '5/8', '7/3'] -> ((((5/4 / 5/8) - 2/7) / 1/6) * 7/3)
[820993] ['1/6', '2/7', '5/4', '6/5', '6/7'] -> (6/7 / (2/7 - ((1/6 * 5/4) * 6/5)))
[820994] ['1/6', '2/7', '5/4', '6/5', '7/2'] -> (7/2 / ((1/6 / (6/5 - 2/7)) / 5/4))
[821018] ['1/6', '2/7', '5/4', '6/7', '8/3'] -> (((5/4 * 6/7) / (2/7 - 1/6)) * 8/3)
[821019] ['1/6', '2/7', '5/4', '6/7', '8/5'] -> (8/5 / (1/6 * ((6/7 / 5/4) - 2/7)))
[821022] ['1/6', '2/7', '5/4', '6/7', '9/2'] -> (((6/7 / (5/4 - 2/7)) / 1/6) * 9/2)
[821027] ['1/6', '2/7', '5/4', '7/2', '7/2'] -> (7/2 / (1/6 * ((5/4 / 2/7) - 7/2)))
[821038] ['1/6', '2/7', '5/4', '7/2', '9/2'] -> ((((1/6 / 2/7) + 5/4) + 7/2) * 9/2)
[821040] ['1/6', '2/7', '5/4', '7/2', '9/5'] -> (((5/4 + (7/2 / 2/7)) - 1/6) * 9/5)
[821043] ['1/6', '2/7', '5/4', '7/3', '7/3'] -> (7/3 / (1/6 * (5/4 - (2/7 * 7/3))))
[821049] ['1/6', '2/7', '5/4', '7/3', '8/3'] -> (8/3 / (((1/6 * 7/3) / 2/7) - 5/4))
[821051] ['1/6', '2/7', '5/4', '7/3', '8/7'] -> (8/7 / ((1/6 / 2/7) - (5/4 / 7/3)))
[821060] ['1/6', '2/7', '5/4', '7/4', '7/6'] -> ((((5/4 / 1/6) / 2/7) + 7/4) / 7/6)
[821064] ['1/6', '2/7', '5/4', '7/4', '8/5'] -> ((((5/4 / 1/6) / 2/7) / 7/4) * 8/5)
[821068] ['1/6', '2/7', '5/4', '7/4', '9/4'] -> ((1/6 + ((5/4 + 7/4) / 2/7)) * 9/4)
[821072] ['1/6', '2/7', '5/4', '7/5', '7/5'] -> (7/5 / (((1/6 + 5/4) - 7/5) / 2/7))
[821085] ['1/6', '2/7', '5/4', '7/6', '7/6'] -> (((2/7 / (5/4 - 7/6)) / 1/6) * 7/6)
[821088] ['1/6', '2/7', '5/4', '7/6', '8/3'] -> (((5/4 / (2/7 - 1/6)) / 7/6) * 8/3)
[821092] ['1/6', '2/7', '5/4', '7/6', '9/2'] -> (9/2 / ((1/6 * (5/4 - 2/7)) * 7/6))
[821097] ['1/6', '2/7', '5/4', '7/8', '7/8'] -> ((((5/4 / 2/7) - 7/8) / 1/6) / 7/8)
[821099] ['1/6', '2/7', '5/4', '7/8', '8/3'] -> (((5/4 + (2/7 * 7/8)) / 1/6) * 8/3)
[821100] ['1/6', '2/7', '5/4', '7/8', '8/5'] -> ((5/4 / ((2/7 * 7/8) - 1/6)) * 8/5)
[821120] ['1/6', '2/7', '5/4', '8/3', '8/7'] -> ((5/4 / (1/6 - (2/7 / 8/3))) * 8/7)
[821128] ['1/6', '2/7', '5/4', '8/5', '8/7'] -> (8/7 / (((1/6 * 5/4) * 8/5) - 2/7))
[821135] ['1/6', '2/7', '5/4', '8/7', '8/7'] -> (8/7 / (2/7 - ((1/6 * 5/4) * 8/7)))
[821149] ['1/6', '2/7', '5/4', '9/2', '9/4'] -> ((((5/4 / 1/6) / 2/7) - 9/2) + 9/4)
[821155] ['1/6', '2/7', '5/4', '9/4', '9/7'] -> ((((2/7 + 5/4) + 9/4) / 1/6) + 9/7)
[821160] ['1/6', '2/7', '5/4', '9/7', '9/7'] -> (9/7 / (1/6 * ((2/7 + 9/7) - 5/4)))
[821162] ['1/6', '2/7', '5/4', '9/8', '9/8'] -> ((((5/4 / 1/6) / 2/7) - 9/8) - 9/8)
[821165] ['1/6', '2/7', '5/6', '5/6', '5/8'] -> ((5/6 / 5/6) / (5/8 - (1/6 / 2/7)))
[821170] ['1/6', '2/7', '5/6', '5/6', '7/3'] -> ((2/7 + ((5/6 + 5/6) / 1/6)) * 7/3)
[821174] ['1/6', '2/7', '5/6', '5/6', '7/8'] -> ((((5/6 / 1/6) / 2/7) / 5/6) / 7/8)
[821176] ['1/6', '2/7', '5/6', '5/6', '8/3'] -> (8/3 / ((5/6 * 5/6) - (1/6 / 2/7)))
[821186] ['1/6', '2/7', '5/6', '5/7', '5/8'] -> ((((5/6 / 1/6) - 5/7) / 2/7) / 5/8)
[821190] ['1/6', '2/7', '5/6', '5/7', '7/2'] -> (((2/7 + (5/7 / 5/6)) / 1/6) * 7/2)
[821197] ['1/6', '2/7', '5/6', '5/7', '8/3'] -> ((((5/6 + 5/7) / 1/6) - 2/7) * 8/3)
[821198] ['1/6', '2/7', '5/6', '5/7', '8/5'] -> ((((5/6 / 1/6) - 5/7) / 2/7) * 8/5)
[821208] ['1/6', '2/7', '5/6', '5/8', '6/5'] -> ((5/6 / (5/8 - (1/6 / 2/7))) * 6/5)
[821209] ['1/6', '2/7', '5/6', '5/8', '6/7'] -> ((((5/6 / 1/6) / 2/7) / 5/8) * 6/7)
[821210] ['1/6', '2/7', '5/6', '5/8', '7/2'] -> ((2/7 / ((5/6 - 1/6) - 5/8)) * 7/2)
[821214] ['1/6', '2/7', '5/6', '5/8', '7/6'] -> ((((5/6 / 1/6) / 2/7) / 5/8) / 7/6)
[821219] ['1/6', '2/7', '5/6', '5/8', '8/7'] -> (8/7 / (((2/7 * 5/8) / 5/6) - 1/6))
[821223] ['1/6', '2/7', '5/6', '5/8', '9/5'] -> (9/5 / (((1/6 / 2/7) / 5/6) - 5/8))
[821224] ['1/6', '2/7', '5/6', '5/8', '9/7'] -> (9/7 / ((2/7 - (1/6 / 5/6)) * 5/8))
[821226] ['1/6', '2/7', '5/6', '5/9', '5/9'] -> (5/9 / (5/6 * ((1/6 / 2/7) - 5/9)))
[821228] ['1/6', '2/7', '5/6', '5/9', '6/7'] -> (6/7 / (2/7 - ((1/6 * 5/6) / 5/9)))
[821234] ['1/6', '2/7', '5/6', '5/9', '7/8'] -> ((1/6 / ((2/7 + 5/9) - 5/6)) / 7/8)
[821247] ['1/6', '2/7', '5/6', '6/5', '7/2'] -> (((6/5 / 1/6) - (2/7 / 5/6)) * 7/2)
[821252] ['1/6', '2/7', '5/6', '6/5', '7/8'] -> ((((5/6 * 6/5) / 1/6) / 2/7) / 7/8)
[821254] ['1/6', '2/7', '5/6', '6/5', '8/3'] -> (8/3 / ((5/6 / 6/5) - (1/6 / 2/7)))
[821264] ['1/6', '2/7', '5/6', '6/7', '7/2'] -> ((((5/6 / 1/6) + 6/7) / 2/7) + 7/2)
[821271] ['1/6', '2/7', '5/6', '6/7', '8/3'] -> (8/3 / (((2/7 * 5/6) / 6/7) - 1/6))
[821272] ['1/6', '2/7', '5/6', '6/7', '8/5'] -> ((((5/6 * 6/7) / 1/6) / 2/7) * 8/5)
[821281] ['1/6', '2/7', '5/6', '7/2', '7/3'] -> (7/3 / (1/6 * (7/2 - (5/6 / 2/7))))
[821285] ['1/6', '2/7', '5/6', '7/2', '7/8'] -> ((((5/6 / 1/6) / 2/7) + 7/2) / 7/8)
[821289] ['1/6', '2/7', '5/6', '7/2', '8/7'] -> ((((5/6 / 1/6) / 2/7) + 7/2) * 8/7)
[821296] ['1/6', '2/7', '5/6', '7/3', '7/3'] -> (7/3 / (1/6 * ((5/6 / 2/7) - 7/3)))
[821298] ['1/6', '2/7', '5/6', '7/3', '7/5'] -> (7/5 / (5/6 / (2/7 + (7/3 / 1/6))))
[821302] ['1/6', '2/7', '5/6', '7/3', '8/3'] -> (((5/6 + (2/7 * 7/3)) / 1/6) * 8/3)
[821304] ['1/6', '2/7', '5/6', '7/3', '8/7'] -> (8/7 / ((5/6 / (1/6 + 7/3)) - 2/7))
[821313] ['1/6', '2/7', '5/6', '7/4', '7/6'] -> ((((5/6 / 2/7) + 7/4) / 1/6) / 7/6)
[821320] ['1/6', '2/7', '5/6', '7/4', '9/2'] -> (9/2 / (((1/6 * 7/4) / 2/7) - 5/6))
[821323] ['1/6', '2/7', '5/6', '7/4', '9/7'] -> (9/7 / ((1/6 * 7/4) - (2/7 * 5/6)))
[821330] ['1/6', '2/7', '5/6', '7/5', '8/5'] -> ((((5/6 / 1/6) + 7/5) / 2/7) + 8/5)
[821340] ['1/6', '2/7', '5/6', '7/6', '7/9'] -> ((((5/6 / 1/6) / 2/7) + 7/6) / 7/9)
[821341] ['1/6', '2/7', '5/6', '7/6', '8/3'] -> (8/3 / (((2/7 * 5/6) * 7/6) - 1/6))
[821342] ['1/6', '2/7', '5/6', '7/6', '8/5'] -> ((((5/6 / 1/6) / 2/7) / 7/6) * 8/5)
[821348] ['1/6', '2/7', '5/6', '7/6', '9/7'] -> ((((5/6 / 1/6) / 2/7) + 7/6) * 9/7)
[821354] ['1/6', '2/7', '5/6', '7/8', '8/7'] -> (8/7 / ((2/7 * 5/6) - (1/6 / 7/8)))
[821358] ['1/6', '2/7', '5/6', '7/8', '9/5'] -> (9/5 / ((2/7 - (1/6 / 5/6)) * 7/8))
[821361] ['1/6', '2/7', '5/6', '7/9', '7/9'] -> (((2/7 / (5/6 - 7/9)) / 1/6) * 7/9)
[821362] ['1/6', '2/7', '5/6', '7/9', '8/3'] -> (((5/6 / (2/7 - 1/6)) / 7/9) * 8/3)
[821364] ['1/6', '2/7', '5/6', '7/9', '8/7'] -> (8/7 / (((5/6 - 7/9) / 1/6) - 2/7))
[821369] ['1/6', '2/7', '5/6', '7/9', '9/7'] -> (((2/7 / (5/6 - 7/9)) / 1/6) / 9/7)
[821370] ['1/6', '2/7', '5/6', '7/9', '9/8'] -> (9/8 / (1/6 / (5/6 + (7/9 / 2/7))))
[821371] ['1/6', '2/7', '5/6', '8/3', '8/3'] -> (8/3 / (2/7 * (5/6 - (1/6 * 8/3))))
[821373] ['1/6', '2/7', '5/6', '8/3', '8/7'] -> (8/7 / ((5/6 / (8/3 - 1/6)) - 2/7))
[821376] ['1/6', '2/7', '5/6', '8/3', '9/4'] -> ((8/3 / (5/6 - (1/6 / 2/7))) * 9/4)
[821381] ['1/6', '2/7', '5/6', '8/5', '8/7'] -> (8/7 / (((2/7 / 5/6) / 8/5) - 1/6))
[821386] ['1/6', '2/7', '5/6', '8/5', '9/7'] -> (9/7 / ((2/7 - (1/6 / 5/6)) / 8/5))
[821388] ['1/6', '2/7', '5/6', '8/7', '8/7'] -> (8/7 / ((2/7 * 5/6) - (1/6 * 8/7)))
[821392] ['1/6', '2/7', '5/6', '8/7', '9/5'] -> ((8/7 / (2/7 - (1/6 / 5/6))) * 9/5)
[821396] ['1/6', '2/7', '5/6', '8/9', '9/2'] -> ((5/6 + ((8/9 / 1/6) / 2/7)) + 9/2)
[821399] ['1/6', '2/7', '5/6', '8/9', '9/7'] -> (((2/7 / (8/9 - 5/6)) / 1/6) / 9/7)
[821406] ['1/6', '2/7', '5/6', '9/4', '9/4'] -> ((9/4 / (2/7 - (1/6 / 5/6))) - 9/4)
[821417] ['1/6', '2/7', '5/7', '5/7', '5/8'] -> ((5/7 / 5/7) / (5/8 - (1/6 / 2/7)))
[821421] ['1/6', '2/7', '5/7', '5/7', '7/2'] -> ((((5/7 + 5/7) - 2/7) / 1/6) * 7/2)
[821422] ['1/6', '2/7', '5/7', '5/7', '7/3'] -> ((((2/7 + 5/7) + 5/7) / 1/6) * 7/3)
[821426] ['1/6', '2/7', '5/7', '5/7', '7/8'] -> ((((5/7 / 1/6) / 2/7) / 5/7) / 7/8)
[821428] ['1/6', '2/7', '5/7', '5/7', '8/3'] -> ((5/7 + 5/7) / (1/6 - (2/7 / 8/3)))
[821463] ['1/6', '2/7', '5/7', '5/9', '7/5'] -> (7/5 / ((2/7 / (5/7 + 5/9)) - 1/6))
[821470] ['1/6', '2/7', '5/7', '5/9', '8/9'] -> ((((5/7 / 1/6) / 2/7) / 5/9) * 8/9)
[821472] ['1/6', '2/7', '5/7', '5/9', '9/4'] -> (((5/7 + 5/9) / (2/7 - 1/6)) * 9/4)
[821475] ['1/6', '2/7', '5/7', '5/9', '9/8'] -> ((((5/7 / 1/6) / 2/7) / 5/9) / 9/8)
[821478] ['1/6', '2/7', '5/7', '6/5', '7/2'] -> (((2/7 + (5/7 * 6/5)) / 1/6) * 7/2)
[821491] ['1/6', '2/7', '5/7', '6/5', '9/5'] -> ((((5/7 / 2/7) + 6/5) / 1/6) + 9/5)
[821497] ['1/6', '2/7', '5/7', '6/7', '7/4'] -> ((((6/7 / 2/7) - 5/7) / 1/6) * 7/4)
[821512] ['1/6', '2/7', '5/7', '7/2', '7/3'] -> (((5/7 + (2/7 * 7/2)) / 1/6) * 7/3)
[821515] ['1/6', '2/7', '5/7', '7/2', '7/6'] -> (((2/7 + (7/2 / 1/6)) - 5/7) * 7/6)
[821518] ['1/6', '2/7', '5/7', '7/2', '8/3'] -> ((((5/7 - 2/7) * 7/2) / 1/6) * 8/3)
[821527] ['1/6', '2/7', '5/7', '7/3', '7/3'] -> ((2/7 + ((5/7 * 7/3) / 1/6)) * 7/3)
[821528] ['1/6', '2/7', '5/7', '7/3', '7/4'] -> (7/4 / (1/6 - (2/7 / (5/7 + 7/3))))
[821535] ['1/6', '2/7', '5/7', '7/3', '8/7'] -> (8/7 / ((2/7 / 1/6) - (5/7 * 7/3)))
[821538] ['1/6', '2/7', '5/7', '7/3', '9/4'] -> (((2/7 + (5/7 / 1/6)) * 7/3) * 9/4)
[821549] ['1/6', '2/7', '5/7', '7/4', '8/7'] -> (8/7 / ((5/7 - (2/7 * 7/4)) - 1/6))
[821558] ['1/6', '2/7', '5/7', '7/5', '7/8'] -> ((((5/7 * 7/5) / 1/6) / 2/7) / 7/8)
[821575] ['1/6', '2/7', '5/7', '7/6', '8/9'] -> (((5/7 + (7/6 / 1/6)) / 2/7) * 8/9)
[821576] ['1/6', '2/7', '5/7', '7/6', '9/2'] -> (((2/7 + (5/7 / 1/6)) * 7/6) * 9/2)
[821580] ['1/6', '2/7', '5/7', '7/6', '9/8'] -> (((5/7 + (7/6 / 1/6)) / 2/7) / 9/8)
[821585] ['1/6', '2/7', '5/7', '7/8', '8/7'] -> (8/7 / (5/7 - ((1/6 / 2/7) / 7/8)))
[821588] ['1/6', '2/7', '5/7', '7/8', '9/4'] -> (((2/7 / (7/8 - 5/7)) / 1/6) * 9/4)
[821598] ['1/6', '2/7', '5/7', '7/9', '9/4'] -> ((((2/7 + 5/7) + 7/9) / 1/6) * 9/4)
[821601] ['1/6', '2/7', '5/7', '7/9', '9/8'] -> (((2/7 / (7/9 - 5/7)) / 1/6) / 9/8)
[821606] ['1/6', '2/7', '5/7', '8/3', '9/2'] -> (((1/6 + (5/7 / 2/7)) + 8/3) * 9/2)
[821607] ['1/6', '2/7', '5/7', '8/3', '9/4'] -> ((((5/7 / 1/6) - 2/7) * 8/3) * 9/4)
[821619] ['1/6', '2/7', '5/7', '8/7', '8/7'] -> (8/7 / (5/7 - ((1/6 * 8/7) / 2/7)))
[821629] ['1/6', '2/7', '5/7', '8/9', '9/5'] -> ((((5/7 * 8/9) / 1/6) / 2/7) * 9/5)
[821639] ['1/6', '2/7', '5/7', '9/4', '9/7'] -> (9/7 / ((5/7 - (1/6 * 9/4)) - 2/7))
[821643] ['1/6', '2/7', '5/7', '9/5', '9/8'] -> ((((5/7 * 9/5) / 1/6) / 2/7) / 9/8)
[821647] ['1/6', '2/7', '5/8', '5/8', '5/8'] -> ((5/8 / (5/8 - (1/6 / 2/7))) / 5/8)
[821656] ['1/6', '2/7', '5/8', '5/8', '7/8'] -> ((((5/8 / 1/6) / 2/7) / 5/8) / 7/8)
[821659] ['1/6', '2/7', '5/8', '5/8', '8/5'] -> ((5/8 / (5/8 - (1/6 / 2/7))) * 8/5)
[821663] ['1/6', '2/7', '5/8', '5/8', '9/4'] -> ((((5/8 + 5/8) / 1/6) / 2/7) - 9/4)
[821667] ['1/6', '2/7', '5/8', '5/9', '5/9'] -> ((5/9 / (5/8 - (1/6 / 2/7))) / 5/9)
[821683] ['1/6', '2/7', '5/8', '5/9', '9/5'] -> ((5/9 / (5/8 - (1/6 / 2/7))) * 9/5)
[821684] ['1/6', '2/7', '5/8', '5/9', '9/7'] -> (9/7 / (((1/6 * 2/7) * 5/8) / 5/9))
[821686] ['1/6', '2/7', '5/8', '6/5', '6/5'] -> ((6/5 / (5/8 - (1/6 / 2/7))) / 6/5)
[821687] ['1/6', '2/7', '5/8', '6/5', '6/7'] -> (6/7 / (((1/6 * 2/7) * 5/8) * 6/5))
[821697] ['1/6', '2/7', '5/8', '6/5', '8/7'] -> (8/7 / (((2/7 * 5/8) * 6/5) - 1/6))
[821701] ['1/6', '2/7', '5/8', '6/5', '9/5'] -> (9/5 / (((1/6 * 6/5) / 2/7) - 5/8))
[821702] ['1/6', '2/7', '5/8', '6/5', '9/7'] -> (9/7 / (5/8 * (2/7 - (1/6 * 6/5))))
[821706] ['1/6', '2/7', '5/8', '6/7', '7/3'] -> (7/3 / (5/8 - ((1/6 + 2/7) / 6/7)))
[821714] ['1/6', '2/7', '5/8', '6/7', '8/7'] -> (8/7 / ((1/6 / 2/7) - (5/8 * 6/7)))
[821717] ['1/6', '2/7', '5/8', '6/7', '9/4'] -> (((5/8 + (6/7 / 2/7)) / 1/6) + 9/4)
[821727] ['1/6', '2/7', '5/8', '7/2', '7/9'] -> ((((7/2 - 2/7) / 1/6) / 5/8) * 7/9)
[821729] ['1/6', '2/7', '5/8', '7/2', '8/5'] -> (8/5 / ((2/7 - (1/6 / 5/8)) * 7/2))
[821737] ['1/6', '2/7', '5/8', '7/3', '7/3'] -> (7/3 / ((5/8 - (1/6 / 2/7)) * 7/3))
[821749] ['1/6', '2/7', '5/8', '7/3', '9/5'] -> (((1/6 + (7/3 / 2/7)) / 5/8) * 9/5)
[821750] ['1/6', '2/7', '5/8', '7/3', '9/7'] -> (9/7 / (((1/6 + 5/8) / 7/3) - 2/7))
[821759] ['1/6', '2/7', '5/8', '7/4', '8/7'] -> (8/7 / ((5/8 - (1/6 * 7/4)) - 2/7))
[821764] ['1/6', '2/7', '5/8', '7/4', '9/7'] -> (9/7 / ((1/6 * 2/7) * (7/4 - 5/8)))
[821783] ['1/6', '2/7', '5/8', '7/6', '8/5'] -> (8/5 / ((2/7 * 7/6) - (1/6 / 5/8)))
[821784] ['1/6', '2/7', '5/8', '7/6', '8/7'] -> (8/7 / ((1/6 / 2/7) - (5/8 / 7/6)))
[821790] ['1/6', '2/7', '5/8', '7/6', '9/8'] -> ((5/8 + ((7/6 / 1/6) / 2/7)) - 9/8)
[821794] ['1/6', '2/7', '5/8', '7/8', '8/5'] -> ((((5/8 / 1/6) / 2/7) / 7/8) * 8/5)
[821795] ['1/6', '2/7', '5/8', '7/8', '8/7'] -> ((7/8 / (5/8 - (1/6 / 2/7))) * 8/7)
[821802] ['1/6', '2/7', '5/8', '7/9', '7/9'] -> (7/9 / ((5/8 - (1/6 / 2/7)) * 7/9))
[821810] ['1/6', '2/7', '5/8', '7/9', '9/7'] -> (9/7 / ((5/8 - (1/6 / 2/7)) / 7/9))
[821812] ['1/6', '2/7', '5/8', '8/3', '8/3'] -> (8/3 / ((5/8 - (1/6 / 2/7)) * 8/3))
[821821] ['1/6', '2/7', '5/8', '8/5', '8/5'] -> (8/5 / ((5/8 - (1/6 / 2/7)) * 8/5))
[821824] ['1/6', '2/7', '5/8', '8/5', '9/2'] -> (((8/5 / 2/7) - (1/6 / 5/8)) * 9/2)
[821829] ['1/6', '2/7', '5/8', '8/7', '8/7'] -> (8/7 / ((5/8 - (1/6 / 2/7)) * 8/7))
[821834] ['1/6', '2/7', '5/8', '8/7', '9/7'] -> (9/7 / ((5/8 + 8/7) - (2/7 / 1/6)))
[821836] ['1/6', '2/7', '5/8', '8/9', '8/9'] -> (8/9 / ((5/8 - (1/6 / 2/7)) * 8/9))
[821841] ['1/6', '2/7', '5/8', '8/9', '9/8'] -> (9/8 / ((5/8 - (1/6 / 2/7)) / 8/9))
[821845] ['1/6', '2/7', '5/8', '9/2', '9/7'] -> (9/7 / (((2/7 * 5/8) - 1/6) * 9/2))
[821847] ['1/6', '2/7', '5/8', '9/4', '9/4'] -> (9/4 / ((5/8 - (1/6 / 2/7)) * 9/4))
[821851] ['1/6', '2/7', '5/8', '9/5', '9/5'] -> ((9/5 / (5/8 - (1/6 / 2/7))) / 9/5)
[821854] ['1/6', '2/7', '5/8', '9/7', '9/7'] -> ((9/7 / (5/8 - (1/6 / 2/7))) / 9/7)
[821856] ['1/6', '2/7', '5/8', '9/8', '9/8'] -> ((9/8 / (5/8 - (1/6 / 2/7))) / 9/8)
[821858] ['1/6', '2/7', '5/9', '5/9', '6/5'] -> ((5/9 / ((1/6 / 2/7) - 5/9)) * 6/5)
[821865] ['1/6', '2/7', '5/9', '5/9', '7/8'] -> ((((5/9 / 1/6) / 2/7) / 5/9) / 7/8)
[821868] ['1/6', '2/7', '5/9', '5/9', '8/5'] -> ((((5/9 / 2/7) + 5/9) / 1/6) * 8/5)
[821877] ['1/6', '2/7', '5/9', '6/5', '6/7'] -> (6/7 / (2/7 - ((1/6 / 5/9) / 6/5)))
[821878] ['1/6', '2/7', '5/9', '6/5', '7/2'] -> ((6/5 / ((1/6 / 5/9) - 2/7)) / 7/2)
[821879] ['1/6', '2/7', '5/9', '6/5', '7/3'] -> ((((2/7 / 5/9) + 6/5) / 1/6) * 7/3)
[821887] ['1/6', '2/7', '5/9', '6/5', '8/7'] -> (8/7 / (5/9 * (2/7 - (1/6 * 6/5))))
[821891] ['1/6', '2/7', '5/9', '6/5', '9/5'] -> ((6/5 / ((1/6 / 2/7) - 5/9)) / 9/5)
[821894] ['1/6', '2/7', '5/9', '6/7', '6/7'] -> (6/7 / ((1/6 / 6/7) - (2/7 * 5/9)))
[821901] ['1/6', '2/7', '5/9', '6/7', '7/9'] -> ((6/7 / ((1/6 / 2/7) - 5/9)) * 7/9)
[821904] ['1/6', '2/7', '5/9', '6/7', '8/7'] -> (8/7 / (((5/9 - 1/6) * 6/7) - 2/7))
[821905] ['1/6', '2/7', '5/9', '6/7', '8/9'] -> (8/9 / (1/6 * (5/9 - (2/7 / 6/7))))
[821909] ['1/6', '2/7', '5/9', '6/7', '9/7'] -> ((6/7 / ((1/6 / 2/7) - 5/9)) / 9/7)
[821910] ['1/6', '2/7', '5/9', '6/7', '9/8'] -> (9/8 / (1/6 / (5/9 + (6/7 / 2/7))))
[821916] ['1/6', '2/7', '5/9', '7/2', '7/8'] -> ((((7/2 - 1/6) / 2/7) / 5/9) / 7/8)
[821931] ['1/6', '2/7', '5/9', '7/3', '7/8'] -> (((7/3 / (5/9 - 1/6)) / 2/7) / 7/8)
[821934] ['1/6', '2/7', '5/9', '7/3', '8/5'] -> (((1/6 + (7/3 / 2/7)) / 5/9) * 8/5)
