[435338] ['1/4', '1/5', '7/4', '8/5', '8/9'] -> ((((7/4 / 1/4) - 8/5) / 1/5) * 8/9)
[435570] ['1/4', '1/5', '7/8', '8/3', '9/8'] -> (9/8 / ((1/5 * (7/8 - 1/4)) / 8/3))
[435574] ['1/4', '1/5', '7/8', '8/5', '9/2'] -> (9/2 / (1/4 * (7/8 - (1/5 / 8/5))))
[435576] ['1/4', '1/5', '7/8', '8/5', '9/5'] -> (9/5 / (((1/5 / 1/4) + 7/8) - 8/5))
[435577] ['1/4', '1/5', '7/8', '8/5', '9/7'] -> (9/7 / (((1/4 / 7/8) - 1/5) / 8/5))
[435582] ['1/4', '1/5', '7/8', '8/7', '9/4'] -> (9/4 / (7/8 * ((1/4 / 1/5) - 8/7)))
[435594] ['1/4', '1/5', '7/8', '9/2', '9/5'] -> (9/5 / ((1/5 * (1/4 + 9/2)) - 7/8))
[435596] ['1/4', '1/5', '7/8', '9/2', '9/8'] -> ((((1/4 + 9/2) / 1/5) - 7/8) + 9/8)
[435597] ['1/4', '1/5', '7/8', '9/4', '9/4'] -> ((9/4 / ((1/4 / 7/8) - 1/5)) - 9/4)
[435598] ['1/4', '1/5', '7/8', '9/4', '9/5'] -> (((9/4 / (7/8 - 1/5)) / 1/4) * 9/5)
[435607] ['1/4', '1/5', '7/9', '7/9', '7/9'] -> ((((7/9 / 1/5) + 7/9) / 1/4) / 7/9)
[435615] ['1/4', '1/5', '7/9', '7/9', '9/7'] -> ((((7/9 / 1/5) + 7/9) / 1/4) * 9/7)
[435618] ['1/4', '1/5', '7/9', '8/3', '8/5'] -> (8/5 / ((7/9 / (1/4 + 8/3)) - 1/5))
[435662] ['1/4', '1/5', '8/3', '8/3', '8/3'] -> ((((8/3 / 1/5) + 8/3) / 1/4) / 8/3)
[435663] ['1/4', '1/5', '8/3', '8/3', '8/5'] -> (((8/3 / 1/4) + 8/3) * (1/5 + 8/5))
[435665] ['1/4', '1/5', '8/3', '8/3', '8/9'] -> (((8/3 * 8/3) / 1/4) - (8/9 / 1/5))
[435671] ['1/4', '1/5', '8/3', '8/5', '8/5'] -> (8/5 / ((1/4 * (8/3 - 8/5)) - 1/5))
[435676] ['1/4', '1/5', '8/3', '8/5', '9/5'] -> ((8/3 / ((1/4 * 8/5) - 1/5)) * 9/5)
[435680] ['1/4', '1/5', '8/3', '8/7', '8/9'] -> ((8/3 / ((1/4 / 1/5) - 8/7)) - 8/9)
[435702] ['1/4', '1/5', '8/3', '9/5', '9/7'] -> (9/7 / (1/4 / ((1/5 + 8/3) + 9/5)))
[435703] ['1/4', '1/5', '8/3', '9/5', '9/8'] -> (9/8 / ((1/4 / (1/5 + 9/5)) / 8/3))
[435706] ['1/4', '1/5', '8/3', '9/8', '9/8'] -> (9/8 / (((1/4 / 1/5) - 9/8) / 8/3))
[435710] ['1/4', '1/5', '8/5', '8/5', '9/2'] -> (9/2 / (1/4 - (1/5 / (8/5 + 8/5))))
[435711] ['1/4', '1/5', '8/5', '8/5', '9/4'] -> (((8/5 / 1/5) + 8/5) * (1/4 + 9/4))
[435715] ['1/4', '1/5', '8/5', '8/7', '8/7'] -> ((((8/5 / 1/5) - 8/7) / 1/4) / 8/7)
[435717] ['1/4', '1/5', '8/5', '8/7', '9/2'] -> (9/2 / ((1/5 / (8/5 - 8/7)) - 1/4))
[435718] ['1/4', '1/5', '8/5', '8/7', '9/4'] -> (9/4 / ((1/4 / 8/7) - (1/5 / 8/5)))
[435721] ['1/4', '1/5', '8/5', '8/7', '9/8'] -> (9/8 / ((1/4 - (1/5 / 8/7)) / 8/5))
[435743] ['1/4', '1/5', '8/7', '8/7', '8/7'] -> ((((8/7 / 1/5) + 8/7) / 1/4) / 8/7)
[435746] ['1/4', '1/5', '8/7', '8/7', '9/4'] -> ((8/7 / ((1/4 / 1/5) - 8/7)) * 9/4)
[435747] ['1/4', '1/5', '8/7', '8/7', '9/5'] -> ((8/7 / ((1/4 * 8/7) - 1/5)) * 9/5)
[435761] ['1/4', '1/5', '8/7', '9/4', '9/4'] -> ((9/4 / ((1/4 * 8/7) - 1/5)) - 9/4)
[435771] ['1/4', '1/5', '8/9', '8/9', '8/9'] -> ((((8/9 / 1/5) + 8/9) / 1/4) / 8/9)
[435774] ['1/4', '1/5', '8/9', '8/9', '9/5'] -> ((((8/9 / 1/4) - 8/9) / 1/5) * 9/5)
[435776] ['1/4', '1/5', '8/9', '8/9', '9/8'] -> ((((8/9 / 1/5) + 8/9) / 1/4) * 9/8)
[435783] ['1/4', '1/5', '8/9', '9/4', '9/5'] -> (9/5 / (1/5 - ((1/4 / 8/9) / 9/4)))
[435792] ['1/4', '1/5', '9/2', '9/2', '9/2'] -> ((((9/2 / 1/5) + 9/2) / 1/4) / 9/2)
[435796] ['1/4', '1/5', '9/2', '9/2', '9/8'] -> (((1/4 + 9/2) / 1/5) + (9/8 / 9/2))
[435800] ['1/4', '1/5', '9/2', '9/4', '9/8'] -> ((((9/4 / 1/5) - 9/2) / 1/4) / 9/8)
[435803] ['1/4', '1/5', '9/2', '9/5', '9/8'] -> (((9/2 / 1/4) + (9/5 / 1/5)) / 9/8)
[435807] ['1/4', '1/5', '9/4', '9/4', '9/4'] -> ((((9/4 / 1/5) + 9/4) / 1/4) / 9/4)
[435808] ['1/4', '1/5', '9/4', '9/4', '9/5'] -> (((9/4 / 1/4) + 9/5) / (1/5 * 9/4))
[435813] ['1/4', '1/5', '9/4', '9/5', '9/8'] -> ((((9/5 / 1/5) - 9/4) / 1/4) / 9/8)
[435817] ['1/4', '1/5', '9/5', '9/5', '9/5'] -> ((((9/5 / 1/5) + 9/5) / 1/4) / 9/5)
[435819] ['1/4', '1/5', '9/5', '9/5', '9/8'] -> ((((9/5 / 1/4) - 9/5) / 1/5) / 9/8)
[435820] ['1/4', '1/5', '9/5', '9/7', '9/7'] -> ((((9/5 / 1/5) - 9/7) / 1/4) / 9/7)
[435823] ['1/4', '1/5', '9/7', '9/7', '9/7'] -> ((((9/7 / 1/5) + 9/7) / 1/4) / 9/7)
[435826] ['1/4', '1/5', '9/8', '9/8', '9/8'] -> ((((9/8 / 1/5) + 9/8) / 1/4) / 9/8)
[435827] ['1/4', '1/6', '1/6', '1/6', '1/6'] -> (((1/6 + 1/6) / (1/4 - 1/6)) / 1/6)
[435828] ['1/4', '1/6', '1/6', '1/6', '1/7'] -> ((((1/6 / 1/7) - 1/6) / 1/4) / 1/6)
[435832] ['1/4', '1/6', '1/6', '1/6', '2/5'] -> (((1/4 + (1/6 / 2/5)) / 1/6) / 1/6)
[435839] ['1/4', '1/6', '1/6', '1/6', '3/8'] -> ((1/6 / ((1/4 + 1/6) - 3/8)) / 1/6)
[435841] ['1/4', '1/6', '1/6', '1/6', '4/5'] -> ((1/6 / (1/4 - (1/6 / 4/5))) / 1/6)
[435842] ['1/4', '1/6', '1/6', '1/6', '4/7'] -> ((1/6 / ((1/6 / 4/7) - 1/4)) / 1/6)
[435850] ['1/4', '1/6', '1/6', '1/6', '5/9'] -> (((1/6 / 1/4) + (5/9 / 1/6)) / 1/6)
[435852] ['1/4', '1/6', '1/6', '1/6', '6/7'] -> ((1/6 / ((1/6 / 6/7) - 1/6)) / 1/4)
[435855] ['1/4', '1/6', '1/6', '1/6', '7/4'] -> ((1/6 / ((1/6 * 7/4) - 1/4)) / 1/6)
[435859] ['1/4', '1/6', '1/6', '1/6', '7/9'] -> (((7/9 / 1/6) - (1/6 / 1/4)) / 1/6)
[435865] ['1/4', '1/6', '1/6', '1/6', '9/4'] -> ((((1/4 / 1/6) / 1/6) / 1/6) / 9/4)
[435871] ['1/4', '1/6', '1/6', '1/7', '1/9'] -> (((1/4 / 1/6) + (1/6 / 1/7)) / 1/9)
[435875] ['1/4', '1/6', '1/6', '1/7', '2/9'] -> (((1/6 + (1/6 / 1/7)) / 1/4) / 2/9)
[435881] ['1/4', '1/6', '1/6', '1/7', '4/3'] -> (4/3 / (1/4 - ((1/6 * 1/6) / 1/7)))
[435883] ['1/4', '1/6', '1/6', '1/7', '4/7'] -> ((((1/6 / 1/4) / 1/6) - 4/7) / 1/7)
[435894] ['1/4', '1/6', '1/6', '1/7', '7/2'] -> (1/7 / ((1/6 / 7/2) - (1/4 * 1/6)))
[435895] ['1/4', '1/6', '1/6', '1/7', '7/3'] -> (((1/7 / (1/4 - 1/6)) / 1/6) * 7/3)
[435899] ['1/4', '1/6', '1/6', '1/7', '7/8'] -> ((1/7 / 1/4) / ((1/6 / 7/8) - 1/6))
[435900] ['1/4', '1/6', '1/6', '1/7', '7/9'] -> ((1/7 / 1/6) / (1/4 - (1/6 / 7/9)))
[435905] ['1/4', '1/6', '1/6', '1/7', '9/2'] -> (((1/6 + (1/6 / 1/7)) / 1/4) * 9/2)
[435908] ['1/4', '1/6', '1/6', '1/7', '9/7'] -> ((1/7 / 1/6) / (1/4 - (1/6 * 9/7)))
[435914] ['1/4', '1/6', '1/6', '1/8', '2/7'] -> (((1/6 + (1/6 / 2/7)) / 1/4) / 1/8)
[435931] ['1/4', '1/6', '1/6', '1/8', '5/9'] -> ((((1/4 / 1/6) + 1/6) / 1/8) / 5/9)
[435932] ['1/4', '1/6', '1/6', '1/8', '6/5'] -> ((((1/4 + 1/6) * 6/5) / 1/6) / 1/8)
[435933] ['1/4', '1/6', '1/6', '1/8', '6/7'] -> ((1/6 / (1/4 - (1/6 / 6/7))) / 1/8)
[435935] ['1/4', '1/6', '1/6', '1/8', '7/3'] -> (7/3 / ((1/4 - (1/6 * 1/6)) - 1/8))
[435943] ['1/4', '1/6', '1/6', '1/8', '8/7'] -> ((1/8 / 1/4) / (1/6 - (1/6 / 8/7)))
[435947] ['1/4', '1/6', '1/6', '1/8', '9/5'] -> ((((1/4 / 1/6) + 1/6) * 9/5) / 1/8)
[435964] ['1/4', '1/6', '1/6', '1/9', '5/2'] -> (5/2 / (1/9 - ((1/4 * 1/6) * 1/6)))
[435972] ['1/4', '1/6', '1/6', '1/9', '6/7'] -> ((1/4 + (1/6 / 6/7)) / (1/6 * 1/9))
[435977] ['1/4', '1/6', '1/6', '1/9', '7/6'] -> (((1/4 + (1/6 * 7/6)) / 1/6) / 1/9)
[435978] ['1/4', '1/6', '1/6', '1/9', '7/8'] -> ((((7/8 - 1/6) / 1/4) - 1/6) / 1/9)
[435981] ['1/4', '1/6', '1/6', '1/9', '8/5'] -> ((((1/4 / 1/6) + 1/6) / 1/9) * 8/5)
[435987] ['1/4', '1/6', '1/6', '1/9', '9/7'] -> ((1/9 / 1/6) / ((1/4 / 9/7) - 1/6))
[436021] ['1/4', '1/6', '1/6', '2/3', '8/9'] -> ((2/3 / 1/4) / ((1/6 / 1/6) - 8/9))
[436039] ['1/4', '1/6', '1/6', '2/5', '5/2'] -> (2/5 / ((1/4 - (1/6 / 5/2)) - 1/6))
[436041] ['1/4', '1/6', '1/6', '2/5', '5/4'] -> (2/5 / (((1/6 + 1/6) / 5/4) - 1/4))
[436042] ['1/4', '1/6', '1/6', '2/5', '5/6'] -> (((2/5 / (1/4 - 1/6)) / 1/6) * 5/6)
[436048] ['1/4', '1/6', '1/6', '2/5', '7/2'] -> ((7/2 / 1/4) / (1/6 + (1/6 / 2/5)))
[436056] ['1/4', '1/6', '1/6', '2/5', '8/5'] -> ((2/5 / 1/6) / (8/5 - (1/4 / 1/6)))
[436071] ['1/4', '1/6', '1/6', '2/7', '4/3'] -> ((4/3 / 1/6) / ((1/6 / 2/7) - 1/4))
[436075] ['1/4', '1/6', '1/6', '2/7', '5/2'] -> ((5/2 / 1/4) / ((1/6 / 2/7) - 1/6))
[436095] ['1/4', '1/6', '1/6', '2/7', '9/2'] -> ((9/2 / 1/4) / (1/6 + (1/6 / 2/7)))
[436113] ['1/4', '1/6', '1/6', '2/9', '5/6'] -> ((1/6 + 1/6) / (2/9 - (1/4 * 5/6)))
[436118] ['1/4', '1/6', '1/6', '2/9', '6/7'] -> ((2/9 / 1/6) / (1/4 - (1/6 / 6/7)))
[436133] ['1/4', '1/6', '1/6', '2/9', '9/7'] -> ((2/9 / 1/4) / (1/6 - (1/6 / 9/7)))
[436137] ['1/4', '1/6', '1/6', '3/2', '3/5'] -> ((((1/6 + 3/2) / 1/4) / 1/6) * 3/5)
[436150] ['1/4', '1/6', '1/6', '3/2', '5/9'] -> ((5/9 / 1/6) / (1/4 - (1/6 / 3/2)))
[436155] ['1/4', '1/6', '1/6', '3/2', '7/4'] -> ((1/4 + 7/4) / ((1/6 * 3/2) - 1/6))
[436162] ['1/4', '1/6', '1/6', '3/2', '8/7'] -> (3/2 / ((1/6 + (1/6 / 8/7)) - 1/4))
[436174] ['1/4', '1/6', '1/6', '3/4', '4/5'] -> ((1/4 + 3/4) / ((1/6 / 4/5) - 1/6))
[436175] ['1/4', '1/6', '1/6', '3/4', '4/7'] -> ((3/4 / 1/4) / ((1/6 / 4/7) - 1/6))
[436182] ['1/4', '1/6', '1/6', '3/4', '5/8'] -> (3/4 / ((1/4 * (1/6 + 5/8)) - 1/6))
[436185] ['1/4', '1/6', '1/6', '3/4', '6/7'] -> (6/7 / ((1/6 / (3/4 - 1/6)) - 1/4))
[436200] ['1/4', '1/6', '1/6', '3/4', '9/7'] -> (((1/6 + (3/4 / 1/6)) / 1/4) * 9/7)
[436204] ['1/4', '1/6', '1/6', '3/5', '3/8'] -> (3/5 / ((1/6 / (1/4 + 1/6)) - 3/8))
[436210] ['1/4', '1/6', '1/6', '3/5', '5/3'] -> ((3/5 / 1/6) / (1/4 - (1/6 / 5/3)))
[436215] ['1/4', '1/6', '1/6', '3/5', '5/9'] -> (((3/5 / (1/4 - 1/6)) / 1/6) * 5/9)
[436225] ['1/4', '1/6', '1/6', '3/5', '8/3'] -> ((8/3 / 1/4) / (1/6 + (1/6 / 3/5)))
[436236] ['1/4', '1/6', '1/6', '3/7', '4/3'] -> ((4/3 / 1/4) / ((1/6 / 3/7) - 1/6))
[436240] ['1/4', '1/6', '1/6', '3/7', '5/2'] -> (((3/7 / 1/4) / 1/6) * (5/2 - 1/6))
[436246] ['1/4', '1/6', '1/6', '3/7', '5/9'] -> ((5/9 / 1/6) / ((1/6 / 3/7) - 1/4))
[436253] ['1/4', '1/6', '1/6', '3/7', '7/6'] -> ((3/7 / 1/6) / (1/4 - (1/6 / 7/6)))
[436254] ['1/4', '1/6', '1/6', '3/7', '7/8'] -> ((((1/4 / 1/6) / 1/6) / 3/7) / 7/8)
[436255] ['1/4', '1/6', '1/6', '3/7', '7/9'] -> (((3/7 / (1/4 - 1/6)) / 1/6) * 7/9)
[436258] ['1/4', '1/6', '1/6', '3/7', '8/7'] -> ((((1/4 / 1/6) / 1/6) / 3/7) * 8/7)
[436260] ['1/4', '1/6', '1/6', '3/7', '9/2'] -> ((1/6 + 9/2) / ((1/4 - 1/6) / 3/7))
[436277] ['1/4', '1/6', '1/6', '3/8', '6/5'] -> ((1/4 / 3/8) / (1/6 - (1/6 / 6/5)))
[436278] ['1/4', '1/6', '1/6', '3/8', '6/7'] -> ((1/4 / 3/8) / ((1/6 / 6/7) - 1/6))
[436281] ['1/4', '1/6', '1/6', '3/8', '7/4'] -> (((7/4 / 1/6) - (1/4 / 1/6)) / 3/8)
[436285] ['1/4', '1/6', '1/6', '3/8', '7/9'] -> ((7/9 / 1/6) / ((1/6 / 3/8) - 1/4))
[436289] ['1/4', '1/6', '1/6', '3/8', '8/9'] -> (((3/8 / (1/4 - 1/6)) / 1/6) * 8/9)
[436296] ['1/4', '1/6', '1/6', '4/3', '4/5'] -> (((4/3 / (1/4 + 1/6)) / 1/6) / 4/5)
[436304] ['1/4', '1/6', '1/6', '4/3', '5/8'] -> (((1/6 + 4/3) / 1/6) / (5/8 - 1/4))
[436306] ['1/4', '1/6', '1/6', '4/3', '6/5'] -> (4/3 / ((1/6 + (1/6 / 6/5)) - 1/4))
[436307] ['1/4', '1/6', '1/6', '4/3', '6/7'] -> ((((4/3 - 1/6) / 1/4) / 1/6) * 6/7)
[436317] ['1/4', '1/6', '1/6', '4/3', '8/7'] -> (8/7 / ((1/4 / (4/3 - 1/6)) - 1/6))
[436323] ['1/4', '1/6', '1/6', '4/3', '9/8'] -> ((1/6 + 4/3) / (1/4 - (1/6 * 9/8)))
[436336] ['1/4', '1/6', '1/6', '4/5', '7/2'] -> (((1/4 / 1/6) + 7/2) / (1/6 / 4/5))
[436337] ['1/4', '1/6', '1/6', '4/5', '7/3'] -> ((1/6 + 7/3) / ((1/4 - 1/6) / 4/5))
[436341] ['1/4', '1/6', '1/6', '4/5', '7/8'] -> (((7/8 / 1/6) - 1/4) / (1/6 / 4/5))
[436348] ['1/4', '1/6', '1/6', '4/5', '9/4'] -> ((9/4 / 1/4) / (1/6 + (1/6 / 4/5)))
[436354] ['1/4', '1/6', '1/6', '4/7', '5/2'] -> (5/2 / (((1/4 / 4/7) - 1/6) - 1/6))
[436357] ['1/4', '1/6', '1/6', '4/7', '5/6'] -> ((1/6 + 5/6) / ((1/6 / 4/7) - 1/4))
[436358] ['1/4', '1/6', '1/6', '4/7', '5/7'] -> (5/7 / (1/6 - (1/6 * (1/4 + 4/7))))
[436375] ['1/4', '1/6', '1/6', '4/7', '9/4'] -> (9/4 / (1/6 - ((1/4 * 1/6) / 4/7)))
[436377] ['1/4', '1/6', '1/6', '4/7', '9/7'] -> (9/7 / ((1/6 * 4/7) - (1/4 * 1/6)))
[436378] ['1/4', '1/6', '1/6', '4/7', '9/8'] -> ((1/4 + (9/8 / 1/6)) / (1/6 / 4/7))
[436379] ['1/4', '1/6', '1/6', '4/9', '4/9'] -> (4/9 / (((1/4 + 1/6) * 4/9) - 1/6))
[436381] ['1/4', '1/6', '1/6', '4/9', '5/3'] -> (((1/6 / 1/6) + 5/3) / (1/4 * 4/9))
[436387] ['1/4', '1/6', '1/6', '4/9', '6/5'] -> ((4/9 / 1/6) / (1/4 - (1/6 / 6/5)))
[436389] ['1/4', '1/6', '1/6', '4/9', '7/2'] -> (((1/6 + 7/2) / 1/4) / (1/6 + 4/9))
[436393] ['1/4', '1/6', '1/6', '4/9', '7/6'] -> ((1/6 + 7/6) / (1/6 - (1/4 * 4/9)))
[436401] ['1/4', '1/6', '1/6', '4/9', '9/4'] -> (4/9 / (((1/4 + 1/6) / 9/4) - 1/6))
[436417] ['1/4', '1/6', '1/6', '5/2', '7/5'] -> ((7/5 / 1/4) / (1/6 + (1/6 / 5/2)))
[436419] ['1/4', '1/6', '1/6', '5/2', '7/8'] -> ((5/2 / 1/6) / ((1/4 / 1/6) - 7/8))
[436420] ['1/4', '1/6', '1/6', '5/2', '7/9'] -> ((1/6 + 5/2) / (7/9 - (1/6 / 1/4)))
[436424] ['1/4', '1/6', '1/6', '5/2', '8/9'] -> ((1/6 + 5/2) + ((8/9 / 1/4) / 1/6))
[436426] ['1/4', '1/6', '1/6', '5/2', '9/4'] -> ((5/2 / 1/6) / (1/4 + (1/6 * 9/4)))
[436427] ['1/4', '1/6', '1/6', '5/2', '9/5'] -> ((((5/2 - 1/4) / 1/6) - 1/6) * 9/5)
[436451] ['1/4', '1/6', '1/6', '5/3', '9/5'] -> ((5/3 / (1/6 - (1/4 * 1/6))) * 9/5)
[436459] ['1/4', '1/6', '1/6', '5/4', '6/5'] -> (6/5 / ((1/6 + (1/6 / 5/4)) - 1/4))
[436466] ['1/4', '1/6', '1/6', '5/4', '7/8'] -> (((7/8 / 1/6) - 1/4) / (1/6 * 5/4))
[436474] ['1/4', '1/6', '1/6', '5/4', '9/5'] -> ((9/5 / 1/4) / (1/6 + (1/6 / 5/4)))
[436481] ['1/4', '1/6', '1/6', '5/6', '6/5'] -> ((1/6 + 5/6) / ((1/4 / 6/5) - 1/6))
[436483] ['1/4', '1/6', '1/6', '5/6', '7/2'] -> ((7/2 / 1/6) / ((1/4 * 1/6) + 5/6))
[436485] ['1/4', '1/6', '1/6', '5/6', '7/4'] -> ((1/6 + 5/6) / ((1/6 * 7/4) - 1/4))
[436498] ['1/4', '1/6', '1/6', '5/6', '9/8'] -> (5/6 / (1/4 - (1/6 * (1/6 + 9/8))))
[436504] ['1/4', '1/6', '1/6', '5/7', '7/2'] -> ((((1/6 / 1/6) + 5/7) / 1/4) * 7/2)
[436505] ['1/4', '1/6', '1/6', '5/7', '7/3'] -> (((5/7 / (1/4 + 1/6)) / 1/6) * 7/3)
[436513] ['1/4', '1/6', '1/6', '5/7', '8/7'] -> (((5/7 / 1/4) / 1/6) + (8/7 / 1/6))
[436518] ['1/4', '1/6', '1/6', '5/7', '9/7'] -> (9/7 / ((1/4 * (1/6 + 5/7)) - 1/6))
[436525] ['1/4', '1/6', '1/6', '5/8', '7/3'] -> ((7/3 / 1/6) / (5/8 - (1/4 * 1/6)))
[436529] ['1/4', '1/6', '1/6', '5/8', '7/8'] -> ((((5/8 / 1/6) - 1/4) / 1/6) / 7/8)
[436532] ['1/4', '1/6', '1/6', '5/8', '8/5'] -> (8/5 / (((1/4 / 5/8) - 1/6) - 1/6))
[436533] ['1/4', '1/6', '1/6', '5/8', '8/7'] -> ((((5/8 / 1/6) - 1/4) / 1/6) * 8/7)
[436535] ['1/4', '1/6', '1/6', '5/8', '9/2'] -> (9/2 / ((1/4 + (1/6 * 5/8)) - 1/6))
[436540] ['1/4', '1/6', '1/6', '5/9', '5/9'] -> ((5/9 / ((5/9 - 1/4) - 1/6)) / 1/6)
[436544] ['1/4', '1/6', '1/6', '5/9', '7/3'] -> ((5/9 / 1/6) / ((1/6 * 7/3) - 1/4))
[436554] ['1/4', '1/6', '1/6', '5/9', '9/2'] -> (((9/2 - 1/6) / 1/4) / (1/6 + 5/9))
[436566] ['1/4', '1/6', '1/6', '6/5', '7/8'] -> ((6/5 / 1/6) * ((7/8 / 1/4) - 1/6))
[436578] ['1/4', '1/6', '1/6', '6/7', '7/2'] -> ((6/7 / (1/6 - (1/4 * 1/6))) * 7/2)
[436592] ['1/4', '1/6', '1/6', '6/7', '9/7'] -> ((6/7 / 1/6) / ((1/4 / 1/6) - 9/7))
[436600] ['1/4', '1/6', '1/6', '7/2', '7/9'] -> (((1/6 + 7/2) / 1/4) / (7/9 - 1/6))
[436602] ['1/4', '1/6', '1/6', '7/2', '8/5'] -> (((1/6 / 1/6) + (7/2 / 1/4)) * 8/5)
[436603] ['1/4', '1/6', '1/6', '7/2', '8/7'] -> (8/7 / (1/6 - ((1/4 + 1/6) / 7/2)))
[436606] ['1/4', '1/6', '1/6', '7/2', '9/4'] -> ((((1/6 + 7/2) / 1/6) - 1/4) + 9/4)
[436608] ['1/4', '1/6', '1/6', '7/2', '9/7'] -> ((9/7 / 1/4) / (1/6 + (1/6 / 7/2)))
[436612] ['1/4', '1/6', '1/6', '7/3', '7/5'] -> (((7/3 / (1/4 + 1/6)) / 1/6) / 7/5)
[436617] ['1/4', '1/6', '1/6', '7/3', '8/5'] -> (8/5 / (1/6 - (1/4 / (1/6 + 7/3))))
[436618] ['1/4', '1/6', '1/6', '7/3', '8/7'] -> ((((1/4 * 7/3) / 1/6) / 1/6) * 8/7)
[436633] ['1/4', '1/6', '1/6', '7/4', '8/9'] -> ((7/4 / 1/6) / (1/4 + (1/6 / 8/9)))
[436637] ['1/4', '1/6', '1/6', '7/4', '9/7'] -> (9/7 / ((1/6 / 7/4) - (1/4 * 1/6)))
[436660] ['1/4', '1/6', '1/6', '7/6', '9/4'] -> ((1/6 + 7/6) / (1/6 - (1/4 / 9/4)))
[436668] ['1/4', '1/6', '1/6', '7/8', '8/7'] -> (8/7 / ((1/6 + 1/6) - (1/4 / 7/8)))
[436679] ['1/4', '1/6', '1/6', '7/9', '8/9'] -> (((7/9 / 1/4) / 1/6) + (8/9 / 1/6))
