[194261] ['1/2', '5/2', '8/7', '9/4', '9/4'] -> (9/4 / (5/2 - ((1/2 + 9/4) / 8/7)))
[195105] ['1/2', '5/3', '5/6', '7/9', '8/9'] -> (8/9 / ((1/2 + 5/6) - (5/3 * 7/9)))
[195111] ['1/2', '5/3', '5/6', '8/3', '8/3'] -> (8/3 / (((5/3 * 5/6) / 1/2) - 8/3))
[195116] ['1/2', '5/3', '5/6', '8/3', '9/4'] -> ((((5/3 * 8/3) / 1/2) / 5/6) * 9/4)
[195130] ['1/2', '5/3', '5/6', '8/7', '9/2'] -> (9/2 / (((5/3 - 1/2) / 8/7) - 5/6))
[195141] ['1/2', '5/3', '5/6', '9/2', '9/2'] -> (9/2 / (1/2 - (5/3 / (5/6 + 9/2))))
[195142] ['1/2', '5/3', '5/6', '9/2', '9/4'] -> ((((5/3 + 9/2) - 5/6) / 1/2) * 9/4)
[195143] ['1/2', '5/3', '5/6', '9/2', '9/5'] -> ((((5/3 * 9/2) - 5/6) / 1/2) * 9/5)
[195163] ['1/2', '5/3', '5/7', '5/7', '7/4'] -> (((5/7 / 1/2) / 5/7) / (7/4 - 5/3))
[195166] ['1/2', '5/3', '5/7', '5/7', '7/8'] -> ((5/7 / 5/7) / (7/8 - (1/2 * 5/3)))
[195172] ['1/2', '5/3', '5/7', '5/7', '9/2'] -> (((5/3 + (5/7 / 5/7)) / 1/2) * 9/2)
[195176] ['1/2', '5/3', '5/7', '5/7', '9/8'] -> ((5/7 / 5/7) / ((5/3 - 1/2) - 9/8))
[195180] ['1/2', '5/3', '5/7', '5/8', '6/7'] -> (6/7 / (((5/8 / 1/2) / 5/3) - 5/7))
[195195] ['1/2', '5/3', '5/7', '5/8', '9/7'] -> (((5/3 / (5/8 - 1/2)) / 5/7) * 9/7)
[195202] ['1/2', '5/3', '5/7', '5/9', '7/4'] -> (((5/3 / (5/9 - 1/2)) / 5/7) / 7/4)
[195205] ['1/2', '5/3', '5/7', '5/9', '7/8'] -> (((5/3 / (5/7 - 5/9)) / 1/2) / 7/8)
[195207] ['1/2', '5/3', '5/7', '5/9', '8/3'] -> (8/3 / (5/3 - ((5/9 / 1/2) / 5/7)))
[195226] ['1/2', '5/3', '5/7', '6/5', '8/5'] -> (8/5 / ((6/5 / 1/2) - (5/3 / 5/7)))
[195227] ['1/2', '5/3', '5/7', '6/5', '8/7'] -> (8/7 / (((5/7 * 6/5) / 1/2) - 5/3))
[195243] ['1/2', '5/3', '5/7', '6/7', '8/5'] -> ((5/7 / ((6/7 / 1/2) - 5/3)) * 8/5)
[195244] ['1/2', '5/3', '5/7', '6/7', '8/7'] -> (8/7 / (1/2 * ((5/3 - 5/7) - 6/7)))
[195258] ['1/2', '5/3', '5/7', '7/2', '8/3'] -> ((5/3 * (1/2 + (7/2 / 5/7))) * 8/3)
[195262] ['1/2', '5/3', '5/7', '7/2', '9/2'] -> ((((5/3 / 5/7) + 7/2) - 1/2) * 9/2)
[195272] ['1/2', '5/3', '5/7', '7/3', '7/9'] -> (((5/3 + 7/3) / (5/7 - 1/2)) / 7/9)
[195274] ['1/2', '5/3', '5/7', '7/3', '8/5'] -> (8/5 / ((5/3 / 1/2) - (7/3 / 5/7)))
[195275] ['1/2', '5/3', '5/7', '7/3', '8/7'] -> (8/7 / (((5/3 * 5/7) / 1/2) - 7/3))
[195280] ['1/2', '5/3', '5/7', '7/3', '9/7'] -> (((5/3 + 7/3) / (5/7 - 1/2)) * 9/7)
[195281] ['1/2', '5/3', '5/7', '7/3', '9/8'] -> (9/8 / ((5/3 / (5/7 + 7/3)) - 1/2))
[195283] ['1/2', '5/3', '5/7', '7/4', '7/5'] -> (((5/7 / (7/4 - 5/3)) / 1/2) * 7/5)
[195302] ['1/2', '5/3', '5/7', '7/5', '8/7'] -> (8/7 / (5/3 * ((5/7 / 1/2) - 7/5)))
[195304] ['1/2', '5/3', '5/7', '7/5', '9/2'] -> (((5/3 + (5/7 * 7/5)) / 1/2) * 9/2)
[195310] ['1/2', '5/3', '5/7', '7/6', '7/8'] -> ((1/2 / ((5/3 * 5/7) - 7/6)) / 7/8)
[195313] ['1/2', '5/3', '5/7', '7/6', '8/5'] -> ((1/2 * 8/5) / (5/3 - (7/6 / 5/7)))
[195329] ['1/2', '5/3', '5/7', '7/8', '9/5'] -> ((5/3 / ((5/7 * 7/8) - 1/2)) * 9/5)
[195330] ['1/2', '5/3', '5/7', '7/8', '9/7'] -> (9/7 / ((1/2 + (5/7 / 5/3)) - 7/8))
[195344] ['1/2', '5/3', '5/7', '8/3', '8/7'] -> (8/7 / ((5/7 + 8/3) - (5/3 / 1/2)))
[195348] ['1/2', '5/3', '5/7', '8/3', '9/5'] -> (9/5 / ((1/2 / 5/7) - (5/3 / 8/3)))
[195349] ['1/2', '5/3', '5/7', '8/3', '9/7'] -> (9/7 / (1/2 - ((5/3 * 5/7) / 8/3)))
[195361] ['1/2', '5/3', '5/7', '8/7', '9/2'] -> ((((5/3 * 8/7) / 1/2) / 5/7) * 9/2)
[195363] ['1/2', '5/3', '5/7', '8/7', '9/5'] -> ((5/3 / ((5/7 / 8/7) - 1/2)) * 9/5)
[195387] ['1/2', '5/3', '5/8', '5/8', '5/8'] -> (5/3 / (5/8 - (5/8 / (1/2 + 5/8))))
[195388] ['1/2', '5/3', '5/8', '5/8', '5/9'] -> ((5/3 / (5/8 + 5/8)) / (5/9 - 1/2))
[195389] ['1/2', '5/3', '5/8', '5/8', '6/5'] -> (6/5 / (((1/2 + 5/8) / 5/3) - 5/8))
[195393] ['1/2', '5/3', '5/8', '5/8', '7/4'] -> (((5/8 / 1/2) / 5/8) / (7/4 - 5/3))
[195396] ['1/2', '5/3', '5/8', '5/8', '7/8'] -> ((5/8 / 5/8) / (7/8 - (1/2 * 5/3)))
[195401] ['1/2', '5/3', '5/8', '5/8', '8/9'] -> (((5/3 / (5/8 - 1/2)) / 5/8) / 8/9)
[195407] ['1/2', '5/3', '5/8', '5/9', '5/9'] -> (5/9 / (((5/3 - 1/2) * 5/9) - 5/8))
[195411] ['1/2', '5/3', '5/8', '5/9', '7/3'] -> (7/3 / ((5/8 / 5/3) - (1/2 * 5/9)))
[195417] ['1/2', '5/3', '5/8', '5/9', '8/3'] -> (8/3 / (((5/9 / 1/2) / 5/8) - 5/3))
[195426] ['1/2', '5/3', '5/8', '6/5', '6/5'] -> (6/5 / (1/2 - ((5/8 * 6/5) / 5/3)))
[195428] ['1/2', '5/3', '5/8', '6/5', '7/2'] -> (7/2 / ((1/2 * 5/8) * (5/3 - 6/5)))
[195439] ['1/2', '5/3', '5/8', '6/5', '9/2'] -> (9/2 / (1/2 - ((5/8 / 5/3) / 6/5)))
[195445] ['1/2', '5/3', '5/8', '6/7', '7/2'] -> ((6/7 / (1/2 - (5/8 / 5/3))) * 7/2)
[195457] ['1/2', '5/3', '5/8', '6/7', '9/4'] -> ((5/8 / (6/7 - (1/2 * 5/3))) - 9/4)
[195459] ['1/2', '5/3', '5/8', '6/7', '9/7'] -> (9/7 / ((1/2 * 6/7) - (5/8 / 5/3)))
[195462] ['1/2', '5/3', '5/8', '7/2', '7/3'] -> (((7/2 / (5/8 - 1/2)) - 5/3) - 7/3)
[195465] ['1/2', '5/3', '5/8', '7/2', '7/6'] -> ((7/2 / (1/2 - (5/8 / 5/3))) / 7/6)
[195475] ['1/2', '5/3', '5/8', '7/2', '9/7'] -> (9/7 / (((1/2 * 5/8) / 5/3) / 7/2))
[195482] ['1/2', '5/3', '5/8', '7/3', '7/9'] -> ((7/3 / (1/2 - (5/8 / 5/3))) / 7/9)
[195489] ['1/2', '5/3', '5/8', '7/3', '9/5'] -> (9/5 / (((1/2 * 7/3) / 5/3) - 5/8))
[195492] ['1/2', '5/3', '5/8', '7/4', '7/4'] -> (7/4 / ((5/3 - (5/8 * 7/4)) - 1/2))
[195497] ['1/2', '5/3', '5/8', '7/4', '8/3'] -> (8/3 / (5/3 - (7/4 / (1/2 + 5/8))))
[195498] ['1/2', '5/3', '5/8', '7/4', '8/5'] -> (((5/8 / (7/4 - 5/3)) / 1/2) * 8/5)
[195502] ['1/2', '5/3', '5/8', '7/4', '9/4'] -> (9/4 / ((1/2 + 5/8) * (7/4 - 5/3)))
[195503] ['1/2', '5/3', '5/8', '7/4', '9/5'] -> (9/5 / ((1/2 + 5/8) - (7/4 / 5/3)))
[195506] ['1/2', '5/3', '5/8', '7/5', '7/5'] -> (7/5 / (((1/2 * 5/3) + 5/8) - 7/5))
[195511] ['1/2', '5/3', '5/8', '7/5', '8/5'] -> (8/5 / (7/5 - ((1/2 * 5/3) / 5/8)))
[195517] ['1/2', '5/3', '5/8', '7/5', '9/7'] -> (9/7 / (((5/8 - 1/2) / 5/3) / 7/5))
[195529] ['1/2', '5/3', '5/8', '7/6', '9/7'] -> (9/7 / ((1/2 / 7/6) - (5/8 / 5/3)))
[195534] ['1/2', '5/3', '5/8', '7/8', '8/5'] -> ((5/8 / (7/8 - (1/2 * 5/3))) * 8/5)
[195537] ['1/2', '5/3', '5/8', '7/8', '9/2'] -> (((7/8 / (5/8 - 1/2)) - 5/3) * 9/2)
[195539] ['1/2', '5/3', '5/8', '7/8', '9/5'] -> (((5/3 / (7/8 - 5/8)) / 1/2) * 9/5)
[195546] ['1/2', '5/3', '5/8', '7/9', '8/9'] -> (8/9 / (5/3 * ((1/2 / 5/8) - 7/9)))
[195555] ['1/2', '5/3', '5/8', '8/3', '8/9'] -> ((8/3 / (1/2 - (5/8 / 5/3))) / 8/9)
[195560] ['1/2', '5/3', '5/8', '8/3', '9/8'] -> ((8/3 / (1/2 - (5/8 / 5/3))) * 9/8)
[195566] ['1/2', '5/3', '5/8', '8/5', '9/5'] -> (9/5 / ((1/2 + 5/8) * (5/3 - 8/5)))
[195568] ['1/2', '5/3', '5/8', '8/5', '9/8'] -> (9/8 / (((5/8 - 1/2) / 5/3) / 8/5))
[195572] ['1/2', '5/3', '5/8', '8/7', '9/4'] -> ((5/8 / ((5/3 - 1/2) - 8/7)) - 9/4)
[195577] ['1/2', '5/3', '5/8', '8/9', '9/2'] -> (9/2 / ((1/2 / 8/9) - (5/8 / 5/3)))
[195582] ['1/2', '5/3', '5/8', '9/2', '9/2'] -> ((((1/2 + 9/2) - 5/3) / 5/8) * 9/2)
[195584] ['1/2', '5/3', '5/8', '9/2', '9/5'] -> (((1/2 + 9/2) / (5/8 / 5/3)) * 9/5)
[195591] ['1/2', '5/3', '5/8', '9/5', '9/5'] -> (9/5 / ((5/3 * (1/2 + 5/8)) - 9/5))
[195602] ['1/2', '5/3', '5/9', '5/9', '7/4'] -> (((5/9 / 1/2) / 5/9) / (7/4 - 5/3))
[195605] ['1/2', '5/3', '5/9', '5/9', '7/8'] -> ((5/9 / 5/9) / (7/8 - (1/2 * 5/3)))
[195610] ['1/2', '5/3', '5/9', '5/9', '8/9'] -> ((5/3 / 5/9) / ((5/9 / 8/9) - 1/2))
[195611] ['1/2', '5/3', '5/9', '5/9', '9/2'] -> (((5/3 + (5/9 / 5/9)) / 1/2) * 9/2)
[195612] ['1/2', '5/3', '5/9', '5/9', '9/4'] -> (((5/3 / (5/9 - 1/2)) / 5/9) / 9/4)
[195615] ['1/2', '5/3', '5/9', '5/9', '9/8'] -> ((5/9 / 5/9) / ((5/3 - 1/2) - 9/8))
[195616] ['1/2', '5/3', '5/9', '6/5', '6/5'] -> (((5/3 / (5/9 - 1/2)) - 6/5) / 6/5)
[195625] ['1/2', '5/3', '5/9', '6/5', '8/3'] -> (8/3 / ((5/3 * (5/9 - 1/2)) * 6/5))
[195629] ['1/2', '5/3', '5/9', '6/5', '9/2'] -> ((((5/3 + 5/9) * 6/5) / 1/2) * 9/2)
[195658] ['1/2', '5/3', '5/9', '7/2', '8/3'] -> (((5/3 * (7/2 - 1/2)) / 5/9) * 8/3)
[195677] ['1/2', '5/3', '5/9', '7/3', '9/2'] -> ((((5/9 / 5/3) + 7/3) / 1/2) * 9/2)
[195678] ['1/2', '5/3', '5/9', '7/3', '9/4'] -> ((((5/3 / 5/9) + 7/3) / 1/2) * 9/4)
[195683] ['1/2', '5/3', '5/9', '7/4', '7/5'] -> (7/5 / (((5/9 - 1/2) * 7/4) / 5/3))
[195687] ['1/2', '5/3', '5/9', '7/4', '8/3'] -> (8/3 / (((5/3 - 1/2) / 7/4) - 5/9))
[195689] ['1/2', '5/3', '5/9', '7/4', '8/7'] -> (8/7 / ((5/9 / 5/3) - (1/2 / 7/4)))
[195693] ['1/2', '5/3', '5/9', '7/4', '9/5'] -> (((5/9 / (7/4 - 5/3)) / 1/2) * 9/5)
