[1992828] ['4/9', '5/9', '5/9', '7/9', '8/5'] -> (8/5 / (((4/9 * 7/9) / 5/9) - 5/9))
[1993167] ['4/9', '5/9', '6/7', '8/3', '9/7'] -> (9/7 / (((4/9 + 5/9) - 6/7) / 8/3))
[1993174] ['4/9', '5/9', '6/7', '8/5', '9/5'] -> ((8/5 / (5/9 - (4/9 / 6/7))) / 9/5)
[1993178] ['4/9', '5/9', '6/7', '8/7', '8/9'] -> (8/9 / (((4/9 * 8/7) / 6/7) - 5/9))
[1993182] ['4/9', '5/9', '6/7', '8/7', '9/7'] -> ((8/7 / (5/9 - (4/9 / 6/7))) / 9/7)
[1993209] ['4/9', '5/9', '7/2', '7/2', '7/6'] -> (((7/2 / (5/9 - 4/9)) - 7/2) / 7/6)
[1993210] ['4/9', '5/9', '7/2', '7/2', '7/8'] -> ((7/2 / 7/2) / ((5/9 * 7/8) - 4/9))
[1993214] ['4/9', '5/9', '7/2', '7/2', '8/7'] -> ((7/2 / 7/2) / ((5/9 / 8/7) - 4/9))
[1993266] ['4/9', '5/9', '7/2', '7/6', '8/3'] -> (8/3 / (7/2 * ((5/9 / 7/6) - 4/9)))
[1993269] ['4/9', '5/9', '7/2', '7/6', '8/9'] -> (((7/2 / (5/9 - 4/9)) / 7/6) * 8/9)
[1993270] ['4/9', '5/9', '7/2', '7/6', '9/2'] -> (((5/9 / 4/9) + (7/2 * 7/6)) * 9/2)
[1993274] ['4/9', '5/9', '7/2', '7/6', '9/8'] -> (((7/2 / (5/9 - 4/9)) / 7/6) / 9/8)
[1993275] ['4/9', '5/9', '7/2', '7/8', '7/8'] -> ((7/2 / (5/9 - (4/9 * 7/8))) / 7/8)
[1993279] ['4/9', '5/9', '7/2', '7/8', '8/7'] -> ((7/2 / (5/9 - (4/9 * 7/8))) * 8/7)
[1993287] ['4/9', '5/9', '7/2', '7/9', '8/3'] -> (8/3 / ((4/9 + (7/9 / 7/2)) - 5/9))
[1993296] ['4/9', '5/9', '7/2', '8/3', '8/3'] -> ((7/2 / (5/9 - (4/9 / 8/3))) * 8/3)
[1993313] ['4/9', '5/9', '7/2', '8/7', '8/7'] -> ((7/2 / (5/9 - (4/9 / 8/7))) * 8/7)
[1993330] ['4/9', '5/9', '7/2', '9/2', '9/8'] -> (((7/2 / (5/9 - 4/9)) - 9/2) / 9/8)
[1993342] ['4/9', '5/9', '7/3', '7/3', '7/4'] -> (((7/3 + 7/3) / (5/9 - 4/9)) / 7/4)
[1993345] ['4/9', '5/9', '7/3', '7/3', '7/8'] -> ((7/3 / 7/3) / ((5/9 * 7/8) - 4/9))
[1993351] ['4/9', '5/9', '7/3', '7/3', '9/2'] -> (((4/9 + (7/3 * 7/3)) - 5/9) * 9/2)
[1993354] ['4/9', '5/9', '7/3', '7/3', '9/7'] -> (((7/3 / (5/9 - 4/9)) - 7/3) * 9/7)
[1993364] ['4/9', '5/9', '7/3', '7/4', '8/9'] -> (8/9 / (((4/9 * 7/3) / 7/4) - 5/9))
[1993370] ['4/9', '5/9', '7/3', '7/5', '7/5'] -> (((7/3 + 7/5) / (5/9 - 4/9)) / 7/5)
[1993383] ['4/9', '5/9', '7/3', '7/6', '7/6'] -> ((7/3 / ((5/9 / 4/9) - 7/6)) / 7/6)
[1993390] ['4/9', '5/9', '7/3', '7/6', '9/2'] -> ((((5/9 + 7/3) / 4/9) - 7/6) * 9/2)
[1993397] ['4/9', '5/9', '7/3', '7/8', '8/3'] -> (8/3 / (7/3 * (5/9 - (4/9 / 7/8))))
[1993404] ['4/9', '5/9', '7/3', '7/8', '9/7'] -> (9/7 / (((4/9 + 5/9) - 7/8) / 7/3))
[1993415] ['4/9', '5/9', '7/3', '7/9', '9/8'] -> (((7/3 / (5/9 - 4/9)) / 7/9) / 9/8)
[1993416] ['4/9', '5/9', '7/3', '8/3', '8/3'] -> (8/3 / ((5/9 * 7/3) - (4/9 * 8/3)))
[1993417] ['4/9', '5/9', '7/3', '8/3', '8/5'] -> (((7/3 + (8/3 / 4/9)) / 5/9) * 8/5)
[1993418] ['4/9', '5/9', '7/3', '8/3', '8/7'] -> (8/7 / (5/9 - ((4/9 * 8/3) / 7/3)))
[1993421] ['4/9', '5/9', '7/3', '8/3', '9/4'] -> ((((7/3 - 5/9) * 8/3) / 4/9) * 9/4)
[1993428] ['4/9', '5/9', '7/3', '8/5', '9/2'] -> ((((4/9 + 5/9) + 7/3) * 8/5) * 9/2)
[1993440] ['4/9', '5/9', '7/3', '8/9', '8/9'] -> (8/9 / ((4/9 + 8/9) - (5/9 * 7/3)))
[1993442] ['4/9', '5/9', '7/3', '8/9', '9/4'] -> ((7/3 / (8/9 - (4/9 / 5/9))) - 9/4)
[1993444] ['4/9', '5/9', '7/3', '8/9', '9/7'] -> (9/7 / (((5/9 - 4/9) / 7/3) / 8/9))
[1993459] ['4/9', '5/9', '7/3', '9/7', '9/8'] -> (((7/3 * 9/7) / (5/9 - 4/9)) / 9/8)
[1993464] ['4/9', '5/9', '7/4', '7/4', '7/8'] -> ((7/4 / 7/4) / ((5/9 * 7/8) - 4/9))
[1993468] ['4/9', '5/9', '7/4', '7/4', '8/7'] -> ((7/4 / 7/4) / ((5/9 / 8/7) - 4/9))
[1993480] ['4/9', '5/9', '7/4', '7/5', '8/5'] -> (8/5 / ((7/5 - (4/9 * 7/4)) - 5/9))
[1993484] ['4/9', '5/9', '7/4', '7/5', '9/4'] -> ((7/4 / ((4/9 * 7/5) - 5/9)) - 9/4)
[1993489] ['4/9', '5/9', '7/4', '7/6', '7/8'] -> ((7/4 / ((5/9 / 4/9) - 7/6)) / 7/8)
[1993491] ['4/9', '5/9', '7/4', '7/6', '8/3'] -> (8/3 / (((4/9 * 7/4) / 7/6) - 5/9))
[1993493] ['4/9', '5/9', '7/4', '7/6', '8/7'] -> ((7/4 / ((5/9 / 4/9) - 7/6)) * 8/7)
[1993496] ['4/9', '5/9', '7/4', '7/6', '9/4'] -> (((7/4 + 7/6) / (5/9 - 4/9)) - 9/4)
[1993502] ['4/9', '5/9', '7/4', '7/8', '8/3'] -> (8/3 / ((4/9 - (5/9 / 7/4)) * 7/8))
[1993508] ['4/9', '5/9', '7/4', '7/8', '9/5'] -> (9/5 / ((7/4 - (4/9 / 5/9)) - 7/8))
[1993512] ['4/9', '5/9', '7/4', '7/9', '8/3'] -> (8/3 / ((7/4 * 7/9) - (5/9 / 4/9)))
[1993521] ['4/9', '5/9', '7/4', '8/3', '8/3'] -> ((7/4 + ((5/9 + 8/3) / 4/9)) * 8/3)
[1993523] ['4/9', '5/9', '7/4', '8/3', '8/7'] -> ((8/3 / (4/9 - (5/9 / 7/4))) * 8/7)
[1993525] ['4/9', '5/9', '7/4', '8/3', '9/2'] -> ((8/3 / (7/4 - (5/9 / 4/9))) * 9/2)
[1993532] ['4/9', '5/9', '7/4', '8/5', '8/9'] -> (8/9 / ((4/9 * 5/9) * (7/4 - 8/5)))
[1993533] ['4/9', '5/9', '7/4', '8/5', '9/2'] -> (((4/9 / (7/4 - 8/5)) / 5/9) * 9/2)
[1993534] ['4/9', '5/9', '7/4', '8/5', '9/4'] -> (9/4 / (((7/4 / 8/5) - 4/9) - 5/9))
[1993540] ['4/9', '5/9', '7/4', '8/7', '9/2'] -> (9/2 / (7/4 * ((5/9 / 4/9) - 8/7)))
[1993545] ['4/9', '5/9', '7/4', '8/9', '8/9'] -> (8/9 / (4/9 * ((5/9 * 7/4) - 8/9)))
[1993546] ['4/9', '5/9', '7/4', '8/9', '9/2'] -> ((4/9 / ((5/9 * 7/4) - 8/9)) * 9/2)
[1993571] ['4/9', '5/9', '7/5', '7/5', '8/5'] -> ((8/5 / 7/5) / (4/9 - (5/9 / 7/5)))
[1993593] ['4/9', '5/9', '7/5', '7/8', '8/3'] -> (8/3 / ((4/9 / 7/8) - (5/9 / 7/5)))
[1993594] ['4/9', '5/9', '7/5', '7/8', '8/5'] -> (8/5 / (7/5 * (5/9 - (4/9 / 7/8))))
[1993600] ['4/9', '5/9', '7/5', '7/8', '9/7'] -> (9/7 / ((7/8 - (4/9 / 5/9)) / 7/5))
[1993606] ['4/9', '5/9', '7/5', '7/9', '8/9'] -> (8/9 / ((4/9 - (5/9 / 7/5)) * 7/9))
[1993622] ['4/9', '5/9', '7/5', '8/5', '8/7'] -> (8/7 / (5/9 - ((4/9 * 8/5) / 7/5)))
[1993623] ['4/9', '5/9', '7/5', '8/5', '8/9'] -> (((7/5 + 8/5) / (5/9 - 4/9)) * 8/9)
[1993625] ['4/9', '5/9', '7/5', '8/5', '9/4'] -> ((8/5 / (7/5 - (5/9 / 4/9))) * 9/4)
[1993626] ['4/9', '5/9', '7/5', '8/5', '9/5'] -> (9/5 / ((7/5 / 8/5) - (4/9 / 5/9)))
[1993628] ['4/9', '5/9', '7/5', '8/5', '9/8'] -> (((7/5 + 8/5) / (5/9 - 4/9)) / 9/8)
[1993636] ['4/9', '5/9', '7/5', '8/9', '8/9'] -> (8/9 / (5/9 * ((7/5 - 4/9) - 8/9)))
[1993639] ['4/9', '5/9', '7/5', '8/9', '9/5'] -> ((8/9 / ((4/9 * 7/5) - 5/9)) * 9/5)
[1993640] ['4/9', '5/9', '7/5', '8/9', '9/7'] -> (9/7 / ((4/9 - (5/9 / 7/5)) / 8/9))
[1993653] ['4/9', '5/9', '7/5', '9/5', '9/8'] -> ((9/5 / ((4/9 * 7/5) - 5/9)) / 9/8)
[1993655] ['4/9', '5/9', '7/5', '9/7', '9/8'] -> ((9/7 / (4/9 - (5/9 / 7/5))) / 9/8)
[1993661] ['4/9', '5/9', '7/6', '7/6', '8/5'] -> ((7/6 + 7/6) / (4/9 - (5/9 / 8/5)))
[1993663] ['4/9', '5/9', '7/6', '7/6', '8/9'] -> ((8/9 / 7/6) / ((5/9 / 7/6) - 4/9))
[1993674] ['4/9', '5/9', '7/6', '7/8', '8/9'] -> (8/9 / (((4/9 * 7/6) / 7/8) - 5/9))
[1993681] ['4/9', '5/9', '7/6', '7/9', '8/3'] -> (8/3 / (((4/9 * 7/6) / 7/9) - 5/9))
[1993683] ['4/9', '5/9', '7/6', '7/9', '8/7'] -> ((7/9 / (5/9 - (4/9 * 7/6))) * 8/7)
[1993690] ['4/9', '5/9', '7/6', '8/3', '8/3'] -> (8/3 / ((4/9 * (8/3 - 7/6)) - 5/9))
[1993696] ['4/9', '5/9', '7/6', '8/3', '9/5'] -> ((5/9 / (8/3 - (7/6 / 4/9))) * 9/5)
[1993704] ['4/9', '5/9', '7/6', '8/5', '9/5'] -> ((8/5 / (5/9 - (4/9 * 7/6))) / 9/5)
[1993708] ['4/9', '5/9', '7/6', '8/7', '8/9'] -> (8/9 / (((4/9 * 7/6) * 8/7) - 5/9))
[1993712] ['4/9', '5/9', '7/6', '8/7', '9/7'] -> ((8/7 / (5/9 - (4/9 * 7/6))) / 9/7)
[1993715] ['4/9', '5/9', '7/6', '8/9', '9/2'] -> ((8/9 / ((7/6 - 4/9) - 5/9)) * 9/2)
[1993716] ['4/9', '5/9', '7/6', '8/9', '9/4'] -> ((8/9 / ((5/9 / 4/9) - 7/6)) * 9/4)
[1993724] ['4/9', '5/9', '7/6', '9/2', '9/8'] -> ((9/2 / ((7/6 - 4/9) - 5/9)) / 9/8)
[1993728] ['4/9', '5/9', '7/6', '9/4', '9/8'] -> ((9/4 / ((5/9 / 4/9) - 7/6)) / 9/8)
[1993735] ['4/9', '5/9', '7/8', '7/8', '7/8'] -> ((7/8 / ((5/9 * 7/8) - 4/9)) / 7/8)
[1993746] ['4/9', '5/9', '7/8', '7/9', '7/9'] -> (7/9 / (((5/9 * 7/8) - 4/9) * 7/9))
[1993747] ['4/9', '5/9', '7/8', '7/9', '8/3'] -> (8/3 / ((4/9 + 5/9) - (7/9 / 7/8)))
[1993750] ['4/9', '5/9', '7/8', '7/9', '8/9'] -> (8/9 / ((5/9 - (4/9 / 7/8)) * 7/9))
[1993754] ['4/9', '5/9', '7/8', '7/9', '9/7'] -> (9/7 / (((5/9 * 7/8) - 4/9) / 7/9))
[1993756] ['4/9', '5/9', '7/8', '8/3', '8/3'] -> (8/3 / (((5/9 * 7/8) - 4/9) * 8/3))
[1993758] ['4/9', '5/9', '7/8', '8/3', '8/7'] -> (((7/8 * 8/3) / (5/9 - 4/9)) * 8/7)
[1993764] ['4/9', '5/9', '7/8', '8/3', '9/8'] -> (9/8 / (((4/9 + 5/9) - 7/8) / 8/3))
[1993766] ['4/9', '5/9', '7/8', '8/5', '8/7'] -> (8/7 / (4/9 - ((5/9 / 7/8) / 8/5)))
[1993769] ['4/9', '5/9', '7/8', '8/5', '9/4'] -> (9/4 / (7/8 - ((5/9 / 4/9) / 8/5)))
[1993770] ['4/9', '5/9', '7/8', '8/5', '9/5'] -> (9/5 / (((4/9 / 5/9) + 7/8) - 8/5))
[1993772] ['4/9', '5/9', '7/8', '8/5', '9/8'] -> (9/8 / ((7/8 - (4/9 / 5/9)) / 8/5))
[1993776] ['4/9', '5/9', '7/8', '8/7', '9/4'] -> (9/4 / (7/8 * ((5/9 / 4/9) - 8/7)))
[1993780] ['4/9', '5/9', '7/8', '8/9', '8/9'] -> (8/9 / (((5/9 * 7/8) - 4/9) * 8/9))
[1993781] ['4/9', '5/9', '7/8', '8/9', '9/2'] -> ((8/9 / (5/9 - (4/9 * 7/8))) * 9/2)
[1993784] ['4/9', '5/9', '7/8', '8/9', '9/7'] -> (9/7 / ((5/9 - (4/9 / 7/8)) / 8/9))
[1993785] ['4/9', '5/9', '7/8', '8/9', '9/8'] -> (9/8 / (((5/9 * 7/8) - 4/9) / 8/9))
[1993790] ['4/9', '5/9', '7/8', '9/2', '9/8'] -> ((9/2 / (5/9 - (4/9 * 7/8))) / 9/8)
[1993791] ['4/9', '5/9', '7/8', '9/4', '9/4'] -> ((9/4 / ((5/9 * 7/8) - 4/9)) / 9/4)
[1993798] ['4/9', '5/9', '7/8', '9/7', '9/7'] -> ((9/7 / ((5/9 * 7/8) - 4/9)) / 9/7)
[1993799] ['4/9', '5/9', '7/8', '9/7', '9/8'] -> ((9/7 / (5/9 - (4/9 / 7/8))) / 9/8)
[1993800] ['4/9', '5/9', '7/8', '9/8', '9/8'] -> ((9/8 / ((5/9 * 7/8) - 4/9)) / 9/8)
[1993804] ['4/9', '5/9', '7/9', '7/9', '8/7'] -> ((7/9 / 7/9) / ((5/9 / 8/7) - 4/9))
[1993811] ['4/9', '5/9', '7/9', '8/3', '8/3'] -> ((((5/9 + 7/9) + 8/3) / 4/9) * 8/3)
[1993814] ['4/9', '5/9', '7/9', '8/3', '8/9'] -> (((8/3 / (7/9 - 5/9)) / 4/9) * 8/9)
[1993815] ['4/9', '5/9', '7/9', '8/3', '9/2'] -> (((4/9 * 8/3) / (7/9 - 5/9)) * 9/2)
[1993819] ['4/9', '5/9', '7/9', '8/3', '9/8'] -> (((8/3 / (7/9 - 5/9)) / 4/9) / 9/8)
[1993820] ['4/9', '5/9', '7/9', '8/5', '8/5'] -> (8/5 / ((5/9 / (7/9 - 4/9)) - 8/5))
[1993822] ['4/9', '5/9', '7/9', '8/5', '8/9'] -> (8/9 / (5/9 * (7/9 - (4/9 * 8/5))))
[1993825] ['4/9', '5/9', '7/9', '8/5', '9/5'] -> ((5/9 / ((7/9 / 8/5) - 4/9)) * 9/5)
[1993829] ['4/9', '5/9', '7/9', '8/7', '8/9'] -> (8/9 / (7/9 * (5/9 - (4/9 * 8/7))))
[1993833] ['4/9', '5/9', '7/9', '8/7', '9/7'] -> (9/7 / (((5/9 / 8/7) - 4/9) / 7/9))
[1993838] ['4/9', '5/9', '7/9', '8/9', '9/5'] -> (9/5 / ((7/9 / 8/9) - (4/9 / 5/9)))
[1993839] ['4/9', '5/9', '7/9', '8/9', '9/7'] -> (9/7 / ((5/9 / 8/9) - (4/9 / 7/9)))
[1993858] ['4/9', '5/9', '8/3', '8/3', '8/7'] -> ((8/3 / 8/3) / ((5/9 / 8/7) - 4/9))
[1993859] ['4/9', '5/9', '8/3', '8/3', '8/9'] -> (((8/3 / (5/9 - 4/9)) - 8/3) / 8/9)
[1993861] ['4/9', '5/9', '8/3', '8/3', '9/4'] -> ((((8/3 - 4/9) * 8/3) / 5/9) * 9/4)
[1993864] ['4/9', '5/9', '8/3', '8/3', '9/8'] -> (((8/3 / (5/9 - 4/9)) - 8/3) * 9/8)
[1993874] ['4/9', '5/9', '8/3', '8/7', '8/9'] -> ((8/3 / ((5/9 / 4/9) - 8/7)) - 8/9)
[1993878] ['4/9', '5/9', '8/3', '8/7', '9/7'] -> (9/7 / (((8/7 - 4/9) - 5/9) / 8/3))
[1993902] ['4/9', '5/9', '8/5', '8/5', '8/7'] -> ((8/5 / 8/5) / ((5/9 / 8/7) - 4/9))
[1993909] ['4/9', '5/9', '8/5', '8/7', '8/7'] -> (8/7 / (4/9 - ((5/9 * 8/7) / 8/5)))
[1993922] ['4/9', '5/9', '8/5', '9/2', '9/2'] -> (((4/9 / 8/5) + (5/9 + 9/2)) * 9/2)
[1993937] ['4/9', '5/9', '8/7', '8/7', '8/7'] -> ((8/7 / ((5/9 / 8/7) - 4/9)) / 8/7)
[1993940] ['4/9', '5/9', '8/7', '8/7', '9/4'] -> ((8/7 / ((5/9 / 4/9) - 8/7)) * 9/4)
[1993944] ['4/9', '5/9', '8/7', '8/9', '8/9'] -> (8/9 / (((5/9 / 8/7) - 4/9) * 8/9))
[1993945] ['4/9', '5/9', '8/7', '8/9', '9/2'] -> ((8/9 / (5/9 - (4/9 / 8/7))) * 9/2)
[1993948] ['4/9', '5/9', '8/7', '8/9', '9/7'] -> (9/7 / ((5/9 - (4/9 * 8/7)) / 8/9))
[1993949] ['4/9', '5/9', '8/7', '8/9', '9/8'] -> (9/8 / (((5/9 / 8/7) - 4/9) / 8/9))
[1993954] ['4/9', '5/9', '8/7', '9/2', '9/8'] -> ((9/2 / (5/9 - (4/9 / 8/7))) / 9/8)
[1993955] ['4/9', '5/9', '8/7', '9/4', '9/4'] -> ((9/4 / ((5/9 / 8/7) - 4/9)) / 9/4)
[1993959] ['4/9', '5/9', '8/7', '9/5', '9/5'] -> ((9/5 / ((5/9 / 8/7) - 4/9)) / 9/5)
[1993962] ['4/9', '5/9', '8/7', '9/7', '9/7'] -> ((9/7 / ((5/9 / 8/7) - 4/9)) / 9/7)
[1993963] ['4/9', '5/9', '8/7', '9/7', '9/8'] -> ((9/7 / (5/9 - (4/9 * 8/7))) / 9/8)
[1993964] ['4/9', '5/9', '8/7', '9/8', '9/8'] -> ((9/8 / ((5/9 / 8/7) - 4/9)) / 9/8)
[1993965] ['4/9', '5/9', '8/9', '8/9', '8/9'] -> (((8/9 + 8/9) + 8/9) / (5/9 - 4/9))
[1993983] ['4/9', '5/9', '8/9', '9/7', '9/7'] -> (9/7 / ((5/9 / 8/9) - (4/9 * 9/7)))
[1994078] ['4/9', '6/5', '6/5', '7/3', '8/3'] -> (((6/5 + (6/5 * 7/3)) / 4/9) * 8/3)
[1994081] ['4/9', '6/5', '6/5', '7/3', '8/9'] -> (8/9 / ((4/9 * 7/3) - (6/5 / 6/5)))
[1994092] ['4/9', '6/5', '6/5', '7/4', '8/3'] -> (8/3 / ((4/9 * (6/5 + 7/4)) - 6/5))
[1994111] ['4/9', '6/5', '6/5', '7/5', '9/5'] -> ((4/9 * 9/5) / (6/5 - (7/5 / 6/5)))
[1994129] ['4/9', '6/5', '6/5', '7/8', '8/5'] -> ((8/5 / 4/9) / (6/5 - (6/5 * 7/8)))
[1994138] ['4/9', '6/5', '6/5', '7/9', '8/3'] -> (8/3 / (((4/9 * 6/5) + 7/9) - 6/5))
[1994143] ['4/9', '6/5', '6/5', '7/9', '9/4'] -> ((6/5 / ((4/9 + 7/9) - 6/5)) / 9/4)
[1994150] ['4/9', '6/5', '6/5', '8/3', '8/9'] -> ((6/5 * 8/3) / ((4/9 + 8/9) - 6/5))
[1994158] ['4/9', '6/5', '6/5', '8/5', '8/9'] -> ((6/5 * 8/9) / ((4/9 + 6/5) - 8/5))
[1994163] ['4/9', '6/5', '6/5', '8/5', '9/8'] -> ((6/5 / ((4/9 + 6/5) - 8/5)) / 9/8)
[1994182] ['4/9', '6/5', '6/5', '9/4', '9/4'] -> (6/5 / ((9/4 - (4/9 * 9/4)) - 6/5))
[1994291] ['4/9', '6/5', '6/7', '7/9', '8/3'] -> (8/3 / (((6/7 * 7/9) / 6/5) - 4/9))
[1994305] ['4/9', '6/5', '6/7', '8/3', '9/4'] -> ((8/3 / ((4/9 + 6/7) - 6/5)) - 9/4)
[1994310] ['4/9', '6/5', '6/7', '8/5', '8/7'] -> (8/7 / (4/9 * (6/7 - (6/5 / 8/5))))
[1994336] ['4/9', '6/5', '6/7', '9/4', '9/5'] -> (9/5 / ((6/5 / 4/9) - (9/4 / 6/7)))
[1994337] ['4/9', '6/5', '6/7', '9/4', '9/7'] -> (9/7 / ((6/7 / 4/9) - (9/4 / 6/5)))
[1994367] ['4/9', '6/5', '7/2', '7/3', '8/3'] -> (8/3 / (((7/3 / 6/5) / 7/2) - 4/9))
[1994373] ['4/9', '6/5', '7/2', '7/3', '9/5'] -> ((4/9 / ((6/5 + 7/3) - 7/2)) * 9/5)
[1994382] ['4/9', '6/5', '7/2', '7/4', '8/5'] -> (8/5 / (6/5 * ((7/4 / 7/2) - 4/9)))
[1994387] ['4/9', '6/5', '7/2', '7/4', '9/5'] -> (9/5 / (6/5 - ((7/4 / 4/9) / 7/2)))
[1994394] ['4/9', '6/5', '7/2', '7/5', '8/3'] -> (8/3 / (4/9 - ((7/5 / 6/5) / 7/2)))
[1994397] ['4/9', '6/5', '7/2', '7/5', '8/9'] -> ((6/5 / (4/9 - (7/5 / 7/2))) * 8/9)
[1994402] ['4/9', '6/5', '7/2', '7/5', '9/8'] -> ((6/5 / (4/9 - (7/5 / 7/2))) / 9/8)
