[1737601] ['3/4', '6/7', '7/6', '9/5', '9/5'] -> (9/5 / (((3/4 + 6/7) * 7/6) - 9/5))
[1737820] ['3/4', '6/7', '8/7', '8/9', '9/7'] -> ((6/7 / ((8/9 / 8/7) - 3/4)) / 9/7)
[1737831] ['3/4', '6/7', '8/7', '9/5', '9/5'] -> (9/5 / (((9/5 - 6/7) / 8/7) - 3/4))
[1737843] ['3/4', '6/7', '8/9', '9/2', '9/2'] -> ((8/9 * (3/4 + (9/2 / 6/7))) * 9/2)
[1737846] ['3/4', '6/7', '8/9', '9/2', '9/7'] -> (9/7 / (((6/7 * 8/9) - 3/4) * 9/2))
[1737861] ['3/4', '6/7', '9/2', '9/2', '9/7'] -> (((6/7 + (9/2 / 3/4)) * 9/2) / 9/7)
[1737865] ['3/4', '6/7', '9/2', '9/4', '9/7'] -> (((9/2 / (6/7 - 3/4)) / 9/4) * 9/7)
[1737894] ['3/4', '7/2', '7/2', '7/2', '7/3'] -> ((7/2 + 7/2) / ((3/4 * 7/2) - 7/3))
[1737898] ['3/4', '7/2', '7/2', '7/2', '7/8'] -> ((((7/2 * 7/2) + 7/2) / 3/4) / 7/8)
[1737900] ['3/4', '7/2', '7/2', '7/2', '8/3'] -> ((7/2 / (8/3 - (3/4 * 7/2))) / 7/2)
[1737901] ['3/4', '7/2', '7/2', '7/2', '8/5'] -> ((((7/2 * 7/2) + 7/2) - 3/4) * 8/5)
[1737902] ['3/4', '7/2', '7/2', '7/2', '8/7'] -> ((((7/2 * 7/2) + 7/2) * 8/7) / 3/4)
[1737905] ['3/4', '7/2', '7/2', '7/2', '9/4'] -> ((((7/2 * 7/2) + 7/2) + 9/4) / 3/4)
[1737910] ['3/4', '7/2', '7/2', '7/3', '7/4'] -> ((7/2 / (3/4 - (7/3 / 7/2))) / 7/4)
[1737914] ['3/4', '7/2', '7/2', '7/3', '7/9'] -> ((((7/2 * 7/2) / 3/4) + 7/3) / 7/9)
[1737915] ['3/4', '7/2', '7/2', '7/3', '8/3'] -> ((7/2 * 8/3) / (7/2 - (7/3 / 3/4)))
[1737918] ['3/4', '7/2', '7/2', '7/3', '8/9'] -> (((7/2 / 7/2) + 7/3) / (8/9 - 3/4))
[1737920] ['3/4', '7/2', '7/2', '7/3', '9/4'] -> (((3/4 + (7/2 * 7/2)) - 7/3) * 9/4)
[1737922] ['3/4', '7/2', '7/2', '7/3', '9/7'] -> ((((7/2 * 7/2) / 3/4) + 7/3) * 9/7)
[1737929] ['3/4', '7/2', '7/2', '7/4', '8/3'] -> ((7/2 / ((7/2 - 3/4) - 8/3)) / 7/4)
[1737931] ['3/4', '7/2', '7/2', '7/4', '8/7'] -> (((3/4 + 7/2) + 7/4) * (7/2 * 8/7))
[1737936] ['3/4', '7/2', '7/2', '7/4', '9/7'] -> ((((7/2 * 7/2) + 7/4) / 3/4) * 9/7)
[1737943] ['3/4', '7/2', '7/2', '7/5', '8/5'] -> (8/5 / (7/5 - ((7/2 / 3/4) / 7/2)))
[1737951] ['3/4', '7/2', '7/2', '7/6', '7/6'] -> ((7/2 + 7/2) / (7/6 - (3/4 * 7/6)))
[1737956] ['3/4', '7/2', '7/2', '7/6', '8/7'] -> (8/7 / (((3/4 + 7/2) / 7/2) - 7/6))
[1737964] ['3/4', '7/2', '7/2', '7/8', '7/9'] -> ((((7/2 * 7/2) / 3/4) / 7/8) / 7/9)
[1737967] ['3/4', '7/2', '7/2', '7/8', '8/7'] -> ((7/2 / (7/8 - 3/4)) - (7/2 * 8/7))
[1737972] ['3/4', '7/2', '7/2', '7/8', '9/7'] -> ((((7/2 * 7/2) / 3/4) / 7/8) * 9/7)
[1737976] ['3/4', '7/2', '7/2', '7/9', '8/5'] -> ((((7/2 * 7/2) / 7/9) - 3/4) * 8/5)
[1737977] ['3/4', '7/2', '7/2', '7/9', '8/7'] -> ((((7/2 * 7/2) / 3/4) / 7/9) * 8/7)
[1737978] ['3/4', '7/2', '7/2', '7/9', '8/9'] -> (8/9 / ((7/9 / 3/4) - (7/2 / 7/2)))
[1737983] ['3/4', '7/2', '7/2', '7/9', '9/8'] -> (((7/2 + 7/2) / 7/9) / (9/8 - 3/4))
[1737984] ['3/4', '7/2', '7/2', '8/3', '8/3'] -> (((7/2 + 7/2) + (3/4 * 8/3)) * 8/3)
[1737987] ['3/4', '7/2', '7/2', '8/3', '8/9'] -> ((((7/2 + 7/2) * 8/3) / 3/4) - 8/9)
[1737989] ['3/4', '7/2', '7/2', '8/3', '9/4'] -> ((8/3 / ((7/2 / 7/2) - 3/4)) * 9/4)
[1738001] ['3/4', '7/2', '7/2', '8/7', '8/7'] -> (((7/2 * 8/7) + 8/7) / (3/4 / 7/2))
[1738003] ['3/4', '7/2', '7/2', '8/7', '9/2'] -> (((3/4 * 7/2) * 8/7) * (7/2 + 9/2))
[1738006] ['3/4', '7/2', '7/2', '8/7', '9/7'] -> ((((7/2 * 7/2) * 8/7) / 3/4) * 9/7)
[1738015] ['3/4', '7/2', '7/2', '9/2', '9/4'] -> (((7/2 + 7/2) * (9/2 - 3/4)) - 9/4)
[1738020] ['3/4', '7/2', '7/2', '9/4', '9/5'] -> ((((7/2 * 7/2) - 9/4) / 3/4) * 9/5)
[1738026] ['3/4', '7/2', '7/2', '9/7', '9/7'] -> (((7/2 + 7/2) / 3/4) * (9/7 + 9/7))
[1738027] ['3/4', '7/2', '7/2', '9/7', '9/8'] -> (((7/2 + 7/2) * 9/7) / (9/8 - 3/4))
[1738033] ['3/4', '7/2', '7/3', '7/3', '7/8'] -> (((7/3 / 7/2) + 7/3) / (7/8 - 3/4))
[1738035] ['3/4', '7/2', '7/3', '7/3', '8/3'] -> ((7/3 / 7/3) / (8/3 - (3/4 * 7/2)))
[1738040] ['3/4', '7/2', '7/3', '7/3', '9/4'] -> (((7/2 / 3/4) / 7/3) / (7/3 - 9/4))
[1738052] ['3/4', '7/2', '7/3', '7/4', '8/9'] -> (((7/2 + 7/3) / 7/4) / (8/9 - 3/4))
[1738054] ['3/4', '7/2', '7/3', '7/4', '9/4'] -> (((3/4 + (7/2 * 7/3)) + 7/4) * 9/4)
[1738066] ['3/4', '7/2', '7/3', '7/5', '9/2'] -> (9/2 / ((7/2 / (7/3 + 7/5)) - 3/4))
[1738068] ['3/4', '7/2', '7/3', '7/5', '9/5'] -> (9/5 / (3/4 * ((7/2 / 7/3) - 7/5)))
[1738074] ['3/4', '7/2', '7/3', '7/6', '8/3'] -> (8/3 / ((7/3 / 3/4) - (7/2 / 7/6)))
[1738078] ['3/4', '7/2', '7/3', '7/6', '9/2'] -> (((7/2 + (7/6 / 7/3)) / 3/4) * 9/2)
[1738083] ['3/4', '7/2', '7/3', '7/8', '7/8'] -> (7/8 / (7/3 - ((3/4 * 7/2) * 7/8)))
[1738100] ['3/4', '7/2', '7/3', '7/9', '9/4'] -> (((7/2 / (7/9 - 3/4)) / 7/3) / 9/4)
[1738104] ['3/4', '7/2', '7/3', '8/3', '8/3'] -> ((((3/4 + 7/2) * 8/3) - 7/3) * 8/3)
[1738116] ['3/4', '7/2', '7/3', '8/5', '9/2'] -> (9/2 / (((7/2 / 7/3) / 8/5) - 3/4))
[1738118] ['3/4', '7/2', '7/3', '8/5', '9/5'] -> (9/5 / (3/4 * (8/5 - (7/2 / 7/3))))
[1738123] ['3/4', '7/2', '7/3', '8/7', '9/2'] -> ((7/3 + ((3/4 * 7/2) * 8/7)) * 9/2)
[1738130] ['3/4', '7/2', '7/3', '8/9', '9/4'] -> ((8/9 / (3/4 - (7/3 / 7/2))) * 9/4)
[1738134] ['3/4', '7/2', '7/3', '9/2', '9/2'] -> (((9/2 / 3/4) - (7/3 / 7/2)) * 9/2)
[1738135] ['3/4', '7/2', '7/3', '9/2', '9/4'] -> ((9/2 / (3/4 - (7/3 / 7/2))) / 9/4)
[1738142] ['3/4', '7/2', '7/3', '9/4', '9/8'] -> ((9/4 / (3/4 - (7/3 / 7/2))) / 9/8)
[1738143] ['3/4', '7/2', '7/3', '9/5', '9/5'] -> (9/5 / (7/2 * ((9/5 / 7/3) - 3/4)))
[1738151] ['3/4', '7/2', '7/4', '7/4', '7/6'] -> ((7/2 / (3/4 - (7/6 / 7/4))) / 7/4)
[1738152] ['3/4', '7/2', '7/4', '7/4', '7/8'] -> (((7/2 + 7/4) / (7/8 - 3/4)) / 7/4)
[1738154] ['3/4', '7/2', '7/4', '7/4', '8/3'] -> ((7/4 / 7/4) / (8/3 - (3/4 * 7/2)))
[1738158] ['3/4', '7/2', '7/4', '7/4', '9/2'] -> ((9/2 / 3/4) / ((7/2 / 7/4) - 7/4))
[1738173] ['3/4', '7/2', '7/4', '7/5', '9/5'] -> (((7/2 / (7/4 - 7/5)) / 3/4) * 9/5)
[1738176] ['3/4', '7/2', '7/4', '7/6', '7/6'] -> ((7/2 + 7/6) / (7/4 - (7/6 / 3/4)))
[1738177] ['3/4', '7/2', '7/4', '7/6', '7/8'] -> ((7/2 / ((3/4 + 7/6) - 7/4)) / 7/8)
[1738181] ['3/4', '7/2', '7/4', '7/6', '8/7'] -> ((7/2 / ((3/4 + 7/6) - 7/4)) * 8/7)
[1738195] ['3/4', '7/2', '7/4', '7/8', '9/4'] -> (((7/2 / (7/8 - 3/4)) - 7/4) - 9/4)
[1738216] ['3/4', '7/2', '7/4', '8/3', '9/7'] -> ((((7/2 + 7/4) * 8/3) / 3/4) * 9/7)
[1738228] ['3/4', '7/2', '7/4', '8/7', '9/2'] -> (9/2 / (7/2 - (7/4 * (3/4 + 8/7))))
[1738246] ['3/4', '7/2', '7/4', '9/4', '9/7'] -> (((7/2 * (7/4 + 9/4)) / 3/4) * 9/7)
[1738251] ['3/4', '7/2', '7/4', '9/7', '9/7'] -> (9/7 / (7/2 * (3/4 - (9/7 / 7/4))))
[1738258] ['3/4', '7/2', '7/5', '7/5', '8/3'] -> ((7/5 / 7/5) / (8/3 - (3/4 * 7/2)))
[1738271] ['3/4', '7/2', '7/5', '7/6', '8/5'] -> (8/5 / ((7/2 * (7/5 - 7/6)) - 3/4))
[1738282] ['3/4', '7/2', '7/5', '7/8', '8/5'] -> ((7/2 / (7/5 - (7/8 / 3/4))) * 8/5)
[1738304] ['3/4', '7/2', '7/5', '8/3', '9/2'] -> (9/2 / (((7/2 / 7/5) / 8/3) - 3/4))
[1738312] ['3/4', '7/2', '7/5', '8/5', '9/2'] -> ((((7/2 * 8/5) / 3/4) / 7/5) * 9/2)
[1738339] ['3/4', '7/2', '7/5', '9/5', '9/5'] -> (9/5 / (((3/4 * 7/2) / 7/5) - 9/5))
[1738359] ['3/4', '7/2', '7/6', '7/8', '8/3'] -> (((3/4 * 7/2) / (7/6 - 7/8)) * 8/3)
[1738372] ['3/4', '7/2', '7/6', '7/9', '8/9'] -> ((7/2 / (7/6 - (7/9 / 3/4))) * 8/9)
[1738377] ['3/4', '7/2', '7/6', '7/9', '9/8'] -> ((7/2 / (7/6 - (7/9 / 3/4))) / 9/8)
[1738378] ['3/4', '7/2', '7/6', '8/3', '8/3'] -> ((((7/2 * 7/6) + 8/3) / 3/4) * 8/3)
[1738380] ['3/4', '7/2', '7/6', '8/3', '8/7'] -> ((7/6 / ((8/3 / 3/4) - 7/2)) * 8/7)
[1738383] ['3/4', '7/2', '7/6', '8/3', '9/4'] -> ((((7/2 * 8/3) / 3/4) / 7/6) * 9/4)
[1738390] ['3/4', '7/2', '7/6', '8/5', '9/2'] -> ((((7/2 * 7/6) - 3/4) * 8/5) * 9/2)
[1738425] ['3/4', '7/2', '7/8', '7/8', '8/3'] -> ((7/8 / 7/8) / (8/3 - (3/4 * 7/2)))
[1738428] ['3/4', '7/2', '7/8', '7/8', '8/9'] -> (((7/8 / 3/4) / 7/2) / (8/9 - 7/8))
[1738438] ['3/4', '7/2', '7/8', '7/9', '8/9'] -> (((3/4 * 7/2) / (7/8 - 7/9)) * 8/9)
[1738443] ['3/4', '7/2', '7/8', '7/9', '9/8'] -> (((3/4 * 7/2) / (7/8 - 7/9)) / 9/8)
[1738444] ['3/4', '7/2', '7/8', '8/3', '8/3'] -> ((((3/4 + 7/2) - 7/8) * 8/3) * 8/3)
[1738446] ['3/4', '7/2', '7/8', '8/3', '8/7'] -> ((7/8 / (8/3 - (3/4 * 7/2))) * 8/7)
[1738448] ['3/4', '7/2', '7/8', '8/3', '9/2'] -> ((8/3 / (3/4 - (7/8 / 7/2))) * 9/2)
[1738466] ['3/4', '7/2', '7/8', '8/7', '9/7'] -> (9/7 / ((8/7 - (3/4 / 7/2)) - 7/8))
[1738468] ['3/4', '7/2', '7/8', '8/9', '8/9'] -> (((7/2 * 8/9) / (7/8 - 3/4)) - 8/9)
[1738479] ['3/4', '7/2', '7/8', '9/4', '9/4'] -> (9/4 / (7/8 * (3/4 - (9/4 / 7/2))))
[1738481] ['3/4', '7/2', '7/8', '9/4', '9/7'] -> (9/7 / ((3/4 * 7/2) - (9/4 / 7/8)))
[1738482] ['3/4', '7/2', '7/8', '9/4', '9/8'] -> (9/8 / (((3/4 * 7/2) * 7/8) - 9/4))
[1738483] ['3/4', '7/2', '7/8', '9/5', '9/5'] -> (9/5 / (((7/2 - 3/4) - 7/8) - 9/5))
[1738490] ['3/4', '7/2', '7/9', '7/9', '8/3'] -> ((7/9 / 7/9) / (8/3 - (3/4 * 7/2)))
[1738492] ['3/4', '7/2', '7/9', '7/9', '8/7'] -> ((7/9 / (7/9 - 3/4)) - (7/2 * 8/7))
[1738524] ['3/4', '7/2', '7/9', '8/9', '9/2'] -> ((((7/2 * 8/9) / 3/4) / 7/9) * 9/2)
[1738529] ['3/4', '7/2', '7/9', '9/2', '9/2'] -> ((((7/2 * 9/2) / 7/9) - 3/4) + 9/2)
[1738547] ['3/4', '7/2', '8/3', '8/3', '8/9'] -> (((7/2 * (8/3 + 8/3)) / 3/4) - 8/9)
[1738548] ['3/4', '7/2', '8/3', '8/3', '9/2'] -> ((((7/2 / 3/4) - 8/3) * 8/3) * 9/2)
[1738549] ['3/4', '7/2', '8/3', '8/3', '9/4'] -> (9/4 / (3/4 - (7/2 / (8/3 + 8/3))))
[1738551] ['3/4', '7/2', '8/3', '8/3', '9/7'] -> ((((3/4 * 7/2) * 8/3) * 8/3) * 9/7)
[1738553] ['3/4', '7/2', '8/3', '8/5', '8/5'] -> (8/5 / ((8/3 - (3/4 * 7/2)) * 8/5))
[1738556] ['3/4', '7/2', '8/3', '8/5', '9/2'] -> (9/2 / ((7/2 / 8/5) - (3/4 * 8/3)))
[1738561] ['3/4', '7/2', '8/3', '8/7', '8/7'] -> (8/7 / ((8/3 - (3/4 * 7/2)) * 8/7))
[1738568] ['3/4', '7/2', '8/3', '8/9', '8/9'] -> (8/9 / ((8/3 - (3/4 * 7/2)) * 8/9))
[1738569] ['3/4', '7/2', '8/3', '8/9', '9/2'] -> (9/2 / (((7/2 - 8/3) / 8/9) - 3/4))
[1738570] ['3/4', '7/2', '8/3', '8/9', '9/4'] -> ((8/9 / ((7/2 - 3/4) - 8/3)) * 9/4)
[1738571] ['3/4', '7/2', '8/3', '8/9', '9/5'] -> ((((7/2 * 8/3) / 3/4) + 8/9) * 9/5)
[1738573] ['3/4', '7/2', '8/3', '8/9', '9/8'] -> (9/8 / ((8/3 - (3/4 * 7/2)) / 8/9))
[1738575] ['3/4', '7/2', '8/3', '9/2', '9/4'] -> ((8/3 / ((9/2 - 3/4) - 7/2)) * 9/4)
[1738576] ['3/4', '7/2', '8/3', '9/2', '9/5'] -> ((8/3 + ((7/2 + 9/2) / 3/4)) * 9/5)
[1738577] ['3/4', '7/2', '8/3', '9/2', '9/7'] -> (9/7 / (((8/3 / 7/2) - 3/4) * 9/2))
[1738580] ['3/4', '7/2', '8/3', '9/4', '9/5'] -> ((8/3 * ((7/2 + 9/4) - 3/4)) * 9/5)
[1738582] ['3/4', '7/2', '8/3', '9/4', '9/8'] -> ((9/4 / ((7/2 - 3/4) - 8/3)) / 9/8)
[1738583] ['3/4', '7/2', '8/3', '9/5', '9/5'] -> ((9/5 / (8/3 - (3/4 * 7/2))) / 9/5)
[1738588] ['3/4', '7/2', '8/3', '9/8', '9/8'] -> ((9/8 / (8/3 - (3/4 * 7/2))) / 9/8)
[1738592] ['3/4', '7/2', '8/5', '8/5', '9/2'] -> ((((7/2 * 8/5) - 8/5) / 3/4) * 9/2)
[1738613] ['3/4', '7/2', '8/5', '9/2', '9/7'] -> (9/7 / (((9/2 / 7/2) / 8/5) - 3/4))
[1738616] ['3/4', '7/2', '8/5', '9/4', '9/5'] -> (9/5 / (3/4 * ((8/5 * 9/4) - 7/2)))
[1738618] ['3/4', '7/2', '8/5', '9/4', '9/8'] -> (9/8 / (3/4 * (9/4 - (7/2 / 8/5))))
[1738619] ['3/4', '7/2', '8/5', '9/5', '9/5'] -> (9/5 / (3/4 * ((7/2 - 8/5) - 9/5)))
[1738627] ['3/4', '7/2', '8/7', '8/7', '9/2'] -> (((7/2 * 8/7) * 8/7) * (3/4 + 9/2))
[1738633] ['3/4', '7/2', '8/7', '8/9', '9/2'] -> (((3/4 * 7/2) * (8/7 + 8/9)) * 9/2)
[1738643] ['3/4', '7/2', '8/7', '9/4', '9/4'] -> ((8/7 / (3/4 - (9/4 / 7/2))) * 9/4)
[1738645] ['3/4', '7/2', '8/7', '9/4', '9/7'] -> (9/7 / ((3/4 * 7/2) - (8/7 * 9/4)))
[1738646] ['3/4', '7/2', '8/7', '9/4', '9/8'] -> (9/8 / (((3/4 * 7/2) / 8/7) - 9/4))
[1738652] ['3/4', '7/2', '8/7', '9/8', '9/8'] -> (9/8 / ((3/4 * 7/2) * (8/7 - 9/8)))
[1738654] ['3/4', '7/2', '8/9', '8/9', '9/2'] -> ((((7/2 * 8/9) + 8/9) / 3/4) * 9/2)
[1738661] ['3/4', '7/2', '8/9', '9/2', '9/5'] -> ((8/9 * ((7/2 * 9/2) - 3/4)) * 9/5)
[1738662] ['3/4', '7/2', '8/9', '9/2', '9/7'] -> (9/7 / (((3/4 / 7/2) / 8/9) / 9/2))
[1738664] ['3/4', '7/2', '8/9', '9/4', '9/4'] -> (9/4 / ((3/4 * 7/2) - (9/4 / 8/9)))
[1738677] ['3/4', '7/2', '9/2', '9/2', '9/7'] -> (((9/2 * 9/2) - 3/4) + (7/2 * 9/7))
[1738683] ['3/4', '7/2', '9/2', '9/5', '9/5'] -> (9/5 / ((9/2 - (3/4 * 7/2)) - 9/5))
[1738685] ['3/4', '7/2', '9/2', '9/5', '9/8'] -> ((((7/2 * 9/2) - 3/4) * 9/5) / 9/8)
[1738686] ['3/4', '7/2', '9/2', '9/7', '9/7'] -> ((((7/2 * 9/2) + 9/7) / 3/4) + 9/7)
[1738688] ['3/4', '7/2', '9/2', '9/8', '9/8'] -> (((7/2 + 9/2) / (9/8 - 3/4)) * 9/8)
[1738698] ['3/4', '7/2', '9/4', '9/8', '9/8'] -> (((7/2 * 9/4) + 9/8) / (9/8 - 3/4))
[1738699] ['3/4', '7/2', '9/5', '9/5', '9/5'] -> ((9/5 / ((9/5 + 9/5) - 7/2)) / 3/4)
[1738705] ['3/4', '7/2', '9/7', '9/7', '9/7'] -> (9/7 / (((3/4 * 7/2) - 9/7) - 9/7))
[1738706] ['3/4', '7/2', '9/7', '9/7', '9/8'] -> ((7/2 * (9/7 + 9/7)) / (9/8 - 3/4))
[1738713] ['3/4', '7/3', '7/3', '7/3', '7/8'] -> (7/3 / ((7/3 + 7/8) - (7/3 / 3/4)))
[1738718] ['3/4', '7/3', '7/3', '7/3', '8/9'] -> (((7/3 / 7/3) + 7/3) / (8/9 - 3/4))
[1738726] ['3/4', '7/3', '7/3', '7/4', '7/6'] -> ((7/3 + 7/3) / (7/4 - (7/6 / 3/4)))
[1738727] ['3/4', '7/3', '7/3', '7/4', '7/8'] -> (7/4 / ((3/4 * (7/3 + 7/8)) - 7/3))
[1738733] ['3/4', '7/3', '7/3', '7/4', '9/2'] -> (((7/3 * 9/2) / 3/4) / (7/3 - 7/4))
[1738742] ['3/4', '7/3', '7/3', '7/5', '8/3'] -> (8/3 / (7/3 - ((7/3 / 3/4) / 7/5)))
[1738743] ['3/4', '7/3', '7/3', '7/5', '8/5'] -> (8/5 / (7/5 - ((7/3 / 3/4) / 7/3)))
[1738745] ['3/4', '7/3', '7/3', '7/5', '8/9'] -> (((7/3 + 7/3) / 7/5) / (8/9 - 3/4))
[1738746] ['3/4', '7/3', '7/3', '7/5', '9/2'] -> (((7/3 + (7/3 / 7/5)) / 3/4) * 9/2)
[1738751] ['3/4', '7/3', '7/3', '7/6', '7/6'] -> (7/3 / (7/3 - ((3/4 + 7/6) * 7/6)))
[1738753] ['3/4', '7/3', '7/3', '7/6', '7/9'] -> ((7/3 / (7/3 + 7/6)) / (7/9 - 3/4))
[1738758] ['3/4', '7/3', '7/3', '7/6', '9/2'] -> ((((7/3 + 7/3) / 3/4) / 7/6) * 9/2)
[1738772] ['3/4', '7/3', '7/3', '7/8', '9/7'] -> (9/7 / ((7/8 / 7/3) - (3/4 / 7/3)))
[1738778] ['3/4', '7/3', '7/3', '7/9', '8/9'] -> (8/9 / ((7/9 / 3/4) - (7/3 / 7/3)))
[1738782] ['3/4', '7/3', '7/3', '7/9', '9/7'] -> ((7/3 - (7/3 * 9/7)) / (3/4 - 7/9))
[1738786] ['3/4', '7/3', '7/3', '8/3', '8/7'] -> ((7/3 * 8/3) * (7/3 + (8/7 / 3/4)))
[1738789] ['3/4', '7/3', '7/3', '8/3', '9/4'] -> ((8/3 / ((7/3 / 7/3) - 3/4)) * 9/4)
[1738791] ['3/4', '7/3', '7/3', '8/3', '9/7'] -> ((7/3 * 9/7) / ((7/3 / 8/3) - 3/4))
[1738804] ['3/4', '7/3', '7/3', '8/7', '9/4'] -> (((3/4 * 7/3) * 8/7) / (7/3 - 9/4))
[1738831] ['3/4', '7/3', '7/4', '7/4', '7/6'] -> (7/6 / ((7/3 / 3/4) - (7/4 * 7/4)))
[1738833] ['3/4', '7/3', '7/4', '7/4', '7/9'] -> ((7/3 / (7/4 + 7/4)) / (7/9 - 3/4))
[1738837] ['3/4', '7/3', '7/4', '7/4', '8/9'] -> ((7/3 + (7/4 / 7/4)) / (8/9 - 3/4))
[1738838] ['3/4', '7/3', '7/4', '7/4', '9/2'] -> ((7/3 * 9/2) / (7/4 - (3/4 * 7/4)))
[1738839] ['3/4', '7/3', '7/4', '7/4', '9/4'] -> ((7/4 + 9/4) / ((3/4 + 7/4) - 7/3))
[1738849] ['3/4', '7/3', '7/4', '7/5', '8/7'] -> (8/7 / ((7/3 - (3/4 / 7/5)) - 7/4))
[1738851] ['3/4', '7/3', '7/4', '7/5', '9/2'] -> ((7/3 * (7/4 + (3/4 / 7/5))) * 9/2)
[1738857] ['3/4', '7/3', '7/4', '7/6', '7/8'] -> ((7/3 + (7/6 / 7/4)) / (7/8 - 3/4))
[1738864] ['3/4', '7/3', '7/4', '7/6', '9/4'] -> (((7/4 / 3/4) / 7/6) / (7/3 - 9/4))
[1738880] ['3/4', '7/3', '7/4', '7/9', '8/3'] -> ((3/4 * 8/3) / (7/3 - (7/4 / 7/9)))
[1738892] ['3/4', '7/3', '7/4', '8/3', '8/9'] -> ((7/3 / (3/4 - (7/4 / 8/3))) - 8/9)
[1738893] ['3/4', '7/3', '7/4', '8/3', '9/2'] -> ((((7/3 / 7/4) + 8/3) / 3/4) * 9/2)
