[1105573] ['1/8', '3/5', '4/3', '6/5', '9/8'] -> (9/8 / (((1/8 * 3/5) / 4/3) / 6/5))
[1105854] ['1/8', '3/5', '4/5', '5/3', '9/5'] -> (9/5 / (((3/5 * 5/3) - 1/8) - 4/5))
[1105855] ['1/8', '3/5', '4/5', '5/3', '9/7'] -> (9/7 / ((1/8 / (3/5 + 4/5)) / 5/3))
[1105861] ['1/8', '3/5', '4/5', '5/4', '5/9'] -> ((((4/5 * 5/4) / 1/8) / 3/5) / 5/9)
[1105862] ['1/8', '3/5', '4/5', '5/4', '6/5'] -> (6/5 / (1/8 * ((4/5 * 5/4) - 3/5)))
[1105871] ['1/8', '3/5', '4/5', '5/4', '8/3'] -> (8/3 / ((4/5 / (5/4 - 1/8)) - 3/5))
[1105886] ['1/8', '3/5', '4/5', '5/6', '7/2'] -> (7/2 / ((1/8 * (3/5 + 4/5)) * 5/6))
[1105888] ['1/8', '3/5', '4/5', '5/6', '7/4'] -> (7/4 / (((1/8 + 3/5) / 4/5) - 5/6))
[1105889] ['1/8', '3/5', '4/5', '5/6', '7/5'] -> (7/5 / ((1/8 + 3/5) - (4/5 * 5/6)))
[1105891] ['1/8', '3/5', '4/5', '5/6', '7/8'] -> (7/8 / ((1/8 * (5/6 - 3/5)) / 4/5))
[1105897] ['1/8', '3/5', '4/5', '5/6', '9/2'] -> (((5/6 / 1/8) - (4/5 / 3/5)) * 9/2)
[1105921] ['1/8', '3/5', '4/5', '5/7', '9/7'] -> (9/7 / (((4/5 - 1/8) - 3/5) * 5/7))
[1105932] ['1/8', '3/5', '4/5', '5/8', '7/8'] -> (7/8 / ((1/8 * (4/5 - 5/8)) / 3/5))
[1105934] ['1/8', '3/5', '4/5', '5/8', '8/3'] -> ((((3/5 + 5/8) / 1/8) - 4/5) * 8/3)
[1105938] ['1/8', '3/5', '4/5', '5/8', '9/2'] -> ((4/5 / ((1/8 + 5/8) - 3/5)) * 9/2)
[1105940] ['1/8', '3/5', '4/5', '5/8', '9/5'] -> (9/5 / ((1/8 * 4/5) + (3/5 - 5/8)))
[1105949] ['1/8', '3/5', '4/5', '5/9', '7/5'] -> (7/5 / (1/8 * (4/5 - (3/5 * 5/9))))
[1105964] ['1/8', '3/5', '4/5', '6/5', '7/2'] -> (((6/5 / (3/5 + 4/5)) / 1/8) * 7/2)
[1105967] ['1/8', '3/5', '4/5', '6/5', '7/5'] -> (7/5 / ((1/8 + 3/5) - (4/5 / 6/5)))
[1105971] ['1/8', '3/5', '4/5', '6/5', '8/3'] -> ((((4/5 + 6/5) / 1/8) / 3/5) - 8/3)
[1105972] ['1/8', '3/5', '4/5', '6/5', '8/5'] -> (((4/5 + (6/5 / 3/5)) / 1/8) + 8/5)
[1105975] ['1/8', '3/5', '4/5', '6/5', '9/2'] -> ((((6/5 - 4/5) / 1/8) / 3/5) * 9/2)
[1105976] ['1/8', '3/5', '4/5', '6/5', '9/4'] -> (((4/5 / (6/5 - 3/5)) / 1/8) * 9/4)
[1105980] ['1/8', '3/5', '4/5', '6/7', '6/7'] -> (6/7 / (1/8 * (4/5 - (3/5 * 6/7))))
[1105981] ['1/8', '3/5', '4/5', '6/7', '7/2'] -> (((3/5 / (6/7 - 4/5)) / 1/8) / 7/2)
[1105982] ['1/8', '3/5', '4/5', '6/7', '7/3'] -> (((3/5 + (4/5 * 6/7)) / 1/8) * 7/3)
[1105991] ['1/8', '3/5', '4/5', '6/7', '8/9'] -> (((4/5 / (6/7 - 3/5)) / 1/8) - 8/9)
[1105998] ['1/8', '3/5', '4/5', '7/2', '7/3'] -> (7/3 / ((3/5 / (7/2 - 4/5)) - 1/8))
[1106000] ['1/8', '3/5', '4/5', '7/2', '7/5'] -> ((4/5 + ((3/5 + 7/2) / 1/8)) / 7/5)
[1106004] ['1/8', '3/5', '4/5', '7/2', '8/3'] -> (((7/2 / 1/8) - (4/5 / 3/5)) - 8/3)
[1106015] ['1/8', '3/5', '4/5', '7/3', '7/5'] -> (7/5 / ((1/8 * (4/5 - 3/5)) * 7/3))
[1106022] ['1/8', '3/5', '4/5', '7/3', '8/9'] -> ((((4/5 * 7/3) / 1/8) / 3/5) - 8/9)
[1106031] ['1/8', '3/5', '4/5', '7/4', '7/8'] -> ((3/5 + ((4/5 + 7/4) / 1/8)) / 7/8)
[1106035] ['1/8', '3/5', '4/5', '7/4', '8/7'] -> ((3/5 + ((4/5 + 7/4) / 1/8)) * 8/7)
[1106040] ['1/8', '3/5', '4/5', '7/4', '9/7'] -> (9/7 / (((1/8 * 3/5) / 4/5) / 7/4))
[1106042] ['1/8', '3/5', '4/5', '7/5', '7/5'] -> (7/5 / ((1/8 + (4/5 / 3/5)) - 7/5))
[1106047] ['1/8', '3/5', '4/5', '7/5', '8/5'] -> ((((3/5 + 4/5) + 7/5) / 1/8) + 8/5)
[1106053] ['1/8', '3/5', '4/5', '7/5', '9/7'] -> ((7/5 / ((4/5 - 1/8) - 3/5)) * 9/7)
[1106063] ['1/8', '3/5', '4/5', '7/6', '9/4'] -> (((4/5 / 3/5) + (7/6 / 1/8)) * 9/4)
[1106064] ['1/8', '3/5', '4/5', '7/6', '9/5'] -> ((((3/5 + 7/6) / 1/8) - 4/5) * 9/5)
[1106073] ['1/8', '3/5', '4/5', '7/8', '9/2'] -> ((4/5 / ((7/8 - 1/8) - 3/5)) * 9/2)
[1106086] ['1/8', '3/5', '4/5', '7/9', '9/7'] -> (9/7 / (1/8 * ((4/5 / 7/9) - 3/5)))
[1106089] ['1/8', '3/5', '4/5', '8/3', '8/5'] -> (8/5 / ((1/8 * (4/5 - 3/5)) * 8/3))
[1106091] ['1/8', '3/5', '4/5', '8/3', '8/9'] -> ((((8/3 - 4/5) / 1/8) / 3/5) - 8/9)
[1106092] ['1/8', '3/5', '4/5', '8/3', '9/2'] -> ((8/3 / (3/5 - (1/8 * 4/5))) * 9/2)
[1106094] ['1/8', '3/5', '4/5', '8/3', '9/5'] -> ((((4/5 / 1/8) / 3/5) + 8/3) * 9/5)
[1106101] ['1/8', '3/5', '4/5', '8/5', '9/4'] -> ((((8/5 - 4/5) / 1/8) / 3/5) * 9/4)
[1106104] ['1/8', '3/5', '4/5', '8/5', '9/8'] -> (9/8 / (((4/5 - 1/8) - 3/5) / 8/5))
[1106114] ['1/8', '3/5', '4/5', '8/9', '9/4'] -> (((4/5 + (3/5 * 8/9)) / 1/8) * 9/4)
[1106130] ['1/8', '3/5', '4/5', '9/7', '9/7'] -> (9/7 / (1/8 * ((4/5 * 9/7) - 3/5)))
[1106132] ['1/8', '3/5', '4/5', '9/8', '9/8'] -> (9/8 / (1/8 * (9/8 - (3/5 / 4/5))))
[1106141] ['1/8', '3/5', '4/7', '4/7', '5/9'] -> ((((4/7 / 1/8) / 3/5) / 4/7) / 5/9)
[1106142] ['1/8', '3/5', '4/7', '4/7', '6/5'] -> ((6/5 / 1/8) / ((4/7 / 4/7) - 3/5))
[1106153] ['1/8', '3/5', '4/7', '4/7', '8/7'] -> ((8/7 / 1/8) / ((4/7 / 3/5) - 4/7))
[1106173] ['1/8', '3/5', '4/7', '4/9', '7/5'] -> (7/5 / (((1/8 * 3/5) * 4/9) / 4/7))
[1106195] ['1/8', '3/5', '4/7', '5/2', '7/2'] -> (7/2 / (((1/8 / 3/5) / 4/7) / 5/2))
[1106200] ['1/8', '3/5', '4/7', '5/2', '7/8'] -> ((((3/5 * 5/2) / 1/8) / 4/7) / 7/8)
[1106204] ['1/8', '3/5', '4/7', '5/2', '8/7'] -> ((((3/5 * 5/2) / 1/8) / 4/7) * 8/7)
[1106208] ['1/8', '3/5', '4/7', '5/2', '9/5'] -> (9/5 / ((3/5 - 4/7) * (1/8 + 5/2)))
[1106233] ['1/8', '3/5', '4/7', '5/3', '9/7'] -> (9/7 / (1/8 * ((3/5 * 5/3) - 4/7)))
[1106255] ['1/8', '3/5', '4/7', '5/4', '9/5'] -> (9/5 / ((5/4 - (3/5 / 4/7)) - 1/8))
[1106265] ['1/8', '3/5', '4/7', '5/6', '7/3'] -> (((3/5 + (4/7 / 5/6)) / 1/8) * 7/3)
[1106282] ['1/8', '3/5', '4/7', '5/7', '5/9'] -> ((((4/7 / 3/5) + 5/7) / 1/8) / 5/9)
[1106290] ['1/8', '3/5', '4/7', '5/7', '7/8'] -> (((5/7 / (3/5 - 4/7)) - 1/8) - 7/8)
[1106297] ['1/8', '3/5', '4/7', '5/7', '9/4'] -> ((((4/7 / 1/8) / 3/5) / 5/7) * 9/4)
[1106299] ['1/8', '3/5', '4/7', '5/7', '9/7'] -> (9/7 / (4/7 - ((1/8 + 3/5) * 5/7)))
[1106326] ['1/8', '3/5', '4/7', '5/9', '7/4'] -> ((((4/7 / 1/8) / 3/5) / 5/9) * 7/4)
[1106342] ['1/8', '3/5', '4/7', '6/5', '7/2'] -> (7/2 / (1/8 / (6/5 - (3/5 * 4/7))))
[1106343] ['1/8', '3/5', '4/7', '6/5', '7/3'] -> (((3/5 + (4/7 * 6/5)) / 1/8) * 7/3)
[1106353] ['1/8', '3/5', '4/7', '6/5', '9/2'] -> (9/2 / (1/8 * ((6/5 / 4/7) - 3/5)))
[1106356] ['1/8', '3/5', '4/7', '6/5', '9/7'] -> (9/7 / ((1/8 + (3/5 / 6/5)) - 4/7))
[1106362] ['1/8', '3/5', '4/7', '6/7', '7/5'] -> (7/5 / ((1/8 + 3/5) - (4/7 / 6/7)))
[1106382] ['1/8', '3/5', '4/7', '7/2', '8/3'] -> ((((4/7 * 7/2) / 1/8) / 3/5) - 8/3)
[1106418] ['1/8', '3/5', '4/7', '7/4', '9/7'] -> (9/7 / ((3/5 - 4/7) * (1/8 + 7/4)))
[1106429] ['1/8', '3/5', '4/7', '7/5', '9/4'] -> ((((4/7 * 7/5) / 1/8) / 3/5) * 9/4)
[1106430] ['1/8', '3/5', '4/7', '7/5', '9/5'] -> (9/5 / (((4/7 * 7/5) - 1/8) - 3/5))
[1106431] ['1/8', '3/5', '4/7', '7/5', '9/7'] -> (9/7 / (4/7 - ((1/8 + 3/5) / 7/5)))
[1106441] ['1/8', '3/5', '4/7', '7/6', '9/4'] -> ((1/8 / ((3/5 + 4/7) - 7/6)) - 9/4)
[1106443] ['1/8', '3/5', '4/7', '7/6', '9/7'] -> (9/7 / ((3/5 * (7/6 - 1/8)) - 4/7))
[1106449] ['1/8', '3/5', '4/7', '7/8', '8/7'] -> (8/7 / ((1/8 + 7/8) - (4/7 / 3/5)))
[1106473] ['1/8', '3/5', '4/7', '8/3', '9/7'] -> (9/7 / (3/5 * ((4/7 / 8/3) - 1/8)))
[1106481] ['1/8', '3/5', '4/7', '8/5', '9/7'] -> (9/7 / (1/8 * ((8/5 - 3/5) - 4/7)))
[1106483] ['1/8', '3/5', '4/7', '8/7', '8/7'] -> ((((4/7 + 8/7) / 1/8) / 3/5) + 8/7)
[1106486] ['1/8', '3/5', '4/7', '8/7', '9/4'] -> ((((8/7 / 3/5) - 4/7) / 1/8) * 9/4)
[1106498] ['1/8', '3/5', '4/7', '9/2', '9/5'] -> (((1/8 + (9/2 / 4/7)) / 3/5) * 9/5)
[1106508] ['1/8', '3/5', '4/7', '9/7', '9/7'] -> (9/7 / ((1/8 * 3/5) * (9/7 - 4/7)))
[1106518] ['1/8', '3/5', '4/9', '4/9', '5/9'] -> ((((4/9 / 1/8) / 3/5) / 4/9) / 5/9)
[1106519] ['1/8', '3/5', '4/9', '4/9', '6/5'] -> ((6/5 / 1/8) / ((4/9 / 4/9) - 3/5))
[1106529] ['1/8', '3/5', '4/9', '4/9', '8/5'] -> (((8/5 / 1/8) / 3/5) / (4/9 + 4/9))
[1106531] ['1/8', '3/5', '4/9', '4/9', '8/9'] -> ((8/9 / 1/8) / ((4/9 / 3/5) - 4/9))
[1106547] ['1/8', '3/5', '4/9', '5/2', '7/3'] -> (7/3 / (1/8 * (3/5 + (4/9 / 5/2))))
[1106550] ['1/8', '3/5', '4/9', '5/2', '7/6'] -> (7/6 / ((1/8 * (3/5 - 4/9)) * 5/2))
[1106556] ['1/8', '3/5', '4/9', '5/2', '8/9'] -> ((((3/5 * 5/2) / 1/8) / 4/9) * 8/9)
[1106557] ['1/8', '3/5', '4/9', '5/2', '9/2'] -> ((((3/5 * 4/9) * 5/2) / 1/8) * 9/2)
[1106561] ['1/8', '3/5', '4/9', '5/2', '9/8'] -> ((((3/5 * 5/2) / 1/8) / 4/9) / 9/8)
[1106562] ['1/8', '3/5', '4/9', '5/3', '5/3'] -> (5/3 / (1/8 * ((3/5 * 5/3) - 4/9)))
[1106563] ['1/8', '3/5', '4/9', '5/3', '5/4'] -> ((((5/3 - 3/5) / 1/8) / 4/9) * 5/4)
[1106571] ['1/8', '3/5', '4/9', '5/3', '7/3'] -> (7/3 / (4/9 - ((1/8 * 5/3) / 3/5)))
[1106576] ['1/8', '3/5', '4/9', '5/3', '7/9'] -> (7/9 / ((1/8 * (3/5 - 4/9)) * 5/3))
[1106584] ['1/8', '3/5', '4/9', '5/3', '9/7'] -> (9/7 / (1/8 / ((5/3 / 3/5) - 4/9)))
[1106616] ['1/8', '3/5', '4/9', '5/6', '7/3'] -> (7/3 / (((3/5 * 4/9) * 5/6) - 1/8))
[1106618] ['1/8', '3/5', '4/9', '5/6', '7/5'] -> (7/5 / ((1/8 + (4/9 / 5/6)) - 3/5))
[1106621] ['1/8', '3/5', '4/9', '5/6', '7/9'] -> (7/9 / ((1/8 + (4/9 / 3/5)) - 5/6))
[1106622] ['1/8', '3/5', '4/9', '5/6', '8/3'] -> ((((3/5 * 5/6) / 1/8) / 4/9) * 8/3)
[1106626] ['1/8', '3/5', '4/9', '5/6', '9/2'] -> (((3/5 / 1/8) + (4/9 / 5/6)) * 9/2)
[1106627] ['1/8', '3/5', '4/9', '5/6', '9/4'] -> ((((5/6 / 1/8) / 3/5) - 4/9) * 9/4)
[1106668] ['1/8', '3/5', '4/9', '5/8', '9/4'] -> (9/4 / ((3/5 * 5/8) - (1/8 / 4/9)))
[1106673] ['1/8', '3/5', '4/9', '5/9', '6/5'] -> (6/5 / (1/8 * ((4/9 + 5/9) - 3/5)))
[1106694] ['1/8', '3/5', '4/9', '6/5', '7/3'] -> (7/3 / (((3/5 * 4/9) / 6/5) - 1/8))
[1106696] ['1/8', '3/5', '4/9', '6/5', '7/5'] -> (7/5 / ((1/8 + (4/9 * 6/5)) - 3/5))
[1106698] ['1/8', '3/5', '4/9', '6/5', '7/8'] -> ((((6/5 / 1/8) / 4/9) - 3/5) / 7/8)
[1106700] ['1/8', '3/5', '4/9', '6/5', '8/3'] -> ((((3/5 / 1/8) / 4/9) / 6/5) * 8/3)
[1106702] ['1/8', '3/5', '4/9', '6/5', '8/7'] -> ((((6/5 / 1/8) / 4/9) - 3/5) * 8/7)
[1106704] ['1/8', '3/5', '4/9', '6/5', '9/2'] -> (((3/5 / 1/8) + (4/9 * 6/5)) * 9/2)
[1106739] ['1/8', '3/5', '4/9', '7/2', '9/5'] -> (((1/8 + (7/2 / 4/9)) / 3/5) * 9/5)
[1106754] ['1/8', '3/5', '4/9', '7/3', '9/5'] -> (((3/5 * (4/9 + 7/3)) / 1/8) * 9/5)
[1106758] ['1/8', '3/5', '4/9', '7/4', '7/5'] -> (7/5 / (((1/8 * 3/5) * 4/9) * 7/4))
[1106775] ['1/8', '3/5', '4/9', '7/5', '8/3'] -> (8/3 / ((1/8 * 4/9) * (3/5 + 7/5)))
[1106799] ['1/8', '3/5', '4/9', '7/8', '8/5'] -> (8/5 / (4/9 * ((7/8 - 1/8) - 3/5)))
[1106803] ['1/8', '3/5', '4/9', '7/8', '9/4'] -> ((((7/8 / 1/8) / 3/5) / 4/9) - 9/4)
[1106817] ['1/8', '3/5', '4/9', '8/3', '8/3'] -> (8/3 / (((1/8 * 8/3) / 3/5) - 4/9))
[1106822] ['1/8', '3/5', '4/9', '8/3', '9/4'] -> (((3/5 * (8/3 - 4/9)) / 1/8) * 9/4)
[1106823] ['1/8', '3/5', '4/9', '8/3', '9/5'] -> ((((8/3 / 4/9) - 3/5) / 1/8) / 9/5)
[1106826] ['1/8', '3/5', '4/9', '8/5', '8/5'] -> (8/5 / ((3/5 * 4/9) - (1/8 * 8/5)))
[1106828] ['1/8', '3/5', '4/9', '8/5', '8/9'] -> (((4/9 + (8/5 / 3/5)) / 1/8) - 8/9)
[1106862] ['1/8', '3/5', '5/2', '5/2', '5/2'] -> (((3/5 * 5/2) + (5/2 / 1/8)) + 5/2)
[1106863] ['1/8', '3/5', '5/2', '5/2', '5/3'] -> (((5/2 / 1/8) + 5/2) * (5/3 - 3/5))
[1106864] ['1/8', '3/5', '5/2', '5/2', '5/4'] -> ((((3/5 * 5/2) * 5/2) / 1/8) / 5/4)
[1106871] ['1/8', '3/5', '5/2', '5/2', '7/2'] -> ((7/2 / 1/8) - ((3/5 * 5/2) + 5/2))
[1106887] ['1/8', '3/5', '5/2', '5/3', '5/3'] -> (5/3 / (((5/3 - 1/8) / 3/5) - 5/2))
[1106894] ['1/8', '3/5', '5/2', '5/3', '6/7'] -> (((5/2 + (3/5 * 5/3)) / 1/8) * 6/7)
[1106895] ['1/8', '3/5', '5/2', '5/3', '7/2'] -> (7/2 / (((1/8 + 3/5) * 5/2) - 5/3))
[1106898] ['1/8', '3/5', '5/2', '5/3', '7/5'] -> (7/5 / ((1/8 + 3/5) - (5/3 / 5/2)))
[1106899] ['1/8', '3/5', '5/2', '5/3', '7/6'] -> (((5/2 + (3/5 * 5/3)) / 1/8) / 7/6)
[1106900] ['1/8', '3/5', '5/2', '5/3', '7/8'] -> (((5/2 / 1/8) + (3/5 * 5/3)) / 7/8)
[1106904] ['1/8', '3/5', '5/2', '5/3', '8/7'] -> (((5/2 / 1/8) + (3/5 * 5/3)) * 8/7)
[1106906] ['1/8', '3/5', '5/2', '5/3', '9/2'] -> (9/2 / (1/8 * (5/2 - (3/5 * 5/3))))
[1106910] ['1/8', '3/5', '5/2', '5/3', '9/8'] -> (9/8 / ((1/8 / (5/3 - 3/5)) / 5/2))
[1106911] ['1/8', '3/5', '5/2', '5/4', '5/4'] -> (5/4 / (1/8 * (5/2 - (5/4 / 3/5))))
[1106914] ['1/8', '3/5', '5/2', '5/4', '5/8'] -> ((((3/5 * 5/2) * 5/4) / 1/8) / 5/8)
[1106916] ['1/8', '3/5', '5/2', '5/4', '6/5'] -> (6/5 / (3/5 - ((1/8 + 5/4) / 5/2)))
[1106920] ['1/8', '3/5', '5/2', '5/4', '7/4'] -> (((3/5 + (5/2 / 1/8)) * 5/4) - 7/4)
[1106925] ['1/8', '3/5', '5/2', '5/4', '8/3'] -> ((((5/2 / 1/8) / 3/5) / 5/4) - 8/3)
[1106926] ['1/8', '3/5', '5/2', '5/4', '8/5'] -> ((((3/5 * 5/2) * 5/4) / 1/8) * 8/5)
[1106929] ['1/8', '3/5', '5/2', '5/4', '9/2'] -> ((1/8 + ((5/2 * 5/4) / 3/5)) * 9/2)
[1106930] ['1/8', '3/5', '5/2', '5/4', '9/4'] -> (9/4 / ((1/8 * 3/5) * (5/2 - 5/4)))
[1106934] ['1/8', '3/5', '5/2', '5/6', '5/6'] -> (((3/5 + (5/2 / 5/6)) / 1/8) * 5/6)
[1106938] ['1/8', '3/5', '5/2', '5/6', '6/5'] -> (((3/5 + (5/2 / 5/6)) / 1/8) / 6/5)
[1106940] ['1/8', '3/5', '5/2', '5/6', '7/2'] -> (((5/2 / 1/8) + (3/5 * 5/6)) + 7/2)
[1106942] ['1/8', '3/5', '5/2', '5/6', '7/4'] -> (7/4 / ((1/8 * 5/2) * (5/6 - 3/5)))
[1106947] ['1/8', '3/5', '5/2', '5/6', '8/3'] -> ((((5/2 / 3/5) - 5/6) / 1/8) - 8/3)
[1106953] ['1/8', '3/5', '5/2', '5/6', '9/5'] -> (9/5 / (((3/5 * 5/6) / 5/2) - 1/8))
[1106954] ['1/8', '3/5', '5/2', '5/6', '9/7'] -> (9/7 / (1/8 / ((3/5 * 5/2) + 5/6)))
[1106960] ['1/8', '3/5', '5/2', '5/7', '6/7'] -> (6/7 / ((1/8 * 5/2) * (5/7 - 3/5)))
[1106977] ['1/8', '3/5', '5/2', '5/8', '5/8'] -> (((3/5 * (5/2 + 5/8)) / 1/8) / 5/8)
[1106988] ['1/8', '3/5', '5/2', '5/8', '8/3'] -> (((3/5 * (5/2 - 5/8)) / 1/8) * 8/3)
[1106989] ['1/8', '3/5', '5/2', '5/8', '8/5'] -> (((3/5 * (5/2 + 5/8)) / 1/8) * 8/5)
[1107003] ['1/8', '3/5', '5/2', '5/9', '7/5'] -> (7/5 / (3/5 * ((5/9 / 5/2) - 1/8)))
[1107010] ['1/8', '3/5', '5/2', '5/9', '8/9'] -> (((3/5 + 5/9) / (1/8 / 5/2)) + 8/9)
[1107016] ['1/8', '3/5', '5/2', '6/5', '6/5'] -> (((3/5 + (5/2 * 6/5)) / 1/8) / 6/5)
[1107018] ['1/8', '3/5', '5/2', '6/5', '7/2'] -> (((5/2 / 1/8) + (3/5 / 6/5)) + 7/2)
[1107025] ['1/8', '3/5', '5/2', '6/5', '8/3'] -> ((5/2 * ((3/5 / 1/8) - 6/5)) * 8/3)
[1107026] ['1/8', '3/5', '5/2', '6/5', '8/5'] -> ((5/2 * ((3/5 / 1/8) + 6/5)) * 8/5)
[1107031] ['1/8', '3/5', '5/2', '6/5', '9/5'] -> (9/5 / (((3/5 / 5/2) / 6/5) - 1/8))
[1107036] ['1/8', '3/5', '5/2', '6/7', '7/3'] -> ((((3/5 * 5/2) * 6/7) / 1/8) * 7/3)
[1107053] ['1/8', '3/5', '5/2', '7/2', '7/4'] -> ((((3/5 * 5/2) * 7/2) / 1/8) / 7/4)
