[1147419] ['1/8', '5/8', '5/8', '7/4', '8/5'] -> (((5/8 / 5/8) + (7/4 / 1/8)) * 8/5)
[1147503] ['1/8', '5/8', '5/8', '9/2', '9/2'] -> (((5/8 / (1/8 + 5/8)) + 9/2) * 9/2)
[1147515] ['1/8', '5/8', '5/8', '9/7', '9/7'] -> (9/7 / (((5/8 * 9/7) - 1/8) - 5/8))
[1147517] ['1/8', '5/8', '5/8', '9/8', '9/8'] -> (9/8 / ((1/8 + 5/8) - (5/8 * 9/8)))
[1147527] ['1/8', '5/8', '5/9', '5/9', '7/9'] -> ((5/9 + 7/9) / ((1/8 + 5/9) - 5/8))
[1147528] ['1/8', '5/8', '5/9', '5/9', '8/3'] -> (((5/9 / (5/8 - 5/9)) / 1/8) / 8/3)
[1147532] ['1/8', '5/8', '5/9', '5/9', '9/2'] -> (((5/9 / 1/8) + (5/9 / 5/8)) * 9/2)
[1147533] ['1/8', '5/8', '5/9', '5/9', '9/4'] -> ((5/9 / 5/9) + ((5/8 + 9/4) / 1/8))
[1147536] ['1/8', '5/8', '5/9', '5/9', '9/8'] -> ((9/8 / 1/8) / ((5/9 / 5/9) - 5/8))
[1147537] ['1/8', '5/8', '5/9', '6/5', '6/5'] -> (6/5 / ((1/8 + (5/8 / 5/9)) - 6/5))
[1147547] ['1/8', '5/8', '5/9', '6/5', '8/5'] -> (8/5 / (((1/8 + 5/9) - 5/8) * 6/5))
[1147549] ['1/8', '5/8', '5/9', '6/5', '8/9'] -> (8/9 / ((5/8 - (5/9 / 6/5)) - 1/8))
[1147550] ['1/8', '5/8', '5/9', '6/5', '9/2'] -> ((((5/8 / 1/8) - 5/9) * 6/5) * 9/2)
[1147560] ['1/8', '5/8', '5/9', '6/7', '7/6'] -> (7/6 / (((5/8 / 6/7) - 1/8) - 5/9))
[1147565] ['1/8', '5/8', '5/9', '6/7', '8/7'] -> (8/7 / (((1/8 + 5/9) - 5/8) * 6/7))
[1147582] ['1/8', '5/8', '5/9', '7/2', '8/9'] -> ((((5/9 * 7/2) / 1/8) / 5/8) - 8/9)
[1147589] ['1/8', '5/8', '5/9', '7/3', '7/4'] -> ((7/3 / ((1/8 + 5/9) - 5/8)) / 7/4)
[1147592] ['1/8', '5/8', '5/9', '7/3', '7/8'] -> ((((5/8 * 7/3) / 1/8) / 5/9) / 7/8)
[1147596] ['1/8', '5/8', '5/9', '7/3', '8/7'] -> ((((5/8 * 7/3) / 1/8) / 5/9) * 8/7)
[1147608] ['1/8', '5/8', '5/9', '7/4', '8/3'] -> ((7/4 / ((1/8 + 5/8) - 5/9)) * 8/3)
[1147611] ['1/8', '5/8', '5/9', '7/4', '8/9'] -> (((1/8 + 7/4) / (5/8 - 5/9)) * 8/9)
[1147616] ['1/8', '5/8', '5/9', '7/4', '9/8'] -> (((1/8 + 7/4) / (5/8 - 5/9)) / 9/8)
[1147621] ['1/8', '5/8', '5/9', '7/5', '8/3'] -> (((5/8 + 7/5) / (1/8 / 5/9)) * 8/3)
[1147630] ['1/8', '5/8', '5/9', '7/6', '7/6'] -> (7/6 / (((5/8 * 7/6) - 1/8) - 5/9))
[1147631] ['1/8', '5/8', '5/9', '7/6', '7/8'] -> ((7/6 / ((1/8 + 5/9) - 5/8)) / 7/8)
[1147635] ['1/8', '5/8', '5/9', '7/6', '8/7'] -> ((7/6 / ((1/8 + 5/9) - 5/8)) * 8/7)
[1147657] ['1/8', '5/8', '5/9', '7/9', '8/9'] -> (8/9 / (7/9 - (5/9 / (1/8 + 5/8))))
[1147658] ['1/8', '5/8', '5/9', '7/9', '9/2'] -> (((7/9 / 1/8) - (5/9 / 5/8)) * 9/2)
[1147659] ['1/8', '5/8', '5/9', '7/9', '9/4'] -> ((((5/8 + 7/9) / 1/8) - 5/9) * 9/4)
[1147660] ['1/8', '5/8', '5/9', '7/9', '9/5'] -> ((((5/9 / 5/8) + 7/9) / 1/8) * 9/5)
[1147663] ['1/8', '5/8', '5/9', '8/3', '8/3'] -> (8/3 / (((5/8 * 5/9) / 1/8) - 8/3))
[1147688] ['1/8', '5/8', '5/9', '8/9', '9/2'] -> ((((5/8 / 1/8) + 8/9) - 5/9) * 9/2)
[1147693] ['1/8', '5/8', '5/9', '9/2', '9/2'] -> (9/2 / (((5/8 - 5/9) * 9/2) - 1/8))
[1147697] ['1/8', '5/8', '5/9', '9/2', '9/8'] -> (((9/2 - (5/8 / 5/9)) / 1/8) / 9/8)
[1147701] ['1/8', '5/8', '5/9', '9/4', '9/8'] -> ((((5/8 / 5/9) + 9/4) / 1/8) / 9/8)
[1147704] ['1/8', '5/8', '5/9', '9/5', '9/8'] -> (9/8 / (1/8 * ((5/9 * 9/5) - 5/8)))
[1147721] ['1/8', '5/8', '6/5', '6/5', '9/2'] -> (((9/2 / 1/8) / 5/8) / (6/5 + 6/5))
[1147722] ['1/8', '5/8', '6/5', '6/5', '9/4'] -> ((6/5 / 6/5) + ((5/8 + 9/4) / 1/8))
[1147725] ['1/8', '5/8', '6/5', '6/5', '9/8'] -> ((9/8 / 1/8) / ((6/5 / 6/5) - 5/8))
[1147728] ['1/8', '5/8', '6/5', '6/7', '7/3'] -> (((5/8 * (6/5 + 6/7)) / 1/8) * 7/3)
[1147731] ['1/8', '5/8', '6/5', '6/7', '7/6'] -> (((6/5 + (6/7 / 5/8)) / 1/8) * 7/6)
[1147748] ['1/8', '5/8', '6/5', '7/2', '7/8'] -> ((((5/8 * 6/5) * 7/2) / 1/8) / 7/8)
[1147752] ['1/8', '5/8', '6/5', '7/2', '8/7'] -> ((((5/8 * 6/5) * 7/2) / 1/8) * 8/7)
[1147762] ['1/8', '5/8', '6/5', '7/3', '7/6'] -> ((((5/8 / 6/5) + 7/3) / 1/8) + 7/6)
[1147766] ['1/8', '5/8', '6/5', '7/3', '8/5'] -> (8/5 / ((6/5 / (5/8 - 1/8)) - 7/3))
[1147768] ['1/8', '5/8', '6/5', '7/3', '8/9'] -> ((((7/3 / 1/8) / 5/8) / 6/5) - 8/9)
[1147771] ['1/8', '5/8', '6/5', '7/3', '9/5'] -> (((6/5 / 1/8) + (7/3 / 5/8)) * 9/5)
[1147786] ['1/8', '5/8', '6/5', '7/4', '9/7'] -> (9/7 / (((1/8 * 5/8) * 6/5) / 7/4))
[1147793] ['1/8', '5/8', '6/5', '7/5', '8/5'] -> ((((5/8 + 7/5) / 1/8) - 6/5) * 8/5)
[1147796] ['1/8', '5/8', '6/5', '7/5', '9/2'] -> ((((5/8 / 1/8) + 7/5) / 6/5) * 9/2)
[1147800] ['1/8', '5/8', '6/5', '7/5', '9/8'] -> (9/8 / (5/8 * ((7/5 - 1/8) - 6/5)))
[1147821] ['1/8', '5/8', '6/5', '7/8', '9/5'] -> (9/5 / (((7/8 / 5/8) - 1/8) - 6/5))
[1147823] ['1/8', '5/8', '6/5', '7/8', '9/8'] -> (9/8 / (7/8 - (5/8 * (1/8 + 6/5))))
[1147831] ['1/8', '5/8', '6/5', '7/9', '9/5'] -> ((6/5 / ((7/9 - 1/8) - 5/8)) / 9/5)
[1147843] ['1/8', '5/8', '6/5', '8/5', '8/5'] -> (((6/5 + (8/5 / 1/8)) / 5/8) + 8/5)
[1147848] ['1/8', '5/8', '6/5', '8/5', '9/5'] -> (9/5 / ((6/5 - (5/8 * 8/5)) - 1/8))
[1147850] ['1/8', '5/8', '6/5', '8/5', '9/8'] -> (9/8 / (((6/5 - 1/8) / 8/5) - 5/8))
[1147859] ['1/8', '5/8', '6/5', '8/9', '9/2'] -> ((((5/8 * 6/5) * 8/9) / 1/8) * 9/2)
[1147864] ['1/8', '5/8', '6/5', '9/2', '9/2'] -> (9/2 / ((5/8 * 6/5) - (1/8 * 9/2)))
[1147866] ['1/8', '5/8', '6/5', '9/2', '9/5'] -> (9/5 / (6/5 * (5/8 - (1/8 * 9/2))))
[1147868] ['1/8', '5/8', '6/5', '9/2', '9/8'] -> ((((5/8 * 6/5) * 9/2) / 1/8) / 9/8)
[1147875] ['1/8', '5/8', '6/5', '9/5', '9/8'] -> (9/8 / ((1/8 * 5/8) * (9/5 - 6/5)))
[1147878] ['1/8', '5/8', '6/5', '9/8', '9/8'] -> (9/8 / (1/8 * (9/8 - (5/8 * 6/5))))
[1147880] ['1/8', '5/8', '6/7', '6/7', '7/2'] -> (7/2 / (((6/7 - 5/8) / 6/7) - 1/8))
[1147896] ['1/8', '5/8', '6/7', '7/2', '7/2'] -> ((((5/8 / 1/8) + 6/7) * 7/2) + 7/2)
[1147904] ['1/8', '5/8', '6/7', '7/2', '8/5'] -> ((((5/8 * 6/7) * 7/2) / 1/8) * 8/5)
[1147916] ['1/8', '5/8', '6/7', '7/3', '7/8'] -> (((5/8 + (6/7 * 7/3)) / 1/8) / 7/8)
[1147918] ['1/8', '5/8', '6/7', '7/3', '8/3'] -> (((6/7 + (5/8 / 7/3)) / 1/8) * 8/3)
[1147920] ['1/8', '5/8', '6/7', '7/3', '8/7'] -> (((5/8 + (6/7 * 7/3)) / 1/8) * 8/7)
[1147922] ['1/8', '5/8', '6/7', '7/3', '9/2'] -> (9/2 / (((5/8 / 6/7) / 7/3) - 1/8))
[1147936] ['1/8', '5/8', '6/7', '7/4', '9/2'] -> (9/2 / (((6/7 - 1/8) - 5/8) * 7/4))
[1147940] ['1/8', '5/8', '6/7', '7/4', '9/8'] -> (9/8 / (1/8 / (5/8 + (7/4 / 6/7))))
[1147950] ['1/8', '5/8', '6/7', '7/5', '9/4'] -> (9/4 / (((1/8 * 5/8) * 6/7) * 7/5))
[1147965] ['1/8', '5/8', '6/7', '7/6', '9/8'] -> (9/8 / (1/8 * ((6/7 * 7/6) - 5/8)))
[1147966] ['1/8', '5/8', '6/7', '7/8', '7/8'] -> (7/8 / ((1/8 * (7/8 - 5/8)) / 6/7))
[1147973] ['1/8', '5/8', '6/7', '7/8', '9/4'] -> (9/4 / (((6/7 - 1/8) - 5/8) * 7/8))
[1147977] ['1/8', '5/8', '6/7', '7/9', '7/9'] -> ((6/7 / ((7/9 - 1/8) - 5/8)) * 7/9)
[1147985] ['1/8', '5/8', '6/7', '7/9', '9/7'] -> ((6/7 / ((7/9 - 1/8) - 5/8)) / 9/7)
[1147990] ['1/8', '5/8', '6/7', '8/3', '8/9'] -> ((8/3 / ((6/7 - 1/8) - 5/8)) - 8/9)
[1147992] ['1/8', '5/8', '6/7', '8/3', '9/4'] -> (9/4 / (6/7 * ((5/8 / 8/3) - 1/8)))
[1148004] ['1/8', '5/8', '6/7', '8/7', '8/7'] -> ((((5/8 + 6/7) + 8/7) / 1/8) * 8/7)
[1148007] ['1/8', '5/8', '6/7', '8/7', '9/4'] -> ((8/7 / ((6/7 - 1/8) - 5/8)) * 9/4)
[1148009] ['1/8', '5/8', '6/7', '8/7', '9/7'] -> (9/7 / ((5/8 * (8/7 - 6/7)) - 1/8))
[1148018] ['1/8', '5/8', '6/7', '9/2', '9/4'] -> ((((5/8 * 9/2) / 1/8) / 6/7) - 9/4)
[1148020] ['1/8', '5/8', '6/7', '9/2', '9/7'] -> (9/7 / (6/7 * (5/8 - (1/8 * 9/2))))
[1148027] ['1/8', '5/8', '6/7', '9/5', '9/7'] -> (9/7 / (1/8 * (9/5 - (6/7 / 5/8))))
[1148035] ['1/8', '5/8', '7/2', '7/2', '7/5'] -> (((7/2 / 1/8) + (7/2 / 5/8)) / 7/5)
[1148037] ['1/8', '5/8', '7/2', '7/2', '7/8'] -> ((((5/8 * 7/2) / 1/8) + 7/2) / 7/8)
[1148038] ['1/8', '5/8', '7/2', '7/2', '7/9'] -> ((7/2 / (5/8 - (1/8 * 7/2))) / 7/9)
[1148039] ['1/8', '5/8', '7/2', '7/2', '8/3'] -> ((7/2 + 7/2) / (5/8 - (1/8 * 8/3)))
[1148041] ['1/8', '5/8', '7/2', '7/2', '8/7'] -> ((((5/8 * 7/2) / 1/8) + 7/2) * 8/7)
[1148044] ['1/8', '5/8', '7/2', '7/2', '9/4'] -> ((7/2 / 7/2) + ((5/8 + 9/4) / 1/8))
[1148046] ['1/8', '5/8', '7/2', '7/2', '9/7'] -> ((7/2 / (5/8 - (1/8 * 7/2))) * 9/7)
[1148058] ['1/8', '5/8', '7/2', '7/3', '9/2'] -> ((((1/8 + 7/2) + 7/3) - 5/8) * 9/2)
[1148063] ['1/8', '5/8', '7/2', '7/4', '7/4'] -> ((((7/2 / 1/8) - 7/4) / 5/8) / 7/4)
[1148065] ['1/8', '5/8', '7/2', '7/4', '7/6'] -> (((7/2 + (7/4 / 1/8)) / 5/8) / 7/6)
[1148066] ['1/8', '5/8', '7/2', '7/4', '7/8'] -> (((5/8 + (7/2 / 7/4)) / 1/8) / 7/8)
[1148067] ['1/8', '5/8', '7/2', '7/4', '7/9'] -> (((7/2 + (5/8 / 7/4)) / 1/8) * 7/9)
[1148071] ['1/8', '5/8', '7/2', '7/4', '8/9'] -> (((7/2 / (7/4 - 5/8)) / 1/8) - 8/9)
[1148072] ['1/8', '5/8', '7/2', '7/4', '9/2'] -> (9/2 / (((5/8 * 7/4) / 7/2) - 1/8))
[1148075] ['1/8', '5/8', '7/2', '7/4', '9/7'] -> (((7/2 + (5/8 / 7/4)) / 1/8) / 9/7)
[1148077] ['1/8', '5/8', '7/2', '7/5', '7/5'] -> ((((7/2 / 5/8) - 7/5) / 1/8) / 7/5)
[1148079] ['1/8', '5/8', '7/2', '7/5', '7/8'] -> (((7/2 - (5/8 * 7/5)) / 1/8) / 7/8)
[1148083] ['1/8', '5/8', '7/2', '7/5', '8/7'] -> (((7/2 - (5/8 * 7/5)) / 1/8) * 8/7)
[1148087] ['1/8', '5/8', '7/2', '7/5', '9/5'] -> (9/5 / (((5/8 / 7/2) - 1/8) * 7/5))
[1148091] ['1/8', '5/8', '7/2', '7/6', '7/8'] -> (7/8 / (1/8 * (5/8 - (7/6 / 7/2))))
[1148094] ['1/8', '5/8', '7/2', '7/6', '8/5'] -> ((((5/8 * 7/2) / 1/8) / 7/6) * 8/5)
[1148097] ['1/8', '5/8', '7/2', '7/6', '9/2'] -> (((5/8 / 1/8) + (7/6 / 7/2)) * 9/2)
[1148104] ['1/8', '5/8', '7/2', '7/8', '8/3'] -> (((5/8 / 1/8) + (7/2 / 7/8)) * 8/3)
[1148107] ['1/8', '5/8', '7/2', '7/8', '8/9'] -> ((((7/2 / 7/8) - 5/8) / 1/8) * 8/9)
[1148114] ['1/8', '5/8', '7/2', '7/9', '8/3'] -> (((7/2 / (5/8 - 1/8)) / 7/9) * 8/3)
[1148130] ['1/8', '5/8', '7/2', '8/3', '9/7'] -> (9/7 / (((5/8 - 1/8) / 7/2) / 8/3))
[1148134] ['1/8', '5/8', '7/2', '8/5', '8/9'] -> (((7/2 / 1/8) - (5/8 * 8/5)) * 8/9)
[1148141] ['1/8', '5/8', '7/2', '8/7', '8/9'] -> ((((7/2 * 8/7) - 5/8) / 1/8) * 8/9)
[1148154] ['1/8', '5/8', '7/2', '9/2', '9/4'] -> (((7/2 + 9/2) / (1/8 + 5/8)) * 9/4)
[1148158] ['1/8', '5/8', '7/2', '9/4', '9/4'] -> (9/4 / ((1/8 * (7/2 + 9/4)) - 5/8))
[1148160] ['1/8', '5/8', '7/2', '9/4', '9/7'] -> (9/7 / (((1/8 + 9/4) / 7/2) - 5/8))
[1148161] ['1/8', '5/8', '7/2', '9/4', '9/8'] -> ((((7/2 / 1/8) - 5/8) - 9/4) - 9/8)
[1148162] ['1/8', '5/8', '7/2', '9/5', '9/5'] -> (9/5 / (5/8 - ((1/8 + 9/5) / 7/2)))
[1148167] ['1/8', '5/8', '7/2', '9/8', '9/8'] -> (9/8 / (5/8 - (1/8 * (7/2 + 9/8))))
[1148170] ['1/8', '5/8', '7/3', '7/3', '7/5'] -> ((((7/3 / 1/8) + 7/3) / 5/8) / 7/5)
[1148174] ['1/8', '5/8', '7/3', '7/3', '8/3'] -> ((((5/8 + 7/3) / 1/8) - 7/3) + 8/3)
[1148175] ['1/8', '5/8', '7/3', '7/3', '8/5'] -> (((7/3 / 1/8) + (7/3 / 5/8)) + 8/5)
[1148177] ['1/8', '5/8', '7/3', '7/3', '8/9'] -> ((((5/8 + 7/3) / 1/8) - 7/3) / 8/9)
[1148179] ['1/8', '5/8', '7/3', '7/3', '9/4'] -> ((7/3 / 7/3) + ((5/8 + 9/4) / 1/8))
[1148184] ['1/8', '5/8', '7/3', '7/4', '7/5'] -> (7/5 / (1/8 * ((7/4 / 5/8) - 7/3)))
[1148190] ['1/8', '5/8', '7/3', '7/4', '8/7'] -> (((7/3 * (7/4 - 5/8)) / 1/8) * 8/7)
[1148192] ['1/8', '5/8', '7/3', '7/4', '9/2'] -> ((7/3 + ((1/8 + 7/4) / 5/8)) * 9/2)
[1148195] ['1/8', '5/8', '7/3', '7/4', '9/7'] -> (9/7 / (5/8 / ((7/4 / 1/8) - 7/3)))
[1148202] ['1/8', '5/8', '7/3', '7/5', '8/5'] -> (8/5 / ((1/8 + 7/5) - (5/8 * 7/3)))
[1148205] ['1/8', '5/8', '7/3', '7/5', '9/2'] -> ((((1/8 + 7/3) / 5/8) + 7/5) * 9/2)
[1148209] ['1/8', '5/8', '7/3', '7/5', '9/8'] -> (9/8 / (((1/8 * 5/8) * 7/5) / 7/3))
[1148210] ['1/8', '5/8', '7/3', '7/6', '7/6'] -> ((((7/3 / 1/8) - 7/6) / 5/8) / 7/6)
[1148213] ['1/8', '5/8', '7/3', '7/6', '8/3'] -> (((5/8 + (7/6 / 7/3)) / 1/8) * 8/3)
[1148230] ['1/8', '5/8', '7/3', '7/8', '9/5'] -> ((((5/8 * 7/3) / 1/8) / 7/8) * 9/5)
[1148232] ['1/8', '5/8', '7/3', '7/8', '9/8'] -> (9/8 / (1/8 / (5/8 + (7/3 * 7/8))))
[1148234] ['1/8', '5/8', '7/3', '7/9', '8/3'] -> (8/3 / (((5/8 / 7/3) - 1/8) * 7/9))
[1148235] ['1/8', '5/8', '7/3', '7/9', '8/5'] -> ((((5/8 * 7/3) / 1/8) / 7/9) * 8/5)
[1148238] ['1/8', '5/8', '7/3', '7/9', '9/2'] -> (((5/8 / 1/8) + (7/9 / 7/3)) * 9/2)
[1148243] ['1/8', '5/8', '7/3', '8/3', '8/3'] -> ((((5/8 * 7/3) / 1/8) - 8/3) * 8/3)
[1148244] ['1/8', '5/8', '7/3', '8/3', '8/5'] -> (((5/8 / (8/3 - 7/3)) / 1/8) * 8/5)
[1148245] ['1/8', '5/8', '7/3', '8/3', '8/7'] -> ((((5/8 + 7/3) / 1/8) - 8/3) * 8/7)
[1148249] ['1/8', '5/8', '7/3', '8/3', '9/5'] -> ((5/8 * ((7/3 / 1/8) + 8/3)) * 9/5)
[1148250] ['1/8', '5/8', '7/3', '8/3', '9/7'] -> (9/7 / (((5/8 / 7/3) - 1/8) / 8/3))
[1148251] ['1/8', '5/8', '7/3', '8/3', '9/8'] -> (9/8 / (((5/8 / 8/3) - 1/8) / 7/3))
[1148262] ['1/8', '5/8', '7/3', '8/7', '9/2'] -> (((7/3 * 8/7) / (5/8 - 1/8)) * 9/2)
[1148264] ['1/8', '5/8', '7/3', '8/7', '9/5'] -> ((((5/8 * 7/3) * 8/7) / 1/8) * 9/5)
[1148266] ['1/8', '5/8', '7/3', '8/7', '9/8'] -> (9/8 / (1/8 / (5/8 + (7/3 / 8/7))))
[1148267] ['1/8', '5/8', '7/3', '8/9', '8/9'] -> (((7/3 + (5/8 * 8/9)) / 1/8) + 8/9)
[1148288] ['1/8', '5/8', '7/4', '7/4', '7/4'] -> (((7/4 / 1/8) + (7/4 / 7/4)) / 5/8)
[1148298] ['1/8', '5/8', '7/4', '7/4', '9/4'] -> ((7/4 / 7/4) + ((5/8 + 9/4) / 1/8))
[1148300] ['1/8', '5/8', '7/4', '7/4', '9/7'] -> (9/7 / ((5/8 / (7/4 + 7/4)) - 1/8))
[1148302] ['1/8', '5/8', '7/4', '7/5', '7/5'] -> ((((7/4 / 5/8) + 7/5) / 1/8) / 7/5)
[1148307] ['1/8', '5/8', '7/4', '7/5', '8/5'] -> (((5/8 + (7/4 / 7/5)) / 1/8) * 8/5)
[1148311] ['1/8', '5/8', '7/4', '7/5', '9/4'] -> (9/4 / ((5/8 * (7/4 - 7/5)) - 1/8))
[1148326] ['1/8', '5/8', '7/4', '7/6', '9/8'] -> (9/8 / (1/8 / (5/8 + (7/4 * 7/6))))
[1148329] ['1/8', '5/8', '7/4', '7/8', '8/3'] -> (((5/8 + (7/8 / 7/4)) / 1/8) * 8/3)
[1148330] ['1/8', '5/8', '7/4', '7/8', '8/5'] -> ((((7/4 / 1/8) / 5/8) / 7/8) - 8/5)
[1148334] ['1/8', '5/8', '7/4', '7/8', '9/4'] -> (9/4 / (((5/8 * 7/4) - 1/8) - 7/8))
[1148336] ['1/8', '5/8', '7/4', '7/8', '9/7'] -> (9/7 / (5/8 - ((1/8 + 7/8) / 7/4)))
[1148348] ['1/8', '5/8', '7/4', '8/3', '8/3'] -> ((((7/4 / 1/8) + 8/3) / 5/8) - 8/3)
[1148353] ['1/8', '5/8', '7/4', '8/3', '9/4'] -> (9/4 / ((1/8 + 5/8) - (7/4 / 8/3)))
[1148357] ['1/8', '5/8', '7/4', '8/5', '8/5'] -> (((7/4 / 1/8) + (5/8 * 8/5)) * 8/5)
[1148361] ['1/8', '5/8', '7/4', '8/5', '9/4'] -> (9/4 / (1/8 * (7/4 - (5/8 * 8/5))))
[1148365] ['1/8', '5/8', '7/4', '8/7', '8/7'] -> (((5/8 + (7/4 * 8/7)) / 1/8) * 8/7)
[1148378] ['1/8', '5/8', '7/4', '9/2', '9/2'] -> ((9/2 / (5/8 + (1/8 * 7/4))) * 9/2)
[1148382] ['1/8', '5/8', '7/4', '9/2', '9/8'] -> ((((5/8 + 9/2) - 7/4) / 1/8) / 9/8)
[1148386] ['1/8', '5/8', '7/4', '9/4', '9/8'] -> ((((7/4 + 9/4) - 5/8) / 1/8) / 9/8)
[1148389] ['1/8', '5/8', '7/4', '9/5', '9/8'] -> (9/8 / (5/8 * ((1/8 + 7/4) - 9/5)))
[1148392] ['1/8', '5/8', '7/4', '9/8', '9/8'] -> (9/8 / ((5/8 * (1/8 + 7/4)) - 9/8))
[1148393] ['1/8', '5/8', '7/5', '7/5', '7/5'] -> ((((7/5 / 5/8) / 7/5) + 7/5) / 1/8)
[1148402] ['1/8', '5/8', '7/5', '7/5', '9/4'] -> ((7/5 / 7/5) + ((5/8 + 9/4) / 1/8))
[1148405] ['1/8', '5/8', '7/5', '7/5', '9/8'] -> ((9/8 / 1/8) / ((7/5 / 7/5) - 5/8))
[1148407] ['1/8', '5/8', '7/5', '7/6', '7/8'] -> (7/8 / (1/8 * (7/6 - (5/8 * 7/5))))
[1148414] ['1/8', '5/8', '7/5', '7/6', '9/4'] -> ((((7/6 / 1/8) / 5/8) / 7/5) * 9/4)
[1148421] ['1/8', '5/8', '7/5', '7/8', '8/5'] -> (((7/5 + (7/8 / 5/8)) / 1/8) + 8/5)
[1148430] ['1/8', '5/8', '7/5', '7/9', '8/3'] -> ((((5/8 * 7/5) / 1/8) / 7/9) * 8/3)
[1148443] ['1/8', '5/8', '7/5', '8/3', '9/2'] -> ((5/8 * ((7/5 / 1/8) - 8/3)) * 9/2)
[1148445] ['1/8', '5/8', '7/5', '8/3', '9/5'] -> ((((5/8 + 7/5) * 8/3) / 1/8) / 9/5)
[1148446] ['1/8', '5/8', '7/5', '8/3', '9/7'] -> (9/7 / (((1/8 / 5/8) / 7/5) / 8/3))
[1148448] ['1/8', '5/8', '7/5', '8/5', '8/5'] -> (((5/8 * (7/5 + 8/5)) / 1/8) * 8/5)
[1148451] ['1/8', '5/8', '7/5', '8/5', '9/2'] -> (9/2 / (1/8 * (5/8 + (7/5 / 8/5))))
[1148455] ['1/8', '5/8', '7/5', '8/5', '9/8'] -> (9/8 / (5/8 * ((8/5 - 1/8) - 7/5)))
[1148460] ['1/8', '5/8', '7/5', '8/7', '9/5'] -> (9/5 / (1/8 * ((7/5 / 8/7) - 5/8)))
[1148461] ['1/8', '5/8', '7/5', '8/7', '9/7'] -> (9/7 / (1/8 * ((8/7 / 5/8) - 7/5)))
[1148483] ['1/8', '5/8', '7/5', '9/8', '9/8'] -> (9/8 / ((5/8 * (7/5 - 9/8)) - 1/8))
[1148487] ['1/8', '5/8', '7/6', '7/6', '8/3'] -> (((5/8 + 8/3) / 1/8) - (7/6 + 7/6))
[1148492] ['1/8', '5/8', '7/6', '7/6', '9/4'] -> ((7/6 / 7/6) + ((5/8 + 9/4) / 1/8))
[1148495] ['1/8', '5/8', '7/6', '7/6', '9/8'] -> ((9/8 / 1/8) / ((7/6 / 7/6) - 5/8))
[1148496] ['1/8', '5/8', '7/6', '7/8', '7/8'] -> (7/8 / ((1/8 * 7/6) * (7/8 - 5/8)))
[1148506] ['1/8', '5/8', '7/6', '7/8', '9/8'] -> (9/8 / (1/8 / ((5/8 + 7/6) + 7/8)))
[1148507] ['1/8', '5/8', '7/6', '7/9', '7/9'] -> (7/9 / (7/6 * ((7/9 - 1/8) - 5/8)))
[1148508] ['1/8', '5/8', '7/6', '7/9', '8/3'] -> (8/3 / (((5/8 + 7/9) - 1/8) - 7/6))
[1148511] ['1/8', '5/8', '7/6', '7/9', '8/9'] -> ((((7/6 + 7/9) / 1/8) / 5/8) - 8/9)
[1148531] ['1/8', '5/8', '7/6', '8/5', '9/5'] -> ((((7/6 / 1/8) / 5/8) - 8/5) * 9/5)
[1148550] ['1/8', '5/8', '7/6', '9/2', '9/7'] -> (9/7 / ((5/8 - (1/8 * 9/2)) / 7/6))
