[475307] ['1/4', '1/9', '2/7', '3/7', '7/9'] -> ((2/7 / ((1/9 / 3/7) - 1/4)) * 7/9)
[475414] ['1/4', '1/9', '2/7', '4/7', '6/7'] -> (((2/7 + (4/7 / 1/4)) / 1/9) + 6/7)
[475421] ['1/4', '1/9', '2/7', '4/7', '7/9'] -> ((((2/7 + 4/7) / 1/4) / 1/9) * 7/9)
[475424] ['1/4', '1/9', '2/7', '4/7', '8/7'] -> (8/7 / (1/9 * (2/7 + (1/4 * 4/7))))
[475429] ['1/4', '1/9', '2/7', '4/7', '9/7'] -> ((((2/7 + 4/7) / 1/4) / 1/9) / 9/7)
[475436] ['1/4', '1/9', '2/7', '4/9', '5/7'] -> (((2/7 + (4/9 / 1/9)) / 1/4) / 5/7)
[475440] ['1/4', '1/9', '2/7', '4/9', '6/7'] -> ((((2/7 / 1/4) / 1/9) / 4/9) + 6/7)
[475444] ['1/4', '1/9', '2/7', '4/9', '7/5'] -> (7/5 / (1/4 / (2/7 + (4/9 / 1/9))))
[475467] ['1/4', '1/9', '2/7', '5/2', '7/3'] -> ((2/7 / ((1/9 * 5/2) - 1/4)) * 7/3)
[475468] ['1/4', '1/9', '2/7', '5/2', '7/4'] -> (((5/2 / (1/4 + 2/7)) / 1/9) / 7/4)
[475487] ['1/4', '1/9', '2/7', '5/3', '5/9'] -> ((1/9 + ((5/3 / 1/4) / 2/7)) + 5/9)
[475489] ['1/4', '1/9', '2/7', '5/3', '6/7'] -> (((5/3 / (1/4 + 2/7)) / 1/9) * 6/7)
[475493] ['1/4', '1/9', '2/7', '5/3', '7/5'] -> (7/5 / (((1/4 * 1/9) / 2/7) / 5/3))
[475494] ['1/4', '1/9', '2/7', '5/3', '7/6'] -> (((5/3 / (1/4 + 2/7)) / 1/9) / 7/6)
[475496] ['1/4', '1/9', '2/7', '5/3', '7/9'] -> ((((5/3 / 1/4) / 2/7) - 1/9) + 7/9)
[475500] ['1/4', '1/9', '2/7', '5/3', '8/9'] -> ((((1/9 + 5/3) / 1/4) / 2/7) - 8/9)
[475514] ['1/4', '1/9', '2/7', '5/4', '7/3'] -> (7/3 / ((1/4 * 2/7) * (1/9 + 5/4)))
[475517] ['1/4', '1/9', '2/7', '5/4', '7/6'] -> (7/6 / ((2/7 - 1/4) * (1/9 + 5/4)))
[475518] ['1/4', '1/9', '2/7', '5/4', '7/8'] -> (((5/4 / (1/4 + 2/7)) / 1/9) / 7/8)
[475535] ['1/4', '1/9', '2/7', '5/6', '7/2'] -> (7/2 / (1/9 / (5/6 - (1/4 * 2/7))))
[475558] ['1/4', '1/9', '2/7', '5/7', '7/4'] -> ((((5/7 / 1/9) / 2/7) - 1/4) + 7/4)
[475565] ['1/4', '1/9', '2/7', '5/7', '8/7'] -> (8/7 / (1/9 * ((2/7 / 1/4) - 5/7)))
[475576] ['1/4', '1/9', '2/7', '5/8', '7/2'] -> (7/2 / ((1/9 * (5/8 - 1/4)) / 2/7))
[475585] ['1/4', '1/9', '2/7', '5/8', '8/7'] -> (8/7 / (1/9 * (1/4 + (2/7 * 5/8))))
[475596] ['1/4', '1/9', '2/7', '5/9', '7/3'] -> ((2/7 / ((1/4 * 5/9) - 1/9)) * 7/3)
[475604] ['1/4', '1/9', '2/7', '5/9', '8/7'] -> (8/7 / ((1/4 * 2/7) * (1/9 + 5/9)))
[475609] ['1/4', '1/9', '2/7', '5/9', '9/7'] -> (9/7 / ((2/7 - 1/4) / (1/9 + 5/9)))
[475630] ['1/4', '1/9', '2/7', '6/7', '7/2'] -> (7/2 / (1/4 / ((2/7 / 1/9) - 6/7)))
[475631] ['1/4', '1/9', '2/7', '6/7', '7/3'] -> (7/3 / ((1/9 / 2/7) - (1/4 / 6/7)))
[475632] ['1/4', '1/9', '2/7', '6/7', '7/4'] -> ((((2/7 / 1/9) + 6/7) / 1/4) * 7/4)
[475634] ['1/4', '1/9', '2/7', '6/7', '7/6'] -> ((((6/7 - 2/7) / 1/4) / 1/9) * 7/6)
[475639] ['1/4', '1/9', '2/7', '6/7', '8/7'] -> (8/7 / (1/4 * (2/7 - (1/9 * 6/7))))
[475641] ['1/4', '1/9', '2/7', '6/7', '9/2'] -> ((((6/7 / 1/4) / 1/9) / 2/7) / 9/2)
[475644] ['1/4', '1/9', '2/7', '6/7', '9/7'] -> (9/7 / (((1/4 / 6/7) - 2/7) / 1/9))
[475652] ['1/4', '1/9', '2/7', '7/2', '7/9'] -> (((7/2 - (1/4 * 2/7)) / 1/9) * 7/9)
[475657] ['1/4', '1/9', '2/7', '7/2', '9/2'] -> ((((7/2 / 2/7) - 1/4) / 1/9) / 9/2)
[475660] ['1/4', '1/9', '2/7', '7/2', '9/7'] -> (((7/2 - (1/4 * 2/7)) / 1/9) / 9/7)
[475667] ['1/4', '1/9', '2/7', '7/3', '7/9'] -> ((2/7 / ((1/9 * 7/3) - 1/4)) * 7/9)
[475675] ['1/4', '1/9', '2/7', '7/3', '9/7'] -> ((2/7 / ((1/9 * 7/3) - 1/4)) / 9/7)
[475685] ['1/4', '1/9', '2/7', '7/4', '8/9'] -> (((1/9 + (7/4 / 1/4)) / 2/7) - 8/9)
[475691] ['1/4', '1/9', '2/7', '7/5', '7/5'] -> (7/5 / (1/9 * (7/5 - (1/4 / 2/7))))
[475706] ['1/4', '1/9', '2/7', '7/6', '7/9'] -> (7/9 / (1/9 * (7/6 - (1/4 / 2/7))))
[475709] ['1/4', '1/9', '2/7', '7/6', '8/7'] -> (8/7 / (1/4 * (2/7 - (1/9 / 7/6))))
[475714] ['1/4', '1/9', '2/7', '7/6', '9/7'] -> (9/7 / (((1/4 * 7/6) - 2/7) / 1/9))
[475731] ['1/4', '1/9', '2/7', '7/9', '8/9'] -> (((1/9 + 7/9) / (2/7 - 1/4)) - 8/9)
[475747] ['1/4', '1/9', '2/7', '8/5', '8/7'] -> (8/7 / (1/9 * (1/4 + (2/7 / 8/5))))
[475759] ['1/4', '1/9', '2/7', '8/7', '9/7'] -> ((((8/7 - 2/7) / 1/4) / 1/9) / 9/7)
[475761] ['1/4', '1/9', '2/7', '8/9', '8/9'] -> ((1/9 / (2/7 - (1/4 / 8/9))) - 8/9)
[475762] ['1/4', '1/9', '2/7', '8/9', '9/2'] -> (9/2 / (((1/9 / 2/7) / 8/9) - 1/4))
[475770] ['1/4', '1/9', '2/7', '9/2', '9/7'] -> (9/7 / (1/4 * ((1/9 * 9/2) - 2/7)))
[475787] ['1/4', '1/9', '2/9', '2/9', '3/8'] -> ((((1/9 / 1/4) / 2/9) / 2/9) / 3/8)
[475793] ['1/4', '1/9', '2/9', '2/9', '5/3'] -> ((5/3 / 1/4) / ((1/9 / 2/9) - 2/9))
[475795] ['1/4', '1/9', '2/9', '2/9', '5/6'] -> ((1/9 + 2/9) / (2/9 - (1/4 * 5/6)))
[475797] ['1/4', '1/9', '2/9', '2/9', '5/8'] -> (((2/9 / 1/9) / 2/9) / (5/8 - 1/4))
[475802] ['1/4', '1/9', '2/9', '2/9', '7/3'] -> (7/3 / (2/9 - ((1/4 * 1/9) / 2/9)))
[475806] ['1/4', '1/9', '2/9', '2/9', '7/8'] -> ((1/9 + 2/9) / ((2/9 / 1/4) - 7/8))
[475807] ['1/4', '1/9', '2/9', '2/9', '7/9'] -> (((2/9 - 1/9) - 7/9) / (2/9 - 1/4))
[475820] ['1/4', '1/9', '2/9', '3/2', '3/7'] -> (((2/9 + (3/2 / 1/4)) / 1/9) * 3/7)
[475835] ['1/4', '1/9', '2/9', '3/2', '7/2'] -> (((1/9 + (3/2 / 1/4)) / 2/9) - 7/2)
[475843] ['1/4', '1/9', '2/9', '3/2', '8/5'] -> (8/5 / ((2/9 / (3/2 - 1/4)) - 1/9))
[475847] ['1/4', '1/9', '2/9', '3/2', '9/4'] -> (((3/2 / (2/9 - 1/9)) / 1/4) / 9/4)
[475850] ['1/4', '1/9', '2/9', '3/2', '9/8'] -> ((3/2 / (1/9 - (1/4 * 2/9))) / 9/8)
[475862] ['1/4', '1/9', '2/9', '3/4', '5/6'] -> ((5/6 / 1/4) / (2/9 - (1/9 * 3/4)))
[475865] ['1/4', '1/9', '2/9', '3/4', '5/9'] -> (5/9 / (((1/4 - 1/9) * 2/9) * 3/4))
[475870] ['1/4', '1/9', '2/9', '3/4', '7/4'] -> ((1/4 + 7/4) / ((2/9 - 1/9) * 3/4))
[475872] ['1/4', '1/9', '2/9', '3/4', '7/6'] -> (7/6 / (((1/4 + 1/9) * 3/4) - 2/9))
[475883] ['1/4', '1/9', '2/9', '3/4', '9/8'] -> (((3/4 / (2/9 - 1/9)) / 1/4) / 9/8)
[475897] ['1/4', '1/9', '2/9', '3/5', '5/9'] -> ((((2/9 / 1/4) / 1/9) / 3/5) / 5/9)
[475903] ['1/4', '1/9', '2/9', '3/5', '7/5'] -> (7/5 / (1/9 * ((1/4 / 2/9) - 3/5)))
[475913] ['1/4', '1/9', '2/9', '3/5', '9/5'] -> ((((2/9 / 1/4) / 1/9) / 3/5) * 9/5)
[475921] ['1/4', '1/9', '2/9', '3/7', '4/9'] -> (4/9 / (((1/4 * 2/9) / 3/7) - 1/9))
[475945] ['1/4', '1/9', '2/9', '3/7', '9/7'] -> (9/7 / (((1/4 * 1/9) * 3/7) / 2/9))
[475947] ['1/4', '1/9', '2/9', '3/8', '3/8'] -> ((1/4 / (1/9 - (2/9 * 3/8))) / 3/8)
[475952] ['1/4', '1/9', '2/9', '3/8', '5/2'] -> ((((2/9 + 3/8) / 1/4) / 1/9) + 5/2)
[475962] ['1/4', '1/9', '2/9', '3/8', '7/3'] -> (7/3 / ((1/4 * 2/9) + (1/9 * 3/8)))
[475965] ['1/4', '1/9', '2/9', '3/8', '7/6'] -> (7/6 / (1/4 * (1/9 + (2/9 * 3/8))))
[475972] ['1/4', '1/9', '2/9', '3/8', '9/2'] -> ((((1/9 / 1/4) / 2/9) / 3/8) * 9/2)
[475977] ['1/4', '1/9', '2/9', '4/3', '4/3'] -> (4/3 / ((1/9 / 4/3) - (1/4 - 2/9)))
[475981] ['1/4', '1/9', '2/9', '4/3', '5/2'] -> ((4/3 / ((1/4 + 1/9) - 2/9)) * 5/2)
[475988] ['1/4', '1/9', '2/9', '4/3', '6/5'] -> ((((2/9 / 1/4) + 4/3) / 1/9) * 6/5)
[475994] ['1/4', '1/9', '2/9', '4/3', '7/6'] -> (7/6 / (((1/4 + 1/9) / 4/3) - 2/9))
[476010] ['1/4', '1/9', '2/9', '4/5', '5/3'] -> ((4/5 / (1/9 - (1/4 * 2/9))) * 5/3)
[476012] ['1/4', '1/9', '2/9', '4/5', '5/6'] -> (((4/5 / (2/9 - 1/9)) / 1/4) * 5/6)
[476019] ['1/4', '1/9', '2/9', '4/5', '7/3'] -> (7/3 / (1/4 * (1/9 + (2/9 / 4/5))))
[476031] ['1/4', '1/9', '2/9', '4/5', '9/5'] -> (9/5 / (1/4 * (4/5 - (1/9 / 2/9))))
[476037] ['1/4', '1/9', '2/9', '4/7', '5/3'] -> (5/3 / (1/4 * ((2/9 / 4/7) - 1/9)))
[476049] ['1/4', '1/9', '2/9', '4/7', '7/6'] -> (((4/7 / (2/9 - 1/9)) / 1/4) * 7/6)
[476059] ['1/4', '1/9', '2/9', '4/7', '9/7'] -> (9/7 / (((1/4 - 1/9) / 2/9) - 4/7))
[476063] ['1/4', '1/9', '2/9', '4/9', '5/3'] -> (((4/9 / (1/4 - 1/9)) / 2/9) * 5/3)
[476065] ['1/4', '1/9', '2/9', '4/9', '5/6'] -> (((1/9 + 4/9) / (1/4 - 2/9)) / 5/6)
[476068] ['1/4', '1/9', '2/9', '4/9', '5/9'] -> ((1/9 + 5/9) / ((1/4 + 2/9) - 4/9))
[476069] ['1/4', '1/9', '2/9', '4/9', '6/5'] -> (((1/9 + 4/9) / (1/4 - 2/9)) * 6/5)
[476088] ['1/4', '1/9', '2/9', '5/2', '5/3'] -> (5/3 / ((1/4 * (2/9 - 1/9)) * 5/2))
[476092] ['1/4', '1/9', '2/9', '5/2', '5/8'] -> ((5/2 / (1/9 + (1/4 * 2/9))) / 5/8)
[476108] ['1/4', '1/9', '2/9', '5/2', '9/4'] -> ((2/9 + ((1/9 + 5/2) / 1/4)) * 9/4)
[476113] ['1/4', '1/9', '2/9', '5/3', '5/4'] -> ((5/3 / (1/9 - (1/4 * 2/9))) / 5/4)
[476117] ['1/4', '1/9', '2/9', '5/3', '5/9'] -> ((((2/9 * 5/3) / 1/4) / 1/9) / 5/9)
[476119] ['1/4', '1/9', '2/9', '5/3', '6/7'] -> ((((5/3 - 1/9) / 1/4) / 2/9) * 6/7)
[476124] ['1/4', '1/9', '2/9', '5/3', '7/6'] -> ((((5/3 - 1/9) / 1/4) / 2/9) / 7/6)
[476131] ['1/4', '1/9', '2/9', '5/3', '9/2'] -> ((((5/3 - 1/9) - 2/9) / 1/4) * 9/2)
[476132] ['1/4', '1/9', '2/9', '5/3', '9/4'] -> (((5/3 / (1/4 - 1/9)) / 2/9) / 9/4)
[476133] ['1/4', '1/9', '2/9', '5/3', '9/5'] -> ((((2/9 * 5/3) / 1/4) / 1/9) * 9/5)
[476135] ['1/4', '1/9', '2/9', '5/3', '9/8'] -> ((((1/4 / 2/9) + 5/3) / 1/9) - 9/8)
[476137] ['1/4', '1/9', '2/9', '5/4', '5/6'] -> (5/6 / ((1/4 * (2/9 - 1/9)) * 5/4))
[476144] ['1/4', '1/9', '2/9', '5/4', '7/3'] -> (7/3 / (1/4 * (1/9 + (2/9 * 5/4))))
[476161] ['1/4', '1/9', '2/9', '5/6', '5/8'] -> ((5/6 / (1/9 - (1/4 * 2/9))) / 5/8)
[476162] ['1/4', '1/9', '2/9', '5/6', '5/9'] -> (5/9 / ((1/4 * (2/9 - 1/9)) * 5/6))
[476164] ['1/4', '1/9', '2/9', '5/6', '6/7'] -> ((((5/6 / 1/4) - 2/9) / 1/9) * 6/7)
[476166] ['1/4', '1/9', '2/9', '5/6', '7/3'] -> (7/3 / ((1/4 * 5/6) - (2/9 - 1/9)))
[476169] ['1/4', '1/9', '2/9', '5/6', '7/6'] -> ((((5/6 / 1/4) - 2/9) / 1/9) / 7/6)
[476173] ['1/4', '1/9', '2/9', '5/6', '8/5'] -> ((5/6 / (1/9 - (1/4 * 2/9))) * 8/5)
[476180] ['1/4', '1/9', '2/9', '5/6', '9/8'] -> (((5/6 / (1/4 - 1/9)) / 2/9) / 9/8)
[476195] ['1/4', '1/9', '2/9', '5/7', '8/7'] -> (8/7 / ((5/7 - (1/9 / 1/4)) - 2/9))
[476200] ['1/4', '1/9', '2/9', '5/7', '9/7'] -> (9/7 / (1/4 * (5/7 - (1/9 / 2/9))))
[476217] ['1/4', '1/9', '2/9', '5/8', '9/2'] -> (((2/9 / (5/8 - 1/4)) / 1/9) * 9/2)
[476224] ['1/4', '1/9', '2/9', '5/9', '6/7'] -> ((((2/9 + 5/9) / 1/4) / 1/9) * 6/7)
[476227] ['1/4', '1/9', '2/9', '5/9', '7/4'] -> ((((5/9 / 1/9) / 2/9) - 1/4) + 7/4)
[476229] ['1/4', '1/9', '2/9', '5/9', '7/6'] -> ((((2/9 + 5/9) / 1/4) / 1/9) / 7/6)
[476241] ['1/4', '1/9', '2/9', '6/5', '6/5'] -> (6/5 / ((1/4 * (6/5 - 1/9)) - 2/9))
[476244] ['1/4', '1/9', '2/9', '6/5', '7/3'] -> (7/3 / ((1/4 / 6/5) - (2/9 - 1/9)))
[476249] ['1/4', '1/9', '2/9', '6/5', '7/9'] -> (7/9 / (1/4 * (2/9 - (1/9 / 6/5))))
[476251] ['1/4', '1/9', '2/9', '6/5', '8/5'] -> (8/5 / ((1/9 - (1/4 * 2/9)) * 6/5))
[476256] ['1/4', '1/9', '2/9', '6/5', '9/5'] -> (((6/5 / (2/9 - 1/9)) / 1/4) / 9/5)
[476260] ['1/4', '1/9', '2/9', '6/7', '7/2'] -> (7/2 / (((1/4 * 1/9) / 2/9) / 6/7))
[476266] ['1/4', '1/9', '2/9', '6/7', '7/9'] -> (((6/7 / (2/9 - 1/9)) / 1/4) * 7/9)
[476270] ['1/4', '1/9', '2/9', '6/7', '8/9'] -> (8/9 / (1/4 * ((2/9 / 6/7) - 1/9)))
[476274] ['1/4', '1/9', '2/9', '6/7', '9/7'] -> (((6/7 / (2/9 - 1/9)) / 1/4) / 9/7)
[476277] ['1/4', '1/9', '2/9', '7/2', '7/3'] -> (7/3 / ((1/4 * (2/9 - 1/9)) * 7/2))
[476280] ['1/4', '1/9', '2/9', '7/2', '7/6'] -> ((((2/9 * 7/2) / 1/4) / 1/9) / 7/6)
[476281] ['1/4', '1/9', '2/9', '7/2', '7/8'] -> ((7/2 / (1/9 + (1/4 * 2/9))) / 7/8)
[476289] ['1/4', '1/9', '2/9', '7/2', '9/5'] -> ((((7/2 - 1/9) / 1/4) - 2/9) * 9/5)
[476293] ['1/4', '1/9', '2/9', '7/3', '7/4'] -> ((7/3 / (1/9 - (1/4 * 2/9))) / 7/4)
[476298] ['1/4', '1/9', '2/9', '7/3', '8/3'] -> ((((7/3 / 1/4) - 1/9) - 2/9) * 8/3)
[476303] ['1/4', '1/9', '2/9', '7/3', '9/4'] -> ((((1/9 + 2/9) + 7/3) / 1/4) * 9/4)
[476305] ['1/4', '1/9', '2/9', '7/3', '9/7'] -> (9/7 / (((1/4 * 1/9) / 2/9) / 7/3))
[476309] ['1/4', '1/9', '2/9', '7/4', '7/6'] -> (7/6 / ((1/4 * (2/9 - 1/9)) * 7/4))
[476313] ['1/4', '1/9', '2/9', '7/4', '8/5'] -> ((((2/9 / 1/9) + 7/4) / 1/4) * 8/5)
[476316] ['1/4', '1/9', '2/9', '7/4', '9/2'] -> (9/2 / ((1/4 * (7/4 - 1/9)) - 2/9))
[476326] ['1/4', '1/9', '2/9', '7/5', '8/5'] -> (8/5 / (7/5 - ((1/9 + 2/9) / 1/4)))
[476335] ['1/4', '1/9', '2/9', '7/6', '7/8'] -> ((7/6 / (1/9 - (1/4 * 2/9))) / 7/8)
[476336] ['1/4', '1/9', '2/9', '7/6', '7/9'] -> (7/9 / ((1/4 * (2/9 - 1/9)) * 7/6))
[476339] ['1/4', '1/9', '2/9', '7/6', '8/7'] -> ((7/6 / (1/9 - (1/4 * 2/9))) * 8/7)
[476340] ['1/4', '1/9', '2/9', '7/6', '8/9'] -> (8/9 / (1/4 * ((2/9 * 7/6) - 1/9)))
[476341] ['1/4', '1/9', '2/9', '7/6', '9/2'] -> ((2/9 + ((1/9 + 7/6) / 1/4)) * 9/2)
[476348] ['1/4', '1/9', '2/9', '7/8', '8/3'] -> (((1/4 / 2/9) + (7/8 / 1/9)) * 8/3)
[476352] ['1/4', '1/9', '2/9', '7/8', '9/2'] -> (9/2 / (((1/9 * 7/8) / 2/9) - 1/4))
[476359] ['1/4', '1/9', '2/9', '7/9', '8/5'] -> ((((2/9 / 1/4) + 7/9) / 1/9) * 8/5)
[476361] ['1/4', '1/9', '2/9', '7/9', '8/9'] -> (8/9 / ((1/4 * 2/9) * (7/9 - 1/9)))
[476374] ['1/4', '1/9', '2/9', '8/3', '9/7'] -> (9/7 / (1/4 / ((2/9 / 1/9) + 8/3)))
[476386] ['1/4', '1/9', '2/9', '8/7', '9/2'] -> (9/2 / (((1/9 / 2/9) / 8/7) - 1/4))
[476387] ['1/4', '1/9', '2/9', '8/7', '9/4'] -> (9/4 / (((1/4 + 1/9) / 8/7) - 2/9))
[476401] ['1/4', '1/9', '2/9', '9/2', '9/8'] -> ((9/2 / (1/9 + (1/4 * 2/9))) / 9/8)
[476406] ['1/4', '1/9', '2/9', '9/5', '9/5'] -> (9/5 / (1/9 * (9/5 - (1/4 / 2/9))))
[476422] ['1/4', '1/9', '3/2', '3/2', '5/3'] -> (((3/2 * 3/2) / 1/4) + (5/3 / 1/9))
[476424] ['1/4', '1/9', '3/2', '3/2', '5/6'] -> ((((3/2 * 3/2) / 1/9) - 1/4) / 5/6)
[476427] ['1/4', '1/9', '3/2', '3/2', '5/9'] -> (((3/2 / 1/9) - (1/4 / 3/2)) / 5/9)
[476428] ['1/4', '1/9', '3/2', '3/2', '6/5'] -> ((((3/2 * 3/2) / 1/9) - 1/4) * 6/5)
[476432] ['1/4', '1/9', '3/2', '3/2', '7/4'] -> (((3/2 / 1/9) - 3/2) * (1/4 + 7/4))
[476438] ['1/4', '1/9', '3/2', '3/2', '8/5'] -> ((((1/4 / 3/2) + 3/2) / 1/9) * 8/5)
[476443] ['1/4', '1/9', '3/2', '3/2', '9/5'] -> (((3/2 / 1/9) - (1/4 / 3/2)) * 9/5)
[476447] ['1/4', '1/9', '3/2', '3/4', '3/5'] -> (((3/2 / (1/4 - 1/9)) / 3/4) / 3/5)
[476453] ['1/4', '1/9', '3/2', '3/4', '4/9'] -> (4/9 / ((1/4 / 3/2) - (1/9 / 3/4)))
[476455] ['1/4', '1/9', '3/2', '3/4', '5/3'] -> (((3/2 / (1/4 - 1/9)) / 3/4) * 5/3)
[476457] ['1/4', '1/9', '3/2', '3/4', '5/6'] -> ((((3/2 + 3/4) / 1/9) - 1/4) / 5/6)
[476461] ['1/4', '1/9', '3/2', '3/4', '6/5'] -> ((((3/2 + 3/4) / 1/9) - 1/4) * 6/5)
[476465] ['1/4', '1/9', '3/2', '3/4', '7/4'] -> ((1/4 + 7/4) / (1/9 * (3/2 - 3/4)))
[476482] ['1/4', '1/9', '3/2', '3/5', '4/3'] -> (((3/2 / (1/4 - 1/9)) / 3/5) * 4/3)
[476483] ['1/4', '1/9', '3/2', '3/5', '4/5'] -> (4/5 / (((1/4 / 3/2) - 1/9) * 3/5))
[476485] ['1/4', '1/9', '3/2', '3/5', '4/9'] -> (4/9 / ((1/9 / 3/5) - (1/4 / 3/2)))
[476487] ['1/4', '1/9', '3/2', '3/5', '5/3'] -> ((((3/5 / 1/4) / 1/9) / 3/2) * 5/3)
[476488] ['1/4', '1/9', '3/2', '3/5', '5/4'] -> ((1/4 + ((3/2 / 1/9) / 3/5)) + 5/4)
[476493] ['1/4', '1/9', '3/2', '3/5', '6/5'] -> (6/5 / ((1/4 - (1/9 * 3/2)) * 3/5))
[476496] ['1/4', '1/9', '3/2', '3/5', '7/3'] -> (7/3 / (3/2 * (1/4 - (1/9 / 3/5))))
[476497] ['1/4', '1/9', '3/2', '3/5', '7/4'] -> ((((3/2 / 1/9) / 3/5) - 1/4) + 7/4)
[476503] ['1/4', '1/9', '3/2', '3/5', '8/5'] -> (8/5 / (((1/9 * 3/2) / 1/4) - 3/5))
[476507] ['1/4', '1/9', '3/2', '3/5', '9/4'] -> ((((1/4 + 3/2) / 1/9) / 3/5) - 9/4)
[476511] ['1/4', '1/9', '3/2', '3/7', '3/7'] -> ((((3/7 / 1/4) / 1/9) / 3/2) / 3/7)
[476516] ['1/4', '1/9', '3/2', '3/7', '4/9'] -> (4/9 / ((1/4 / (3/2 + 3/7)) - 1/9))
[476527] ['1/4', '1/9', '3/2', '3/7', '7/3'] -> ((((3/7 / 1/4) / 1/9) / 3/2) * 7/3)
[476538] ['1/4', '1/9', '3/2', '3/7', '9/4'] -> ((((3/2 - 1/4) / 1/9) / 3/7) - 9/4)
[476540] ['1/4', '1/9', '3/2', '3/7', '9/7'] -> (9/7 / ((1/4 * 1/9) * (3/2 + 3/7)))
[476543] ['1/4', '1/9', '3/2', '3/8', '4/3'] -> (4/3 / (1/9 * (1/4 + (3/8 / 3/2))))
[476544] ['1/4', '1/9', '3/2', '3/8', '4/5'] -> ((((3/2 - 1/4) / 1/9) / 3/8) * 4/5)
[476545] ['1/4', '1/9', '3/2', '3/8', '4/7'] -> ((((1/4 + 3/2) / 1/9) / 3/8) * 4/7)
[476548] ['1/4', '1/9', '3/2', '3/8', '5/3'] -> (5/3 / (3/2 * ((1/9 / 3/8) - 1/4)))
[476553] ['1/4', '1/9', '3/2', '3/8', '5/9'] -> (5/9 / (1/9 * (3/8 - (1/4 / 3/2))))
[476554] ['1/4', '1/9', '3/2', '3/8', '6/5'] -> (((3/2 / (1/4 - 1/9)) / 3/8) / 6/5)
[476556] ['1/4', '1/9', '3/2', '3/8', '7/2'] -> (7/2 / ((3/2 * (3/8 - 1/9)) - 1/4))
[476560] ['1/4', '1/9', '3/2', '3/8', '7/6'] -> (7/6 / (1/9 - ((1/4 * 3/8) / 3/2)))
[476566] ['1/4', '1/9', '3/2', '3/8', '8/9'] -> (((3/2 + (3/8 / 1/4)) / 1/9) * 8/9)
[476571] ['1/4', '1/9', '3/2', '3/8', '9/8'] -> (((3/2 + (3/8 / 1/4)) / 1/9) / 9/8)
[476576] ['1/4', '1/9', '3/2', '4/3', '5/2'] -> (((4/3 / (3/2 - 1/4)) / 1/9) * 5/2)
[476578] ['1/4', '1/9', '3/2', '4/3', '5/4'] -> ((((3/2 + 4/3) / 1/9) - 1/4) - 5/4)
[476581] ['1/4', '1/9', '3/2', '4/3', '5/8'] -> ((((3/2 - 1/4) * 4/3) / 1/9) / 5/8)
[476586] ['1/4', '1/9', '3/2', '4/3', '7/3'] -> (7/3 / (1/9 * ((3/2 / 4/3) - 1/4)))
[476590] ['1/4', '1/9', '3/2', '4/3', '7/8'] -> ((((1/4 + 3/2) * 4/3) / 1/9) / 7/8)
[476593] ['1/4', '1/9', '3/2', '4/3', '8/5'] -> ((((3/2 - 1/4) * 4/3) / 1/9) * 8/5)
[476594] ['1/4', '1/9', '3/2', '4/3', '8/7'] -> ((((1/4 + 3/2) * 4/3) / 1/9) * 8/7)
