[2054536] ['5/6', '5/6', '7/4', '9/2', '9/4'] -> ((9/2 / ((7/4 - 5/6) - 5/6)) / 9/4)
[2054656] ['5/6', '5/6', '7/6', '7/8', '8/5'] -> (8/5 / (((7/8 / 5/6) / 7/6) - 5/6))
[2054664] ['5/6', '5/6', '7/6', '7/9', '7/9'] -> (7/9 / (((5/6 * 5/6) * 7/6) - 7/9))
[2054665] ['5/6', '5/6', '7/6', '7/9', '8/3'] -> (8/3 / ((5/6 + 7/6) * (5/6 - 7/9)))
[2054677] ['5/6', '5/6', '7/6', '8/3', '8/9'] -> ((8/3 / (5/6 + 7/6)) / (8/9 - 5/6))
[2054678] ['5/6', '5/6', '7/6', '8/3', '9/2'] -> ((8/3 / ((5/6 + 5/6) - 7/6)) * 9/2)
[2054686] ['5/6', '5/6', '7/6', '8/5', '9/2'] -> (9/2 / ((5/6 + (5/6 / 8/5)) - 7/6))
[2054698] ['5/6', '5/6', '7/6', '8/9', '8/9'] -> (8/9 / ((7/6 * 8/9) - (5/6 / 5/6)))
[2054699] ['5/6', '5/6', '7/6', '8/9', '9/2'] -> ((8/9 / (7/6 - (5/6 / 5/6))) * 9/2)
[2054705] ['5/6', '5/6', '7/6', '9/2', '9/4'] -> (((5/6 + 7/6) * (5/6 + 9/2)) * 9/4)
[2054708] ['5/6', '5/6', '7/6', '9/2', '9/8'] -> ((9/2 / (7/6 - (5/6 / 5/6))) / 9/8)
[2054721] ['5/6', '5/6', '7/8', '7/8', '8/3'] -> ((5/6 + 8/3) / (7/8 - (5/6 * 7/8)))
[2054731] ['5/6', '5/6', '7/8', '7/9', '8/3'] -> (8/3 / ((5/6 / 5/6) - (7/9 / 7/8)))
[2054737] ['5/6', '5/6', '7/8', '7/9', '9/5'] -> ((5/6 + (5/6 * 9/5)) / (7/8 - 7/9))
[2054739] ['5/6', '5/6', '7/8', '7/9', '9/8'] -> ((7/8 + 9/8) / (7/9 - (5/6 * 5/6)))
[2054743] ['5/6', '5/6', '7/8', '8/3', '8/9'] -> ((8/3 / ((5/6 / 5/6) - 7/8)) / 8/9)
[2054748] ['5/6', '5/6', '7/8', '8/3', '9/8'] -> ((8/3 / ((5/6 / 5/6) - 7/8)) * 9/8)
[2054766] ['5/6', '5/6', '7/8', '8/9', '9/4'] -> (9/4 / (7/8 - ((5/6 * 5/6) / 8/9)))
[2054767] ['5/6', '5/6', '7/8', '8/9', '9/5'] -> ((5/6 * 9/5) / ((5/6 / 8/9) - 7/8))
[2054772] ['5/6', '5/6', '7/8', '9/2', '9/5'] -> ((9/2 / (5/6 - (5/6 * 7/8))) / 9/5)
[2054779] ['5/6', '5/6', '7/8', '9/5', '9/5'] -> (9/5 / (((5/6 / 5/6) + 7/8) - 9/5))
[2054786] ['5/6', '5/6', '7/9', '7/9', '8/3'] -> (8/3 / (((5/6 + 5/6) - 7/9) - 7/9))
[2054819] ['5/6', '5/6', '7/9', '8/9', '8/9'] -> ((8/9 / 5/6) / ((7/9 / 5/6) - 8/9))
[2054821] ['5/6', '5/6', '7/9', '8/9', '9/4'] -> ((8/9 / (7/9 - (5/6 * 5/6))) * 9/4)
[2054822] ['5/6', '5/6', '7/9', '8/9', '9/5'] -> (((5/6 * 8/9) / (5/6 - 7/9)) * 9/5)
[2054826] ['5/6', '5/6', '7/9', '9/2', '9/4'] -> ((9/2 / (7/9 - (5/6 * 5/6))) / 9/4)
[2054833] ['5/6', '5/6', '7/9', '9/4', '9/8'] -> ((9/4 / (7/9 - (5/6 * 5/6))) / 9/8)
[2054836] ['5/6', '5/6', '7/9', '9/5', '9/8'] -> (((5/6 * 9/5) / (5/6 - 7/9)) / 9/8)
[2054843] ['5/6', '5/6', '8/3', '8/3', '8/9'] -> (8/3 / (((8/3 - 5/6) - 5/6) - 8/9))
[2054849] ['5/6', '5/6', '8/3', '8/5', '8/5'] -> (8/5 / ((8/3 - (5/6 / 5/6)) - 8/5))
[2054862] ['5/6', '5/6', '8/3', '8/7', '9/7'] -> ((8/3 / (8/7 - (5/6 / 5/6))) * 9/7)
[2054869] ['5/6', '5/6', '8/3', '8/9', '9/8'] -> ((8/3 / 8/9) / (9/8 - (5/6 / 5/6)))
[2054873] ['5/6', '5/6', '8/3', '9/2', '9/7'] -> (((5/6 + 8/3) * (5/6 + 9/2)) * 9/7)
[2054884] ['5/6', '5/6', '8/3', '9/8', '9/8'] -> ((8/3 * 9/8) / (9/8 - (5/6 / 5/6)))
[2054888] ['5/6', '5/6', '8/5', '8/5', '9/2'] -> (((5/6 + 5/6) * (8/5 + 8/5)) * 9/2)
[2054903] ['5/6', '5/6', '8/5', '8/9', '9/5'] -> ((8/9 / ((5/6 + 5/6) - 8/5)) * 9/5)
[2054906] ['5/6', '5/6', '8/5', '9/2', '9/2'] -> (((5/6 + 5/6) * 8/5) * (9/2 + 9/2))
[2054910] ['5/6', '5/6', '8/5', '9/2', '9/8'] -> ((8/5 + (9/2 / 5/6)) / (9/8 - 5/6))
[2054917] ['5/6', '5/6', '8/5', '9/5', '9/8'] -> ((9/5 / ((5/6 + 5/6) - 8/5)) / 9/8)
[2054936] ['5/6', '5/6', '8/7', '9/2', '9/5'] -> ((9/2 / (5/6 - (5/6 / 8/7))) / 9/5)
[2054957] ['5/6', '5/6', '8/9', '9/2', '9/5'] -> ((9/2 / ((5/6 / 8/9) - 5/6)) / 9/5)
[2054964] ['5/6', '5/6', '8/9', '9/5', '9/5'] -> (9/5 / (((5/6 + 5/6) / 8/9) - 9/5))
[2054966] ['5/6', '5/6', '8/9', '9/5', '9/8'] -> (((5/6 * 9/5) / (8/9 - 5/6)) / 9/8)
[2054970] ['5/6', '5/6', '9/2', '9/2', '9/2'] -> (5/6 * (((9/2 * 9/2) / 5/6) + 9/2))
[2054981] ['5/6', '5/6', '9/2', '9/5', '9/8'] -> ((9/2 / 9/5) / ((5/6 * 9/8) - 5/6))
[2054984] ['5/6', '5/6', '9/2', '9/8', '9/8'] -> ((9/2 / 5/6) / ((9/8 / 5/6) - 9/8))
[2054989] ['5/6', '5/6', '9/4', '9/5', '9/5'] -> ((9/5 / 5/6) / (9/4 - (9/5 / 5/6)))
[2054997] ['5/6', '5/6', '9/5', '9/5', '9/8'] -> (9/5 / (((5/6 + 5/6) * 9/8) - 9/5))
[2055002] ['5/6', '5/6', '9/7', '9/7', '9/8'] -> ((9/7 / 5/6) / ((9/8 / 5/6) - 9/7))
[2055012] ['5/6', '5/7', '5/7', '5/7', '7/4'] -> (5/7 / (((5/6 * 7/4) - 5/7) - 5/7))
[2055015] ['5/6', '5/7', '5/7', '5/7', '7/8'] -> (5/7 / ((5/7 * 7/8) - (5/6 * 5/7)))
[2055019] ['5/6', '5/7', '5/7', '5/7', '8/7'] -> (5/7 / ((5/7 / 8/7) - (5/6 * 5/7)))
[2055025] ['5/6', '5/7', '5/7', '5/7', '9/8'] -> ((5/7 / ((5/6 / 5/7) - 9/8)) / 5/7)
[2055028] ['5/6', '5/7', '5/7', '5/8', '6/5'] -> ((5/7 * 6/5) / ((5/8 / 5/6) - 5/7))
[2055030] ['5/6', '5/7', '5/7', '5/8', '7/2'] -> (((5/7 + 5/7) / (5/6 - 5/8)) * 7/2)
[2055033] ['5/6', '5/7', '5/7', '5/8', '7/5'] -> ((5/7 * 7/5) / ((5/8 / 5/7) - 5/6))
[2055055] ['5/6', '5/7', '5/7', '5/9', '7/9'] -> (((5/7 + 5/9) / 5/6) / (7/9 - 5/7))
[2055057] ['5/6', '5/7', '5/7', '5/9', '8/5'] -> ((5/7 * 8/5) / (5/7 - (5/9 / 5/6)))
[2055061] ['5/6', '5/7', '5/7', '5/9', '9/4'] -> (((5/7 + 5/9) / (5/6 - 5/7)) * 9/4)
[2055086] ['5/6', '5/7', '5/7', '6/7', '7/4'] -> (((5/7 / (6/7 - 5/6)) / 5/7) / 7/4)
[2055123] ['5/6', '5/7', '5/7', '7/3', '8/5'] -> (((5/7 + 7/3) / (5/6 - 5/7)) - 8/5)
[2055138] ['5/6', '5/7', '5/7', '7/4', '8/7'] -> (8/7 / (5/7 - ((5/6 / 5/7) / 7/4)))
[2055176] ['5/6', '5/7', '5/7', '7/8', '9/2'] -> (((5/7 / (7/8 - 5/7)) / 5/6) * 9/2)
[2055183] ['5/6', '5/7', '5/7', '7/9', '8/5'] -> (8/5 / ((5/7 / 5/7) - (7/9 / 5/6)))
[2055184] ['5/6', '5/7', '5/7', '7/9', '8/7'] -> (8/7 / (5/7 - ((5/7 * 7/9) / 5/6)))
[2055186] ['5/6', '5/7', '5/7', '7/9', '9/2'] -> ((5/6 + 9/2) / ((5/7 / 5/7) - 7/9))
[2055198] ['5/6', '5/7', '5/7', '8/3', '9/7'] -> ((8/3 / ((5/7 / 5/6) - 5/7)) * 9/7)
[2055215] ['5/6', '5/7', '5/7', '8/9', '8/9'] -> ((5/7 * 8/9) / ((5/6 * 8/9) - 5/7))
[2055219] ['5/6', '5/7', '5/7', '8/9', '9/7'] -> (9/7 / ((5/7 / 5/6) - (5/7 / 8/9)))
[2055220] ['5/6', '5/7', '5/7', '8/9', '9/8'] -> ((5/7 / ((5/6 * 8/9) - 5/7)) / 9/8)
[2055235] ['5/6', '5/7', '5/7', '9/8', '9/8'] -> ((5/7 / ((5/6 / 9/8) - 5/7)) / 9/8)
[2055236] ['5/6', '5/7', '5/8', '5/8', '5/8'] -> ((5/8 / ((5/8 / 5/7) - 5/6)) / 5/8)
[2055239] ['5/6', '5/7', '5/8', '5/8', '6/7'] -> ((5/7 / (5/8 + 5/8)) / (6/7 - 5/6))
[2055240] ['5/6', '5/7', '5/8', '5/8', '7/2'] -> ((5/7 * 7/2) / (5/8 - (5/6 * 5/8)))
[2055245] ['5/6', '5/7', '5/8', '5/8', '7/8'] -> ((5/8 / (5/8 - (5/6 * 5/7))) / 7/8)
[2055248] ['5/6', '5/7', '5/8', '5/8', '8/5'] -> ((5/8 * 8/5) / ((5/8 / 5/7) - 5/6))
[2055258] ['5/6', '5/7', '5/8', '5/9', '6/7'] -> ((5/7 / (5/9 - (5/6 * 5/8))) / 6/7)
[2055262] ['5/6', '5/7', '5/8', '5/9', '7/5'] -> (7/5 / (((5/9 / 5/6) - 5/8) / 5/7))
[2055263] ['5/6', '5/7', '5/8', '5/9', '7/6'] -> ((5/7 / (5/9 - (5/6 * 5/8))) * 7/6)
[2055267] ['5/6', '5/7', '5/8', '5/9', '8/5'] -> (8/5 / ((5/6 / (5/7 + 5/8)) - 5/9))
[2055268] ['5/6', '5/7', '5/8', '5/9', '8/7'] -> (8/7 / ((5/6 / 5/8) - (5/7 / 5/9)))
[2055272] ['5/6', '5/7', '5/8', '5/9', '9/5'] -> ((5/9 / ((5/8 / 5/7) - 5/6)) * 9/5)
[2055273] ['5/6', '5/7', '5/8', '5/9', '9/7'] -> (9/7 / ((5/8 - (5/6 * 5/7)) / 5/9))
[2055275] ['5/6', '5/7', '5/8', '6/5', '6/5'] -> ((6/5 / ((5/8 / 5/7) - 5/6)) / 6/5)
[2055278] ['5/6', '5/7', '5/8', '6/5', '7/3'] -> ((5/7 / ((5/6 / 6/5) - 5/8)) * 7/3)
[2055280] ['5/6', '5/7', '5/8', '6/5', '7/5'] -> ((6/5 / ((5/8 / 5/6) - 5/7)) / 7/5)
[2055281] ['5/6', '5/7', '5/8', '6/5', '7/6'] -> ((5/6 / (5/8 - (5/7 / 6/5))) / 7/6)
[2055286] ['5/6', '5/7', '5/8', '6/5', '8/7'] -> (8/7 / (5/6 * (6/5 - (5/7 / 5/8))))
[2055289] ['5/6', '5/7', '5/8', '6/5', '9/4'] -> ((5/8 / ((5/7 * 6/5) - 5/6)) - 9/4)
[2055293] ['5/6', '5/7', '5/8', '6/7', '6/7'] -> ((6/7 / ((5/8 / 5/7) - 5/6)) / 6/7)
[2055294] ['5/6', '5/7', '5/8', '6/7', '7/2'] -> ((5/7 / (5/6 - (5/8 / 6/7))) * 7/2)
[2055295] ['5/6', '5/7', '5/8', '6/7', '7/3'] -> (7/3 / ((5/6 / 6/7) - (5/8 / 5/7)))
[2055298] ['5/6', '5/7', '5/8', '6/7', '7/6'] -> ((6/7 / ((5/8 / 5/7) - 5/6)) * 7/6)
[2055305] ['5/6', '5/7', '5/8', '6/7', '9/2'] -> (9/2 / (((5/8 / 5/7) / 6/7) - 5/6))
[2055310] ['5/6', '5/7', '5/8', '7/2', '7/2'] -> ((7/2 / ((5/8 / 5/7) - 5/6)) / 7/2)
[2055321] ['5/6', '5/7', '5/8', '7/2', '9/2'] -> (((5/6 + (5/7 * 7/2)) / 5/8) * 9/2)
[2055326] ['5/6', '5/7', '5/8', '7/3', '7/3'] -> (7/3 / (((5/8 / 5/7) - 5/6) * 7/3))
[2055348] ['5/6', '5/7', '5/8', '7/4', '8/7'] -> (8/7 / (((5/6 / 5/8) / 7/4) - 5/7))
[2055350] ['5/6', '5/7', '5/8', '7/4', '9/2'] -> (((5/6 / (5/7 - 5/8)) / 7/4) * 9/2)
[2055361] ['5/6', '5/7', '5/8', '7/5', '8/7'] -> (8/7 / (5/7 * (7/5 - (5/6 / 5/8))))
[2055368] ['5/6', '5/7', '5/8', '7/6', '7/6'] -> ((7/6 / ((5/8 / 5/7) - 5/6)) / 7/6)
[2055375] ['5/6', '5/7', '5/8', '7/6', '9/2'] -> (9/2 / (((5/8 * 7/6) / 5/7) - 5/6))
[2055378] ['5/6', '5/7', '5/8', '7/6', '9/7'] -> (9/7 / (((5/6 * 5/7) + 5/8) - 7/6))
[2055387] ['5/6', '5/7', '5/8', '7/8', '9/4'] -> (((5/6 / (5/7 - 5/8)) / 7/8) * 9/4)
[2055394] ['5/6', '5/7', '5/8', '7/9', '8/7'] -> (((5/6 / (7/9 - 5/7)) / 5/8) * 8/7)
[2055401] ['5/6', '5/7', '5/8', '8/3', '8/3'] -> (8/3 / (((5/8 / 5/7) - 5/6) * 8/3))
[2055404] ['5/6', '5/7', '5/8', '8/3', '8/9'] -> (((5/6 * 8/3) / (5/7 - 5/8)) - 8/9)
[2055405] ['5/6', '5/7', '5/8', '8/3', '9/2'] -> (9/2 / (5/8 - ((5/6 / 5/7) / 8/3)))
[2055410] ['5/6', '5/7', '5/8', '8/5', '8/5'] -> (8/5 / (((5/8 / 5/7) - 5/6) * 8/5))
[2055411] ['5/6', '5/7', '5/8', '8/5', '8/7'] -> (8/7 / ((5/8 - (5/6 * 5/7)) * 8/5))
[2055418] ['5/6', '5/7', '5/8', '8/7', '8/7'] -> (8/7 / (((5/8 / 5/7) - 5/6) * 8/7))
[2055429] ['5/6', '5/7', '5/8', '8/9', '9/7'] -> (9/7 / ((5/7 / 8/9) - (5/8 / 5/6)))
[2055430] ['5/6', '5/7', '5/8', '8/9', '9/8'] -> (9/8 / (((5/8 / 5/7) - 5/6) / 8/9))
[2055436] ['5/6', '5/7', '5/8', '9/4', '9/4'] -> (9/4 / (((5/8 / 5/7) - 5/6) * 9/4))
[2055440] ['5/6', '5/7', '5/8', '9/5', '9/5'] -> ((9/5 / ((5/8 / 5/7) - 5/6)) / 9/5)
[2055441] ['5/6', '5/7', '5/8', '9/5', '9/7'] -> (9/7 / ((5/8 - (5/6 * 5/7)) * 9/5))
[2055445] ['5/6', '5/7', '5/8', '9/8', '9/8'] -> ((9/8 / ((5/8 / 5/7) - 5/6)) / 9/8)
[2055448] ['5/6', '5/7', '5/9', '5/9', '6/7'] -> (6/7 / ((5/6 / (5/9 + 5/9)) - 5/7))
[2055456] ['5/6', '5/7', '5/9', '5/9', '8/3'] -> (8/3 / ((5/9 / 5/7) - (5/9 / 5/6)))
[2055459] ['5/6', '5/7', '5/9', '5/9', '8/9'] -> (((5/9 / 5/7) + 5/9) / (8/9 - 5/6))
[2055460] ['5/6', '5/7', '5/9', '5/9', '9/2'] -> ((5/6 + 9/2) / ((5/9 / 5/7) - 5/9))
[2055464] ['5/6', '5/7', '5/9', '5/9', '9/8'] -> ((5/9 / 5/9) / ((5/6 / 5/7) - 9/8))
[2055466] ['5/6', '5/7', '5/9', '6/5', '6/7'] -> ((5/9 / (5/7 - (5/6 / 6/5))) * 6/7)
[2055471] ['5/6', '5/7', '5/9', '6/5', '7/6'] -> ((5/9 / (5/7 - (5/6 / 6/5))) / 7/6)
[2055472] ['5/6', '5/7', '5/9', '6/5', '7/8'] -> ((5/6 / ((5/7 / 6/5) - 5/9)) / 7/8)
[2055475] ['5/6', '5/7', '5/9', '6/5', '8/5'] -> (8/5 / ((5/6 - (5/9 / 5/7)) * 6/5))
[2055493] ['5/6', '5/7', '5/9', '6/7', '8/7'] -> (8/7 / ((5/6 - (5/9 / 5/7)) * 6/7))
[2055507] ['5/6', '5/7', '5/9', '7/2', '8/3'] -> (((5/7 * 7/2) / (5/6 - 5/9)) * 8/3)
[2055517] ['5/6', '5/7', '5/9', '7/3', '7/4'] -> ((7/3 / (5/6 - (5/9 / 5/7))) / 7/4)
[2055522] ['5/6', '5/7', '5/9', '7/3', '8/3'] -> (8/3 / ((5/7 - (5/9 / 5/6)) * 7/3))
[2055550] ['5/6', '5/7', '5/9', '7/5', '8/5'] -> (8/5 / ((5/7 - (5/9 / 5/6)) * 7/5))
[2055559] ['5/6', '5/7', '5/9', '7/6', '7/8'] -> ((7/6 / (5/6 - (5/9 / 5/7))) / 7/8)
[2055563] ['5/6', '5/7', '5/9', '7/6', '8/7'] -> ((7/6 / (5/6 - (5/9 / 5/7))) * 8/7)
[2055571] ['5/6', '5/7', '5/9', '7/8', '7/9'] -> (((5/7 / (7/8 - 5/6)) / 5/9) * 7/9)
[2055574] ['5/6', '5/7', '5/9', '7/8', '8/7'] -> (8/7 / (((5/9 / 5/6) / 7/8) - 5/7))
[2055576] ['5/6', '5/7', '5/9', '7/8', '9/2'] -> (((5/9 / (5/6 - 5/7)) / 7/8) * 9/2)
[2055585] ['5/6', '5/7', '5/9', '7/9', '8/9'] -> (8/9 / ((5/7 - (5/9 / 5/6)) * 7/9))
[2055601] ['5/6', '5/7', '5/9', '8/5', '8/7'] -> (8/7 / ((5/6 * 8/5) - (5/7 / 5/9)))
[2055608] ['5/6', '5/7', '5/9', '8/7', '8/7'] -> (8/7 / (((5/9 * 8/7) / 5/6) - 5/7))
[2055610] ['5/6', '5/7', '5/9', '8/7', '9/2'] -> (((5/9 * 8/7) / (5/6 - 5/7)) * 9/2)
[2055615] ['5/6', '5/7', '5/9', '8/9', '8/9'] -> (8/9 / ((5/9 / 5/7) - (5/6 * 8/9)))
[2055634] ['5/6', '5/7', '5/9', '9/7', '9/8'] -> ((9/7 / (5/7 - (5/9 / 5/6))) / 9/8)
[2055652] ['5/6', '5/7', '6/5', '6/5', '9/7'] -> (((5/7 / 5/6) + 6/5) / (9/7 - 6/5))
[2055653] ['5/6', '5/7', '6/5', '6/5', '9/8'] -> ((6/5 / 6/5) / ((5/6 / 5/7) - 9/8))
[2055668] ['5/6', '5/7', '6/5', '6/7', '9/5'] -> ((6/7 / (5/7 - (5/6 / 6/5))) / 9/5)
[2055747] ['5/6', '5/7', '6/5', '7/8', '9/2'] -> (9/2 / (((7/8 / 5/7) / 6/5) - 5/6))
[2055748] ['5/6', '5/7', '6/5', '7/8', '9/4'] -> ((7/8 / (6/5 - (5/6 / 5/7))) - 9/4)
[2055753] ['5/6', '5/7', '6/5', '7/9', '8/3'] -> (8/3 / (((5/6 - 5/7) * 6/5) * 7/9))
[2055755] ['5/6', '5/7', '6/5', '7/9', '8/7'] -> (8/7 / ((5/7 * 6/5) * (5/6 - 7/9)))
[2055757] ['5/6', '5/7', '6/5', '7/9', '9/2'] -> (((7/9 / (5/6 - 5/7)) - 6/5) * 9/2)
[2055769] ['5/6', '5/7', '6/5', '8/3', '9/7'] -> (9/7 / (((5/6 - 5/7) * 6/5) / 8/3))
[2055771] ['5/6', '5/7', '6/5', '8/5', '8/5'] -> (8/5 / (5/6 * ((6/5 / 5/7) - 8/5)))
[2055787] ['5/6', '5/7', '6/5', '8/9', '9/2'] -> (9/2 / (5/7 * (6/5 - (5/6 / 8/9))))
[2055788] ['5/6', '5/7', '6/5', '8/9', '9/4'] -> ((5/6 / (8/9 - (5/7 * 6/5))) - 9/4)
[2055798] ['5/6', '5/7', '6/5', '9/4', '9/5'] -> (9/5 / ((6/5 - (5/6 / 5/7)) * 9/4))
[2055799] ['5/6', '5/7', '6/5', '9/4', '9/7'] -> (9/7 / (((5/7 * 6/5) - 5/6) * 9/4))
[2055823] ['5/6', '5/7', '6/7', '6/7', '9/8'] -> ((6/7 / 6/7) / ((5/6 / 5/7) - 9/8))
[2055856] ['5/6', '5/7', '6/7', '7/4', '7/5'] -> (7/5 / (((6/7 - 5/6) * 7/4) / 5/7))
[2055862] ['5/6', '5/7', '6/7', '7/4', '8/7'] -> (8/7 / ((5/6 + 5/7) - (6/7 * 7/4)))
[2055901] ['5/6', '5/7', '6/7', '7/8', '9/4'] -> (((5/7 * 7/8) / (6/7 - 5/6)) - 9/4)
[2055924] ['5/6', '5/7', '6/7', '8/5', '8/5'] -> (8/5 / ((5/6 + (5/7 / 6/7)) - 8/5))
[2055932] ['5/6', '5/7', '6/7', '8/7', '8/7'] -> (8/7 / (5/6 * ((6/7 / 5/7) - 8/7)))
[2055935] ['5/6', '5/7', '6/7', '8/7', '9/4'] -> (((5/7 / (6/7 - 5/6)) / 8/7) - 9/4)
[2055940] ['5/6', '5/7', '6/7', '8/9', '9/2'] -> (9/2 / (6/7 - ((5/6 * 5/7) / 8/9)))
[2055946] ['5/6', '5/7', '6/7', '9/2', '9/4'] -> (((5/6 * 9/2) / (6/7 - 5/7)) - 9/4)
[2055951] ['5/6', '5/7', '6/7', '9/4', '9/5'] -> (((5/7 / (6/7 - 5/6)) / 9/4) * 9/5)
[2055969] ['5/6', '5/7', '7/2', '7/2', '8/7'] -> (8/7 / (((7/2 - 5/6) / 7/2) - 5/7))
[2055975] ['5/6', '5/7', '7/2', '7/2', '9/8'] -> ((7/2 / 7/2) / ((5/6 / 5/7) - 9/8))
[2055984] ['5/6', '5/7', '7/2', '7/3', '8/7'] -> (8/7 / ((5/6 + 5/7) - (7/2 / 7/3)))
[2055986] ['5/6', '5/7', '7/2', '7/3', '9/2'] -> ((((5/7 * 7/2) / 5/6) + 7/3) * 9/2)
[2055987] ['5/6', '5/7', '7/2', '7/3', '9/4'] -> ((5/6 + ((5/7 + 7/2) * 7/3)) * 9/4)
[2056006] ['5/6', '5/7', '7/2', '7/5', '7/6'] -> (((7/2 / (5/6 - 5/7)) - 7/5) / 7/6)
[2056010] ['5/6', '5/7', '7/2', '7/5', '8/5'] -> ((7/2 / (7/5 - (5/6 / 5/7))) * 8/5)
[2056013] ['5/6', '5/7', '7/2', '7/5', '9/2'] -> (((5/6 + 7/2) + (5/7 * 7/5)) * 9/2)
[2056036] ['5/6', '5/7', '7/2', '7/8', '9/2'] -> ((((5/6 / 5/7) + 7/2) / 7/8) * 9/2)
[2056042] ['5/6', '5/7', '7/2', '7/9', '8/3'] -> ((7/2 / ((5/6 / 5/7) - 7/9)) * 8/3)
[2056060] ['5/6', '5/7', '7/2', '8/5', '8/5'] -> (8/5 / (((5/7 * 7/2) - 5/6) - 8/5))
[2056083] ['5/6', '5/7', '7/2', '9/2', '9/5'] -> (((5/7 * 7/2) * (5/6 + 9/2)) * 9/5)
[2056084] ['5/6', '5/7', '7/2', '9/2', '9/7'] -> ((((5/6 + 5/7) + 7/2) * 9/2) + 9/7)
[2056153] ['5/6', '5/7', '7/3', '7/8', '8/5'] -> (8/5 - ((7/3 / (5/7 - 5/6)) / 7/8))
[2056172] ['5/6', '5/7', '7/3', '8/3', '8/5'] -> (8/5 / ((7/3 / 5/7) - (8/3 / 5/6)))
[2056175] ['5/6', '5/7', '7/3', '8/3', '9/2'] -> ((((5/7 * 7/3) * 8/3) / 5/6) * 9/2)
[2056176] ['5/6', '5/7', '7/3', '8/3', '9/4'] -> (((5/7 + 7/3) * (5/6 + 8/3)) * 9/4)
[2056188] ['5/6', '5/7', '7/3', '8/7', '8/7'] -> (8/7 / ((8/7 / (7/3 - 5/6)) - 5/7))
[2056201] ['5/6', '5/7', '7/3', '9/2', '9/2'] -> ((((5/7 * 7/3) + 9/2) - 5/6) * 9/2)
[2056229] ['5/6', '5/7', '7/4', '7/4', '9/8'] -> ((7/4 / 7/4) / ((5/6 / 5/7) - 9/8))
[2056236] ['5/6', '5/7', '7/4', '7/5', '8/7'] -> (8/7 / (5/7 - ((5/6 * 7/5) / 7/4)))
[2056248] ['5/6', '5/7', '7/4', '7/6', '8/7'] -> (8/7 / ((5/6 + 5/7) - (7/4 / 7/6)))
[2056267] ['5/6', '5/7', '7/4', '7/9', '8/3'] -> (8/3 / (7/9 - ((5/6 / 5/7) / 7/4)))
[2056286] ['5/6', '5/7', '7/4', '8/5', '8/7'] -> (8/7 / (((5/6 * 8/5) / 7/4) - 5/7))
[2056293] ['5/6', '5/7', '7/4', '8/7', '8/7'] -> (8/7 / ((5/6 / 7/4) + (5/7 - 8/7)))
[2056333] ['5/6', '5/7', '7/5', '7/5', '9/8'] -> ((7/5 / 7/5) / ((5/6 / 5/7) - 9/8))
[2056334] ['5/6', '5/7', '7/5', '7/6', '7/6'] -> (7/6 / ((5/6 / (7/5 - 5/7)) - 7/6))
[2056350] ['5/6', '5/7', '7/5', '7/8', '8/7'] -> (8/7 / ((5/7 * 7/5) - (5/6 / 7/8)))
