[778681] ['1/6', '1/8', '3/4', '4/3', '9/8'] -> ((((3/4 / 1/6) / 1/8) / 4/3) / 9/8)
[778863] ['1/6', '1/8', '3/4', '5/7', '7/3'] -> (((3/4 / 1/8) + (5/7 / 1/6)) * 7/3)
[778883] ['1/6', '1/8', '3/4', '5/8', '7/3'] -> ((1/6 + 7/3) / ((1/8 * 5/8) / 3/4))
[778893] ['1/6', '1/8', '3/4', '5/8', '9/2'] -> ((((5/8 / 3/4) - 1/6) / 1/8) * 9/2)
[778899] ['1/6', '1/8', '3/4', '5/9', '6/5'] -> ((((3/4 * 5/9) / 1/6) / 1/8) * 6/5)
[778905] ['1/6', '1/8', '3/4', '5/9', '7/6'] -> (7/6 / (1/6 * ((3/4 * 5/9) - 1/8)))
[778906] ['1/6', '1/8', '3/4', '5/9', '7/8'] -> (7/8 / ((1/8 * 3/4) * (5/9 - 1/6)))
[778912] ['1/6', '1/8', '3/4', '5/9', '9/2'] -> (((5/9 / (3/4 - 1/8)) / 1/6) * 9/2)
[778927] ['1/6', '1/8', '3/4', '6/5', '8/5'] -> (((3/4 / (1/6 - 1/8)) / 6/5) * 8/5)
[778934] ['1/6', '1/8', '3/4', '6/5', '9/8'] -> (9/8 / (3/4 * (1/6 - (1/8 / 6/5))))
[778939] ['1/6', '1/8', '3/4', '6/7', '7/5'] -> (((3/4 / (1/6 - 1/8)) - 6/7) * 7/5)
[778947] ['1/6', '1/8', '3/4', '6/7', '9/2'] -> (9/2 / (((1/6 + 1/8) * 3/4) * 6/7))
[778953] ['1/6', '1/8', '3/4', '7/2', '7/3'] -> ((((3/4 / 1/6) / 1/8) / 7/2) * 7/3)
[778955] ['1/6', '1/8', '3/4', '7/2', '7/5'] -> (((7/2 / (3/4 - 1/8)) / 1/6) / 7/5)
[778959] ['1/6', '1/8', '3/4', '7/2', '8/3'] -> (((3/4 * 7/2) / (1/6 + 1/8)) * 8/3)
[778972] ['1/6', '1/8', '3/4', '7/3', '7/8'] -> (7/8 / (((1/6 * 1/8) * 3/4) * 7/3))
[778974] ['1/6', '1/8', '3/4', '7/3', '8/3'] -> ((((1/6 + 7/3) / 1/8) / 3/4) - 8/3)
[778984] ['1/6', '1/8', '3/4', '7/4', '7/5'] -> (7/5 / (1/8 - (1/6 / (3/4 + 7/4))))
[778985] ['1/6', '1/8', '3/4', '7/4', '7/6'] -> ((((3/4 / 1/6) / 1/8) / 7/4) * 7/6)
[778987] ['1/6', '1/8', '3/4', '7/4', '7/9'] -> ((((3/4 + 7/4) - 1/6) / 1/8) / 7/9)
[778992] ['1/6', '1/8', '3/4', '7/4', '9/2'] -> (9/2 / (1/6 * ((1/8 + 7/4) - 3/4)))
[778996] ['1/6', '1/8', '3/4', '7/4', '9/8'] -> ((((1/6 + 3/4) + 7/4) / 1/8) * 9/8)
[779010] ['1/6', '1/8', '3/4', '7/6', '7/6'] -> ((7/6 / 1/6) / ((7/6 - 1/8) - 3/4))
[779012] ['1/6', '1/8', '3/4', '7/6', '7/9'] -> ((((3/4 / 1/6) / 1/8) / 7/6) * 7/9)
[779013] ['1/6', '1/8', '3/4', '7/6', '8/3'] -> ((((3/4 / 1/6) - 7/6) / 1/8) - 8/3)
[779015] ['1/6', '1/8', '3/4', '7/6', '8/7'] -> (((3/4 * 7/6) / (1/6 - 1/8)) * 8/7)
[779017] ['1/6', '1/8', '3/4', '7/6', '9/2'] -> (((7/6 / (1/6 + 1/8)) / 3/4) * 9/2)
[779020] ['1/6', '1/8', '3/4', '7/6', '9/7'] -> ((((3/4 / 1/6) / 1/8) / 7/6) / 9/7)
[779028] ['1/6', '1/8', '3/4', '7/8', '9/2'] -> ((((3/4 - 1/6) / 1/8) / 7/8) * 9/2)
[779038] ['1/6', '1/8', '3/4', '7/9', '9/2'] -> (((7/9 / (1/8 + 3/4)) / 1/6) * 9/2)
[779046] ['1/6', '1/8', '3/4', '8/3', '8/9'] -> ((((1/6 / 3/4) + 8/3) / 1/8) + 8/9)
[779047] ['1/6', '1/8', '3/4', '8/3', '9/2'] -> ((((1/6 / 1/8) + 8/3) / 3/4) * 9/2)
[779051] ['1/6', '1/8', '3/4', '8/3', '9/8'] -> (9/8 / (3/4 * (1/8 - (1/6 / 8/3))))
[779062] ['1/6', '1/8', '3/4', '8/7', '9/2'] -> ((((3/4 - 1/6) * 8/7) / 1/8) * 9/2)
[779072] ['1/6', '1/8', '3/4', '8/9', '9/8'] -> (9/8 / (3/4 * ((1/6 / 8/9) - 1/8)))
[779075] ['1/6', '1/8', '3/4', '9/2', '9/5'] -> (((9/2 / (3/4 - 1/8)) / 1/6) / 9/5)
[779076] ['1/6', '1/8', '3/4', '9/2', '9/7'] -> (((9/2 / (1/8 + 3/4)) / 1/6) / 9/7)
[779081] ['1/6', '1/8', '3/4', '9/4', '9/8'] -> (9/8 / (1/8 * (3/4 - (1/6 * 9/4))))
[779090] ['1/6', '1/8', '3/5', '3/5', '3/8'] -> (((3/5 / 1/6) / 3/5) / (3/8 - 1/8))
[779092] ['1/6', '1/8', '3/5', '3/5', '4/5'] -> ((3/5 + 3/5) / (4/5 - (1/8 / 1/6)))
[779095] ['1/6', '1/8', '3/5', '3/5', '5/2'] -> ((5/2 / 1/8) / ((3/5 / 3/5) - 1/6))
[779098] ['1/6', '1/8', '3/5', '3/5', '5/6'] -> (((3/5 + 3/5) / (1/6 - 1/8)) * 5/6)
[779099] ['1/6', '1/8', '3/5', '3/5', '5/7'] -> ((((3/5 / 1/6) + 3/5) / 1/8) * 5/7)
[779105] ['1/6', '1/8', '3/5', '3/5', '7/3'] -> (((3/5 + 3/5) / 1/8) * (1/6 + 7/3))
[779107] ['1/6', '1/8', '3/5', '3/5', '7/5'] -> ((((3/5 / 1/6) + 3/5) / 1/8) / 7/5)
[779115] ['1/6', '1/8', '3/5', '3/5', '9/2'] -> ((9/2 / 1/6) / (1/8 + (3/5 / 3/5)))
[779116] ['1/6', '1/8', '3/5', '3/5', '9/4'] -> (((3/5 / 1/6) / 3/5) + (9/4 / 1/8))
[779117] ['1/6', '1/8', '3/5', '3/5', '9/5'] -> (9/5 / ((1/6 * (3/5 + 3/5)) - 1/8))
[779120] ['1/6', '1/8', '3/5', '3/7', '3/7'] -> ((3/7 / ((1/8 / 3/5) - 1/6)) / 3/7)
[779130] ['1/6', '1/8', '3/5', '3/7', '5/7'] -> (((3/5 / (1/6 - 1/8)) / 3/7) * 5/7)
[779133] ['1/6', '1/8', '3/5', '3/7', '6/5'] -> (6/5 / ((1/6 + 1/8) * (3/5 - 3/7)))
[779134] ['1/6', '1/8', '3/5', '3/7', '6/7'] -> (6/7 / ((1/8 / 1/6) - (3/7 / 3/5)))
[779136] ['1/6', '1/8', '3/5', '3/7', '7/3'] -> ((3/7 / ((1/8 / 3/5) - 1/6)) * 7/3)
[779143] ['1/6', '1/8', '3/5', '3/7', '8/5'] -> (8/5 / ((3/5 / 3/7) - (1/6 / 1/8)))
[779145] ['1/6', '1/8', '3/5', '3/7', '8/9'] -> (8/9 / ((1/6 / (3/5 + 3/7)) - 1/8))
[779147] ['1/6', '1/8', '3/5', '3/7', '9/4'] -> ((1/8 / ((3/5 - 1/6) - 3/7)) - 9/4)
[779149] ['1/6', '1/8', '3/5', '3/7', '9/7'] -> (9/7 / ((3/7 - (1/8 / 3/5)) - 1/6))
[779152] ['1/6', '1/8', '3/5', '3/8', '4/3'] -> (4/3 / ((1/8 / 3/8) - (1/6 / 3/5)))
[779158] ['1/6', '1/8', '3/5', '3/8', '5/4'] -> ((((3/8 / 1/6) / 1/8) / 3/5) / 5/4)
[779165] ['1/6', '1/8', '3/5', '3/8', '7/2'] -> (7/2 / ((1/8 / 3/5) - (1/6 * 3/8)))
[779166] ['1/6', '1/8', '3/5', '3/8', '7/3'] -> (7/3 / (1/6 * ((1/8 / 3/5) + 3/8)))
[779181] ['1/6', '1/8', '3/5', '4/3', '4/3'] -> ((4/3 / ((1/8 / 3/5) - 1/6)) / 4/3)
[779187] ['1/6', '1/8', '3/5', '4/3', '5/4'] -> (((3/5 * 4/3) / (1/6 - 1/8)) * 5/4)
[779188] ['1/6', '1/8', '3/5', '4/3', '5/6'] -> ((((1/6 + 4/3) / 1/8) / 3/5) / 5/6)
[779190] ['1/6', '1/8', '3/5', '4/3', '5/8'] -> (5/8 / (((1/6 * 1/8) / 3/5) / 4/3))
[779194] ['1/6', '1/8', '3/5', '4/3', '7/2'] -> (7/2 / ((1/6 * 3/5) * (1/8 + 4/3)))
[779197] ['1/6', '1/8', '3/5', '4/3', '7/5'] -> (7/5 / (3/5 * ((1/6 * 4/3) - 1/8)))
[779205] ['1/6', '1/8', '3/5', '4/3', '9/2'] -> (9/2 / (1/6 * (4/3 - (1/8 / 3/5))))
[779210] ['1/6', '1/8', '3/5', '4/5', '4/5'] -> ((4/5 / ((1/8 / 3/5) - 1/6)) / 4/5)
[779211] ['1/6', '1/8', '3/5', '4/5', '4/7'] -> (((3/5 + (4/5 / 1/8)) / 1/6) * 4/7)
[779215] ['1/6', '1/8', '3/5', '4/5', '5/4'] -> ((4/5 / ((1/8 / 3/5) - 1/6)) * 5/4)
[779219] ['1/6', '1/8', '3/5', '4/5', '5/9'] -> (((3/5 + (4/5 / 1/6)) / 1/8) * 5/9)
[779220] ['1/6', '1/8', '3/5', '4/5', '6/5'] -> (6/5 / (3/5 * ((1/6 / 4/5) - 1/8)))
[779221] ['1/6', '1/8', '3/5', '4/5', '6/7'] -> ((((3/5 / 1/6) / 1/8) - 4/5) * 6/7)
[779223] ['1/6', '1/8', '3/5', '4/5', '7/3'] -> (7/3 / (((1/6 * 4/5) / 3/5) - 1/8))
[779226] ['1/6', '1/8', '3/5', '4/5', '7/6'] -> ((((3/5 / 1/6) / 1/8) - 4/5) / 7/6)
[779229] ['1/6', '1/8', '3/5', '4/5', '8/3'] -> ((3/5 / (1/6 - (1/8 * 4/5))) * 8/3)
[779234] ['1/6', '1/8', '3/5', '4/5', '9/4'] -> (9/4 / (((1/8 / 3/5) / 4/5) - 1/6))
[779238] ['1/6', '1/8', '3/5', '4/7', '4/7'] -> ((4/7 / ((1/8 / 3/5) - 1/6)) / 4/7)
[779247] ['1/6', '1/8', '3/5', '4/7', '6/5'] -> (6/5 / (((1/6 * 3/5) / 4/7) - 1/8))
[779251] ['1/6', '1/8', '3/5', '4/7', '7/4'] -> ((4/7 / ((1/8 / 3/5) - 1/6)) * 7/4)
[779261] ['1/6', '1/8', '3/5', '4/7', '9/4'] -> (((1/8 / (3/5 - 4/7)) / 1/6) - 9/4)
[779265] ['1/6', '1/8', '3/5', '4/9', '4/9'] -> ((4/9 / ((1/8 / 3/5) - 1/6)) / 4/9)
[779267] ['1/6', '1/8', '3/5', '4/9', '5/3'] -> (5/3 / ((4/9 - (1/8 / 3/5)) - 1/6))
[779287] ['1/6', '1/8', '3/5', '4/9', '9/4'] -> ((4/9 / ((1/8 / 3/5) - 1/6)) * 9/4)
[779291] ['1/6', '1/8', '3/5', '5/2', '5/2'] -> (5/2 / (((1/8 / 3/5) - 1/6) * 5/2))
[779293] ['1/6', '1/8', '3/5', '5/2', '5/4'] -> (((5/2 - (1/6 * 3/5)) / 1/8) * 5/4)
[779294] ['1/6', '1/8', '3/5', '5/2', '5/6'] -> (5/6 / ((1/8 * 5/2) - (1/6 / 3/5)))
[779297] ['1/6', '1/8', '3/5', '5/2', '5/9'] -> (((1/6 + (3/5 * 5/2)) / 1/8) / 5/9)
[779298] ['1/6', '1/8', '3/5', '5/2', '6/5'] -> (6/5 / ((1/6 * 3/5) - (1/8 / 5/2)))
[779301] ['1/6', '1/8', '3/5', '5/2', '7/3'] -> ((3/5 / (1/8 - (1/6 / 5/2))) * 7/3)
[779302] ['1/6', '1/8', '3/5', '5/2', '7/4'] -> (((1/8 + (5/2 / 3/5)) / 1/6) - 7/4)
[779303] ['1/6', '1/8', '3/5', '5/2', '7/5'] -> (7/5 / ((3/5 - (1/6 * 5/2)) - 1/8))
[779305] ['1/6', '1/8', '3/5', '5/2', '7/8'] -> ((((5/2 / 1/6) / 3/5) - 1/8) - 7/8)
[779311] ['1/6', '1/8', '3/5', '5/2', '9/2'] -> (((3/5 + (1/6 / 5/2)) / 1/8) * 9/2)
[779313] ['1/6', '1/8', '3/5', '5/2', '9/5'] -> (((1/6 + (3/5 * 5/2)) / 1/8) * 9/5)
[779315] ['1/6', '1/8', '3/5', '5/2', '9/8'] -> ((1/8 + ((5/2 / 1/6) / 3/5)) - 9/8)
[779318] ['1/6', '1/8', '3/5', '5/3', '5/6'] -> ((((5/3 - 1/6) / 1/8) / 3/5) / 5/6)
[779322] ['1/6', '1/8', '3/5', '5/3', '6/5'] -> ((((5/3 - 1/6) / 1/8) / 3/5) * 6/5)
[779335] ['1/6', '1/8', '3/5', '5/3', '9/2'] -> (9/2 / (1/6 * (1/8 + (3/5 * 5/3))))
[779340] ['1/6', '1/8', '3/5', '5/4', '5/4'] -> ((5/4 / ((1/8 / 3/5) - 1/6)) / 5/4)
[779347] ['1/6', '1/8', '3/5', '5/4', '7/2'] -> (7/2 / (1/6 * (1/8 + (3/5 * 5/4))))
[779348] ['1/6', '1/8', '3/5', '5/4', '7/3'] -> (7/3 / (((1/6 / 3/5) / 5/4) - 1/8))
[779354] ['1/6', '1/8', '3/5', '5/4', '8/3'] -> ((3/5 / (1/6 - (1/8 / 5/4))) * 8/3)
[779358] ['1/6', '1/8', '3/5', '5/4', '9/2'] -> (9/2 / (((1/8 / 1/6) - 3/5) * 5/4))
[779359] ['1/6', '1/8', '3/5', '5/4', '9/4'] -> (9/4 / (((1/8 * 5/4) / 3/5) - 1/6))
[779360] ['1/6', '1/8', '3/5', '5/4', '9/5'] -> (9/5 / ((1/8 / 3/5) - (1/6 / 5/4)))
[779363] ['1/6', '1/8', '3/5', '5/6', '5/6'] -> ((5/6 / ((1/8 / 3/5) - 1/6)) / 5/6)
[779369] ['1/6', '1/8', '3/5', '5/6', '7/2'] -> (7/2 / (((1/6 + 1/8) * 3/5) * 5/6))
[779372] ['1/6', '1/8', '3/5', '5/6', '7/5'] -> (7/5 / (((1/6 + 1/8) + 3/5) - 5/6))
[779385] ['1/6', '1/8', '3/5', '5/7', '5/7'] -> (5/7 / (((1/8 / 3/5) - 1/6) * 5/7))
[779389] ['1/6', '1/8', '3/5', '5/7', '6/7'] -> ((((3/5 * 5/7) / 1/6) / 1/8) / 6/7)
[779391] ['1/6', '1/8', '3/5', '5/7', '7/3'] -> (((3/5 * 5/7) / (1/6 - 1/8)) * 7/3)
[779393] ['1/6', '1/8', '3/5', '5/7', '7/5'] -> (7/5 / (((1/8 / 3/5) - 1/6) / 5/7))
[779394] ['1/6', '1/8', '3/5', '5/7', '7/6'] -> ((((3/5 * 5/7) / 1/6) / 1/8) * 7/6)
[779403] ['1/6', '1/8', '3/5', '5/7', '9/5'] -> (9/5 / ((1/8 / 5/7) - (1/6 * 3/5)))
[779404] ['1/6', '1/8', '3/5', '5/7', '9/7'] -> (9/7 / (1/8 - ((1/6 * 3/5) * 5/7)))
[779410] ['1/6', '1/8', '3/5', '5/8', '7/2'] -> (7/2 / (((3/5 - 1/6) * 5/8) - 1/8))
[779414] ['1/6', '1/8', '3/5', '5/8', '7/6'] -> (7/6 / (((1/6 * 5/8) / 3/5) - 1/8))
[779415] ['1/6', '1/8', '3/5', '5/8', '7/8'] -> (7/8 / (1/6 - ((1/8 * 5/8) / 3/5)))
[779417] ['1/6', '1/8', '3/5', '5/8', '8/3'] -> (((3/5 * 5/8) / (1/6 - 1/8)) * 8/3)
[779421] ['1/6', '1/8', '3/5', '5/8', '9/2'] -> (9/2 / (1/8 + ((1/6 * 3/5) * 5/8)))
[779422] ['1/6', '1/8', '3/5', '5/8', '9/4'] -> (9/4 / (((1/8 / 1/6) - 3/5) * 5/8))
[779426] ['1/6', '1/8', '3/5', '5/9', '5/9'] -> ((5/9 / ((1/8 / 3/5) - 1/6)) / 5/9)
[779432] ['1/6', '1/8', '3/5', '5/9', '7/5'] -> (7/5 / (3/5 * (1/6 - (1/8 * 5/9))))
[779447] ['1/6', '1/8', '3/5', '6/5', '7/2'] -> (7/2 / (((1/6 + 1/8) * 3/5) / 6/5))
[779448] ['1/6', '1/8', '3/5', '6/5', '7/3'] -> (7/3 / (1/6 - (1/8 / (3/5 + 6/5))))
[779450] ['1/6', '1/8', '3/5', '6/5', '7/5'] -> (7/5 / ((1/8 * (3/5 + 6/5)) - 1/6))
[779453] ['1/6', '1/8', '3/5', '6/5', '7/9'] -> (7/9 / (1/8 - (1/6 / (3/5 + 6/5))))
[779468] ['1/6', '1/8', '3/5', '6/7', '7/6'] -> ((6/7 / ((1/8 / 3/5) - 1/6)) * 7/6)
[779472] ['1/6', '1/8', '3/5', '6/7', '8/5'] -> (8/5 / (1/8 * ((3/5 / 6/7) - 1/6)))
[779475] ['1/6', '1/8', '3/5', '6/7', '9/2'] -> (9/2 / (3/5 * (1/6 + (1/8 / 6/7))))
[779477] ['1/6', '1/8', '3/5', '6/7', '9/5'] -> (9/5 / ((1/6 + 1/8) * (6/7 - 3/5)))
[779480] ['1/6', '1/8', '3/5', '7/2', '7/2'] -> ((7/2 / ((1/8 / 3/5) - 1/6)) / 7/2)
[779482] ['1/6', '1/8', '3/5', '7/2', '7/4'] -> ((((1/8 / 3/5) + 7/2) / 1/6) + 7/4)
[779492] ['1/6', '1/8', '3/5', '7/2', '9/4'] -> ((1/8 / ((3/5 / 7/2) - 1/6)) - 9/4)
[779496] ['1/6', '1/8', '3/5', '7/3', '7/3'] -> (7/3 / (((1/8 / 3/5) - 1/6) * 7/3))
[779502] ['1/6', '1/8', '3/5', '7/3', '8/3'] -> (8/3 / (7/3 - ((1/6 / 1/8) / 3/5)))
[779503] ['1/6', '1/8', '3/5', '7/3', '8/5'] -> (8/5 / ((3/5 * 7/3) - (1/6 / 1/8)))
[779506] ['1/6', '1/8', '3/5', '7/3', '9/2'] -> (9/2 / ((1/8 * 3/5) * (1/6 + 7/3)))
[779511] ['1/6', '1/8', '3/5', '7/4', '7/4'] -> ((7/4 / ((1/8 / 3/5) - 1/6)) / 7/4)
[779517] ['1/6', '1/8', '3/5', '7/4', '8/5'] -> (8/5 / ((1/6 * (7/4 - 3/5)) - 1/8))
[779518] ['1/6', '1/8', '3/5', '7/4', '8/7'] -> (8/7 / (1/6 - ((1/8 / 3/5) / 7/4)))
[779520] ['1/6', '1/8', '3/5', '7/4', '9/2'] -> (9/2 / ((1/6 * 3/5) * (1/8 + 7/4)))
[779525] ['1/6', '1/8', '3/5', '7/5', '7/5'] -> ((7/5 / ((1/8 / 3/5) - 1/6)) / 7/5)
[779526] ['1/6', '1/8', '3/5', '7/5', '7/6'] -> ((((3/5 / 1/6) / 1/8) / 7/5) * 7/6)
[779529] ['1/6', '1/8', '3/5', '7/5', '8/3'] -> ((3/5 / (7/5 - (1/6 / 1/8))) * 8/3)
[779533] ['1/6', '1/8', '3/5', '7/5', '9/2'] -> (9/2 / (1/8 * ((1/6 * 3/5) + 7/5)))
[779535] ['1/6', '1/8', '3/5', '7/5', '9/5'] -> (9/5 / ((1/8 * 7/5) - (1/6 * 3/5)))
[779536] ['1/6', '1/8', '3/5', '7/5', '9/7'] -> (9/7 / (1/8 - ((1/6 * 3/5) / 7/5)))
[779538] ['1/6', '1/8', '3/5', '7/6', '7/6'] -> ((7/6 / ((1/8 / 3/5) - 1/6)) / 7/6)
[779541] ['1/6', '1/8', '3/5', '7/6', '8/3'] -> (8/3 / (1/8 * (7/6 - (1/6 / 3/5))))
[779542] ['1/6', '1/8', '3/5', '7/6', '8/5'] -> (8/5 / (1/8 * ((3/5 * 7/6) - 1/6)))
[779545] ['1/6', '1/8', '3/5', '7/6', '9/2'] -> (9/2 / (3/5 * (1/6 + (1/8 * 7/6))))
[779550] ['1/6', '1/8', '3/5', '7/8', '7/8'] -> ((7/8 / ((1/8 / 3/5) - 1/6)) / 7/8)
[779552] ['1/6', '1/8', '3/5', '7/8', '8/3'] -> (8/3 / (1/6 * (7/8 - (1/8 / 3/5))))
[779554] ['1/6', '1/8', '3/5', '7/8', '8/7'] -> ((7/8 / ((1/8 / 3/5) - 1/6)) * 8/7)
[779561] ['1/6', '1/8', '3/5', '7/9', '7/9'] -> (7/9 / (((1/8 / 3/5) - 1/6) * 7/9))
[779565] ['1/6', '1/8', '3/5', '7/9', '8/9'] -> (8/9 / ((1/6 / 1/8) - (7/9 / 3/5)))
[779571] ['1/6', '1/8', '3/5', '8/3', '8/3'] -> (8/3 / (((1/8 / 3/5) - 1/6) * 8/3))
[779575] ['1/6', '1/8', '3/5', '8/3', '9/2'] -> (9/2 / ((1/8 * 3/5) * (8/3 - 1/6)))
[779584] ['1/6', '1/8', '3/5', '8/5', '9/4'] -> ((8/5 / ((1/8 / 1/6) - 3/5)) * 9/4)
[779588] ['1/6', '1/8', '3/5', '8/7', '8/7'] -> (8/7 / (((1/8 / 3/5) - 1/6) * 8/7))
[779595] ['1/6', '1/8', '3/5', '8/9', '8/9'] -> (8/9 / (((1/8 / 3/5) - 1/6) * 8/9))
[779598] ['1/6', '1/8', '3/5', '8/9', '9/5'] -> (9/5 / ((1/8 / 1/6) - (3/5 / 8/9)))
[779600] ['1/6', '1/8', '3/5', '8/9', '9/8'] -> (9/8 / (((1/8 / 3/5) - 1/6) / 8/9))
[779601] ['1/6', '1/8', '3/5', '9/2', '9/2'] -> ((9/2 / ((1/8 / 3/5) - 1/6)) / 9/2)
[779603] ['1/6', '1/8', '3/5', '9/2', '9/5'] -> (((9/2 / 1/6) - (3/5 / 1/8)) + 9/5)
[779612] ['1/6', '1/8', '3/5', '9/5', '9/8'] -> ((((3/5 / 1/6) / 1/8) - 9/5) / 9/8)
[779615] ['1/6', '1/8', '3/5', '9/8', '9/8'] -> ((9/8 / ((1/8 / 3/5) - 1/6)) / 9/8)
[779617] ['1/6', '1/8', '3/7', '3/7', '3/8'] -> (((3/7 / 1/6) / 3/7) / (3/8 - 1/8))
[779618] ['1/6', '1/8', '3/7', '3/7', '4/3'] -> ((((3/7 / 1/8) - 3/7) / 1/6) * 4/3)
[779622] ['1/6', '1/8', '3/7', '3/7', '5/2'] -> ((5/2 / 1/8) / ((3/7 / 3/7) - 1/6))
[779632] ['1/6', '1/8', '3/7', '3/7', '7/3'] -> (7/3 / ((1/6 / 3/7) - (1/8 / 3/7)))
[779634] ['1/6', '1/8', '3/7', '3/7', '7/5'] -> ((((3/7 / 1/6) - 3/7) / 1/8) * 7/5)
[779635] ['1/6', '1/8', '3/7', '3/7', '7/6'] -> (((3/7 + 3/7) / (1/6 - 1/8)) * 7/6)
[779636] ['1/6', '1/8', '3/7', '3/7', '7/8'] -> ((((3/7 / 1/6) / 1/8) + 3/7) / 7/8)
[779638] ['1/6', '1/8', '3/7', '3/7', '8/3'] -> (((3/7 / 1/8) / 3/7) + (8/3 / 1/6))
[779640] ['1/6', '1/8', '3/7', '3/7', '8/7'] -> ((((3/7 / 1/6) / 1/8) + 3/7) * 8/7)
[779643] ['1/6', '1/8', '3/7', '3/7', '9/4'] -> (((3/7 / 1/6) / 3/7) + (9/4 / 1/8))
