[8952] ['1/4', '4/5', '7/3', '3', '7'] -> 3 + 7/3 * (1/4 + 7 / 4/5)
[8977] ['5/8', '4/5', '9/7', '3', '3'] -> (9/7 + 3) * (4/5 + 3 / 5/8)
[8978] ['1/8', '2/5', '6/7', '3', '8'] -> (3 - 6/7) * (8 + 2/5 / 1/8)
[8979] ['1/9', '1/5', '3/8', '2', '3'] -> (2 + 3) / (3/8 * 1/9 / 1/5)
[8980] ['2/9', '5/7', '4/5', '4', '6'] -> (4 / (2/9 * 5/7) - 6) / 4/5
[8981] ['3/7', '5/8', '9/5', '3', '4'] -> 3 / 5/8 / (9/5 / 3/7 - 4)
[8982] ['3/7', '5/8', '5/6', '6', '8'] -> 3/7 * 6 * (8 + 5/6 / 5/8)
[8983] ['5/8', '4/5', '4/3', '3', '3'] -> 4/3 * 3 * 3 / (5/8 * 4/5)
[8984] ['1/5', '8/9', '1', '7/6', '8'] -> 8 / (1/5 + 1) / (7/6 - 8/9)
[8985] ['8/9', '5/4', '5/3', '3', '5'] -> 3 * 5 / (5/3 / 8/9 - 5/4)
[8986] ['1/9', '2/9', '7/5', '2', '8'] -> 8 * (7/5 * (2/9 + 2) - 1/9)
[8987] ['3/7', '5/8', '9/4', '3', '4'] -> 3 / (3/7 * (4 - 9/4) - 5/8)
[8988] ['2/9', '5/7', '5/6', '4', '6'] -> 4 / (2/9 * 6 - 5/6 / 5/7)
[8989] ['1/9', '1/5', '4/9', '2', '3'] -> (3 - (1/9 - 2)) / 1/5 - 4/9
[8990] ['1/4', '5/6', '7/5', '3', '7'] -> 7/5 / (5/6 - 1/4) * (3 + 7)
[8991] ['1/5', '8/9', '1', '5/4', '8'] -> (8 / 5/4 - 1) / (1/5 / 8/9)
[8992] ['3/7', '5/8', '8/9', '6', '8'] -> (8 / (3/7 * 8/9) - 6) / 5/8
[8993] ['4/7', '9/8', '4/3', '3', '6'] -> 3 * (6 / (4/7 * 9/8) - 4/3)
[8994] ['1/8', '2/5', '8/7', '3', '8'] -> (2/5 + 8) * (3 - 1/8 * 8/7)
[8995] ['2/9', '5/7', '7/8', '4', '6'] -> (2/9 + 6) * (4 / 7/8 - 5/7)
[8996] ['5/7', '7/6', '5/4', '4', '9'] -> 9 * 5/7 * 7/6 / (5/4 / 4)
[8997] ['3/7', '2/3', '3/4', '3', '4'] -> 3 / (3/4 - 3/7 / 2/3) - 4
[8998] ['1/5', '2/7', '3', '9/2', '5'] -> 3 * (9/2 + 5 * 1/5 / 2/7)
[8999] ['8/9', '5/4', '5/2', '3', '5'] -> 5 / 5/4 / (8/9 * 3 - 5/2)
[9000] ['1/9', '1/4', '2/5', '2', '8'] -> 8 / (1/4 - 1/9) / (2/5 + 2)
[9001] ['1/5', '8/9', '1', '4/3', '8'] -> 8 / (1/5 * (1 + 8/9 / 4/3))
[9002] ['5/7', '7/6', '4/3', '4', '9'] -> 7/6 * 9 * (4 / 4/3 - 5/7)
[9003] ['3/7', '2/3', '7/9', '3', '4'] -> 4 / (3/7 / 2/3) / (7/9 / 3)
[9004] ['8/9', '5/4', '3', '7/2', '5'] -> 3 * (7/2 + 5 / (8/9 * 5/4))
[9005] ['5/8', '4/5', '9/4', '3', '3'] -> 3 / (5/8 * (4/5 + 3) - 9/4)
[9006] ['1/5', '8/9', '1', '7/5', '8'] -> 8 / (7/5 - 8/9 * (1/5 + 1))
[9007] ['4/7', '9/8', '5/3', '3', '6'] -> 6 / (5/3 / 4/7 - 3 / 9/8)
[9008] ['1/5', '1/3', '4/7', '3', '5'] -> (3 - 1/5) * 5 / (1/3 / 4/7)
[9009] ['3/7', '2/3', '8/9', '3', '4'] -> 3 * (4 / 3/7 - 8/9 / 2/3)
[9010] ['1/5', '8/9', '1', '3/2', '8'] -> (8/9 + 8) * (3/2 + 1/5 + 1)
[9011] ['8/9', '9/7', '9/7', '3', '5'] -> 9/7 + (8/9 + 5) * 9/7 * 3
[9012] ['5/7', '7/6', '8/5', '4', '9'] -> 9 * (4 - 8/5 * 5/7 * 7/6)
[9013] ['3/7', '5/8', '4/3', '6', '8'] -> 3/7 / (6 / (4/3 + 8) - 5/8)
[9014] ['2/9', '5/7', '7/6', '4', '6'] -> 6 / (4 - 7/6 / (2/9 / 5/7))
[9015] ['1/8', '2/5', '9/4', '3', '8'] -> (1/8 + 3) * (2/5 + 8) - 9/4
[9016] ['1/9', '1/4', '3/5', '2', '8'] -> (2 / 1/9 - 8) / (1/4 / 3/5)
[9017] ['5/8', '4/5', '8/3', '3', '3'] -> 8/3 * (3 + 3 / (5/8 * 4/5))
[9018] ['3/7', '2/3', '9/8', '3', '4'] -> (4 + 3 / 3/7) / (9/8 - 2/3)
[9019] ['8/9', '9/7', '4/3', '3', '5'] -> 8/9 / (4/3 - 5 / (9/7 * 3))
[9020] ['4/7', '9/8', '7/3', '3', '6'] -> 6 * (4/7 * 7/3 + 3 / 9/8)
[9021] ['3/7', '5/8', '8/5', '6', '8'] -> 3/7 * 8 * (6 + 5/8 * 8/5)
[9022] ['8/9', '9/7', '7/5', '3', '5'] -> 7/5 * 3 * 5 * 8/9 * 9/7
[9023] ['2/9', '5/7', '5/4', '4', '6'] -> 5/4 * (4 / (2/9 * 5/7) - 6)
[9024] ['4/7', '1', '9/7', '9/7', '4'] -> (9/7 + 9/7) * 4 / (1 - 4/7)
[9025] ['1/5', '8/9', '1', '7/3', '8'] -> (1 / 1/5 - 7/3) / (8/9 / 8)
[9026] ['1/5', '1/3', '6/7', '3', '5'] -> 3 + 5 / (1/5 * (1/3 + 6/7))
[9027] ['4/7', '1', '9/7', '4/3', '4'] -> (1 + 4/7 / 4) / (4/3 - 9/7)
[9028] ['1/9', '1/5', '8/7', '2', '3'] -> (1/9 + 3) * (2 + 8/7 / 1/5)
[9029] ['1/5', '8/9', '1', '7/2', '8'] -> (8/9 + 8) * (7/2 + 1/5 - 1)
[9030] ['7/9', '5/4', '2', '9/2', '5'] -> 5 * (2 + 9/2 * 7/9 / 5/4)
[9031] ['1/9', '1/4', '6/7', '2', '8'] -> 8 / 6/7 / (1/4 * 2 - 1/9)
[9032] ['3/7', '5/8', '9/4', '6', '8'] -> 6 / (9/4 / 3/7 - 5/8 * 8)
[9033] ['5/7', '7/6', '7/2', '4', '9'] -> 9 * (7/6 + 4 - 5/7 * 7/2)
[9034] ['1/9', '1/5', '7/6', '2', '3'] -> (2 - 7/6) / (1/9 / (1/5 + 3))
[9035] ['5/8', '5/6', '9/8', '3', '3'] -> 3 * 3 / (9/8 - 5/8 / 5/6)
[9036] ['1/9', '3/8', '8/5', '7', '9'] -> (7 / (3/8 * 8/5) - 9) / 1/9
[9037] ['5/7', '6/5', '6/5', '4', '9'] -> 5/7 * (4 * 9 - (6/5 + 6/5))
[9038] ['1/9', '1/4', '8/7', '2', '8'] -> 1/4 + 8 + 2 / (1/9 * 8/7)
[9039] ['1/8', '3/7', '5/8', '3', '8'] -> 3/7 * ((8 - 5/8) / 1/8 - 3)
[9040] ['4/7', '1', '9/7', '5/3', '4'] -> (1 + 5/3) * 4 / (4/7 / 9/7)
[9041] ['2/9', '5/7', '5/3', '4', '6'] -> 4 / (5/3 / (5/7 * 6) - 2/9)
[9042] ['1/5', '1/3', '9/7', '3', '5'] -> (9/7 + 3) * (5 + 1/5 / 1/3)
[9043] ['5/7', '6/5', '5/4', '4', '9'] -> 5/7 * 4 * (6/5 + 9 / 5/4)
[9044] ['1/9', '1/5', '4/3', '2', '3'] -> 2 * (4/3 / (1/5 - 1/9) - 3)
[9045] ['3/7', '2/3', '9/4', '3', '4'] -> (9/4 * 4 + 3 / 3/7) / 2/3
[9046] ['7/9', '9/7', '8/5', '2', '5'] -> 8/5 * 5 * (2 + 7/9 * 9/7)
[9047] ['1/5', '1', '9/8', '7/6', '8'] -> 8 / (7/6 / (1 - 1/5) - 9/8)
[9048] ['1/9', '1/5', '7/4', '2', '3'] -> 2 / (7/4 - 3 * 1/9 / 1/5)
[9049] ['2/9', '5/7', '9/5', '4', '6'] -> 4 / (2/9 / 9/5) - 6 / 5/7
[9050] ['8/9', '9/7', '7/3', '3', '5'] -> 7/3 * (9/7 + (3 + 5) / 8/9)
[9051] ['4/7', '1', '9/7', '9/4', '4'] -> (9/7 + 9/4 * 4) / (1 - 4/7)
[9052] ['1/9', '3/8', '7/2', '7', '9'] -> (7 / (1/9 * 7/2) - 9) / 3/8
[9053] ['1/8', '3/7', '5/6', '3', '8'] -> 8 / (3 / 3/7 - 5/6 / 1/8)
[9054] ['3/7', '5/7', '5/7', '3', '4'] -> 4 * (3 / 3/7 - 5/7 / 5/7)
[9055] ['4/7', '7/6', '8/5', '3', '6'] -> (6 + 3 / 7/6) / (4/7 / 8/5)
[9056] ['2/9', '5/7', '9/4', '4', '6'] -> 6 / (5/7 - 2/9 * 9/4) - 4
[9057] ['7/9', '9/7', '7/4', '2', '5'] -> (5 + 7/9 * 9/7) / (2 - 7/4)
[9058] ['8/9', '9/7', '5/2', '3', '5'] -> 5/2 * (5 / (9/7 - 8/9) - 3)
[9059] ['1/5', '3/8', '3/7', '3', '5'] -> 3 / (1/5 * 5 - 3/8 / 3/7)
[9060] ['5/7', '6/5', '8/5', '4', '9'] -> 6/5 * (8/5 * 9 + 4 / 5/7)
[9061] ['2/9', '5/7', '7/3', '4', '6'] -> 7/3 * 4 / (2/9 / 5/7) - 6
[9062] ['1/5', '1', '9/8', '4/3', '8'] -> 1 / (1/5 * (8 - 9/8) - 4/3)
[9063] ['7/9', '9/7', '2', '9/4', '5'] -> (5 + 7/9 * 9/7) / (9/4 - 2)
[9064] ['5/8', '5/6', '7/4', '3', '3'] -> 3 / (5/6 * 3 - (5/8 + 7/4))
[9065] ['3/7', '2/3', '9/8', '6', '8'] -> 9/8 * (6 / 3/7 - (2/3 - 8))
[9066] ['8/9', '9/7', '8/3', '3', '5'] -> 8/3 * 3 * (5 / 9/7 - 8/9)
[9067] ['4/7', '7/6', '9/5', '3', '6'] -> 3 + 9/5 * (7/6 + 6 / 4/7)
[9068] ['1/5', '3/8', '4/9', '3', '5'] -> (3 + 1/5 * 5) / (3/8 * 4/9)
[9069] ['1/9', '1/5', '2', '3', '7/2'] -> 7/2 / 1/9 - 3 / (1/5 * 2)
[9070] ['1/9', '2/7', '3/8', '2', '8'] -> (8 - 2 / 2/7) / (1/9 * 3/8)
[9071] ['1/4', '8/9', '8/7', '3', '7'] -> (7 / (8/9 / 8/7) - 3) / 1/4
[9072] ['8/9', '9/7', '3', '7/2', '5'] -> 7/2 * (3 + 5 - 8/9 * 9/7)
[9073] ['1/5', '3/8', '5/9', '3', '5'] -> 5 / (3/8 / 1/5 - 5/9 * 3)
[9074] ['4/7', '7/6', '5/2', '3', '6'] -> 6 * (4/7 * 5/2 + 3 / 7/6)
[9075] ['5/7', '6/5', '9/4', '4', '9'] -> (9 + 9/4 * 4) / 5/7 - 6/5
[9076] ['7/9', '9/7', '2', '5/2', '5'] -> 5 * 2 * 5/2 - 7/9 * 9/7
[9077] ['3/7', '2/3', '7/5', '6', '8'] -> 2/3 + (6 + 8) / (3/7 * 7/5)
[9078] ['1/5', '3/8', '4/7', '3', '5'] -> 3 / 5 / (3/8 - 1/5 / 4/7)
[9079] ['5/7', '6/5', '7/3', '4', '9'] -> 6/5 * (9 + 7/3 * (5/7 + 4))
[9080] ['2/9', '5/7', '7/2', '4', '6'] -> 7/2 * (4 / (2/9 / 5/7) - 6)
[9081] ['5/8', '6/7', '8/9', '3', '3'] -> (8/9 + 3) / (5/8 / (6/7 + 3))
[9082] ['7/9', '9/7', '2', '7/2', '5'] -> (7/9 + 5) * 9/7 * 7/2 - 2
[9083] ['1/4', '8/9', '5/4', '3', '7'] -> 8/9 * 3 * (1/4 + 5/4 * 7)
[9084] ['3/7', '5/7', '8/5', '3', '4'] -> 3 / (5/7 / 8/5) * (4 - 3/7)
[9085] ['4/7', '6/5', '5/4', '3', '6'] -> 3 * 6 / (4/7 * 5/4) - 6/5
[9086] ['8/9', '4/3', '7/4', '3', '5'] -> (7/4 + 5) * 3 * 8/9 * 4/3
[9087] ['5/7', '6/5', '5/2', '4', '9'] -> 9 / (5/7 * 4 - 5/2) - 6/5
[9088] ['2/9', '5/7', '4', '9/2', '6'] -> 4 + (2/9 + 6) * 5/7 * 9/2
[9089] ['1/5', '3/8', '5/7', '3', '5'] -> (3 / 5/7 - (1/5 - 5)) / 3/8
[9090] ['7/9', '9/7', '2', '9/2', '5'] -> 2 + 7/9 * 9/2 * (9/7 + 5)
[9091] ['3/7', '2/3', '9/5', '6', '8'] -> 9/5 * (2/3 - 6 + 8 / 3/7)
[9092] ['4/7', '1', '4/3', '7/4', '4'] -> 7/4 * (4/7 + 4) / (4/3 - 1)
[9093] ['1/8', '3/7', '5/3', '3', '8'] -> 8 + (5/3 + 3) / (1/8 / 3/7)
[9094] ['1/5', '1', '8/7', '8/7', '8'] -> 8 / (8/7 / (1 + 8/7) - 1/5)
[9095] ['8/9', '4/3', '9/5', '3', '5'] -> 8/9 * 5 * (3 + 4/3 * 9/5)
[9096] ['4/7', '6/5', '4/3', '3', '6'] -> 4/7 * (6 / (4/3 - 6/5) - 3)
[9097] ['4/7', '1', '4/3', '9/5', '4'] -> (1 + 4/3 / 4/7) * 9/5 * 4
[9098] ['1/9', '2/5', '5/8', '7', '9'] -> (7 - 1/9 * 9) / (2/5 * 5/8)
[9099] ['7/9', '4/3', '7/5', '2', '5'] -> 7/5 * 2 * 5 / (7/9 / 4/3)
[9100] ['5/7', '5/4', '4/3', '4', '9'] -> 5/4 * 9 * (4 - 4/3 / 5/7)
[9101] ['3/7', '3/4', '7/9', '3', '4'] -> (4 + 3 / 3/4) / (3/7 * 7/9)
[9102] ['3/7', '2/3', '5/2', '6', '8'] -> 3/7 * (5/2 + 8) * (6 - 2/3)
[9103] ['4/7', '6/5', '3/2', '3', '6'] -> 6 * (3 / 4/7 - 3/2 / 6/5)
[9104] ['2/9', '3/4', '6/5', '4', '6'] -> (3/4 + 6) * (2/9 + 4 / 6/5)
[9105] ['5/7', '5/4', '7/5', '4', '9'] -> 5/4 * 7/5 * (9 + 5/7 + 4)
[9106] ['7/9', '4/3', '8/5', '2', '5'] -> (4/3 + 8/5 * 5) / (7/9 / 2)
[9107] ['3/7', '3/4', '4/5', '3', '4'] -> 3/7 * (3 / (4/5 - 3/4) - 4)
[9108] ['1/4', '8/9', '7/4', '3', '7'] -> 8/9 * 3 * (7 + 1/4 + 7/4)
[9109] ['2/9', '3/4', '8/5', '4', '6'] -> 8/5 * (3/4 + 4 / 2/9) - 6
[9110] ['8/9', '7/5', '8/5', '3', '5'] -> 3 / 5 / (8/5 - 7/5 / 8/9)
[9111] ['1/5', '3/8', '8/9', '3', '5'] -> 5 / 1/5 - 3 * 3/8 * 8/9
[9112] ['1/4', '8/9', '5/2', '3', '7'] -> 7 / (1/4 * 8/9) - 5/2 * 3
[9113] ['4/7', '6/5', '9/4', '3', '6'] -> 3 * 6 / (4/7 * 6/5) - 9/4
[9114] ['1/9', '2/7', '7/8', '2', '8'] -> 8 + 7/8 * (2/7 + 2 / 1/9)
[9115] ['4/7', '1', '7/5', '5/3', '4'] -> (4/7 + 4) / (5/3 / 7/5 - 1)
[9116] ['2/9', '7/9', '9/8', '4', '6'] -> 6 / (9/8 - 7/9 / (2/9 * 4))
[9117] ['4/7', '6/5', '7/3', '3', '6'] -> 7/3 * (6 + 6/5 * (4/7 + 3))
[9118] ['8/9', '7/5', '9/4', '3', '5'] -> 8/9 * 9/4 + 5 * (7/5 + 3)
[9119] ['1/9', '1/4', '3/5', '2', '3'] -> 2 / (1/4 / 3/5 - 1/9 * 3)
[9120] ['7/9', '7/5', '3/2', '2', '5'] -> 5 * (7/5 / 7/9 + 3/2 * 2)
[9121] ['1/5', '1', '8/7', '5/2', '8'] -> (1 + 8 / 5/2) / (1/5 / 8/7)
[9122] ['8/9', '7/5', '7/3', '3', '5'] -> 3 + (7/5 + 7/3) / (8/9 / 5)
[9123] ['2/9', '7/9', '8/5', '4', '6'] -> 2/9 + (7/9 + 8/5) * (4 + 6)
[9124] ['1/9', '2/7', '7/6', '2', '8'] -> 8 / (2/7 + 1/9 / 7/6 / 2)
[9125] ['4/7', '6/5', '3', '9/2', '6'] -> 4/7 * 6 * (9/2 + 3 / 6/5)
[9126] ['1/9', '2/5', '9/8', '7', '9'] -> 9 + 7 / (1/9 + 2/5 / 9/8)
[9127] ['8/9', '7/5', '5/2', '3', '5'] -> 3 * 8/9 * 5/2 * (5 - 7/5)
[9128] ['2/9', '7/9', '9/4', '4', '6'] -> 6 / 9/4 / (2/9 * 4 - 7/9)
[9129] ['5/7', '9/7', '7/4', '4', '9'] -> 9 + 4 * (7/4 + 5/7 + 9/7)
[9130] ['1/4', '8/7', '8/7', '3', '7'] -> 7 / 1/4 - (3 + 8/7 / 8/7)
[9131] ['1/9', '1/4', '6/7', '2', '3'] -> (3 - 2 / 6/7) / (1/9 * 1/4)
[9132] ['4/7', '5/4', '3/2', '3', '6'] -> (6 / (4/7 / 3) - 3/2) / 5/4
[9133] ['7/9', '7/5', '9/5', '2', '5'] -> 5 * (7/9 * 9/5 + 7/5 + 2)
[9134] ['1/9', '2/5', '7/6', '7', '9'] -> 7/6 / (1/9 * 7) + 9 / 2/5
[9135] ['7/9', '7/5', '2', '9/4', '5'] -> (7/5 + 5) * (2 + 7/9 * 9/4)
[9136] ['1/9', '2/7', '7/5', '2', '8'] -> 2/7 + 2 / 1/9 + 8 / 7/5
[9137] ['3/7', '3/4', '8/3', '3', '4'] -> 3 / (3/7 / 8/3) + 4 / 3/4
[9138] ['1/5', '2/5', '4/9', '3', '5'] -> (5 - 1/5) / (2/5 * 4/9) - 3
[9139] ['8/9', '3/2', '8/5', '3', '5'] -> 8/9 * 5 * (3 + 3/2 * 8/5)
[9140] ['5/8', '6/7', '3', '3', '9/2'] -> (9/2 + 3 / (6/7 / 3)) / 5/8
[9141] ['5/7', '4/3', '3/2', '4', '9'] -> (3/2 + 9) * (4 / 4/3 - 5/7)
[9142] ['1/5', '1', '7/6', '9/7', '8'] -> 8 * (1 / (1/5 * 7/6) - 9/7)
[9143] ['3/7', '7/9', '7/9', '3', '4'] -> 4 * (3 / 3/7 - 7/9 / 7/9)
[9144] ['1/5', '2/5', '7/9', '3', '5'] -> 3 + (2/5 + 5) / (1/5 / 7/9)
[9145] ['8/9', '3/2', '9/5', '3', '5'] -> 3/2 * 9/5 * (5 + 8/9 + 3)
[9146] ['4/7', '1', '3/2', '8/5', '4'] -> 3/2 / (1 / 8/5 - 4/7) - 4
[9147] ['2/9', '4/5', '8/9', '4', '6'] -> 4 / (2/9 + 4/5 - 8/9) - 6
[9148] ['5/7', '4/3', '7/4', '4', '9'] -> 7/4 * 9 * (5/7 * 4 - 4/3)
[9149] ['3/7', '7/9', '4/5', '3', '4'] -> (3 + 4 / 4/5) / (3/7 * 7/9)
[9150] ['1/5', '1', '7/6', '8/5', '8'] -> 8 * (8/5 + 7/6 * (1/5 + 1))
[9151] ['5/8', '7/8', '8/7', '3', '3'] -> 3 * 3 / (7/8 * 8/7 - 5/8)
[9152] ['2/9', '4/5', '9/8', '4', '6'] -> 4 / 4/5 / (2/9 * 6 - 9/8)
[9153] ['1/9', '2/5', '7/5', '7', '9'] -> 9 / (1/9 / 2/5) - (7/5 + 7)
[9154] ['8/9', '3/2', '3', '7/2', '5'] -> 8/9 * (3/2 + 3 * (7/2 + 5))
[9155] ['1/5', '2/5', '8/9', '3', '5'] -> 3 * 5 / (2/5 + 1/5 / 8/9)
[9156] ['5/7', '4/3', '9/4', '4', '9'] -> (9/4 + 9) * (4 - 4/3 / 5/7)
[9157] ['1/9', '2/7', '9/5', '2', '8'] -> (8 - 2 / 9/5) / 2/7 - 1/9
[9158] ['5/8', '7/8', '7/6', '3', '3'] -> (7/6 + 5/8 + 7/8) * 3 * 3
[9159] ['2/9', '4/5', '8/7', '4', '6'] -> (2/9 + 6) * (4 / 4/5 - 8/7)
[9160] ['1/5', '2/5', '8/7', '3', '5'] -> 8/7 * 3 * (5 + 2/5 / 1/5)
[9161] ['1/9', '2/5', '3/2', '7', '9'] -> (7 / (2/5 * 3/2) - 9) / 1/9
[9162] ['5/8', '7/8', '6/5', '3', '3'] -> (3 + 3 / 5/8) / (6/5 - 7/8)
[9163] ['4/7', '9/7', '8/5', '3', '6'] -> 8/5 * (3 * (6 - 4/7) - 9/7)
[9164] ['1/5', '1', '7/6', '7/4', '8'] -> 8 / (1/5 * (1 + 7/6 / 7/4))
[9165] ['3/7', '7/9', '5/6', '6', '8'] -> (5/6 - 3/7 * 7/9) * 6 * 8
[9166] ['3/7', '7/9', '8/9', '3', '4'] -> 4 * (3 / 3/7 - 7/9) - 8/9
[9167] ['2/9', '4/5', '7/6', '4', '6'] -> 6 / (7/6 / 2/9 - 4 / 4/5)
[9168] ['5/7', '4/3', '8/3', '4', '9'] -> 5/7 * (4/3 + 4 * 9) - 8/3
[9169] ['8/9', '8/5', '7/4', '3', '5'] -> (7/4 + 5) * (3 + 8/9 / 8/5)
[9170] ['1/9', '2/7', '2', '5/2', '8'] -> 2 / 1/9 / (5/2 / 2/7 - 8)
[9171] ['1/9', '2/7', '2/5', '2', '3'] -> 2/5 * (2 / (1/9 * 2/7) - 3)
[9172] ['7/9', '3/2', '5/3', '2', '5'] -> (5/3 + 5) / (7/9 + 3/2 - 2)
[9173] ['5/7', '4/3', '7/2', '4', '9'] -> 7/2 * (9 - 4 * 5/7 / 4/3)
[9174] ['5/8', '7/8', '4/3', '3', '3'] -> 3 / 3 / (7/8 - 5/8 * 4/3)
[9175] ['3/7', '7/9', '7/8', '6', '8'] -> 6 * 7/9 / 7/8 + 8 / 3/7
[9176] ['1/9', '2/5', '9/5', '7', '9'] -> (7 - 2/5) / (1/9 * 9/5) - 9
[9177] ['7/9', '3/2', '7/4', '2', '5'] -> 3/2 + 2 * 5 / (7/9 / 7/4)
[9178] ['1/5', '1', '7/6', '7/3', '8'] -> 8 * (1 / 1/5 - 7/3 / 7/6)
[9179] ['1/5', '3/7', '3/7', '3', '5'] -> (3/7 + 3/7) * (3 + 5 / 1/5)
[9180] ['5/8', '7/8', '7/5', '3', '3'] -> 3 / (5/8 * (3 - 7/5) - 7/8)
[9181] ['3/7', '7/9', '8/9', '6', '8'] -> 8 + 8/9 * 6 / (3/7 * 7/9)
[9182] ['1/9', '2/5', '9/4', '7', '9'] -> (1/9 + 7) * (9 - 9/4 / 2/5)
[9183] ['4/7', '4/3', '7/5', '3', '6'] -> 7/5 * (4/7 + 4/3) * (3 + 6)
[9184] ['2/9', '4/5', '7/4', '4', '6'] -> 4 / (2/9 / 7/4) - 6 / 4/5
[9185] ['5/7', '7/5', '7/5', '4', '9'] -> (4 * 9 - 7/5) / 7/5 - 5/7
[9186] ['3/7', '7/9', '9/8', '6', '8'] -> 8 + 6 / (9/8 * 3/7 * 7/9)
[9187] ['1/5', '3/7', '1/2', '3', '5'] -> 3/7 / 1/2 * (3 + 5 / 1/5)
[9188] ['3/7', '7/9', '5/4', '3', '4'] -> (3 + 5/4 * 4) / (3/7 * 7/9)
[9189] ['4/7', '1', '8/5', '7/3', '4'] -> 4 / (1 - 7/3 * 4/7 / 8/5)
[9190] ['3/7', '7/9', '7/6', '6', '8'] -> 6 - 7/9 / 7/6 + 8 / 3/7
[9191] ['1/9', '2/7', '5/8', '2', '3'] -> 2 / (2/7 * (5/8 - 1/9 * 3))
[9192] ['1/9', '2/5', '7/2', '7', '9'] -> 2/5 * (9 / 1/9 - 7/2) - 7
[9193] ['1/9', '1/3', '7/8', '2', '8'] -> (8 - 1/3) / (1/9 * (7/8 + 2))
[9194] ['1/4', '7/6', '9/5', '3', '7'] -> 3 + 9/5 * (7 + 7/6 / 1/4)
[9195] ['5/8', '8/9', '9/8', '3', '3'] -> 3 * 3 / (8/9 * 9/8 - 5/8)
[9196] ['3/7', '7/9', '7/5', '3', '4'] -> 7/5 * 4 * (3/7 + 3 / 7/9)
[9197] ['4/7', '1', '8/5', '8/3', '4'] -> 4 / (1 / 4/7 - 8/5) - 8/3
[9198] ['1/9', '2/7', '3/4', '2', '3'] -> 2 / (1/9 / 3/4) + 3 / 2/7
[9199] ['1/9', '2/5', '9/2', '7', '9'] -> 9 * (1/9 + 9/2) - 7 / 2/5
[9200] ['4/7', '1', '8/5', '7/2', '4'] -> 8/5 * (7/2 * (4/7 + 4) - 1)
[9201] ['1/9', '3/7', '1/2', '7', '9'] -> (3/7 + 9 / (1/9 * 7)) / 1/2
[9202] ['4/7', '7/5', '5/3', '3', '6'] -> 5/3 * 3 * 6 * 4/7 * 7/5
[9203] ['5/8', '8/9', '7/6', '3', '3'] -> 3 / (5/8 - 8/9 + 7/6 / 3)
[9204] ['8/9', '7/4', '7/3', '3', '5'] -> (7/3 + 5) / (8/9 - 7/4 / 3)
[9205] ['3/7', '7/9', '9/5', '3', '4'] -> 9/5 * 4 * (3 + 3/7 * 7/9)
