[62658] ['1/4', '3/8', '5/9', '5', '8'] -> (5 / 5/9 - 3/8 * 8) / 1/4
[62703] ['4/9', '1', '6/5', '5/4', '7'] -> 5/4 * (6/5 + (1 + 7) / 4/9)
[62704] ['1/9', '2/9', '8/5', '7', '8'] -> (7 + 8 / 8/5) / (1/9 / 2/9)
[62705] ['8/5', '7/3', '5/2', '4', '7'] -> (4 + 8/5 * 5/2) / (7/3 / 7)
[62706] ['1/4', '2/5', '5/7', '5', '8'] -> (8 + 5 / 5/7) / (1/4 / 2/5)
[62707] ['3/8', '5/7', '1', '2', '5/2'] -> (1 + 5/2 / 5/7) / (3/8 / 2)
[62708] ['7/8', '7/3', '7/3', '5', '5'] -> (7/3 * (5 + 5) - 7/3) / 7/8
[62709] ['2/5', '1', '7/4', '5/2', '9'] -> 5/2 + (2/5 + 7/4) * (1 + 9)
[62710] ['1/8', '1/2', '7/5', '7', '7'] -> (7 / (1/2 * 7/5) - 7) / 1/8
[62711] ['7/8', '7/3', '5/2', '5', '5'] -> 5 * 5 / (5/2 + 7/8 - 7/3)
[62712] ['4/9', '1', '6/5', '7/5', '7'] -> (1 + 7) / (4/9 / 7/5) - 6/5
[62713] ['2/7', '7/4', '9/5', '4', '9'] -> (4 + 9 / (7/4 * 9/5)) / 2/7
[62714] ['1/4', '7/6', '7/5', '2', '2'] -> 2 / ((2 - 1/4) / 7/5 - 7/6)
[62715] ['3/8', '4/9', '7/3', '9', '9'] -> 3/8 * 9 * (9 + 4/9 - 7/3)
[62716] ['1/4', '2/5', '6/7', '5', '8'] -> 5 / (2/5 - 1/4) - 8 / 6/7
[62717] ['3/8', '5/9', '6/5', '6', '6'] -> 6/5 - 6 + 6 / (3/8 * 5/9)
[62718] ['1/9', '1/4', '2/7', '7', '8'] -> 7 * 1/9 / 1/4 * (8 - 2/7)
[62719] ['2/3', '1', '5/4', '9/5', '6'] -> 6 / 5/4 / (2/3 * 9/5 - 1)
[62720] ['1/4', '7/6', '8/5', '2', '2'] -> (8/5 + 2) * (2 + 7/6 / 1/4)
[62721] ['1/8', '1/5', '3/7', '1', '6'] -> (1 + 6 / 3/7) / (1/8 / 1/5)
[62722] ['3/8', '5/7', '1', '2', '9/2'] -> (5/7 + 1) * (2 + 9/2 / 3/8)
[62723] ['1/4', '2/5', '8/9', '5', '8'] -> (2/5 + 5) * (8 - 8/9 / 1/4)
[62724] ['1/9', '1/4', '3/8', '7', '8'] -> (7 / 3/8 - 8) / (1/9 / 1/4)
[62725] ['3/8', '1/2', '5/9', '9', '9'] -> 9 * (3/8 * (9 - 5/9) - 1/2)
[62726] ['5/7', '9/8', '9/5', '4', '8'] -> 5/7 * (9/5 / 9/8 + 4 * 8)
[62727] ['1/4', '5/6', '8/9', '2', '5'] -> ((5/6 + 5) / 1/4 - 2) / 8/9
[62728] ['1/8', '1/5', '4/9', '1', '6'] -> 1 / (4/9 * (1/5 - 1/8)) - 6
[62729] ['8/5', '8/3', '7/2', '4', '7'] -> (8/3 + 4) * (8/5 + 7 / 7/2)
[62730] ['2/7', '9/5', '9/4', '4', '9'] -> 9 / (9/4 / (2/7 * 9/5) - 4)
[62731] ['7/8', '5/2', '7/2', '5', '5'] -> (5/2 * 5 + 7/2 + 5) / 7/8
[62732] ['3/8', '3/4', '4/5', '1', '2'] -> 3/4 / (1 / 2 - 3/8 / 4/5)
[62733] ['4/9', '1', '6/5', '9/5', '7'] -> (7 / (9/5 - 6/5) - 1) / 4/9
[62734] ['8/5', '7/2', '7/2', '4', '7'] -> (7/2 + 4) * 7 * 8/5 / 7/2
[62735] ['2/7', '9/5', '5/2', '4', '9'] -> 5/2 + 4 + 9 / (2/7 * 9/5)
[62736] ['3/8', '3/4', '7/8', '1', '2'] -> 2 / (1 / 3/4 - (3/8 + 7/8))
[62737] ['3/8', '5/9', '8/5', '6', '6'] -> 6 + 6 / (8/5 * 3/8 * 5/9)
[62738] ['5/7', '9/8', '5/2', '4', '8'] -> 4 * (8 - 9/8) - 5/2 / 5/7
[62739] ['2/3', '1', '9/7', '7/4', '6'] -> 6 / (7/4 * (1 - 2/3 * 9/7))
[62740] ['2/7', '9/5', '7/2', '4', '9'] -> 4 * (2/7 * 7/2 + 9 / 9/5)
[62741] ['1/8', '5/9', '3/5', '7', '7'] -> 7 / (1/8 * 5/9) / (3/5 * 7)
[62742] ['5/3', '5/3', '5/3', '4', '7'] -> (5/3 * 7 - 5/3) / (5/3 / 4)
[62743] ['1/9', '1/4', '4/7', '7', '8'] -> (7 + 8) / 4/7 - 1/4 / 1/9
[62744] ['2/3', '1', '9/7', '9/5', '6'] -> (1 + 9/5) * 9/7 * (2/3 + 6)
[62745] ['2/7', '9/5', '4', '9/2', '9'] -> 4 + (9/2 + 9 / 2/7) / 9/5
[62746] ['1/8', '1/5', '5/7', '1', '6'] -> 1/5 / (1/8 / 5/7 - 1 / 6)
[62747] ['3/8', '5/9', '9/5', '6', '6'] -> 6 / 5/9 / (3/8 * 6 - 9/5)
[62748] ['5/3', '5/3', '7/4', '4', '7'] -> 7 * (4 - 5/3 / 5/3 / 7/4)
[62749] ['1/8', '5/9', '5/8', '7', '7'] -> 7 / 5/9 + (1/8 + 7) / 5/8
[62750] ['3/8', '1/2', '6/7', '9', '9'] -> (9 + 9) / (6/7 * (3/8 + 1/2))
[62751] ['7/8', '7/2', '9/2', '5', '5'] -> (7/2 - 5 + 9/2 * 5) / 7/8
[62752] ['1/4', '6/5', '2', '2', '7/3'] -> (2 / 6/5 + 2 + 7/3) / 1/4
[62753] ['5/7', '9/8', '7/2', '4', '8'] -> (7/2 + 8) / (9/8 - 5/7) - 4
[62754] ['1/4', '6/7', '8/9', '2', '5'] -> (5 / (1/4 * 6/7) - 2) / 8/9
[62755] ['5/3', '5/3', '7/3', '4', '7'] -> 4 * (7/3 + 7 - (5/3 + 5/3))
[62756] ['2/7', '9/4', '7/3', '4', '9'] -> 9 / (2/7 * 9/4) / (7/3 / 4)
[62757] ['3/8', '1/2', '8/9', '9', '9'] -> (9 + 9 * 3/8 * 8/9) / 1/2
[62758] ['3/8', '5/9', '8/3', '6', '6'] -> 6 / 3/8 / (5/9 * 6 - 8/3)
[62759] ['3/8', '3/4', '1', '4/3', '2'] -> 2 / (4/3 * (1 - 3/8) - 3/4)
[62760] ['1/4', '6/7', '9/8', '2', '5'] -> 9/8 * (5 / (1/4 * 6/7) - 2)
[62761] ['3/8', '1/2', '7/6', '9', '9'] -> 7/6 / (3/8 + 1/2) * (9 + 9)
[62762] ['3/7', '3/7', '3/7', '1', '9'] -> 1 + (9 + 3/7 + 3/7) / 3/7
[62763] ['1/8', '5/9', '3/4', '7', '7'] -> (7 + 7 / 3/4) / (1/8 + 5/9)
[62764] ['2/7', '9/4', '8/3', '4', '9'] -> (9 - 4 / 8/3) / 2/7 - 9/4
[62765] ['1/4', '6/5', '2', '2', '9/2'] -> 2 / (1/4 / 6/5) * (9/2 - 2)
[62766] ['1/8', '1/5', '8/9', '1', '6'] -> 6 / (1/5 * (1/8 + 1 / 8/9))
[62767] ['1/8', '5/9', '7/9', '7', '7'] -> 7 / (7/9 - 7 * 1/8 * 5/9)
[62768] ['8/9', '8/9', '7/6', '5', '5'] -> 8/9 / (8/9 * 7/6 - 5 / 5)
[62769] ['2/7', '9/4', '4', '9/2', '9'] -> (9/2 / (2/7 / 4) - 9) / 9/4
[62770] ['8/9', '8/9', '5/4', '5', '5'] -> (5 + 8/9 / 8/9) / (5/4 / 5)
[62771] ['1/9', '1/4', '5/6', '7', '8'] -> (7 / (1/4 * 8) - 5/6) / 1/9
[62772] ['3/8', '4/7', '5/8', '6', '6'] -> 4/7 * 6 * (6 + 3/8 + 5/8)
[62773] ['2/3', '1', '7/5', '7/4', '6'] -> 6 / (1 / 2/3 - 7/4 / 7/5)
[62774] ['3/7', '3/7', '3/4', '1', '9'] -> (1 + 3/7 / 3/7) / (3/4 / 9)
[62775] ['1/4', '3/7', '7/9', '5', '8'] -> 5 / (1/4 - 3/7 * 7/9 / 8)
[62776] ['5/3', '9/4', '9/4', '4', '7'] -> (9/4 + 4) / (5/3 / 7) - 9/4
[62777] ['1/9', '1/4', '6/7', '7', '8'] -> 6/7 * 7 + 8 / (1/9 / 1/4)
[62778] ['3/8', '3/4', '1', '2', '5/2'] -> 3/4 * 2 / (1 - 3/8 * 5/2)
[62779] ['3/8', '1/2', '8/5', '9', '9'] -> 3/8 + 9 / 1/2 + 9 / 8/5
[62780] ['1/4', '6/7', '8/5', '2', '5'] -> (6/7 + 2) * 8/5 * (1/4 + 5)
[62781] ['1/4', '3/7', '4/5', '5', '8'] -> 3/7 * 5 * (8 + 4/5 / 1/4)
[62782] ['1/8', '5/9', '6/7', '7', '7'] -> (7 + 7) / (6/7 * (1/8 + 5/9))
[62783] ['5/7', '7/6', '8/5', '4', '8'] -> 8 / (5/7 * 7/6) / (8/5 / 4)
[62784] ['5/3', '9/4', '5/2', '4', '7'] -> (7 + 9/4 * 4) / (5/3 / 5/2)
[62785] ['3/8', '4/7', '7/9', '6', '6'] -> 4/7 * 6 + 6 / (3/8 * 7/9)
[62786] ['1/4', '9/7', '9/7', '2', '2'] -> (2 + 9/7 / 9/7) / (1/4 / 2)
[62787] ['1/4', '3/7', '8/9', '5', '8'] -> (5 + 8 / 8/9) / (1/4 / 3/7)
[62788] ['3/8', '7/9', '7/9', '1', '2'] -> (7/9 + 1) / (7/9 / 3/8 - 2)
[62789] ['2/3', '1', '7/5', '8/3', '6'] -> (1 + 7/5) * (6 + 8/3 / 2/3)
[62790] ['5/7', '7/6', '7/4', '4', '8'] -> 8 / 4 / (5/7 * 7/4 - 7/6)
[62791] ['1/9', '1/4', '8/7', '7', '8'] -> 1/9 * 7 * (8 / 1/4 - 8/7)
[62792] ['1/4', '6/7', '9/5', '2', '5'] -> (9/5 * 5 - 2) / (1/4 / 6/7)
[62793] ['2/7', '8/3', '7/2', '4', '9'] -> 4 / (7/2 - 2/7 * (8/3 + 9))
[62794] ['1/8', '5/9', '9/8', '7', '7'] -> (7 + (1/8 + 7) / 9/8) / 5/9
[62795] ['1/8', '2/9', '2/7', '1', '6'] -> (6 + 1 / 2/9) / (1/8 / 2/7)
[62796] ['5/7', '7/6', '9/4', '4', '8'] -> 9/4 * (4 + 8 * 5/7 * 7/6)
[62797] ['1/9', '1/4', '7/6', '7', '8'] -> 7 / 7/6 + 8 / (1/9 / 1/4)
[62798] ['3/7', '3/7', '1', '9/5', '9'] -> (9 - 9/5) / (3/7 / (3/7 + 1))
[62799] ['4/9', '1', '5/4', '5/2', '7'] -> 7 * (5/4 + 5/2) - 1 / 4/9
[62800] ['8/9', '8/9', '7/4', '5', '5'] -> (7/4 + 5) * (8/9 * 5 - 8/9)
[62801] ['3/8', '4/7', '7/8', '6', '6'] -> (6 + 6 * 4/7 * 7/8) / 3/8
[62802] ['1/3', '1/3', '5/7', '4', '9'] -> 4 + (1/3 + 9) / (1/3 / 5/7)
[62803] ['1/8', '5/9', '7/6', '7', '7'] -> 7/6 / (1/8 + 5/9) * (7 + 7)
[62804] ['3/7', '3/7', '1', '7/3', '9'] -> 1 + 7/3 * (9 + 3/7 + 3/7)
[62805] ['4/9', '1', '5/4', '8/3', '7'] -> 1 + 5/4 + (8/3 + 7) / 4/9
[62806] ['7/4', '7/4', '9/5', '4', '7'] -> 7/4 / (9/5 - 7/4) - (4 + 7)
[62807] ['1/4', '9/7', '5/3', '2', '2'] -> 2 / ((1/4 + 2) / 9/7 - 5/3)
[62808] ['3/8', '4/7', '8/9', '6', '6'] -> 3/8 + (6 + 6) / (4/7 * 8/9)
[62809] ['2/3', '1', '8/5', '7/4', '6'] -> 6 / (2/3 + 1) / (7/4 - 8/5)
[62810] ['1/3', '1/3', '6/7', '4', '9'] -> 9 + (1/3 + 4 / 6/7) / 1/3
[62811] ['1/8', '5/9', '6/5', '7', '7'] -> (6/5 + 7 / (5/9 * 7)) / 1/8
[62812] ['7/4', '7/4', '9/4', '4', '7'] -> (7 * (9/4 + 4) - 7/4) / 7/4
[62813] ['5/7', '6/5', '5/4', '4', '8'] -> (4 - 6/5) * (8 + 5/7 / 5/4)
[62814] ['8/9', '8/9', '9/4', '5', '5'] -> 8/9 * (8/9 * 9/4 + 5 * 5)
[62815] ['3/7', '4/9', '4/9', '1', '9'] -> 4/9 * (1 / (4/9 - 3/7) - 9)
[62816] ['1/4', '7/8', '6/5', '2', '5'] -> 6/5 / (7/8 / 5 - 1/4 / 2)
[62817] ['3/7', '4/9', '1/2', '1', '9'] -> 4/9 * 9 / (1/2 / 3/7 - 1)
[62818] ['2/3', '1', '8/5', '7/2', '6'] -> 8/5 * (1 + 6 * 2/3 * 7/2)
[62819] ['1/3', '1/3', '7/5', '4', '9'] -> 4 + (1/3 + 9) / (1/3 * 7/5)
[62820] ['3/8', '7/9', '1', '7/6', '2'] -> 1 / (3/8 - 7/9 / 7/6 / 2)
[62821] ['8/9', '8/9', '7/2', '5', '5'] -> (8/9 + 8/9) * (5 + 7/2 + 5)
[62822] ['4/9', '1', '9/7', '4/3', '7'] -> (9/7 * 7 - 1) / (4/9 / 4/3)
[62823] ['1/8', '2/9', '6/7', '1', '6'] -> 6/7 / (1 / (2/9 + 6) - 1/8)
[62824] ['7/4', '9/5', '8/3', '4', '7'] -> 9/5 * (7 / (7/4 / 4) - 8/3)
[62825] ['1/4', '7/8', '9/5', '2', '5'] -> 9/5 * 5 / (7/8 - 1/4 * 2)
[62826] ['1/4', '3/7', '9/2', '5', '8'] -> 3/7 * (9/2 * 8 + 5 / 1/4)
[62827] ['3/7', '4/9', '5/8', '1', '9'] -> (9 - 1 / 3/7) / (4/9 * 5/8)
[62828] ['8/9', '8/9', '9/2', '5', '5'] -> (8/9 + 8/9 / 5) * 9/2 * 5
[62829] ['3/8', '7/9', '1', '5/4', '2'] -> (2 + 5/4 / 3/8) / (1 - 7/9)
[62830] ['1/8', '5/9', '7/5', '7', '7'] -> 7 / (5/9 * (7/5 - 1/8 * 7))
[62831] ['5/7', '6/5', '9/4', '4', '8'] -> (9/4 - 6/5) * 8 * 5/7 * 4
[62832] ['7/4', '9/5', '4', '9/2', '7'] -> 7 + 4 * (7/4 + 9/2 / 9/5)
[62833] ['3/8', '7/9', '1', '9/7', '2'] -> 2 / (3/8 * 7/9) / (9/7 - 1)
[62834] ['1/8', '2/9', '1', '9/8', '6'] -> (1 - 1/8 / 9/8) / (2/9 / 6)
[62835] ['7/4', '9/4', '9/4', '4', '7'] -> 7 * (4 - 9/4 / (7/4 * 9/4))
[62836] ['1/4', '4/9', '3/5', '5', '8'] -> 8 / (1/4 * 4/9) / (3/5 * 5)
[62837] ['5/7', '6/5', '8/3', '4', '8'] -> 4 * 6/5 * 8/3 + 8 / 5/7
[62838] ['1/4', '9/7', '2', '2', '7/2'] -> (2 + 9/7 * 7/2) / 1/4 - 2
[62839] ['3/7', '4/9', '5/6', '1', '9'] -> 9 / 3/7 / (5/6 / 4/9 - 1)
[62840] ['1/4', '8/9', '8/7', '2', '5'] -> (5 + 2 / 8/7) / (1/4 / 8/9)
[62841] ['3/8', '5/9', '7/6', '9', '9'] -> 9 * (5/9 + 7/6 / 3/8) - 9
[62842] ['8/9', '9/8', '7/6', '5', '5'] -> 8/9 / (7/6 / 9/8 - 5 / 5)
[62843] ['1/3', '3/8', '6/7', '4', '9'] -> 6/7 * 9 * (4 - 1/3 / 3/8)
[62844] ['1/8', '5/9', '8/5', '7', '7'] -> 8/5 * (1/8 + 7) + 7 / 5/9
[62845] ['1/9', '2/7', '3/8', '7', '8'] -> (8 - 7 * 2/7 / 3/8) / 1/9
[62846] ['3/8', '7/9', '1', '3/2', '2'] -> 1 / 3/2 / (7/9 - 3/8 * 2)
[62847] ['1/4', '8/9', '7/6', '2', '5'] -> (5 / (1/4 / 7/6) - 2) / 8/9
[62848] ['8/9', '9/8', '5/4', '5', '5'] -> (5 + 8/9 * 9/8) / (5/4 / 5)
[62849] ['9/5', '9/5', '9/5', '4', '7'] -> (9/5 * 7 - 9/5) / (9/5 / 4)
[62850] ['1/8', '2/9', '1', '6/5', '6'] -> 1 / 6/5 / (1/8 * 2/9) - 6
[62851] ['1/4', '4/3', '8/5', '2', '2'] -> (8/5 + 2) * (2 / 1/4 - 4/3)
[62852] ['9/5', '9/5', '5/2', '4', '7'] -> 4 + 5/2 * (7 + 9/5 / 9/5)
[62853] ['3/7', '4/9', '8/9', '1', '9'] -> 1 + 8/9 / 4/9 + 9 / 3/7
[62854] ['3/8', '7/9', '1', '7/4', '2'] -> 1 / (3/8 * 7/9 + 7/4 - 2)
[62855] ['9/5', '9/5', '4', '9/2', '7'] -> 4 * 9/2 + 7 - 9/5 / 9/5
[62856] ['3/7', '4/9', '1', '9/8', '9'] -> 9 / (9/8 / 3/7 - 1 / 4/9)
[62857] ['1/8', '5/9', '9/4', '7', '7'] -> 9/4 / (1/8 / 5/9) + 7 + 7
[62858] ['1/3', '2/5', '4/9', '4', '9'] -> 9 * (4/9 / (2/5 - 1/3) - 4)
[62859] ['5/7', '5/7', '5/6', '1', '6'] -> (6 + 5/7 / 5/6) / (1 - 5/7)
[62860] ['1/4', '7/5', '7/5', '2', '2'] -> (2 + 7/5 / 7/5) / (1/4 / 2)
[62861] ['9/5', '9/4', '9/4', '4', '7'] -> 4 * (9/4 / 9/5 - (9/4 - 7))
[62862] ['1/4', '4/9', '6/7', '5', '8'] -> (5 / 1/4 - 8 / 6/7) / 4/9
[62863] ['5/7', '5/7', '6/7', '1', '6'] -> 6 * (5/7 / (6/7 - 5/7) - 1)
[62864] ['3/7', '4/9', '1', '7/6', '9'] -> (9 + 7/6 * (3/7 + 1)) / 4/9
[62865] ['1/3', '2/5', '5/7', '4', '9'] -> 5/7 * (1/3 + 9) * (4 - 2/5)
[62866] ['1/4', '8/9', '8/5', '2', '5'] -> (2 - 8/9) * (8/5 + 5 / 1/4)
[62867] ['9/5', '9/4', '5/2', '4', '7'] -> 5/2 * (4 + 7 * 9/5 / 9/4)
[62868] ['1/8', '5/9', '8/3', '7', '7'] -> (8/3 - 7 / 7) / (1/8 * 5/9)
[62869] ['3/7', '4/9', '1', '6/5', '9'] -> (9 / (6/5 - 3/7) - 1) / 4/9
[62870] ['1/4', '4/9', '6/5', '5', '8'] -> 1/4 * 5 * (6/5 + 8 / 4/9)
[62871] ['1/4', '7/5', '7/4', '2', '2'] -> (2 + 2 / 7/5) / (1/4 / 7/4)
[62872] ['5/7', '4/3', '4/3', '4', '8'] -> 8 / (4/3 / 4/3 - 5/7) - 4
[62873] ['3/8', '3/5', '5/7', '6', '6'] -> (6 + 3/5 + 6) / (3/8 / 5/7)
[62874] ['3/7', '4/9', '1', '5/4', '9'] -> 9 / (3/7 / 5/4) - 1 / 4/9
[62875] ['1/3', '2/5', '6/7', '4', '9'] -> 4 + (1/3 + 9) / (2/5 / 6/7)
[62876] ['4/9', '1', '9/7', '9/2', '7'] -> 1 + 7 * (9/7 + 4/9 * 9/2)
[62877] ['1/9', '2/7', '2/3', '7', '8'] -> 2/3 / 7 * 8 / (1/9 * 2/7)
[62878] ['8/9', '9/8', '7/4', '5', '5'] -> (7/4 + 5) * (5 / 9/8 - 8/9)
[62879] ['1/8', '5/9', '9/2', '7', '7'] -> (7 + 7) / (5/9 + 1/8 / 9/2)
[62880] ['3/8', '4/5', '7/8', '1', '2'] -> 2 / (7/8 - 4/5) - 1 / 3/8
[62881] ['1/4', '4/9', '8/5', '5', '8'] -> (8/5 - 1/4) * 8 * 4/9 * 5
[62882] ['3/7', '4/9', '1', '7/5', '9'] -> (9 + 1 / (3/7 * 7/5)) / 4/9
[62883] ['3/8', '3/5', '5/6', '6', '6'] -> (6 + 6 * 3/5 * 5/6) / 3/8
[62884] ['5/7', '4/3', '9/4', '4', '8'] -> 9/4 * (4 + 5/7 * (4/3 + 8))
[62885] ['1/8', '4/7', '4/7', '7', '7'] -> (7 / 4/7 - 7) / (1/8 / 4/7)
[62886] ['1/8', '1/4', '7/9', '1', '6'] -> (1 + 6) / (7/9 * (1/8 + 1/4))
[62887] ['1/4', '9/8', '9/8', '2', '5'] -> (2 + 5 - 9/8 / 9/8) / 1/4
[62888] ['9/5', '7/3', '8/3', '4', '7'] -> (7/3 + 8/3) * (7 + 9/5 - 4)
[62889] ['5/7', '5/7', '1', '6/5', '6'] -> (6 + 5/7 * 6/5) / (1 - 5/7)
[62890] ['1/4', '4/9', '7/4', '5', '8'] -> 5 / (4/9 * (1/4 + 7/4 / 8))
[62891] ['3/8', '5/9', '8/3', '9', '9'] -> (9 + 9) / (3/8 / 5/9) - 8/3
[62892] ['1/4', '7/5', '2', '2', '7/2'] -> 2 * (2 + 7/2 / (1/4 * 7/5))
[62893] ['1/8', '1/4', '4/5', '1', '6'] -> 1/4 / (1 / 6 - 1/8 / 4/5)
[62894] ['5/7', '5/7', '1', '9/7', '6'] -> 6 / (5/7 / (9/7 - 5/7) - 1)
[62895] ['3/7', '4/9', '1', '8/5', '9'] -> (9 - 1 / 3/7) / (4/9 / 8/5)
[62896] ['3/8', '5/9', '7/2', '9', '9'] -> (9 + 7/2 / 3/8) / 5/9 - 9
[62897] ['8/9', '9/8', '7/2', '5', '5'] -> 5 / (8/9 * (5 - 7/2) - 9/8)
[62898] ['1/9', '2/7', '6/7', '7', '8'] -> ((2/7 + 8) / 6/7 - 7) / 1/9
[62899] ['1/4', '9/8', '9/7', '2', '5'] -> (2 / 9/7 + 5 / 9/8) / 1/4
[62900] ['3/8', '3/5', '8/7', '6', '6'] -> 6 / 3/5 + 6 / (3/8 * 8/7)
[62901] ['3/8', '5/9', '9/2', '9', '9'] -> 3/8 * 9 * (9 - 5/9) - 9/2
[62902] ['3/7', '4/9', '1', '9/5', '9'] -> (9 / (3/7 * 9/5) - 1) / 4/9
[62903] ['1/4', '3/2', '8/5', '2', '2'] -> 3/2 * 8/5 * (2 + 2 / 1/4)
[62904] ['1/8', '1/4', '1', '6/5', '6'] -> (1 + 1/4 * 6) / (1/8 / 6/5)
[62905] ['3/8', '4/5', '1', '5/4', '2'] -> 5/4 / (4/5 - 3/8 * 2) - 1
[62906] ['1/4', '3/2', '9/5', '2', '2'] -> (2 + 2 / 3/2) / (1/4 / 9/5)
[62907] ['1/8', '1/4', '1', '9/7', '6'] -> (1 + 6) * 9/7 / (1/8 + 1/4)
[62908] ['1/9', '2/7', '9/8', '7', '8'] -> 8 + 7 / (9/8 * 1/9 / 2/7)
[62909] ['1/3', '3/7', '5/8', '4', '9'] -> 9 / (5/8 / (1/3 * 3/7) - 4)
[62910] ['8/9', '8/7', '7/6', '5', '5'] -> 8/7 / ((8/9 + 5) / 7/6 - 5)
[62911] ['5/7', '5/7', '1', '9/5', '6'] -> (1 + 9/5) * 6 * (5/7 + 5/7)
