[89506] ['2/9', '2/9', '5/3', '6', '9'] -> 5/3 * (6 + 9) - 2/9 / 2/9
[89570] ['5/9', '7/6', '8/3', '5', '9'] -> 5 * 7/6 * 8/3 - (5/9 - 9)
[89571] ['2/3', '5/7', '1', '9/4', '5'] -> 5 / (2/3 * (1 - 5/7)) - 9/4
[89572] ['2/9', '1/4', '8/7', '6', '9'] -> (1/4 + 2/9 / 8/7) * 6 * 9
[89573] ['4/9', '8/7', '8/3', '4', '4'] -> 8/3 / (4 - (4/9 + 4) / 8/7)
[89574] ['1', '8/5', '5/3', '2', '8/3'] -> 8/5 / (8/3 - (2 + 1 / 5/3))
[89575] ['7/6', '5/2', '5/2', '5', '8'] -> 5/2 * 8 / (5 / 5/2 - 7/6)
[89576] ['5/9', '3/5', '3/5', '2', '4'] -> 4 / (5/9 * (3/5 - 3/5 / 2))
[89577] ['9/8', '8/7', '9/2', '8', '8'] -> 8 * (8 / 8/7 - 9/2 / 9/8)
[89578] ['2/3', '5/7', '1', '5/2', '5'] -> (5 + 1 / 5/7) * 5/2 / 2/3
[89579] ['2/7', '1', '4/3', '7/3', '3'] -> 3 * (1 + 7/3 + 4/3 / 2/7)
[89580] ['2/9', '4/7', '7/3', '5', '7'] -> (7/3 + 5 / 7) / (2/9 * 4/7)
[89581] ['1', '8/5', '5/3', '2', '7/2'] -> 8/5 * 5/3 * 2 * (1 + 7/2)
[89582] ['5/9', '3/5', '5/8', '2', '4'] -> (3/5 + 4 * 2 / 5/9) / 5/8
[89583] ['1/8', '3/7', '3/4', '1', '1'] -> 1 / (1/8 / 3/7 + 3/4 - 1)
[89584] ['2/9', '4/7', '5/2', '5', '7'] -> 5 / 2/9 - (5/2 - 4/7 * 7)
[89585] ['2/7', '1', '4/3', '3', '7/2'] -> 3 + (1 + 7/2) * 4/3 / 2/7
[89586] ['1', '8/5', '7/4', '7/4', '2'] -> (7/4 + 2) / (7/4 - 8/5) - 1
[89587] ['1/6', '8/7', '5/3', '3', '9'] -> 8/7 * (3 * 5/3 / 1/6 - 9)
[89588] ['5/9', '3/5', '5/7', '2', '4'] -> 4 / (5/7 - 5/9) - 3/5 * 2
[89589] ['1/8', '1/4', '5/7', '5', '6'] -> (1/4 + 5) * 5/7 / 1/8 - 6
[89590] ['1', '8/5', '7/4', '2', '9/4'] -> 9/4 / (1 - 2 + 7/4 / 8/5)
[89591] ['2/3', '3/4', '4/5', '1', '5'] -> 5 * 4/5 / 2/3 / (1 - 3/4)
[89592] ['1/7', '4/9', '1', '7/4', '2'] -> (7/4 + 2) / 1/7 - 1 / 4/9
[89593] ['3/7', '4', '4', '9/2', '9/2'] -> 9/2 * 4 / 3/7 - 4 * 9/2
[89594] ['2/9', '1/4', '8/5', '6', '9'] -> 9 / (2/9 * (8/5 - 1/4)) - 6
[89595] ['1/6', '1/5', '2/3', '6', '7'] -> 2/3 * (1/6 * 6 + 7 / 1/5)
[89596] ['4/9', '7/6', '6/5', '4', '4'] -> (4/9 + 4) * (4 + 7/6 * 6/5)
[89597] ['1/8', '1/4', '8/9', '5', '6'] -> 8/9 * 6 * (5 - 1/8 / 1/4)
[89598] ['4/9', '4/9', '4/9', '4', '4'] -> 4 * (4 + (4/9 + 4/9) / 4/9)
[89599] ['2/7', '1', '7/5', '5/3', '3'] -> 5/3 * ((7/5 + 3) / 2/7 - 1)
[89600] ['1/6', '8/7', '8/3', '3', '9'] -> 8/7 * 3 * (8/3 / 1/6 - 9)
[89601] ['2/9', '2/7', '2/7', '6', '9'] -> 2/9 * 9 + (2/7 + 6) / 2/7
[89602] ['1/8', '3/7', '1', '1', '9/8'] -> 3/7 / (1 / (1 - 1/8) - 9/8)
[89603] ['6/5', '5/4', '5/4', '5', '8'] -> 6/5 * 8 * (5 - (5/4 + 5/4))
[89604] ['2/3', '3/4', '1', '6/5', '5'] -> 5 * 6/5 / 3/4 / (1 - 2/3)
[89605] ['5/9', '5/4', '9/7', '5', '9'] -> (5 / 9/7 - 5/9) * 9 / 5/4
[89606] ['2/9', '3/5', '3/4', '5', '7'] -> (7 - 3/5 * 5) / (2/9 * 3/4)
[89607] ['5/9', '3/5', '7/8', '2', '4'] -> 3/5 / (2 / (5/9 * 4) - 7/8)
[89608] ['1/6', '1/5', '7/9', '6', '7'] -> 7 / (1/6 * 7/9) - 6 / 1/5
[89609] ['1', '8/5', '7/4', '2', '9/2'] -> (9/2 / (2 * (7/4 / 8/5)) - 1))
[89610] ['1/7', '4/9', '1', '2', '7/3'] -> (2 / 1/7 - (1 + 7/3)) / 4/9
[89611] ['1/8', '1/4', '7/5', '5', '6'] -> (1/4 + 5) / (1/8 * 7/5) - 6
[89612] ['4/9', '4/9', '7/9', '4', '4'] -> (7/9 * 4 - 4/9) * 4 / 4/9
[89613] ['5/9', '3/5', '8/9', '2', '4'] -> (2 + 8/9 / 5/9) * 4 / 3/5
[89614] ['2/7', '1', '7/5', '9/5', '3'] -> (1 + 9/5 / 7/5) * 3 / 2/7
[89615] ['9/8', '7/6', '7/4', '8', '8'] -> 8 * 8 * (7/4 / 7/6 - 9/8)
[89616] ['2/9', '3/5', '5/6', '5', '7'] -> 5/6 - 5 / 3/5 + 7 / 2/9
[89617] ['4/9', '4/9', '5/6', '4', '4'] -> (4 + 4/9 / 4/9) * 4 / 5/6
[89618] ['5/9', '5/4', '8/5', '5', '9'] -> 5 / (5/9 / 8/5 - 5/4 / 9)
[89619] ['1/6', '6/5', '9/7', '3', '9'] -> (9/7 + 9) * (3 / 6/5 - 1/6)
[89620] ['2/9', '2/7', '4/9', '6', '9'] -> (6 / 2/7 - 9) * 4/9 / 2/9
[89621] ['1/8', '3/7', '1', '1', '4/3'] -> 1 / (4/3 - (1 + 1/8 / 3/7))
[89622] ['1', '8/5', '9/5', '2', '5/2'] -> 2 * 5/2 / (9/5 - 8/5) - 1
[89623] ['2/9', '3/5', '6/7', '5', '7'] -> 7 * 6/7 / 2/9 - 3/5 * 5
[89624] ['4/9', '4/9', '6/7', '4', '4'] -> 4 / (4/9 / 4/9 - 6/7) - 4
[89625] ['1/8', '3/7', '1', '1', '7/5'] -> (1 + 7/5 * (3/7 + 1)) / 1/8
[89626] ['4/9', '7/6', '9/5', '4', '4'] -> (4 * 4 - 4/9) * 9/5 / 7/6
[89627] ['2/7', '1', '7/5', '5/2', '3'] -> 3 + (1 + 7/5) * 5/2 / 2/7
[89628] ['6/5', '9/7', '9/7', '5', '8'] -> 9/7 / 5 * 8 / (9/7 - 6/5)
[89629] ['2/9', '3/5', '7/8', '5', '7'] -> 5 / (3/5 * (2/9 + 7/8 / 7))
[89630] ['1/7', '4/9', '1', '2', '9/2'] -> 1 + 9/2 * (2 + 4/9 / 1/7)
[89631] ['1/8', '3/7', '1', '1', '3/2'] -> (1 / 3/7 + 1 / 3/2) / 1/8
[89632] ['5/9', '3/5', '6/5', '2', '4'] -> 4 * 2 / 5/9 / (6/5 - 3/5)
[89633] ['2/7', '1', '7/5', '8/3', '3'] -> (3 / (7/5 * (1 / 8/3)) - 2/7))
[89634] ['1/8', '2/7', '4/9', '5', '6'] -> 2/7 * (5 / (1/8 * 4/9) - 6)
[89635] ['6/5', '9/7', '4/3', '5', '8'] -> 9/7 * 4/3 * (8 + 6/5 * 5)
[89636] ['4/9', '4/9', '8/7', '4', '4'] -> 4 / (8/7 - 4/9 / 4/9) - 4
[89637] ['4/9', '7/6', '7/2', '4', '4'] -> 4 * (4 / 4/9 - 7/2 / 7/6)
[89638] ['1/6', '1/5', '9/7', '6', '7'] -> 7 * 9/7 / 1/6 - 6 / 1/5
[89639] ['6/5', '9/7', '3/2', '5', '8'] -> 8 * (5 / 6/5 - 3/2 / 9/7)
[89640] ['5/9', '9/7', '9/7', '5', '9'] -> 9 * 5/9 * 5 - 9/7 / 9/7
[89641] ['1', '8/5', '2', '9/4', '7/3'] -> 8/5 * 2 * 9/4 * (1 + 7/3)
[89642] ['1/7', '1/2', '5/8', '1', '2'] -> (1/2 + 1 / 1/7) * 2 / 5/8
[89643] ['4/9', '4/9', '9/7', '4', '4'] -> (4 / 9/7 - 4/9) * 4 / 4/9
[89644] ['6/5', '9/7', '8/5', '5', '8'] -> 9/7 * 8/5 * (5 + 8 / 6/5)
[89645] ['2/7', '1', '3/2', '3/2', '3'] -> (3/2 + 3 / 2/7) / (3/2 - 1)
[89646] ['4/9', '6/5', '9/7', '4', '4'] -> 6/5 * 9/7 * (4 * 4 - 4/9)
[89647] ['2/9', '3/5', '7/6', '5', '7'] -> 7 / (2/9 * 7/6) - 3/5 * 5
[89648] ['2/7', '1', '3/2', '8/5', '3'] -> (3/2 + 1 / 2/7) * 8/5 * 3
[89649] ['1/7', '1/2', '7/9', '1', '2'] -> (7/9 + 1) * (2 / 1/7 - 1/2)
[89650] ['1', '8/5', '2', '9/4', '8/3'] -> 9/4 * 8/3 / (2 / 8/5 - 1)
[89651] ['1/8', '3/7', '1', '1', '7/3'] -> (3/7 * 7/3 + 1 + 1) / 1/8
[89652] ['1/6', '1/5', '7/4', '6', '7'] -> (6 - 1/6) * (1/5 + 7) / 7/4
[89653] ['9/8', '6/5', '3/2', '8', '8'] -> 3/2 / (8 / 8 - 9/8 / 6/5)
[89654] ['4/9', '6/5', '7/5', '4', '4'] -> (4 + 4) * 7/5 / 4/9 - 6/5
[89655] ['2/9', '3/5', '6/5', '5', '7'] -> (7 + 6/5 - 5) / (2/9 * 3/5)
[89656] ['1/8', '2/7', '2/3', '5', '6'] -> (2/3 + (5 / (6 * 1/8) * 2/7)))
[89657] ['5/9', '3/5', '2', '7/3', '4'] -> 2 * (3/5 + (7/3 + 4) / 5/9)
[89658] ['1/8', '3/7', '1', '1', '5/2'] -> 1 / (5/2 - (1/8 + 1 / 3/7))
[89659] ['1/7', '1/2', '5/6', '1', '2'] -> 2 / (1/7 * (1 - 1/2 * 5/6))
[89660] ['4/9', '1/2', '1/2', '4', '4'] -> 4 / (4/9 * (1/2 - 1/2 / 4))
[89661] ['4/9', '6/5', '3/2', '4', '4'] -> 4 * (4 / (4/9 * 6/5) - 3/2)
[89662] ['2/9', '3/5', '5/4', '5', '7'] -> (7 / 3/5 - 5) / (2/9 * 5/4)
[89663] ['2/7', '1', '3/2', '9/5', '3'] -> (3/2 + 1 / 2/7) * (9/5 + 3)
[89664] ['1/6', '9/7', '7/4', '3', '9'] -> 7/4 * (9/7 / 1/6 - (3 - 9))
[89665] ['6/5', '9/7', '7/3', '5', '8'] -> 8 * (6/5 * 5 - 9/7 * 7/3)
[89666] ['1/7', '1/2', '8/9', '1', '2'] -> 8/9 * (2 / (1/7 * 1/2) - 1)
[89667] ['1/8', '2/7', '3/4', '5', '6'] -> 5 / (2/7 * (3/4 - 1/8 / 6))
[89668] ['4/9', '6/5', '5/3', '4', '4'] -> 4 * (4/9 + 4 * 5/3 / 6/5)
[89669] ['2/9', '3/5', '9/7', '5', '7'] -> 5 * (7 / 9/7 - 3/5) - 2/9
[89670] ['1/8', '3/7', '1', '1', '9/2'] -> (1 / (3/7 * (1 / 9/2)) - 1/8))
[89671] ['1/6', '1/5', '7/2', '6', '7'] -> (7 / (1/5 * 7/2) - 6) / 1/6
[89672] ['2/7', '1', '3/2', '7/3', '3'] -> 1 - 3/2 + 3 * 7/3 / 2/7
[89673] ['9/8', '6/5', '9/4', '8', '8'] -> 9/8 * 8 + 8 * 9/4 / 6/5
[89674] ['2/3', '7/9', '1', '8/5', '5'] -> 5 * 2/3 * 8/5 / (1 - 7/9)
[89675] ['1/8', '4/9', '4/9', '1', '1'] -> (4/9 / 4/9 + 1 + 1) / 1/8
[89676] ['1/6', '9/7', '9/4', '3', '9'] -> 3 / (9/4 / (9 - 9/7) - 1/6)
[89677] ['6/5', '9/7', '8/3', '5', '8'] -> 5 * (8 * 6/5 / 9/7 - 8/3)
[89678] ['1', '8/5', '2', '7/3', '7/2'] -> 1 / (7/2 - (2 + 7/3 / 8/5))
[89679] ['2/3', '7/9', '1', '5/3', '5'] -> 5 / (2/3 - 7/9 / 5/3) - 1
[89680] ['2/9', '2/7', '7/5', '6', '9'] -> (2/7 + 2/9 / 7/5) * 6 * 9
[89681] ['1/6', '9/7', '8/3', '3', '9'] -> (9 - (8/3 + 3 / 9/7)) / 1/6
[89682] ['1/7', '1/2', '1', '4/3', '2'] -> (2 + 1 / 1/7) * 4/3 / 1/2
[89683] ['4/9', '6/5', '7/2', '4', '4'] -> (7/2 * 4 - 4 / 6/5) / 4/9
[89684] ['2/7', '1', '8/5', '8/5', '3'] -> 8/5 + (1 + 3) * 8/5 / 2/7
[89685] ['9/8', '6/5', '8/3', '8', '8'] -> 6/5 * (8 + 9/8 * (8/3 + 8))
[89686] ['1/6', '2/9', '3/7', '6', '7'] -> 3/7 * 6 * 7 * 2/9 / 1/6
[89687] ['1/6', '4/3', '7/5', '3', '9'] -> (9 / (3 - 4/3) - 7/5) / 1/6
[89688] ['1/8', '2/7', '8/9', '5', '6'] -> 5 / (1/8 * 8/9) - 6 / 2/7
[89689] ['1/7', '1/2', '1', '8/5', '2'] -> (1/2 + 1 / 1/7) * 8/5 * 2
[89690] ['1/8', '4/9', '3/5', '1', '1'] -> (1 / ((1/8 * 3/5) * 1) - 4/9))
[89691] ['9/8', '6/5', '7/2', '8', '8'] -> 9/8 * (7/2 * 8 - 8 / 6/5)
[89692] ['5/9', '4/3', '8/5', '5', '9'] -> (5 + 9) / 5/9 - 8/5 / 4/3
[89693] ['2/7', '1', '8/5', '7/4', '3'] -> 3 / (1 / 8/5 - 2/7 * 7/4)
[89694] ['5/9', '5/8', '4/5', '2', '4'] -> 2 / (5/8 - 5/9) - (4/5 + 4)
[89695] ['2/9', '3/5', '8/3', '5', '7'] -> (3/5 + 7 / 5) * 8/3 / 2/9
[89696] ['1', '8/5', '2', '8/3', '7/2'] -> 8/3 * (8/5 + 2) * (7/2 - 1)
[89697] ['4/9', '1/2', '7/8', '4', '4'] -> 4 * (1/2 / 4/9 + 7/8 + 4)
[89698] ['6/5', '4/3', '7/2', '5', '8'] -> 5 * (4/3 * (8 - 7/2) - 6/5)
[89699] ['1/6', '2/9', '5/7', '6', '7'] -> (6 / (7 * (1/6 / 2/9)) - 5/7))
[89700] ['2/7', '1', '8/5', '9/5', '3'] -> 8/5 + (1 + 9/5 * 3) / 2/7
[89701] ['4/9', '5/4', '7/5', '4', '4'] -> 5/4 * (7/5 + 4) * (4 - 4/9)
[89702] ['1/6', '7/5', '5/3', '3', '9'] -> 5/3 * (7/5 / 1/6 - (3 - 9))
[89703] ['9/8', '5/4', '9/7', '8', '8'] -> (5/4 - 9/8 / 9/7) * 8 * 8
[89704] ['1/8', '2/7', '5/4', '5', '6'] -> 5/4 / (1/8 * 2/7) - (5 + 6)
[89705] ['6/5', '7/5', '7/5', '5', '8'] -> (7/5 + 5) / (7/5 - 6/5) - 8
[89706] ['5/9', '5/8', '7/8', '2', '4'] -> (2 + 4) / (5/8 / 5/9 - 7/8)
[89707] ['5/9', '4/3', '7/2', '5', '9'] -> 4/3 / (5/9 + 7/2 + 5 - 9)
[89708] ['1/7', '1/2', '1', '2', '9/4'] -> (2 * 9/4 - 1) / 1/7 - 1/2
[89709] ['2/3', '4/5', '8/9', '1', '5'] -> 5 * 2/3 * 4/5 / (1 - 8/9)
[89710] ['5/9', '5/8', '8/9', '2', '4'] -> 8/9 / (2 / (4 - 5/8) - 5/9)
[89711] ['1/8', '4/9', '5/6', '1', '1'] -> 1 + (1 + 5/6 / 4/9) / 1/8
[89712] ['9/8', '5/4', '9/5', '8', '8'] -> 8 + 9/5 * 8 * 5/4 / 9/8
[89713] ['4/9', '1/2', '9/7', '4', '4'] -> (4 * 4 / 9/7 - 4/9) / 1/2
[89714] ['4/9', '5/4', '9/5', '4', '4'] -> 5/4 * 4 * (4 + 4/9 * 9/5)
[89715] ['1/6', '2/9', '8/7', '6', '7'] -> 8/7 / 6 * 7 / (2/9 - 1/6)
[89716] ['2/3', '4/5', '1', '9/8', '5'] -> 5 / (4/5 * (2/3 + 1) - 9/8)
[89717] ['2/7', '1', '8/5', '5/2', '3'] -> 5/2 * (1 + 3 + 8/5 / 2/7)
[89718] ['2/9', '2/7', '7/2', '6', '9'] -> 2/9 * 9 + 7/2 * (2/7 + 6)
[89719] ['1', '5/3', '5/3', '9/5', '2'] -> 5/3 * 2 / (9/5 - 5/3) - 1
[89720] ['1/7', '1/2', '1', '2', '8/3'] -> (1 + 1/2 / 1/7) * 2 * 8/3
[89721] ['4/9', '5/4', '9/4', '4', '4'] -> 4 * (4/9 * 9/4 + 5/4 * 4)
[89722] ['1', '5/3', '5/3', '2', '9/4'] -> 2 / (5/3 - 9/4 - (1 - 5/3))
[89723] ['1/8', '4/9', '7/8', '1', '1'] -> (7/8 + 1 / 4/9) / 1/8 - 1
[89724] ['1/8', '2/7', '8/5', '5', '6'] -> 6 / 2/7 - (1/8 - 5 / 8/5)
[89725] ['1', '5/3', '5/3', '2', '7/3'] -> (5/3 + 7/3) / (1 - 5/3 / 2)
[89726] ['2/3', '4/5', '1', '6/5', '5'] -> 4/5 * 5 / (1 / 6/5 - 2/3)
[89727] ['1/8', '4/9', '1', '1', '9/8'] -> (1 + 1 / (4/9 * 9/8)) / 1/8
[89728] ['2/9', '1/3', '5/7', '6', '9'] -> (1/3 + 9) * 5/7 / 2/9 - 6
[89729] ['2/9', '5/8', '4/5', '5', '7'] -> (5 / 2/9 - 7) / 5/8 - 4/5
[89730] ['4/9', '1/2', '5/3', '4', '4'] -> (5/3 + 4) * 4 / (4/9 + 1/2)
[89731] ['9/8', '9/7', '8/5', '8', '8'] -> 8/5 * (8 + 8 * 9/8 / 9/7)
[89732] ['4/9', '9/7', '9/7', '4', '4'] -> (4 / 4/9 - 9/7) * 4 / 9/7
[89733] ['1/6', '2/9', '7/4', '6', '7'] -> (6 - 7 * 1/6 / 7/4) / 2/9
[89734] ['1', '5/3', '5/3', '2', '7/2'] -> (1 + 7/2) * (2 + 5/3 + 5/3)
[89735] ['9/8', '9/7', '5/3', '8', '8'] -> 9/7 * (9/8 * 8 + 5/3 + 8)
[89736] ['1/6', '2/9', '9/5', '6', '7'] -> 7 / (2/9 * 9/5 - 1/6) - 6
[89737] ['5/9', '5/8', '3/2', '2', '4'] -> 4 * (3/2 / 5/8 + 2 / 5/9)
[89738] ['9/8', '9/7', '9/5', '8', '8'] -> 9/5 * (8 / 9/8 + 8 / 9/7)
[89739] ['1/8', '2/7', '5/2', '5', '6'] -> (5/2 / 2/7 - 5) / 1/8 - 6
[89740] ['6/5', '7/4', '8/3', '5', '8'] -> (7/4 * 8 - 6/5) * 5 / 8/3
[89741] ['1/7', '5/9', '5/7', '1', '2'] -> 1 + (2 + 5/7 / 5/9) / 1/7
[89742] ['2/7', '1', '5/3', '5/2', '3'] -> 3 * (5/2 + 5/3 / 2/7) - 1
[89743] ['1/8', '4/9', '1', '1', '9/7'] -> (1 / (1/8 * (1 / 9/7)) - 4/9))
[89744] ['2/9', '5/8', '9/8', '5', '7'] -> (7 - 5/8 / 9/8) / 2/9 - 5
[89745] ['1/7', '5/9', '3/4', '1', '2'] -> 2 / (1/7 * (1 - 5/9 * 3/4))
[89746] ['1/8', '2/7', '8/3', '5', '6'] -> 6 / (2/7 - 1/8) - 8/3 * 5
[89747] ['1', '5/3', '9/5', '9/5', '2'] -> 9/5 * (1 + 5/3) / (2 - 9/5)
[89748] ['4/9', '9/7', '5/3', '4', '4'] -> (9/7 + 4 / 4/9) * (4 - 5/3)
[89749] ['9/8', '9/7', '5/2', '8', '8'] -> 8 / 9/7 + 8 * 5/2 / 9/8
[89750] ['2/3', '5/6', '1', '9/8', '5'] -> 5 / (5/6 * (1 - 2/3 * 9/8))
[89751] ['1', '5/3', '9/5', '2', '9/4'] -> 5/3 * 9/5 / (9/4 / 2 - 1)
[89752] ['4/9', '9/7', '7/4', '4', '4'] -> 7/4 * 4 * (4 - 4/9 * 9/7)
[89753] ['5/9', '8/5', '7/4', '5', '9'] -> 5 + 8/5 * 7/4 + 9 / 5/9
[89754] ['1/6', '7/4', '9/5', '3', '9'] -> (9 / ((1/6 * 9/5) * 3) - 7/4))
[89755] ['2/3', '5/6', '1', '8/7', '5'] -> (1 + 5) / (5/6 - 2/3 / 8/7)
[89756] ['1/7', '5/9', '5/6', '1', '2'] -> 2 / (1/7 * 5/9) - 1 / 5/6
[89757] ['4/9', '9/7', '9/5', '4', '4'] -> (4/9 + 4) * (4 + 9/5 / 9/7)
[89758] ['1', '5/3', '9/5', '2', '5/2'] -> 9/5 * 2 * 5/2 * (1 + 5/3)
[89759] ['4/9', '5/9', '7/5', '4', '4'] -> (4 + 4) / (5/9 * 7/5 - 4/9)
[89760] ['1/8', '4/9', '1', '1', '9/5'] -> 1 / ((1 - 1/8) / 9/5 - 4/9)
