[53704] ['1/8', '2/5', '7/4', '8', '8'] -> (8 / (1/8 + (7/4 / (2/5 + 8))))
[53757] ['2/7', '1', '8/7', '9/7', '4'] -> (((1 + 9/7) + (8/7 * 4)) / 2/7)
[53758] ['1/6', '2/9', '8/7', '2', '2'] -> (8/7 * ((2 / 1/6) + (2 / 2/9)))
[53759] ['1/7', '2/7', '5/9', '2', '5'] -> (((5 / 5/9) - (1/7 + 2)) / 2/7)
[53760] ['2/9', '2/9', '5/4', '9', '9'] -> ((2/9 * 9) / (2/9 - (5/4 / 9)))
[53761] ['1/6', '2/9', '6/5', '2', '2'] -> ((2/9 + 2) * ((2 / 1/6) - 6/5))
[53762] ['3/5', '3/5', '5/2', '4', '7'] -> (4 + (5/2 * (7 + (3/5 / 3/5))))
[53763] ['5/6', '8/9', '8/5', '6', '9'] -> ((6 * 9) * ((5/6 * 8/5) - 8/9))
[53764] ['2/7', '7/9', '1', '3/2', '7'] -> ((1 + 7) / (3/2 * (2/7 * 7/9)))
[53765] ['3/8', '5/7', '5/2', '4', '8'] -> (4 + ((5/2 + 8) / (3/8 / 5/7)))
[53766] ['1/7', '1/6', '5/8', '5', '8'] -> ((5 + 8) / ((1/6 / 1/7) - 5/8))
[53767] ['1/7', '6/5', '5/3', '4', '9'] -> ((4 / 6/5) + (9 + (5/3 / 1/7)))
[53768] ['3/8', '5/7', '8/3', '4', '8'] -> ((8 / ((3/8 * 8/3) - 5/7)) - 4)
[53769] ['5/8', '5/8', '5/7', '5', '5'] -> (((5 / 5/8) + (5 / 5/7)) / 5/8)
[53770] ['1/3', '7/5', '3', '3', '7/2'] -> (7/2 * ((3 / 1/3) - (3 / 7/5)))
[53771] ['3/5', '5/8', '5/7', '4', '7'] -> ((4 + (5/7 * 7)) / (3/5 * 5/8))
[53772] ['2/9', '2/9', '7/4', '9', '9'] -> ((9 + 9) / (7/4 - (2/9 / 2/9)))
[53773] ['1/6', '2/9', '8/5', '2', '2'] -> (2 / ((2/9 / 1/6) - (2 / 8/5)))
[53774] ['3/8', '5/7', '4', '9/2', '8'] -> (((8 + (9/2 / 3/8)) / 5/7) - 4)
[53775] ['3/5', '5/8', '7/9', '4', '7'] -> ((5/8 * 4) * (3/5 + (7 / 7/9)))
[53776] ['5/6', '9/8', '8/7', '6', '9'] -> ((9 / (9/8 - 5/6)) - (8/7 * 6))
[53777] ['2/9', '2/9', '9/5', '9', '9'] -> ((2/9 + (2/9 * 9)) * (9/5 + 9))
[53778] ['1/3', '3/2', '9/5', '3', '3'] -> ((3/2 * (1/3 + 3)) * (9/5 + 3))
[53779] ['1/5', '4/9', '1/2', '6', '6'] -> (4/9 * ((6 / (1/5 * 1/2)) - 6))
[53780] ['1/7', '5/8', '9/7', '2', '4'] -> (((9/7 / 1/7) + (2 + 4)) / 5/8)
[53781] ['2/7', '7/9', '1', '9/5', '7'] -> ((7/9 + 7) * (9/5 + (2/7 + 1)))
[53782] ['1/7', '1/6', '4/5', '5', '8'] -> (((4/5 / 1/7) - (8 / 5)) / 1/6)
[53783] ['2/7', '1', '7/6', '8/5', '4'] -> ((1 + 4) * (8/5 / (2/7 * 7/6)))
[53784] ['1/7', '5/8', '4/3', '2', '4'] -> (4 / (1/7 * (2 - (5/8 * 4/3))))
[53785] ['1/6', '1/4', '3/7', '2', '2'] -> ((2 + (2 / 1/6)) / (1/4 / 3/7))
[53786] ['5/8', '5/8', '8/7', '5', '5'] -> ((5 + (5 / 8/7)) / (5/8 * 5/8))
[53787] ['1/5', '4/9', '5/8', '6', '6'] -> (4/9 * (6 + (6 / (1/5 * 5/8))))
[53788] ['1/8', '3/7', '7/5', '8', '8'] -> (8 + (7/5 * (8 + (3/7 / 1/8))))
[53789] ['2/7', '7/9', '1', '7/2', '7'] -> (((7/9 + 7) * (7/2 - 2/7)) - 1)
[53790] ['3/8', '3/4', '9/5', '4', '8'] -> ((8 - (3/4 * 4)) / (3/8 / 9/5))
[53791] ['1/3', '8/5', '9/4', '3', '3'] -> ((3 / 1/3) / (9/4 - (3 / 8/5)))
[53792] ['3/5', '5/8', '9/8', '4', '7'] -> (4 * ((3/5 * 7) + (9/8 / 5/8)))
[53793] ['1/7', '2/7', '5/3', '2', '5'] -> ((2 + (2/7 / 5)) / (1/7 / 5/3))
[53794] ['2/9', '2/9', '9/2', '9', '9'] -> ((9/2 + 9) * ((2/9 * 9) - 2/9))
[53795] ['5/8', '5/8', '7/6', '5', '5'] -> ((5 + (5 / 5/8)) / (7/6 - 5/8))
[53796] ['1/8', '3/7', '3/2', '8', '8'] -> ((8 / (1/8 * 3/2)) - (8 / 3/7))
[53797] ['2/7', '1', '7/6', '9/4', '4'] -> (((9/4 * 4) - 1) / (2/7 * 7/6))
[53798] ['3/8', '7/9', '7/9', '4', '8'] -> ((4 / (3/8 * 7/9)) + (8 / 7/9))
[53799] ['4/5', '8/9', '8/5', '7', '7'] -> (8/5 / (7 - (8/9 * (4/5 + 7))))
[53800] ['3/5', '5/8', '9/7', '4', '7'] -> ((5/8 * 4) * (3/5 + (9/7 * 7)))
[53801] ['1/7', '2/7', '2', '9/4', '5'] -> ((5 + (2 / (1/7 * 2/7))) / 9/4)
[53802] ['2/7', '1', '7/6', '8/3', '4'] -> ((8/3 / (2/7 * 7/6)) * (4 - 1))
[53803] ['5/6', '9/8', '9/5', '6', '9'] -> ((9 + (6 / 5/6)) / (9/5 - 9/8))
[53804] ['2/7', '4/5', '5/6', '1', '7'] -> (5/6 * (4/5 + ((1 + 7) / 2/7)))
[53805] ['1/7', '1/6', '6/5', '5', '8'] -> (8 * ((5 / 6/5) - (1/6 / 1/7)))
[53806] ['1/5', '4/9', '7/9', '6', '6'] -> (6 + (6 * (7/9 + (4/9 / 1/5))))
[53807] ['3/5', '5/8', '5/3', '4', '7'] -> (5/3 + ((7 + (4 / 5/8)) / 3/5))
[53808] ['1/7', '5/4', '5/4', '4', '9'] -> ((5/4 * 9) + (4 + (5/4 / 1/7)))
[53809] ['2/7', '1', '6/5', '6/5', '4'] -> (6/5 / ((6/5 / (2/7 * 4)) - 1))
[53810] ['5/8', '5/8', '7/4', '5', '5'] -> (5 + ((5/8 + 7/4) / (5/8 / 5)))
[53811] ['1/7', '5/4', '9/7', '4', '9'] -> (((4 * (9 - 5/4)) - 1/7) / 9/7)
[53812] ['2/7', '1', '6/5', '5/4', '4'] -> (5/4 * (1 + ((6/5 + 4) / 2/7)))
[53813] ['5/8', '5/8', '9/5', '5', '5'] -> ((5 * (9/5 + (5/8 * 5))) - 5/8)
[53814] ['4/5', '8/9', '9/5', '7', '7'] -> (9/5 / ((7 / 8/9) - (4/5 + 7)))
[53815] ['1/7', '5/8', '2', '5/2', '4'] -> ((2 / (1/7 * 5/8)) + (4 / 5/2))
[53816] ['1/7', '5/4', '4/3', '4', '9'] -> ((9 + (4 / (1/7 * 4/3))) / 5/4)
[53817] ['2/7', '1', '6/5', '4/3', '4'] -> ((6/5 * 4/3) * (1 + (4 / 2/7)))
[53818] ['5/8', '5/8', '7/3', '5', '5'] -> ((5 - 7/3) / (5/8 / (5/8 + 5)))
[53819] ['1/5', '4/9', '9/8', '6', '6'] -> ((6 / (1/5 * 9/8)) - (4/9 * 6))
[53820] ['2/7', '1', '6/5', '7/5', '4'] -> ((6/5 / 7/5) / (2/7 - (1 / 4)))
[53821] ['1/3', '7/4', '8/3', '3', '3'] -> (3 * ((1/3 + 3) + (7/4 * 8/3)))
[53822] ['1/7', '5/4', '3/2', '4', '9'] -> ((3/2 * 4) / (9 - (5/4 / 1/7)))
[53823] ['3/8', '7/9', '5/4', '4', '8'] -> ((8 - (5/4 / 3/8)) / (7/9 / 4))
[53824] ['2/7', '1', '6/5', '8/5', '4'] -> ((8/5 / (2/7 * (6/5 - 1))) - 4)
[53825] ['1/7', '1/6', '5/3', '5', '8'] -> (((5 - (1/6 * 8)) / 1/7) - 5/3)
[53826] ['3/5', '2/3', '5/7', '4', '7'] -> ((3/5 + ((4 + 7) / 5/7)) / 2/3)
[53827] ['5/8', '2/3', '2/3', '5', '5'] -> (((5 / 2/3) + (5 / 2/3)) / 5/8)
[53828] ['1/6', '1/4', '8/5', '2', '2'] -> ((2 + (1/4 * 2)) / (1/6 / 8/5))
[53829] ['2/7', '1', '6/5', '5/3', '4'] -> (4 * ((5/3 / (2/7 / 6/5)) - 1))
[53830] ['2/7', '4/5', '1', '7/6', '7'] -> ((2/7 * 7) / ((1 / 4/5) - 7/6))
[53831] ['4/5', '8/9', '8/3', '7', '7'] -> (8/3 / ((8/9 / 4/5) - (7 / 7)))
[53832] ['1/7', '5/4', '5/3', '4', '9'] -> ((4 / (1/7 * 5/3)) + (9 / 5/4))
[53833] ['1/8', '4/9', '1/2', '8', '8'] -> (8 * ((4/9 * (8 - 1/8)) - 1/2))
[53834] ['1/3', '9/5', '3', '3', '7/2'] -> (3 + ((1/3 + 3) * (9/5 * 7/2)))
[53835] ['1/6', '1/4', '9/5', '2', '2'] -> ((2 / (1/6 + 1/4)) / (2 - 9/5))
[53836] ['1/7', '1/6', '9/2', '5', '8'] -> ((8 / 1/7) - (5 + (9/2 / 1/6)))
[53837] ['2/7', '1', '6/5', '7/3', '4'] -> (4 / ((1 / 6/5) - (2/7 * 7/3)))
[53838] ['1/7', '5/4', '5/2', '4', '9'] -> (((5/4 + 5/2) / 1/7) - (9 / 4))
[53839] ['1/7', '1/3', '5/4', '2', '5'] -> (2 / (1/7 * (1/3 + (5/4 / 5))))
[53840] ['1/8', '4/9', '3/5', '8', '8'] -> ((8 / 3/5) / ((1/8 * 8) - 4/9))
[53841] ['1/7', '2/3', '7/5', '2', '4'] -> ((2 * 4) / ((2/3 / 7/5) - 1/7))
[53842] ['3/8', '7/9', '7/4', '4', '8'] -> ((7/4 / (3/8 * 7/9)) * (8 - 4))
[53843] ['2/9', '1/4', '6/7', '9', '9'] -> ((9 - (2/9 * 9)) / (1/4 / 6/7))
[53844] ['2/7', '1', '6/5', '5/2', '4'] -> (6/5 * (5/2 + ((1 + 4) / 2/7)))
[53845] ['5/6', '8/7', '9/4', '6', '9'] -> (8/7 * ((5/6 * 9) + (9/4 * 6)))
[53846] ['1/8', '4/9', '5/8', '8', '8'] -> ((8 / 4/9) + (8 * (1/8 + 5/8)))
[53847] ['2/7', '4/5', '1', '4/3', '7'] -> ((2/7 * 7) / (4/3 - (1 / 4/5)))
[53848] ['2/9', '1/4', '8/9', '9', '9'] -> (((8/9 * 9) - (2/9 * 9)) / 1/4)
[53849] ['3/8', '7/9', '9/5', '4', '8'] -> (((9/5 * (8 - 7/9)) - 4) / 3/8)
[53850] ['1/6', '2/7', '4/9', '2', '2'] -> ((2 + (2 / 2/7)) / (1/6 / 4/9))
[53851] ['2/7', '1', '6/5', '8/3', '4'] -> ((6/5 * 8/3) * (4 + (1 / 2/7)))
[53852] ['1/7', '2/3', '8/5', '2', '4'] -> (((2 / 1/7) - 4) / (2/3 / 8/5))
[53853] ['5/6', '8/7', '7/3', '6', '9'] -> ((6 * (8/7 / 7/3)) * (9 - 5/6))
[53854] ['5/8', '2/3', '9/8', '5', '5'] -> ((5 - (9/8 / 5/8)) / (2/3 / 5))
[53855] ['1/7', '5/4', '4', '9/2', '9'] -> (((4 / 1/7) + (9 / 9/2)) / 5/4)
[53856] ['3/8', '7/9', '9/4', '4', '8'] -> (((4 / 9/4) - (7/9 - 8)) / 3/8)
[53857] ['5/8', '2/3', '8/7', '5', '5'] -> ((5 / 5) / (5/8 - (2/3 / 8/7)))
[53858] ['1/5', '4/9', '7/3', '6', '6'] -> (((7/3 / 1/5) - (6 / 6)) / 4/9)
[53859] ['3/8', '3/8', '4/9', '3', '3'] -> (3 / ((3 * (3/8 * 4/9)) - 3/8))
[53860] ['2/7', '1', '5/4', '5/4', '4'] -> (4 * ((1 / 2/7) + (5/4 + 5/4)))
[53861] ['5/6', '8/7', '9/2', '6', '9'] -> ((8/7 * 9) * (6 + (5/6 - 9/2)))
[53862] ['1/8', '4/9', '4/5', '8', '8'] -> (4/9 * ((8 / 1/8) - (8 / 4/5)))
[53863] ['3/8', '3/8', '5/9', '3', '3'] -> (((3 / 3/8) - 3) / (3/8 * 5/9))
[53864] ['1/5', '4/9', '5/2', '6', '6'] -> (6 / ((5/2 / (6 - 4/9)) - 1/5))
[53865] ['4/5', '9/8', '6/5', '7', '7'] -> ((4/5 + (7 / 7)) / (6/5 - 9/8))
[53866] ['5/6', '7/6', '7/6', '6', '9'] -> (9 * ((5/6 * 6) - (7/6 + 7/6)))
[53867] ['1/6', '2/7', '3/5', '2', '2'] -> (3/5 * ((2 / (1/6 * 2/7)) - 2))
[53868] ['2/7', '4/5', '1', '7/4', '7'] -> ((7 / 2/7) - (7/4 - (1 / 4/5)))
[53869] ['1/7', '5/7', '7/9', '2', '4'] -> ((4 / 7/9) / ((5/7 / 2) - 1/7))
[53870] ['2/9', '1/4', '5/4', '9', '9'] -> (9 / ((5/4 / (2/9 * 9)) - 1/4))
[53871] ['2/7', '1', '5/4', '7/5', '4'] -> ((7/5 * (2/7 + 4)) / (5/4 - 1))
[53872] ['1/5', '4/9', '7/2', '6', '6'] -> (6 * ((7/2 / 1/5) - (6 / 4/9)))
[53873] ['5/6', '7/6', '7/5', '6', '9'] -> (9 * ((5/6 * (6 - 7/5)) - 7/6))
[53874] ['3/8', '4/5', '6/7', '4', '8'] -> ((4/5 * 6/7) * (8 * (3/8 + 4)))
[53875] ['3/8', '3/8', '3/5', '3', '3'] -> ((3 + 3) / ((3/8 / 3/5) - 3/8))
[53876] ['1/5', '4/9', '9/2', '6', '6'] -> (6 * ((9/2 / (1/5 / 4/9)) - 6))
[53877] ['1/7', '5/7', '7/8', '2', '4'] -> ((((4 - 5/7) / 1/7) - 2) / 7/8)
[53878] ['2/7', '4/5', '1', '9/4', '7'] -> (((7 - 1) / (2/7 * 4/5)) - 9/4)
[53879] ['3/8', '4/5', '8/9', '4', '8'] -> ((8 + (4 / (3/8 * 4/5))) / 8/9)
[53880] ['1/8', '4/9', '6/5', '8', '8'] -> ((8 - (8 / 6/5)) / (1/8 * 4/9))
[53881] ['1/6', '2/7', '4/5', '2', '2'] -> (((2 / 2/7) - 2) / (1/6 / 4/5))
[53882] ['3/5', '5/7', '7/9', '4', '7'] -> ((5/7 * 4) * ((7 / 7/9) - 3/5))
[53883] ['1/5', '1/2', '4/7', '6', '6'] -> (4/7 * ((6 / 1/5) + (6 / 1/2)))
[53884] ['2/7', '4/5', '1', '7/3', '7'] -> (7/3 * (2/7 + ((1 + 7) / 4/5)))
[53885] ['1/7', '9/7', '7/2', '4', '9'] -> (9 / (9/7 - ((1/7 + 7/2) / 4)))
[53886] ['3/8', '4/5', '8/7', '4', '8'] -> ((4/5 * (3/8 + 4)) * (8 - 8/7))
[53887] ['5/8', '2/3', '9/5', '5', '5'] -> ((5 + (2/3 * 5)) / (5/8 / 9/5))
[53888] ['1/7', '3/8', '1/2', '2', '5'] -> ((5 - 2) / (1/7 * (3/8 + 1/2)))
[53889] ['1/8', '4/9', '9/7', '8', '8'] -> (8 / ((8 * (1/8 / 9/7)) - 4/9))
[53890] ['1/7', '1/5', '5/9', '5', '8'] -> (5/9 * ((1/5 + 8) + (5 / 1/7)))
[53891] ['3/5', '5/7', '5/6', '4', '7'] -> ((5/6 * 7) * (4 - (3/5 - 5/7)))
[53892] ['3/8', '4/5', '7/6', '4', '8'] -> ((4/5 / 7/6) * (8 * (3/8 + 4)))
[53893] ['2/7', '4/5', '1', '8/3', '7'] -> (8/3 * ((7 / (1 - 2/7)) - 4/5))
[53894] ['2/7', '1', '5/4', '9/4', '4'] -> (9/4 / ((5/4 / (2/7 * 4)) - 1))
[53895] ['5/8', '5/7', '5/7', '5', '5'] -> ((5 + (5/7 + 5)) / (5/8 * 5/7))
[53896] ['3/5', '5/7', '6/7', '4', '7'] -> (6/7 * ((4 / (5/7 - 3/5)) - 7))
[53897] ['3/8', '3/8', '5/6', '3', '3'] -> ((3 + (3 / 3/8)) / (5/6 - 3/8))
[53898] ['1/6', '2/7', '9/8', '2', '2'] -> (2 / ((2/7 * (2 - 9/8)) - 1/6))
[53899] ['1/7', '1/5', '5/8', '5', '8'] -> ((8 + (5 / (1/7 / 1/5))) / 5/8)
[53900] ['2/9', '1/4', '5/2', '9', '9'] -> (((9 - 5/2) / 1/4) - (2/9 * 9))
[53901] ['1/5', '1/2', '6/7', '6', '6'] -> ((6/7 + 6) * (6 - (1/2 / 1/5)))
[53902] ['4/5', '9/8', '8/5', '7', '7'] -> (8/5 / (7 - ((4/5 + 7) / 9/8)))
[53903] ['3/5', '5/7', '7/8', '4', '7'] -> ((7 + (4 / 5/7)) / (3/5 * 7/8))
[53904] ['1/7', '5/7', '5/3', '2', '4'] -> ((4 / (1/7 / 5/7)) / (5/3 / 2))
[53905] ['3/8', '3/8', '7/6', '3', '3'] -> ((3/8 / ((7/6 / 3) - 3/8)) - 3)
[53906] ['1/7', '3/8', '5/8', '2', '5'] -> (2 * (5 + ((3/8 + 5/8) / 1/7)))
[53907] ['1/5', '1/2', '8/9', '6', '6'] -> (8/9 * ((6 / 1/5) - (1/2 * 6)))
[53908] ['5/8', '5/7', '7/9', '5', '5'] -> ((5 / (5/8 + 5/7)) / (7/9 / 5))
[53909] ['2/9', '2/7', '2/7', '9', '9'] -> (2/7 + ((2/9 + 9) * (2/7 * 9)))
[53910] ['2/7', '1', '9/7', '9/7', '4'] -> (1 + ((4 + (9/7 + 9/7)) / 2/7))
[53911] ['1/7', '3/8', '2/3', '2', '5'] -> ((1/7 + 5) * ((2 / 3/8) - 2/3))
[53912] ['1/5', '1/2', '9/8', '6', '6'] -> (((6 / 1/5) - (1/2 * 6)) / 9/8)
[53913] ['1/7', '1/5', '7/9', '5', '8'] -> ((5 / (1/5 * 7/9)) - (1/7 + 8))
[53914] ['3/5', '5/7', '9/8', '4', '7'] -> ((7 + (4 / 5/7)) / (9/8 - 3/5))
[53915] ['1/7', '4/3', '5/2', '4', '9'] -> (((9 / 1/7) - (4 / 4/3)) / 5/2)
[53916] ['4/5', '9/8', '9/5', '7', '7'] -> (9/5 / ((9/8 * 7) - (4/5 + 7)))
[53917] ['2/7', '5/6', '1', '8/7', '7'] -> (7 / (((2/7 + 1) / 8/7) - 5/6))
[53918] ['1/7', '1/5', '6/7', '5', '8'] -> ((6/7 / 5) * (8 / (1/5 - 1/7)))
[53919] ['1/8', '1/2', '5/9', '8', '8'] -> (((8 / (1/2 - 1/8)) - 8) / 5/9)
[53920] ['3/8', '3/8', '4/3', '3', '3'] -> ((3 + (3 / (3/8 * 4/3))) / 3/8)
[53921] ['3/8', '5/6', '6/7', '4', '8'] -> (((4 / 3/8) + (8 / 6/7)) / 5/6)
[53922] ['1/7', '3/4', '5/6', '2', '4'] -> (4 / (1/7 * (3/4 + (5/6 / 2))))
[53923] ['1/6', '2/7', '2', '2', '9/4'] -> ((2 + (2 / 2/7)) / (1/6 * 9/4))
[53924] ['1/7', '3/8', '4/5', '2', '5'] -> ((5 - 4/5) / (3/8 / (1/7 + 2)))
[53925] ['2/7', '1', '9/7', '9/5', '4'] -> ((1 + (9/7 / 9/5)) / (2/7 / 4))
[53926] ['3/5', '5/7', '3/2', '4', '7'] -> (3/2 * (3/5 + ((4 + 7) / 5/7)))
[53927] ['2/7', '5/6', '1', '6/5', '7'] -> (((7 - 1) / (2/7 * 5/6)) - 6/5)
[53928] ['2/9', '2/7', '1/2', '9', '9'] -> (((9 - (2/9 * 9)) / 2/7) - 1/2)
[53929] ['1/8', '1/2', '5/7', '8', '8'] -> ((8 / 5/7) + (8 / (1/8 + 1/2)))
[53930] ['4/5', '9/8', '5/2', '7', '7'] -> ((4/5 * (9/8 + 7)) + (5/2 * 7))
[53931] ['3/8', '3/8', '8/5', '3', '3'] -> ((3 - (3/8 - 3)) / (3/8 / 8/5))
[53932] ['1/7', '7/5', '8/5', '4', '9'] -> (((7/5 + 9) + (4 / 1/7)) / 8/5)
[53933] ['5/6', '9/7', '7/4', '6', '9'] -> (9/7 * ((7/4 * 6) - (5/6 - 9)))
[53934] ['2/7', '5/6', '1', '7/5', '7'] -> ((1 + 7) / (7/5 * (2/7 * 5/6)))
[53935] ['1/7', '1/5', '7/6', '5', '8'] -> ((8 / (1/5 - 1/7)) / (7/6 * 5))
[53936] ['3/5', '5/7', '5/2', '4', '7'] -> (5/2 * ((3/5 + 4) + (5/7 * 7)))
[53937] ['1/7', '3/8', '6/5', '2', '5'] -> ((3/8 * 5) * ((2 / 1/7) - 6/5))
[53938] ['1/8', '1/2', '6/7', '8', '8'] -> ((1/2 * 6/7) * ((8 / 1/8) - 8))
[53939] ['5/8', '5/7', '7/5', '5', '5'] -> ((5 + (5/7 + 5)) / (5/8 / 7/5))
[53940] ['3/8', '3/8', '9/5', '3', '3'] -> (((3 / 3/8) - 3) / (3/8 / 9/5))
[53941] ['1/7', '7/5', '7/4', '4', '9'] -> (4 + (9 / (1/7 * (7/5 + 7/4))))
[53942] ['3/8', '6/7', '6/7', '4', '8'] -> (((6/7 * 8) * (4 - 3/8)) - 6/7)
[53943] ['2/7', '1', '4/3', '7/5', '4'] -> ((2/7 * 4) / (1 - (4/3 / 7/5)))
[53944] ['1/6', '1/3', '4/9', '2', '2'] -> ((2 / 2) / ((1/6 / 4/9) - 1/3))
[53945] ['1/7', '3/8', '4/3', '2', '5'] -> ((2 / 1/7) + (5 / (3/8 * 4/3)))
[53946] ['1/7', '3/4', '5/3', '2', '4'] -> ((2 + (4 / 1/7)) / (3/4 * 5/3))
[53947] ['3/8', '3/8', '3', '3', '7/2'] -> ((((3 * 7/2) - 3/8) / 3/8) - 3)
[53948] ['2/7', '5/6', '1', '9/5', '7'] -> ((1 - (5/6 * 9/5)) + (7 / 2/7))
